InstrumentName, I-25 Denver,,
StartTime, 2020-07-01 00:00:00,,
EndTime, 2020-07-31 23:59:59,,
Date,CO,NO2,PM2.5
07/07/2020 16:00:00.000000,0.2,14.0,
07/07/2020 17:00:00.000000,0.3,23.0,2.4
07/07/2020 18:00:00.000000,0.3,16.0,2.3
07/07/2020 19:00:00.000000,0.5,25.0,3.1
07/07/2020 20:00:00.000000,0.5,23.0,2.1
07/07/2020 22:00:00.000000,0.3,17.0,2.2
07/07/2020 23:00:00.000000,0.4,19.0,1.8
07/08/2020 09:00:00.000000,0.2,18.0,4.3
07/08/2020 10:00:00.000000,0.3,18.0,4.1
07/08/2020 11:00:00.000000,0.4,26.0,4.2
07/08/2020 12:00:00.000000,0.4,28.0,5.2
07/08/2020 13:00:00.000000,0.3,24.0,5.3
07/08/2020 14:00:00.000000,0.4,26.0,5.4
07/08/2020 15:00:00.000000,0.3,23.0,5.5
07/08/2020 16:00:00.000000,0.2,14.0,3.8
07/08/2020 17:00:00.000000,0.2,11.0,4.0
07/08/2020 18:00:00.000000,0.2,12.0,3.5
07/08/2020 19:00:00.000000,0.2,12.0,3.8
07/08/2020 20:00:00.000000,0.3,18.0,3.4
07/09/2020 10:00:00.000000,0.2,20.0,
07/09/2020 11:00:00.000000,0.5,32.0,
07/09/2020 13:00:00.000000,0.5,35.0,
07/09/2020 14:00:00.000000,0.3,28.0,
07/09/2020 16:00:00.000000,0.3,23.0,
07/09/2020 17:00:00.000000,0.2,18.0,
07/09/2020 18:00:00.000000,0.1,9.0,
07/10/2020 09:00:00.000000,0.2,12.0,13.6
07/10/2020 10:00:00.000000,0.2,17.0,14.4
07/10/2020 11:00:00.000000,0.2,21.0,14.0
07/10/2020 12:00:00.000000,0.6,26.0,16.1
07/10/2020 13:00:00.000000,0.5,28.0,15.3
07/10/2020 14:00:00.000000,0.4,21.0,14.7
07/10/2020 15:00:00.000000,0.3,15.0,12.2
07/10/2020 16:00:00.000000,0.2,18.0,12.3
07/10/2020 17:00:00.000000,0.2,9.0,8.3
07/10/2020 18:00:00.000000,0.1,6.0,4.3
07/11/2020 10:00:00.000000,0.2,10.0,7.1
07/11/2020 11:00:00.000000,0.2,14.0,7.7
07/11/2020 12:00:00.000000,0.3,20.0,8.7
07/11/2020 13:00:00.000000,0.3,17.0,7.4
07/11/2020 14:00:00.000000,0.3,17.0,7.5
07/11/2020 15:00:00.000000,0.2,9.0,6.5
07/11/2020 16:00:00.000000,0.2,12.0,6.9
07/12/2020 09:00:00.000000,0.2,12.0,9.4
07/12/2020 10:00:00.000000,0.1,8.0,9.7
07/12/2020 11:00:00.000000,0.2,9.0,10.2
07/12/2020 12:00:00.000000,0.2,12.0,10.1
07/12/2020 13:00:00.000000,0.2,13.0,8.6
07/12/2020 14:00:00.000000,0.2,12.0,7.7
07/12/2020 15:00:00.000000,0.3,16.0,8.5
07/12/2020 16:00:00.000000,0.3,13.0,8.5
07/12/2020 17:00:00.000000,0.1,6.0,6.1
07/12/2020 19:00:00.000000,0.2,9.0,3.9
07/12/2020 20:00:00.000000,0.5,18.0,6.5
07/12/2020 21:00:00.000000,0.3,10.0,3.5
07/12/2020 22:00:00.000000,0.4,17.0,2.9
07/12/2020 23:00:00.000000,0.3,13.0,2.6
07/13/2020 00:00:00.000000,0.3,13.0,2.8
