InstrumentName, Chatfield Park,
StartTime, 2020-07-01 00:00:00,
EndTime, 2020-07-31 23:59:59,
Date,O3,PM2.5
07/01/2020 00:00:00.000000,63.0,4.6
07/01/2020 01:00:00.000000,61.0,5.1
07/01/2020 02:00:00.000000,52.0,7.7
07/01/2020 03:00:00.000000,54.0,6.7
07/01/2020 04:00:00.000000,53.0,4.8
07/01/2020 05:00:00.000000,47.0,4.8
07/01/2020 06:00:00.000000,39.0,4.9
07/01/2020 09:00:00.000000,32.0,5.2
07/01/2020 10:00:00.000000,30.0,5.1
07/01/2020 11:00:00.000000,30.0,5.4
07/01/2020 12:00:00.000000,30.0,5.4
07/01/2020 13:00:00.000000,39.0,5.0
07/01/2020 14:00:00.000000,45.0,5.9
07/01/2020 15:00:00.000000,50.0,5.7
07/01/2020 16:00:00.000000,60.0,6.0
07/01/2020 17:00:00.000000,61.0,5.6
07/01/2020 18:00:00.000000,61.0,6.8
07/01/2020 19:00:00.000000,61.0,7.1
07/01/2020 20:00:00.000000,60.0,7.7
07/01/2020 21:00:00.000000,62.0,5.8
07/01/2020 22:00:00.000000,61.0,8.2
07/01/2020 23:00:00.000000,60.0,7.6
07/02/2020 00:00:00.000000,59.0,6.0
07/02/2020 01:00:00.000000,59.0,8.4
07/02/2020 02:00:00.000000,58.0,7.9
07/02/2020 03:00:00.000000,55.0,9.0
07/02/2020 04:00:00.000000,50.0,8.7
07/02/2020 09:00:00.000000,47.0,8.6
07/02/2020 10:00:00.000000,43.0,9.1
07/02/2020 11:00:00.000000,42.0,8.8
07/02/2020 12:00:00.000000,37.0,8.9
07/02/2020 13:00:00.000000,38.0,9.4
07/02/2020 14:00:00.000000,46.0,9.3
07/02/2020 15:00:00.000000,53.0,11.7
07/02/2020 16:00:00.000000,52.0,19.2
07/02/2020 17:00:00.000000,50.0,14.7
07/02/2020 18:00:00.000000,49.0,14.6
07/02/2020 19:00:00.000000,45.0,10.9
07/02/2020 20:00:00.000000,44.0,9.7
07/02/2020 21:00:00.000000,44.0,7.6
07/02/2020 22:00:00.000000,54.0,9.8
07/02/2020 23:00:00.000000,63.0,11.6
07/03/2020 00:00:00.000000,60.0,11.1
07/03/2020 01:00:00.000000,49.0,9.1
07/03/2020 02:00:00.000000,42.0,11.0
07/03/2020 06:00:00.000000,49.0,7.7
07/03/2020 07:00:00.000000,43.0,7.4
07/03/2020 09:00:00.000000,38.0,6.9
07/03/2020 10:00:00.000000,33.0,7.2
07/03/2020 11:00:00.000000,29.0,7.9
07/03/2020 12:00:00.000000,27.0,8.5
07/03/2020 13:00:00.000000,28.0,8.2
07/03/2020 14:00:00.000000,41.0,8.5
07/03/2020 15:00:00.000000,49.0,8.5
07/03/2020 16:00:00.000000,57.0,9.0
07/03/2020 17:00:00.000000,66.0,9.4
07/03/2020 18:00:00.000000,75.0,9.3
07/03/2020 19:00:00.000000,80.0,9.2
07/03/2020 20:00:00.000000,69.0,8.4
07/03/2020 21:00:00.000000,64.0,8.8
07/03/2020 22:00:00.000000,50.0,10.0
07/03/2020 23:00:00.000000,48.0,5.2
07/04/2020 00:00:00.000000,48.0,5.2
07/04/2020 01:00:00.000000,47.0,4.9
07/04/2020 09:00:00.000000,41.0,4.6
07/04/2020 10:00:00.000000,41.0,4.3
07/04/2020 11:00:00.000000,40.0,4.3
07/04/2020 12:00:00.000000,40.0,4.3
07/04/2020 13:00:00.000000,38.0,4.7
07/04/2020 14:00:00.000000,41.0,4.7
07/04/2020 15:00:00.000000,46.0,5.5
07/04/2020 16:00:00.000000,51.0,5.4
07/04/2020 17:00:00.000000,58.0,5.7
07/04/2020 18:00:00.000000,53.0,5.3
07/04/2020 19:00:00.000000,56.0,5.5
07/04/2020 20:00:00.000000,49.0,5.1
07/04/2020 21:00:00.000000,45.0,3.8
07/04/2020 22:00:00.000000,46.0,3.3
07/04/2020 23:00:00.000000,46.0,4.7
07/05/2020 00:00:00.000000,48.0,3.9
07/05/2020 06:00:00.000000,31.0,7.7
07/05/2020 07:00:00.000000,30.0,3.7
07/05/2020 10:00:00.000000,27.0,4.7
07/05/2020 11:00:00.000000,26.0,4.5
07/05/2020 13:00:00.000000,28.0,5.1
07/05/2020 14:00:00.000000,34.0,4.8
07/05/2020 15:00:00.000000,34.0,4.9
07/05/2020 16:00:00.000000,44.0,4.3
07/05/2020 17:00:00.000000,53.0,3.4
07/05/2020 18:00:00.000000,52.0,3.5
07/05/2020 19:00:00.000000,51.0,3.6
07/05/2020 21:00:00.000000,52.0,3.9
07/06/2020 09:00:00.000000,30.0,3.3
07/06/2020 10:00:00.000000,31.0,3.3
07/06/2020 11:00:00.000000,28.0,3.6
07/06/2020 12:00:00.000000,28.0,3.6
07/06/2020 13:00:00.000000,,3.6
07/06/2020 14:00:00.000000,32.0,3.8
07/06/2020 15:00:00.000000,36.0,3.4
07/06/2020 16:00:00.000000,41.0,3.9
07/06/2020 17:00:00.000000,52.0,3.8
07/06/2020 18:00:00.000000,61.0,4.1
07/06/2020 19:00:00.000000,58.0,3.9
07/06/2020 20:00:00.000000,56.0,3.7
07/06/2020 21:00:00.000000,57.0,3.7
07/07/2020 09:00:00.000000,42.0,3.6
07/07/2020 10:00:00.000000,44.0,3.8
07/07/2020 11:00:00.000000,43.0,3.8
07/07/2020 12:00:00.000000,44.0,3.7
07/07/2020 13:00:00.000000,42.0,4.3
07/07/2020 14:00:00.000000,42.0,4.7
07/07/2020 15:00:00.000000,44.0,3.4
07/07/2020 16:00:00.000000,43.0,3.3
07/07/2020 17:00:00.000000,43.0,3.2
07/07/2020 18:00:00.000000,43.0,3.8
07/07/2020 19:00:00.000000,44.0,5.5
07/07/2020 20:00:00.000000,46.0,3.6
07/07/2020 22:00:00.000000,46.0,4.4
07/07/2020 23:00:00.000000,45.0,3.5
07/08/2020 09:00:00.000000,29.0,3.6
07/08/2020 10:00:00.000000,31.0,3.6
07/08/2020 11:00:00.000000,30.0,3.4
07/08/2020 12:00:00.000000,32.0,3.2
07/08/2020 13:00:00.000000,34.0,3.0
07/08/2020 14:00:00.000000,36.0,3.7
07/08/2020 15:00:00.000000,44.0,3.9
07/08/2020 16:00:00.000000,47.0,4.2
07/08/2020 17:00:00.000000,49.0,3.7
07/08/2020 18:00:00.000000,56.0,3.4
07/08/2020 19:00:00.000000,63.0,3.9
07/08/2020 20:00:00.000000,63.0,3.8
07/09/2020 10:00:00.000000,30.0,5.0
07/09/2020 11:00:00.000000,25.0,5.0
07/09/2020 13:00:00.000000,29.0,10.5
07/09/2020 14:00:00.000000,43.0,6.7
07/09/2020 16:00:00.000000,58.0,6.7
07/09/2020 17:00:00.000000,62.0,6.1
07/09/2020 18:00:00.000000,73.0,6.5
07/10/2020 09:00:00.000000,40.0,10.5
07/10/2020 10:00:00.000000,36.0,10.6
07/10/2020 11:00:00.000000,36.0,10.4
07/10/2020 12:00:00.000000,32.0,10.5
07/10/2020 13:00:00.000000,40.0,9.7
