"","date","flag"
"1",2019-09-20 00:00:00,"smoke?"
"2",2019-09-20 00:00:00,"smoke?"
"3",2019-09-20 00:00:00,"smoke?"
"4",2019-09-20 00:00:00,"smoke?"
"5",2019-09-20 00:00:00,"smoke?"
"6",2019-09-20 00:00:00,"smoke?"
"7",2019-09-20 00:00:00,"smoke?"
"8",2019-09-20 00:00:00,"smoke?"
"9",2019-09-20 00:00:00,"smoke?"
"10",2019-09-20 00:00:00,"smoke?"
"11",2019-09-20 01:00:00,"smoke?"
"12",2019-09-20 01:00:00,"smoke?"
"13",2019-09-20 01:00:00,"smoke?"
"14",2019-09-20 01:00:00,"smoke?"
"15",2019-09-20 01:00:00,"smoke?"
"16",2019-09-20 01:00:00,"smoke?"
"17",2019-09-20 01:00:00,"smoke?"
"18",2019-09-20 01:00:00,"smoke?"
"19",2019-09-20 01:00:00,"smoke?"
"20",2019-09-20 01:00:00,"smoke?"
"21",2019-09-20 02:00:00,"smoke?"
"22",2019-09-20 02:00:00,"smoke?"
"23",2019-09-20 02:00:00,"smoke?"
"24",2019-09-20 02:00:00,"smoke?"
"25",2019-09-20 02:00:00,"smoke?"
"26",2019-09-20 02:00:00,"smoke?"
"27",2019-09-20 02:00:00,"smoke?"
"28",2019-09-20 02:00:00,"smoke?"
"29",2019-09-20 02:00:00,"smoke?"
"30",2019-09-20 02:00:00,"smoke?"
"31",2019-09-20 03:00:00,"smoke?"
"32",2019-09-20 03:00:00,"smoke?"
"33",2019-09-20 03:00:00,"smoke?"
"34",2019-09-20 03:00:00,"smoke?"
"35",2019-09-20 03:00:00,"smoke?"
"36",2019-09-20 03:00:00,"smoke?"
"37",2019-09-20 03:00:00,"smoke?"
"38",2019-09-20 03:00:00,"smoke?"
"39",2019-09-20 03:00:00,"smoke?"
"40",2019-09-20 03:00:00,"smoke?"
"41",2019-09-20 04:00:00,"smoke?"
"42",2019-09-20 04:00:00,"smoke?"
"43",2019-09-20 04:00:00,"smoke?"
"44",2019-09-20 04:00:00,"smoke?"
"45",2019-09-20 04:00:00,"smoke?"
"46",2019-09-20 04:00:00,"smoke?"
"47",2019-09-20 04:00:00,"smoke?"
"48",2019-09-20 04:00:00,"smoke?"
"49",2019-09-20 04:00:00,"smoke?"
"50",2019-09-20 04:00:00,"smoke?"
"51",2019-09-20 05:00:00,"smoke?"
"52",2019-09-20 05:00:00,"smoke?"
"53",2019-09-20 05:00:00,"smoke?"
"54",2019-09-20 05:00:00,"smoke?"
"55",2019-09-20 05:00:00,"smoke?"
"56",2019-09-20 05:00:00,"smoke?"
"57",2019-09-20 05:00:00,"smoke?"
"58",2019-09-20 05:00:00,"smoke?"
"59",2019-09-20 05:00:00,"smoke?"
"60",2019-09-20 05:00:00,"smoke?"
"61",2019-09-20 06:00:00,"smoke?"
"62",2019-09-20 06:00:00,"smoke?"
"63",2019-09-20 06:00:00,"smoke?"
"64",2019-09-20 06:00:00,"smoke?"
"65",2019-09-20 06:00:00,"smoke?"
"66",2019-09-20 06:00:00,"smoke?"
"67",2019-09-20 06:00:00,"smoke?"
"68",2019-09-20 06:00:00,"smoke?"
"69",2019-09-20 06:00:00,"smoke?"
"70",2019-09-20 06:00:00,"smoke?"
"71",2019-09-20 07:00:00,"smoke?"
"72",2019-09-20 07:00:00,"smoke?"
"73",2019-09-20 07:00:00,"smoke?"
"74",2019-09-20 07:00:00,"smoke?"
"75",2019-09-20 07:00:00,"smoke?"
"76",2019-09-20 07:00:00,"smoke?"
"77",2019-09-20 07:00:00,"smoke?"
"78",2019-09-20 07:00:00,"smoke?"
"79",2019-09-20 07:00:00,"smoke?"
"80",2019-09-20 07:00:00,"smoke?"
"81",2019-09-20 08:00:00,"smoke?"
"82",2019-09-20 08:00:00,"smoke?"
"83",2019-09-20 08:00:00,"smoke?"
"84",2019-09-20 08:00:00,"smoke?"
"85",2019-09-20 08:00:00,"smoke?"
"86",2019-09-20 08:00:00,"smoke?"
"87",2019-09-20 08:00:00,"smoke?"
"88",2019-09-20 08:00:00,"smoke?"
"89",2019-09-20 08:00:00,"smoke?"
"90",2019-09-20 08:00:00,"smoke?"
"91",2019-09-20 09:00:00,"smoke?"
"92",2019-09-20 09:00:00,"smoke?"
"93",2019-09-20 09:00:00,"smoke?"
"94",2019-09-20 09:00:00,"smoke?"
"95",2019-09-20 09:00:00,"smoke?"
"96",2019-09-20 09:00:00,"smoke?"
"97",2019-09-20 09:00:00,"smoke?"
"98",2019-09-20 09:00:00,"smoke?"
"99",2019-09-20 09:00:00,"smoke?"
"100",2019-09-20 09:00:00,"smoke?"
"101",2019-09-20 10:00:00,"smoke?"
"102",2019-09-20 10:00:00,"smoke?"
"103",2019-09-20 10:00:00,"smoke?"
"104",2019-09-20 10:00:00,"smoke?"
"105",2019-09-20 10:00:00,"smoke?"
"106",2019-09-20 10:00:00,"smoke?"
"107",2019-09-20 10:00:00,"smoke?"
"108",2019-09-20 10:00:00,"smoke?"
"109",2019-09-20 10:00:00,"smoke?"
"110",2019-09-20 10:00:00,"smoke?"
"111",2019-09-20 11:00:00,"smoke?"
"112",2019-09-20 11:00:00,"smoke?"
"113",2019-09-20 11:00:00,"smoke?"
"114",2019-09-20 11:00:00,"smoke?"
"115",2019-09-20 11:00:00,"smoke?"
"116",2019-09-20 11:00:00,"smoke?"
"117",2019-09-20 11:00:00,"smoke?"
"118",2019-09-20 11:00:00,"smoke?"
"119",2019-09-20 11:00:00,"smoke?"
"120",2019-09-20 11:00:00,"smoke?"
"121",2019-09-20 12:00:00,"smoke?"
"122",2019-09-20 12:00:00,"smoke?"
"123",2019-09-20 12:00:00,"smoke?"
"124",2019-09-20 12:00:00,"smoke?"
"125",2019-09-20 12:00:00,"smoke?"
"126",2019-09-20 12:00:00,"smoke?"
"127",2019-09-20 12:00:00,"smoke?"
"128",2019-09-20 12:00:00,"smoke?"
"129",2019-09-20 12:00:00,"smoke?"
"130",2019-09-20 12:00:00,"smoke?"
"131",2019-09-20 13:00:00,"smoke?"
"132",2019-09-20 13:00:00,"smoke?"
"133",2019-09-20 13:00:00,"smoke?"
"134",2019-09-20 13:00:00,"smoke?"
"135",2019-09-20 13:00:00,"smoke?"
"136",2019-09-20 13:00:00,"smoke?"
"137",2019-09-20 13:00:00,"smoke?"
"138",2019-09-20 13:00:00,"smoke?"
"139",2019-09-20 13:00:00,"smoke?"
"140",2019-09-20 13:00:00,"smoke?"
"141",2019-09-20 14:00:00,"smoke?"
"142",2019-09-20 14:00:00,"smoke?"
"143",2019-09-20 14:00:00,"smoke?"
"144",2019-09-20 14:00:00,"smoke?"
"145",2019-09-20 14:00:00,"smoke?"
"146",2019-09-20 14:00:00,"smoke?"
"147",2019-09-20 14:00:00,"smoke?"
