InstrumentName, La Casa,,,,,
StartTime, 2018-03-01 00:00:00,,,,,
EndTime, 2018-03-31 23:59:59,,,,,
Date,CO,NO2,O3,PM10,PM2.5,SO2
03/01/2018 00:00:00.000000,,,43.0,22.0,,
03/01/2018 01:00:00.000000,0.2,9.0,44.0,18.0,6.0,0.0
03/01/2018 02:00:00.000000,0.2,17.0,39.0,19.0,6.3,0.0
03/01/2018 03:00:00.000000,0.2,21.0,34.0,19.0,6.5,0.0
03/01/2018 04:00:00.000000,0.2,,35.0,18.0,6.3,0.0
03/01/2018 05:00:00.000000,0.2,13.0,32.0,17.0,6.1,0.0
03/01/2018 06:00:00.000000,0.2,16.0,32.0,16.0,5.9,0.0
03/01/2018 07:00:00.000000,0.2,28.0,24.0,16.0,5.9,
03/01/2018 08:00:00.000000,0.2,42.0,6.0,17.0,6.4,0.0
03/01/2018 09:00:00.000000,0.4,42.0,15.0,17.0,7.0,0.0
03/01/2018 10:00:00.000000,0.3,38.0,1.0,17.0,7.2,0.0
03/01/2018 11:00:00.000000,0.5,37.0,4.0,16.0,7.7,0.0
03/01/2018 12:00:00.000000,0.5,36.0,1.0,16.0,8.7,0.0
03/01/2018 13:00:00.000000,0.5,35.0,4.0,15.0,8.9,0.0
03/01/2018 14:00:00.000000,0.4,28.0,6.0,15.0,8.4,0.0
03/01/2018 15:00:00.000000,0.3,25.0,9.0,18.0,8.8,0.0
03/01/2018 16:00:00.000000,0.4,29.0,20.0,27.0,10.4,1.0
03/01/2018 17:00:00.000000,0.3,23.0,27.0,28.0,11.0,0.0
03/01/2018 18:00:00.000000,0.4,,21.0,42.0,12.5,1.0
03/01/2018 19:00:00.000000,0.3,,24.0,58.0,14.4,2.0
03/01/2018 20:00:00.000000,0.2,,28.0,49.0,12.7,0.0
03/01/2018 21:00:00.000000,0.1,,32.0,37.0,9.2,0.0
03/01/2018 22:00:00.000000,0.2,,40.0,31.0,7.4,0.0
03/01/2018 23:00:00.000000,0.3,,35.0,36.0,9.9,0.0
03/02/2018 00:00:00.000000,0.4,,29.0,42.0,12.3,0.0
03/02/2018 01:00:00.000000,0.5,,24.0,49.0,14.5,0.0
03/02/2018 02:00:00.000000,0.8,,1.0,58.0,17.0,1.0
03/02/2018 03:00:00.000000,1.1,,1.0,61.0,20.1,1.0
03/02/2018 04:00:00.000000,1.1,,1.0,63.0,21.9,2.0
03/02/2018 05:00:00.000000,1.0,,1.0,58.0,21.6,1.0
03/02/2018 06:00:00.000000,1.0,,1.0,53.0,21.1,1.0
03/02/2018 07:00:00.000000,0.6,,0.0,46.0,18.8,
03/02/2018 08:00:00.000000,0.5,,0.0,38.0,16.3,1.0
03/02/2018 09:00:00.000000,,,,38.0,16.3,
03/02/2018 18:00:00.000000,0.1,4.0,,,,0.0
03/02/2018 19:00:00.000000,0.1,3.0,43.0,4.0,1.4,0.0
03/02/2018 20:00:00.000000,0.1,2.0,43.0,3.0,1.2,0.0
