InstrumentName, I-25 Globeville,
StartTime, 2018-03-01 00:00:00,
EndTime, 2018-03-31 23:59:59,
Date,NO2,PM2.5
03/01/2018 00:00:00.000000,,7.6
03/01/2018 01:00:00.000000,24.0,6.9
03/01/2018 02:00:00.000000,39.0,8.0
03/01/2018 03:00:00.000000,11.0,7.0
03/01/2018 04:00:00.000000,12.0,6.1
03/01/2018 05:00:00.000000,,5.8
03/01/2018 06:00:00.000000,15.0,5.4
03/01/2018 07:00:00.000000,23.0,5.4
03/01/2018 08:00:00.000000,25.0,5.8
03/01/2018 09:00:00.000000,38.0,6.2
03/01/2018 10:00:00.000000,43.0,7.0
03/01/2018 11:00:00.000000,47.0,8.9
03/01/2018 12:00:00.000000,54.0,11.2
03/01/2018 13:00:00.000000,47.0,11.7
03/01/2018 14:00:00.000000,48.0,12.8
03/01/2018 15:00:00.000000,45.0,13.0
03/01/2018 16:00:00.000000,39.0,13.6
03/01/2018 17:00:00.000000,39.0,13.6
03/01/2018 18:00:00.000000,40.0,15.5
03/01/2018 19:00:00.000000,30.0,15.2
03/01/2018 20:00:00.000000,19.0,12.3
03/01/2018 21:00:00.000000,9.0,9.0
03/01/2018 22:00:00.000000,30.0,9.1
03/01/2018 23:00:00.000000,39.0,11.9
03/02/2018 00:00:00.000000,47.0,14.2
03/02/2018 01:00:00.000000,52.0,16.3
03/02/2018 02:00:00.000000,53.0,17.8
03/02/2018 03:00:00.000000,56.0,19.6
03/02/2018 04:00:00.000000,61.0,22.5
03/02/2018 05:00:00.000000,,21.4
03/02/2018 06:00:00.000000,51.0,18.6
03/02/2018 07:00:00.000000,52.0,17.3
03/02/2018 08:00:00.000000,46.0,14.9
03/02/2018 09:00:00.000000,48.0,14.9
03/02/2018 10:00:00.000000,48.0,10.7
03/02/2018 11:00:00.000000,51.0,9.8
03/02/2018 12:00:00.000000,54.0,10.0
03/02/2018 13:00:00.000000,69.0,13.5
03/02/2018 14:00:00.000000,68.0,17.1
03/02/2018 15:00:00.000000,33.0,13.1
03/02/2018 16:00:00.000000,21.0,10.6
03/02/2018 17:00:00.000000,16.0,7.9
03/02/2018 18:00:00.000000,17.0,6.4
03/02/2018 19:00:00.000000,26.0,5.8
03/02/2018 20:00:00.000000,29.0,5.8
03/02/2018 21:00:00.000000,31.0,5.5
03/02/2018 22:00:00.000000,26.0,5.0
03/02/2018 23:00:00.000000,26.0,4.9
03/03/2018 00:00:00.000000,31.0,5.2
03/03/2018 01:00:00.000000,36.0,5.6
03/03/2018 02:00:00.000000,48.0,6.6
03/03/2018 03:00:00.000000,45.0,6.8
03/03/2018 04:00:00.000000,45.0,8.2
03/03/2018 05:00:00.000000,,7.0
03/03/2018 06:00:00.000000,39.0,5.8
03/03/2018 07:00:00.000000,28.0,4.6
03/03/2018 08:00:00.000000,17.0,3.5
03/03/2018 09:00:00.000000,13.0,3.5
03/03/2018 10:00:00.000000,15.0,2.6
03/03/2018 11:00:00.000000,18.0,2.6
