InstrumentName, Swansea (DEH) B,,
StartTime, 2018-03-01 00:00:00,,
EndTime, 2018-03-31 23:59:59,,
Date,PM2.5,humidity,temp_f
03/01/2018 00:02:18.496666,5.88,100.0,-221.0
03/01/2018 00:04:58.623333,5.13,100.0,-221.0
03/01/2018 00:10:25.423333,4.69,100.0,-221.0
03/01/2018 00:14:25.410000,5.0,100.0,-221.0
03/01/2018 00:16:51.636666,0.0,100.0,-221.0
03/01/2018 00:19:31.596666,3.67,100.0,-221.0
03/01/2018 00:23:31.713333,4.21,100.0,-221.0
03/01/2018 00:26:11.796666,4.94,100.0,-221.0
03/01/2018 00:28:51.783333,2.88,100.0,-221.0
03/01/2018 00:31:32.086666,3.33,100.0,-221.0
03/01/2018 00:35:31.723333,4.53,100.0,-221.0
03/01/2018 00:38:11.626666,4.64,100.0,-221.0
03/01/2018 00:40:51.626666,4.47,100.0,-221.0
03/01/2018 00:43:37.660000,2.28,100.0,-221.0
03/01/2018 00:46:11.903333,1.5,100.0,-221.0
03/01/2018 00:50:11.626666,3.03,100.0,-221.0
03/01/2018 00:52:52.066666,1.86,100.0,-221.0
03/01/2018 00:55:31.626666,4.3,100.0,-221.0
03/01/2018 00:59:31.930000,3.67,100.0,-221.0
03/01/2018 01:02:11.936666,4.61,100.0,-221.0
03/01/2018 01:04:51.630000,8.08,100.0,-221.0
03/01/2018 01:07:31.636666,2.92,100.0,-221.0
03/01/2018 01:11:31.853333,1.35,100.0,-221.0
03/01/2018 01:14:11.683333,1.55,100.0,-221.0
03/01/2018 01:16:51.706666,1.2,100.0,-221.0
03/01/2018 01:19:31.726666,2.28,100.0,-221.0
03/01/2018 01:23:31.806666,3.0,100.0,-221.0
03/01/2018 01:24:51.650000,2.46,100.0,-221.0
03/01/2018 01:28:51.663333,3.19,100.0,-221.0
03/01/2018 01:31:31.730000,2.25,100.0,-221.0
03/01/2018 01:35:31.676666,4.87,100.0,-221.0
03/01/2018 01:38:11.646666,4.09,100.0,-221.0
03/01/2018 01:40:51.836666,5.37,100.0,-221.0
03/01/2018 01:42:11.903333,4.35,100.0,-221.0
03/01/2018 02:52:58.210000,4.45,100.0,-221.0
03/01/2018 02:55:38.100000,3.85,100.0,-221.0
03/01/2018 02:58:18.180000,4.68,100.0,-221.0
03/01/2018 03:02:18.056666,2.74,100.0,-221.0
03/01/2018 03:04:58.116666,4.77,100.0,-221.0
03/01/2018 03:08:58.336666,4.0,100.0,-221.0
03/01/2018 03:10:18.126666,4.67,100.0,-221.0
03/01/2018 03:14:18.070000,4.11,100.0,-221.0
03/01/2018 03:16:58.123333,4.47,100.0,-221.0
03/01/2018 03:19:38.213333,4.18,100.0,-221.0
03/01/2018 03:22:18.246666,4.76,100.0,-221.0
03/01/2018 03:26:18.183333,4.57,100.0,-221.0
03/01/2018 03:28:58.610000,4.72,100.0,-221.0
03/01/2018 03:31:38.026666,4.8,100.0,-221.0
