InstrumentName, Lake Arbot B,,
StartTime, 2018-03-01 00:00:00,,
EndTime, 2018-03-31 23:59:59,,
Date,PM2.5,humidity,temp_f
03/01/2018 00:02:18.160000,6.43,21.0,55.0
03/01/2018 00:04:58.140000,5.21,21.0,55.0
03/01/2018 00:07:38.136666,5.19,21.0,55.0
03/01/2018 00:11:38.110000,5.93,21.0,54.0
03/01/2018 00:14:18.186666,5.51,21.0,55.0
03/01/2018 00:16:58.110000,6.2,22.0,54.0
03/01/2018 00:19:38.100000,5.49,22.0,54.0
03/01/2018 00:23:38.140000,5.26,22.0,54.0
03/01/2018 00:26:18.163333,5.7,23.0,54.0
03/01/2018 00:28:58.120000,5.93,23.0,53.0
03/01/2018 00:31:38.200000,5.44,23.0,53.0
03/01/2018 00:35:38.146666,6.4,23.0,53.0
03/01/2018 00:38:18.120000,6.02,23.0,53.0
03/01/2018 00:40:58.110000,5.55,23.0,53.0
03/01/2018 00:43:38.116666,5.45,23.0,53.0
03/01/2018 00:47:38.140000,5.75,24.0,53.0
03/01/2018 00:50:18.160000,6.05,26.0,53.0
03/01/2018 00:52:58.316666,7.19,28.0,53.0
03/01/2018 00:55:38.196666,6.47,29.0,53.0
03/01/2018 00:59:38.166666,5.56,28.0,53.0
03/01/2018 01:02:18.266666,5.47,27.0,52.0
03/01/2018 01:04:58.256666,6.19,27.0,52.0
03/01/2018 01:07:38.343333,6.0,28.0,52.0
03/01/2018 01:11:38.136666,6.28,28.0,52.0
03/01/2018 01:14:18.223333,5.6,28.0,52.0
03/01/2018 01:16:58.326666,5.43,28.0,52.0
03/01/2018 01:19:38.143333,5.88,28.0,52.0
03/01/2018 01:23:38.286666,6.26,27.0,52.0
03/01/2018 01:26:18.256666,5.52,27.0,52.0
03/01/2018 01:28:58.176666,5.29,27.0,52.0
03/01/2018 01:31:38.243333,5.36,27.0,52.0
03/01/2018 01:35:38.196666,5.93,27.0,52.0
03/01/2018 01:38:19.156666,5.9,27.0,51.0
03/01/2018 01:40:58.413333,6.76,27.0,51.0
03/01/2018 01:43:38.310000,6.44,28.0,51.0
03/01/2018 02:52:58.453333,5.05,26.0,50.0
03/01/2018 02:55:38.326666,4.71,26.0,50.0
03/01/2018 02:59:38.410000,4.67,27.0,49.0
03/01/2018 03:02:18.340000,3.93,27.0,49.0
03/01/2018 03:04:58.280000,4.02,27.0,49.0
03/01/2018 03:08:58.610000,4.21,27.0,49.0
03/01/2018 03:11:38.413333,4.26,27.0,49.0
03/01/2018 03:14:18.510000,4.02,27.0,49.0
03/01/2018 03:16:58.296666,4.36,28.0,49.0
03/01/2018 03:19:38.330000,4.21,28.0,49.0
03/01/2018 03:23:38.503333,4.32,28.0,49.0
03/01/2018 03:26:18.313333,3.97,28.0,49.0
03/01/2018 03:28:58.433333,4.47,28.0,48.0
03/01/2018 03:31:38.286666,3.81,28.0,48.0
03/01/2018 03:35:38.326666,3.8,28.0,48.0
