InstrumentName, Melody-Catalpa B,,
StartTime, 2018-03-01 00:00:00,,
EndTime, 2018-03-31 23:59:59,,
Date,PM2.5,humidity,temp_f
03/01/2018 00:02:35.216666,6.31,30.0,50.0
03/01/2018 00:05:15.190000,6.98,30.0,50.0
03/01/2018 00:07:55.210000,6.39,30.0,50.0
03/01/2018 00:10:35.323333,8.58,31.0,50.0
03/01/2018 00:14:35.223333,7.7,31.0,50.0
03/01/2018 00:17:15.270000,6.07,31.0,50.0
03/01/2018 00:19:55.333333,6.4,31.0,50.0
03/01/2018 00:22:35.216666,7.69,31.0,50.0
03/01/2018 00:26:35.223333,6.53,31.0,50.0
03/01/2018 00:29:15.240000,7.73,32.0,49.0
03/01/2018 00:31:55.376666,5.88,33.0,49.0
03/01/2018 00:34:35.230000,5.0,34.0,48.0
03/01/2018 00:38:35.210000,4.59,35.0,48.0
03/01/2018 00:41:15.400000,4.74,35.0,47.0
03/01/2018 00:43:55.366666,8.42,36.0,47.0
03/01/2018 00:46:35.233333,4.7,36.0,47.0
03/01/2018 00:50:35.233333,5.27,37.0,47.0
03/01/2018 00:53:15.250000,6.91,38.0,46.0
03/01/2018 00:55:55.230000,6.72,38.0,46.0
03/01/2018 00:58:35.240000,5.33,38.0,46.0
03/01/2018 01:02:35.240000,5.4,39.0,46.0
03/01/2018 01:05:15.233333,5.64,39.0,46.0
03/01/2018 01:07:55.250000,5.93,40.0,46.0
03/01/2018 01:10:35.250000,8.07,40.0,46.0
03/01/2018 01:14:35.410000,4.49,39.0,46.0
03/01/2018 01:17:15.346666,5.51,39.0,45.0
03/01/2018 01:19:55.256666,4.72,39.0,45.0
03/01/2018 01:22:35.343333,7.4,40.0,46.0
03/01/2018 01:26:35.326666,5.88,39.0,46.0
03/01/2018 01:29:15.360000,5.43,39.0,45.0
03/01/2018 01:31:55.350000,5.12,39.0,45.0
03/01/2018 01:34:35.280000,5.24,39.0,46.0
03/01/2018 01:38:35.430000,5.77,38.0,46.0
03/01/2018 01:41:15.336666,5.23,39.0,46.0
03/01/2018 01:43:55.276666,5.19,38.0,45.0
03/01/2018 02:53:15.350000,5.35,42.0,44.0
03/01/2018 02:55:55.423333,6.14,42.0,44.0
03/01/2018 02:58:35.353333,5.53,42.0,44.0
03/01/2018 03:02:35.516666,4.7,42.0,44.0
03/01/2018 03:05:15.380000,6.63,42.0,44.0
03/01/2018 03:07:55.370000,6.37,42.0,44.0
03/01/2018 03:10:35.366666,6.58,42.0,44.0
03/01/2018 03:14:35.406666,7.64,42.0,43.0
03/01/2018 03:17:15.356666,6.16,42.0,44.0
03/01/2018 03:19:55.426666,7.14,43.0,44.0
03/01/2018 03:22:35.426666,7.37,42.0,44.0
03/01/2018 03:26:35.533333,6.73,42.0,44.0
03/01/2018 03:29:15.380000,6.98,42.0,44.0
03/01/2018 03:31:55.426666,6.98,42.0,44.0
03/01/2018 03:34:35.696666,5.53,42.0,44.0
