InstrumentName, Construction Dust Monitor (A) [Sensor B],,,,
StartTime, 2018-03-01 00:00:00,,,,
EndTime, 2018-03-31 23:59:59,,,,
Date,PM1.0,PM10.0,PM2.5,humidity,temp_f
03/02/2018 19:52:09.000000,0.42,0.38,0.14,,
03/02/2018 19:58:44.000000,0.28,0.49,0.72,,
03/02/2018 20:00:05.000000,0.28,0.07,0.07,,
03/02/2018 20:08:01.000000,0.16,0.13,0.13,,
03/02/2018 20:13:33.000000,0.26,0.28,0.26,,
03/02/2018 20:20:04.000000,0.0,0.38,0.25,,
03/02/2018 20:21:24.000000,0.0,0.38,0.25,,
03/02/2018 20:25:26.000000,4.53,6.28,5.88,,
03/02/2018 20:31:57.000000,0.18,0.13,0.13,,
03/02/2018 20:34:37.000000,0.18,0.13,0.13,,
03/02/2018 20:37:17.000000,0.18,0.02,0.02,,
03/02/2018 20:43:53.000000,1.65,2.15,2.09,,
03/02/2018 20:50:30.000000,0.24,0.85,0.11,,
03/02/2018 20:53:10.000000,0.24,0.85,0.11,,
03/02/2018 20:55:50.000000,0.29,0.66,0.66,,
03/02/2018 21:02:27.000000,0.2,0.73,0.73,,
03/02/2018 21:11:44.000000,0.0,0.27,0.27,,
03/02/2018 21:14:24.000000,0.72,1.14,0.95,,
03/02/2018 21:17:04.000000,1.31,1.71,1.64,,
03/02/2018 21:19:44.000000,1.31,0.19,1.64,,
03/02/2018 21:21:04.000000,1.31,0.51,1.64,,
03/02/2018 21:27:41.000000,0.33,0.07,0.07,,
03/02/2018 21:34:17.000000,0.18,0.18,0.18,,
03/02/2018 21:40:54.000000,0.19,0.4,0.23,,
03/02/2018 21:43:34.000000,0.19,0.29,0.07,,
03/02/2018 21:47:34.000000,0.1,0.24,0.24,,
03/02/2018 21:54:10.000000,0.59,0.65,0.65,,
03/02/2018 22:02:07.000000,0.18,0.07,0.07,,
03/02/2018 22:08:44.000000,1.24,1.56,1.56,,
03/02/2018 22:16:41.000000,0.15,0.48,0.48,,
03/02/2018 22:23:18.000000,1.05,1.26,1.26,,
03/02/2018 22:24:38.000000,1.05,0.02,0.02,,
03/02/2018 22:32:35.000000,0.04,0.15,0.18,,
03/02/2018 22:35:14.000000,0.04,0.39,0.18,,
03/05/2018 15:14:27.000000,0.0,0.73,0.73,,
03/05/2018 15:17:07.000000,0.15,0.27,0.27,,
03/05/2018 15:19:44.000000,1.25,2.25,2.25,,
03/05/2018 15:23:40.000000,0.75,0.2,0.15,,
03/05/2018 15:26:22.000000,0.75,0.5,0.15,,
03/05/2018 15:29:00.000000,0.75,0.5,0.15,,
03/05/2018 15:35:40.000000,0.75,0.5,0.15,,
03/05/2018 15:38:20.000000,0.75,0.1,0.15,,
03/05/2018 15:41:00.000000,0.75,0.1,0.15,,
03/05/2018 15:43:40.000000,0.75,0.1,0.15,,
03/05/2018 15:47:40.000000,0.75,0.1,0.15,,
03/05/2018 15:50:20.000000,0.75,0.1,0.15,,
03/05/2018 15:51:40.000000,0.75,0.1,0.15,,
03/05/2018 15:55:37.000000,0.75,3.5,3.25,,
03/05/2018 15:58:19.000000,0.75,3.5,3.25,,
03/05/2018 16:00:53.000000,0.75,2.25,2.25,,
03/05/2018 16:03:30.000000,1.75,2.25,2.25,,
03/05/2018 16:07:27.000000,0.75,2.75,2.75,,
03/05/2018 16:10:06.000000,1.5,3.5,3.5,,
03/06/2018 14:31:41.000000,0.0,1.64,1.64,,
03/06/2018 14:33:08.000000,0.76,1.48,1.38,,
03/06/2018 14:40:58.000000,1.0,1.47,1.32,,
03/06/2018 14:43:38.000000,0.77,0.84,0.84,,
03/06/2018 14:46:18.000000,0.16,0.51,0.51,,
03/06/2018 14:52:56.000000,0.92,1.32,1.32,,
03/06/2018 14:59:31.000000,0.11,0.39,0.39,,
03/06/2018 15:02:11.000000,0.52,0.55,0.14,,
03/06/2018 15:04:51.000000,0.12,0.24,0.24,,
03/06/2018 15:06:11.000000,0.24,0.27,0.27,,
03/06/2018 15:14:09.000000,0.37,0.49,0.49,,
03/06/2018 15:20:46.000000,0.2,0.22,0.09,,
03/06/2018 15:23:24.000000,0.26,0.33,0.33,,
03/06/2018 15:26:05.000000,0.07,0.4,0.4,,
03/06/2018 15:27:24.000000,0.52,0.72,0.72,,
03/06/2018 15:35:21.000000,0.02,0.74,0.5,,
03/06/2018 15:38:00.000000,0.02,0.28,0.5,,
03/06/2018 15:39:21.000000,0.33,0.67,0.67,,
