InstrumentName, Lake Arbot,,
StartTime, 2018-03-01 00:00:00,,
EndTime, 2018-03-31 23:59:59,,
Date,PM2.5,humidity,temp_f
03/01/2018 00:01:48.190000,6.21,21.0,55.0
03/01/2018 00:04:28.120000,5.66,21.0,55.0
03/01/2018 00:08:28.200000,6.07,21.0,55.0
03/01/2018 00:11:08.193333,6.0,21.0,54.0
03/01/2018 00:13:48.153333,5.85,21.0,55.0
03/01/2018 00:16:28.086666,6.24,22.0,54.0
03/01/2018 00:20:28.230000,5.88,22.0,54.0
03/01/2018 00:23:08.146666,6.17,22.0,54.0
03/01/2018 00:25:48.150000,5.76,23.0,54.0
03/01/2018 00:28:28.246666,5.49,23.0,53.0
03/01/2018 00:32:28.210000,6.12,23.0,53.0
03/01/2018 00:35:08.200000,7.05,23.0,53.0
03/01/2018 00:37:48.303333,6.1,23.0,53.0
03/01/2018 00:40:28.156666,5.93,23.0,53.0
03/01/2018 00:44:28.143333,5.75,23.0,53.0
03/01/2018 00:47:08.136666,6.1,24.0,53.0
03/01/2018 00:49:48.286666,5.98,25.0,53.0
03/01/2018 00:52:28.156666,7.07,27.0,53.0
03/01/2018 00:56:28.226666,6.76,28.0,53.0
03/01/2018 00:59:08.476666,6.36,27.0,53.0
03/01/2018 01:01:48.220000,6.2,27.0,52.0
03/01/2018 01:04:28.323333,6.8,27.0,52.0
03/01/2018 01:08:28.226666,5.93,28.0,52.0
03/01/2018 01:11:08.223333,5.9,28.0,52.0
03/01/2018 01:13:48.313333,6.05,28.0,52.0
03/01/2018 01:16:28.216666,6.45,28.0,52.0
03/01/2018 01:20:28.510000,5.9,28.0,52.0
03/01/2018 01:23:08.296666,5.55,27.0,52.0
03/01/2018 01:25:48.230000,5.85,27.0,52.0
03/01/2018 01:28:28.226666,5.79,27.0,52.0
03/01/2018 01:32:28.196666,5.02,27.0,52.0
03/01/2018 01:35:08.330000,6.53,27.0,52.0
03/01/2018 01:37:48.226666,5.78,27.0,52.0
03/01/2018 01:40:28.196666,5.98,27.0,51.0
03/01/2018 01:44:28.283333,6.32,28.0,51.0
03/01/2018 02:52:28.253333,5.07,26.0,50.0
03/01/2018 02:56:28.443333,4.62,26.0,50.0
03/01/2018 02:59:08.333333,4.93,27.0,49.0
03/01/2018 03:01:48.413333,4.56,27.0,49.0
03/01/2018 03:04:28.413333,4.83,27.0,49.0
03/01/2018 03:08:28.296666,4.48,27.0,49.0
03/01/2018 03:11:08.240000,4.18,27.0,49.0
03/01/2018 03:13:48.510000,3.88,27.0,49.0
03/01/2018 03:16:28.460000,4.85,28.0,49.0
03/01/2018 03:20:28.313333,4.02,28.0,49.0
03/01/2018 03:23:08.510000,5.02,28.0,49.0
03/01/2018 03:25:48.790000,4.15,28.0,49.0
03/01/2018 03:28:28.283333,4.02,28.0,49.0
03/01/2018 03:32:28.403333,4.15,28.0,48.0
03/01/2018 03:35:08.243333,4.75,28.0,48.0
