InstrumentName, Thornton B,,
StartTime, 2018-03-01 00:00:00,,
EndTime, 2018-03-31 23:59:59,,
Date,PM2.5,humidity,temp_f
03/01/2018 00:02:03.923333,33.62,31.0,50.0
03/01/2018 00:04:44.210000,32.85,31.0,48.0
03/01/2018 00:08:44.110000,33.67,32.0,49.0
03/01/2018 00:11:23.930000,36.15,32.0,49.0
03/01/2018 00:14:03.943333,39.74,32.0,49.0
03/01/2018 00:16:44.006666,40.13,32.0,49.0
03/01/2018 00:20:44.113333,40.04,32.0,49.0
03/01/2018 00:23:24.156666,39.7,32.0,49.0
03/01/2018 00:26:03.980000,38.53,32.0,49.0
03/01/2018 00:28:44.260000,36.0,33.0,49.0
03/01/2018 00:32:44.010000,38.85,32.0,49.0
03/01/2018 00:35:23.976666,37.11,32.0,49.0
03/01/2018 00:38:04.330000,36.24,32.0,49.0
03/01/2018 00:40:44.016666,38.96,33.0,48.0
03/01/2018 00:44:43.966666,39.76,34.0,47.0
03/01/2018 00:47:24.066666,44.02,34.0,46.0
03/01/2018 00:50:04.483333,38.4,35.0,46.0
03/01/2018 00:52:44.206666,30.7,35.0,45.0
03/01/2018 00:56:43.973333,32.16,35.0,45.0
03/01/2018 00:59:24.270000,31.68,35.0,45.0
03/01/2018 01:02:04.060000,34.06,35.0,45.0
03/01/2018 01:04:44.016666,39.62,36.0,46.0
03/01/2018 01:08:44.133333,59.83,36.0,45.0
03/01/2018 01:11:24.086666,57.68,36.0,45.0
03/01/2018 01:14:03.963333,41.53,36.0,45.0
03/01/2018 01:16:44.026666,67.28,37.0,45.0
03/01/2018 01:20:44.096666,67.74,36.0,45.0
03/01/2018 01:23:24.463333,78.22,36.0,44.0
03/01/2018 01:26:04.026666,71.06,36.0,44.0
03/01/2018 01:28:44.036666,50.28,36.0,44.0
03/01/2018 01:32:44.023333,70.46,37.0,44.0
03/01/2018 01:35:24.040000,47.13,36.0,45.0
03/01/2018 01:38:04.016666,53.87,37.0,45.0
03/01/2018 01:40:44.033333,51.02,37.0,44.0
03/01/2018 01:44:44.030000,48.83,37.0,44.0
03/01/2018 02:52:44.023333,40.81,37.0,45.0
03/01/2018 02:56:44.390000,52.38,37.0,46.0
03/01/2018 02:59:24.003333,48.46,36.0,44.0
03/01/2018 03:02:04.036666,43.23,37.0,44.0
03/01/2018 03:04:44.046666,45.3,37.0,43.0
03/01/2018 03:08:44.020000,52.37,38.0,43.0
03/01/2018 03:11:24.063333,68.49,39.0,42.0
03/01/2018 03:14:04.010000,49.66,39.0,42.0
03/01/2018 03:16:44.023333,48.07,39.0,43.0
03/01/2018 03:20:44.083333,50.96,39.0,42.0
03/01/2018 03:23:24.043333,45.57,40.0,42.0
03/01/2018 03:26:04.016666,52.49,40.0,42.0
03/01/2018 03:28:44.106666,69.02,40.0,42.0
03/01/2018 03:32:44.820000,109.33,40.0,42.0
03/01/2018 03:35:24.713333,144.96,41.0,42.0
