InstrumentName, Construction Dust Monitor (B) [Sensor B],,,,
StartTime, 2018-03-01 00:00:00,,,,
EndTime, 2018-03-31 23:59:59,,,,
Date,PM1.0,PM10.0,PM2.5,humidity,temp_f
03/06/2018 14:44:25.000000,0.41,1.33,0.77,,
03/06/2018 14:47:06.000000,0.48,1.1,1.1,,
03/06/2018 14:49:47.000000,0.17,0.43,0.43,,
03/06/2018 14:53:46.000000,0.49,1.0,0.72,,
03/06/2018 14:56:26.000000,0.22,0.71,0.49,,
03/06/2018 14:59:06.000000,0.83,0.67,0.59,,
03/06/2018 15:00:26.000000,0.08,0.79,0.58,,
03/06/2018 15:05:45.000000,0.15,1.28,0.64,,
03/06/2018 15:08:28.000000,0.3,0.92,0.64,,
03/06/2018 15:11:06.000000,0.31,0.45,0.38,,
03/06/2018 15:13:46.000000,0.79,2.1,1.82,,
03/06/2018 15:16:28.000000,0.55,0.86,0.76,,
03/06/2018 15:20:26.000000,0.18,0.37,0.37,,
03/06/2018 15:23:05.000000,0.18,0.11,0.11,,
03/06/2018 15:25:46.000000,0.18,0.32,0.32,,
03/06/2018 15:29:48.000000,10.03,15.43,12.92,,
03/06/2018 15:32:26.000000,0.49,0.74,0.53,,
03/06/2018 15:35:06.000000,0.49,0.6,0.37,,
03/06/2018 15:37:45.000000,0.06,0.61,0.61,,
03/06/2018 15:41:50.000000,0.32,1.63,1.0,,
03/06/2018 15:44:26.000000,0.22,0.83,0.58,,
03/06/2018 15:47:09.000000,0.47,0.97,0.81,,
03/06/2018 15:49:46.000000,0.57,1.03,1.0,,
03/06/2018 15:53:46.000000,0.29,0.85,0.59,,
03/06/2018 15:56:26.000000,0.22,1.0,0.68,,
03/06/2018 15:59:06.000000,0.12,0.67,0.33,,
03/06/2018 16:01:46.000000,0.36,1.24,1.0,,
03/06/2018 16:05:46.000000,0.5,2.02,1.24,,
03/06/2018 16:08:26.000000,0.89,1.26,1.26,,
03/06/2018 16:11:06.000000,0.52,1.98,1.0,,
03/06/2018 16:13:48.000000,0.46,1.56,0.9,,
03/06/2018 16:17:46.000000,0.45,1.61,1.29,,
03/06/2018 16:20:26.000000,0.95,1.9,1.07,,
03/06/2018 16:23:06.000000,0.76,1.95,1.31,,
03/06/2018 16:25:46.000000,1.0,2.33,1.79,,
03/06/2018 16:29:46.000000,0.76,1.37,0.97,,
03/06/2018 16:31:08.000000,0.71,1.62,1.24,,
03/07/2018 18:01:53.000000,3.55,4.37,3.92,,
03/07/2018 18:04:34.000000,7.1,13.62,10.38,,
03/07/2018 18:08:33.000000,5.0,7.43,6.26,,
03/07/2018 18:11:13.000000,5.43,7.1,6.57,,
03/07/2018 18:13:53.000000,4.83,7.21,6.17,,
03/07/2018 18:16:33.000000,4.98,6.15,5.98,,
03/07/2018 18:20:33.000000,4.76,6.4,5.67,,
03/07/2018 18:23:13.000000,4.6,5.71,5.43,,
