InstrumentName, 26th and Williams B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/13/2018 15:17:04.933333,27.56,81.0,27.0
02/13/2018 15:19:44.810000,31.83,80.0,28.0
02/13/2018 15:23:44.856666,32.27,79.0,31.0
02/13/2018 15:26:24.986666,31.02,77.0,32.0
02/13/2018 15:29:04.856666,27.57,75.0,33.0
02/13/2018 15:31:44.863333,28.54,74.0,34.0
02/13/2018 15:35:44.926666,28.5,70.0,35.0
02/13/2018 15:38:24.826666,26.83,68.0,36.0
02/13/2018 15:41:04.860000,25.93,66.0,37.0
02/13/2018 15:43:44.866666,25.07,65.0,37.0
02/13/2018 15:47:44.946666,22.76,63.0,38.0
02/13/2018 15:50:24.956666,18.86,62.0,39.0
02/13/2018 15:53:04.843333,21.16,61.0,39.0
02/13/2018 15:55:44.966666,19.22,60.0,40.0
02/13/2018 15:59:44.986666,20.14,58.0,40.0
02/13/2018 16:02:24.966666,20.17,57.0,40.0
02/13/2018 16:05:04.970000,20.56,57.0,41.0
02/13/2018 16:07:44.883333,19.83,56.0,41.0
02/13/2018 16:11:45.006666,19.93,55.0,42.0
02/13/2018 16:14:24.886666,18.36,54.0,42.0
02/13/2018 16:17:04.966666,17.05,54.0,42.0
02/13/2018 16:19:44.976666,16.28,53.0,43.0
02/13/2018 16:23:44.950000,16.34,52.0,43.0
02/13/2018 16:26:24.940000,17.44,52.0,43.0
02/13/2018 16:29:04.980000,15.19,51.0,44.0
02/13/2018 16:31:45.066666,16.02,51.0,44.0
02/13/2018 16:34:25.063333,17.07,50.0,44.0
02/13/2018 16:37:05.086666,18.21,50.0,44.0
02/13/2018 16:41:04.883333,15.79,49.0,45.0
02/13/2018 16:43:44.880000,15.29,48.0,45.0
02/13/2018 16:46:24.886666,14.84,48.0,45.0
02/13/2018 16:49:05.073333,15.08,48.0,46.0
02/13/2018 16:53:05.053333,15.1,47.0,46.0
02/13/2018 16:55:44.926666,15.17,47.0,46.0
02/13/2018 16:58:25.103333,15.6,46.0,46.0
02/13/2018 17:01:05.070000,15.49,46.0,47.0
02/13/2018 17:05:04.990000,14.98,45.0,47.0
02/13/2018 17:07:44.996666,15.07,45.0,47.0
02/13/2018 17:11:45.080000,13.39,44.0,47.0
02/13/2018 17:13:05.080000,13.5,44.0,48.0
02/13/2018 17:17:05.003333,14.49,44.0,48.0
02/13/2018 17:23:44.980000,11.46,42.0,49.0
02/13/2018 17:25:05.053333,11.98,42.0,49.0
02/13/2018 17:29:05.006666,12.85,42.0,49.0
02/13/2018 17:31:45.036666,11.0,41.0,49.0
02/13/2018 17:35:44.956666,9.61,41.0,50.0
02/13/2018 17:38:25.103333,10.84,40.0,50.0
02/13/2018 17:41:05.013333,10.02,40.0,50.0
02/13/2018 17:43:45.000000,8.77,40.0,51.0
02/13/2018 17:46:25.083333,7.68,39.0,51.0
02/13/2018 17:50:24.966666,7.97,39.0,51.0
02/13/2018 17:53:04.960000,8.45,38.0,52.0
02/13/2018 17:55:44.963333,8.27,38.0,52.0
02/13/2018 17:58:25.086666,10.67,38.0,52.0
02/13/2018 18:02:25.003333,10.23,37.0,52.0
02/13/2018 18:05:05.050000,11.0,37.0,52.0
02/13/2018 18:07:45.000000,11.77,37.0,53.0
02/13/2018 18:10:24.976666,10.68,36.0,53.0
02/13/2018 18:14:24.993333,10.48,36.0,53.0
02/13/2018 18:17:05.160000,10.57,36.0,53.0
02/13/2018 18:19:44.986666,10.29,35.0,53.0
02/13/2018 18:22:24.996666,11.02,35.0,53.0
02/13/2018 18:26:25.066666,11.71,35.0,54.0
02/13/2018 18:29:05.053333,9.6,34.0,54.0
02/13/2018 18:31:45.200000,10.23,34.0,54.0
02/13/2018 18:34:25.163333,8.45,35.0,55.0
02/13/2018 18:38:25.220000,8.58,34.0,55.0
02/13/2018 18:41:05.026666,13.9,35.0,54.0
02/13/2018 18:43:45.160000,16.59,34.0,54.0
02/13/2018 18:47:45.066666,16.28,34.0,54.0
02/13/2018 18:50:25.126666,15.12,34.0,54.0
02/13/2018 18:53:05.030000,15.48,35.0,54.0
02/13/2018 18:55:45.060000,13.74,34.0,54.0
02/13/2018 18:59:45.046666,14.9,34.0,54.0
02/13/2018 19:02:25.110000,14.52,34.0,55.0
02/13/2018 19:05:05.093333,16.64,33.0,55.0
02/13/2018 19:07:45.223333,14.24,33.0,55.0
02/13/2018 19:10:25.273333,13.69,33.0,56.0
02/13/2018 19:14:25.223333,9.98,32.0,56.0
02/13/2018 19:17:05.066666,9.0,32.0,57.0
02/13/2018 19:19:45.136666,10.91,32.0,57.0
02/13/2018 19:23:45.050000,10.63,32.0,58.0
02/13/2018 19:26:25.290000,9.45,31.0,58.0
02/13/2018 19:29:05.083333,9.34,31.0,58.0
02/13/2018 19:31:45.066666,9.05,30.0,58.0
02/13/2018 19:35:45.176666,8.1,30.0,59.0
02/13/2018 19:38:25.236666,7.29,29.0,59.0
02/13/2018 19:41:05.223333,7.08,29.0,59.0
02/13/2018 19:43:45.176666,7.51,29.0,59.0
02/13/2018 19:46:25.170000,5.64,28.0,60.0
02/13/2018 19:49:05.193333,2.87,26.0,60.0
02/13/2018 19:53:05.420000,2.79,25.0,60.0
02/13/2018 19:57:05.126666,2.19,24.0,61.0
02/13/2018 19:59:45.216666,2.44,24.0,61.0
02/13/2018 20:02:25.143333,3.86,23.0,61.0
02/13/2018 20:05:05.286666,0.95,22.0,61.0
02/13/2018 20:07:45.113333,0.82,22.0,61.0
02/13/2018 20:10:25.133333,0.64,21.0,62.0
02/13/2018 20:14:25.130000,0.95,21.0,62.0
02/13/2018 20:17:05.183333,0.97,21.0,62.0
02/13/2018 20:19:45.150000,0.21,20.0,62.0
02/13/2018 20:22:25.126666,0.18,20.0,63.0
02/13/2018 20:25:05.246666,0.43,20.0,62.0
02/13/2018 20:29:05.146666,0.31,20.0,63.0
02/13/2018 20:31:45.143333,1.17,21.0,63.0
02/13/2018 20:34:25.263333,0.58,20.0,63.0
02/13/2018 20:37:05.166666,0.71,20.0,64.0
02/13/2018 20:41:05.243333,1.37,21.0,64.0
02/13/2018 20:43:45.193333,0.84,21.0,64.0
02/13/2018 20:46:25.873333,1.51,21.0,64.0
02/13/2018 20:49:05.206666,0.98,20.0,65.0
02/13/2018 20:53:05.166666,0.46,20.0,65.0
02/13/2018 20:55:45.173333,0.54,20.0,65.0
02/13/2018 20:58:25.176666,0.97,19.0,65.0
02/13/2018 21:01:05.356666,1.14,19.0,65.0
02/13/2018 21:05:05.353333,0.5,19.0,66.0
02/13/2018 21:07:45.190000,1.03,19.0,66.0
02/13/2018 21:10:25.316666,2.0,19.0,66.0
02/13/2018 21:14:25.263333,1.22,19.0,66.0
02/13/2018 21:17:05.203333,1.03,19.0,67.0
02/13/2018 21:19:51.403333,1.22,18.0,67.0
02/13/2018 21:22:25.223333,1.53,18.0,67.0
02/13/2018 21:26:25.220000,0.3,18.0,67.0
02/13/2018 21:29:05.233333,1.0,18.0,68.0
02/13/2018 21:31:45.223333,1.38,18.0,68.0
02/13/2018 21:34:25.300000,1.86,18.0,68.0
02/13/2018 21:38:25.296666,1.79,18.0,68.0
02/13/2018 21:41:05.296666,1.85,18.0,69.0
02/13/2018 21:43:45.323333,1.41,17.0,69.0
02/13/2018 21:46:25.303333,1.69,17.0,69.0
02/13/2018 21:50:25.563333,1.09,17.0,69.0
02/13/2018 21:53:05.266666,1.56,17.0,69.0
02/13/2018 21:55:45.393333,1.29,17.0,70.0
02/13/2018 21:59:45.263333,1.34,17.0,69.0
02/13/2018 22:02:25.270000,1.19,17.0,70.0
02/13/2018 22:05:05.246666,1.29,17.0,70.0
02/13/2018 22:07:45.260000,1.05,17.0,70.0
02/13/2018 22:10:31.166666,1.14,17.0,70.0
02/13/2018 22:14:25.410000,1.5,17.0,70.0
02/13/2018 22:17:05.370000,1.0,16.0,69.0
02/13/2018 22:19:45.353333,0.82,17.0,69.0
02/13/2018 22:22:25.340000,0.83,17.0,69.0
02/13/2018 22:26:25.290000,1.47,17.0,69.0
02/13/2018 22:29:05.330000,1.0,17.0,69.0
02/13/2018 22:32:05.370000,0.57,17.0,69.0
02/13/2018 22:35:45.300000,1.56,17.0,69.0
02/13/2018 22:38:25.336666,1.44,17.0,69.0
02/13/2018 22:41:05.283333,1.0,17.0,69.0
02/13/2018 22:43:45.420000,0.81,17.0,70.0
02/13/2018 22:47:45.330000,0.74,16.0,70.0
02/13/2018 22:50:25.326666,0.77,16.0,70.0
02/13/2018 22:53:05.343333,1.19,16.0,70.0
02/13/2018 22:55:45.396666,1.26,16.0,70.0
02/13/2018 22:59:45.393333,1.0,16.0,70.0
02/13/2018 23:02:25.410000,0.61,16.0,70.0
02/13/2018 23:05:05.346666,0.84,16.0,70.0
02/13/2018 23:07:45.346666,1.0,16.0,70.0
02/13/2018 23:11:45.333333,1.24,16.0,70.0
02/13/2018 23:14:25.406666,1.81,16.0,70.0
02/13/2018 23:17:05.486666,0.46,16.0,70.0
02/13/2018 23:19:45.340000,1.45,16.0,70.0
02/13/2018 23:23:45.466666,1.54,16.0,70.0
02/13/2018 23:26:25.460000,1.62,16.0,70.0
02/13/2018 23:29:05.403333,1.69,16.0,70.0
02/13/2018 23:31:45.360000,1.12,17.0,70.0
02/13/2018 23:34:25.426666,2.05,17.0,70.0
02/13/2018 23:37:08.606666,1.47,17.0,70.0
02/13/2018 23:41:05.446666,1.93,17.0,69.0
02/13/2018 23:43:45.466666,2.1,17.0,69.0
02/13/2018 23:47:45.440000,2.17,17.0,69.0
02/13/2018 23:49:05.450000,1.95,18.0,69.0
02/13/2018 23:53:05.386666,1.27,17.0,68.0
02/13/2018 23:55:45.583333,1.19,17.0,68.0
02/13/2018 23:59:45.413333,1.4,17.0,68.0
02/14/2018 00:01:05.416666,1.44,17.0,68.0
02/14/2018 00:05:05.416666,1.83,18.0,67.0
02/14/2018 00:07:45.403333,1.26,18.0,67.0
02/14/2018 00:10:25.593333,1.36,18.0,67.0
02/14/2018 00:13:05.403333,1.35,18.0,67.0
02/14/2018 00:17:05.483333,2.0,18.0,66.0
02/14/2018 00:19:45.596666,1.67,18.0,66.0
02/14/2018 00:22:25.446666,1.79,18.0,66.0
02/14/2018 00:25:05.413333,1.83,19.0,65.0
02/14/2018 00:29:05.426666,3.0,19.0,65.0
02/14/2018 00:31:45.493333,2.61,19.0,65.0
02/14/2018 00:34:25.643333,2.75,19.0,65.0
02/14/2018 00:37:05.746666,2.0,19.0,65.0
02/14/2018 00:41:05.523333,2.44,19.0,64.0
02/14/2018 00:43:45.450000,1.88,20.0,64.0
02/14/2018 00:46:25.460000,2.74,20.0,64.0
02/14/2018 00:50:25.506666,2.26,20.0,64.0
02/14/2018 00:53:05.500000,2.88,20.0,63.0
02/14/2018 00:55:45.603333,2.26,20.0,63.0
02/14/2018 00:58:25.456666,2.6,20.0,63.0
02/14/2018 01:02:25.490000,5.19,21.0,63.0
02/14/2018 01:05:05.486666,4.14,21.0,62.0
02/14/2018 01:07:45.616666,4.15,21.0,62.0
02/14/2018 01:11:45.520000,3.6,22.0,62.0
02/14/2018 01:14:25.516666,10.33,22.0,61.0
02/14/2018 01:17:05.473333,6.79,22.0,61.0
02/14/2018 01:19:45.483333,4.23,23.0,61.0
02/14/2018 01:22:25.646666,4.74,23.0,61.0
02/14/2018 01:26:25.486666,9.3,23.0,61.0
02/14/2018 01:29:05.653333,4.8,23.0,61.0
02/14/2018 01:31:45.623333,4.6,23.0,61.0
02/14/2018 01:34:25.510000,4.36,23.0,60.0
02/14/2018 01:38:25.566666,5.88,24.0,60.0
02/14/2018 01:41:05.630000,5.56,24.0,60.0
02/14/2018 01:43:45.573333,6.95,24.0,60.0
02/14/2018 01:46:25.533333,7.37,25.0,59.0
02/14/2018 01:50:25.583333,7.3,25.0,59.0
02/14/2018 01:53:05.880000,7.4,26.0,59.0
02/14/2018 01:55:45.613333,6.76,26.0,59.0
02/14/2018 01:59:45.543333,6.31,26.0,58.0
02/14/2018 02:02:25.616666,8.05,26.0,58.0
02/14/2018 02:05:05.563333,7.63,26.0,58.0
02/14/2018 02:07:45.530000,6.27,26.0,58.0
02/14/2018 02:11:45.600000,5.72,27.0,58.0
02/14/2018 02:14:25.556666,6.83,26.0,58.0
02/14/2018 02:17:05.596666,6.19,27.0,58.0
02/14/2018 02:19:45.640000,8.16,28.0,58.0
02/14/2018 02:23:45.646666,7.95,27.0,57.0
02/14/2018 02:26:25.640000,8.12,28.0,57.0
02/14/2018 02:29:05.576666,9.57,28.0,57.0
02/14/2018 02:31:45.580000,7.79,28.0,57.0
02/14/2018 02:35:45.563333,10.09,28.0,57.0
02/14/2018 02:38:25.716666,6.37,28.0,57.0
02/14/2018 02:41:05.630000,6.85,28.0,56.0
02/14/2018 02:43:45.573333,7.07,29.0,56.0
02/14/2018 02:47:45.776666,7.05,28.0,56.0
02/14/2018 02:50:25.580000,7.36,28.0,56.0
