InstrumentName, APCD B,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/01/2018 03:41:58.820000,0.87,63.0,31.0
02/10/2018 23:26:21.343333,18.89,67.0,19.0
02/10/2018 23:29:01.486666,16.43,67.0,20.0
02/10/2018 23:31:41.373333,17.98,66.0,20.0
02/10/2018 23:35:41.376666,21.05,66.0,21.0
02/10/2018 23:38:21.310000,20.45,66.0,21.0
02/10/2018 23:41:01.346666,23.64,66.0,20.0
02/10/2018 23:43:41.610000,20.95,66.0,20.0
02/10/2018 23:47:41.340000,19.75,66.0,20.0
02/10/2018 23:50:21.393333,19.26,65.0,19.0
02/10/2018 23:53:01.296666,19.44,66.0,21.0
02/10/2018 23:55:41.326666,19.25,65.0,21.0
02/10/2018 23:59:41.356666,18.9,65.0,22.0
02/11/2018 00:02:21.286666,18.5,65.0,22.0
02/11/2018 00:05:01.646666,19.12,64.0,22.0
02/11/2018 00:07:41.486666,18.95,64.0,21.0
02/11/2018 00:11:41.390000,19.54,64.0,22.0
02/11/2018 00:14:21.360000,19.98,63.0,22.0
02/11/2018 00:17:01.420000,19.44,63.0,22.0
02/11/2018 00:19:41.296666,18.88,63.0,21.0
02/11/2018 00:23:41.496666,20.0,63.0,21.0
02/11/2018 00:26:21.270000,19.38,63.0,21.0
02/11/2018 00:29:01.420000,18.35,63.0,20.0
02/11/2018 00:31:41.260000,18.79,64.0,21.0
02/11/2018 00:35:41.263333,20.0,64.0,20.0
02/11/2018 00:38:21.293333,20.63,64.0,20.0
02/11/2018 00:41:01.280000,19.5,65.0,21.0
02/11/2018 00:43:41.566666,22.9,64.0,21.0
02/11/2018 00:47:41.266666,17.66,65.0,22.0
02/11/2018 00:50:21.203333,15.93,65.0,21.0
02/11/2018 00:53:01.243333,16.31,64.0,22.0
02/11/2018 00:55:41.286666,14.5,65.0,22.0
02/11/2018 00:59:41.313333,13.6,64.0,23.0
02/11/2018 01:02:21.296666,13.76,63.0,23.0
02/11/2018 01:05:01.410000,15.73,64.0,22.0
02/11/2018 01:07:41.293333,17.83,65.0,23.0
02/11/2018 01:11:41.333333,20.88,67.0,24.0
02/11/2018 01:14:21.266666,33.51,68.0,24.0
02/11/2018 01:17:01.276666,17.21,67.0,23.0
02/11/2018 01:19:41.480000,16.1,67.0,24.0
02/11/2018 01:23:41.370000,16.46,65.0,24.0
02/11/2018 01:26:21.460000,16.66,64.0,23.0
02/11/2018 01:29:01.283333,16.07,63.0,24.0
02/11/2018 01:31:41.290000,18.3,63.0,24.0
02/11/2018 01:35:41.280000,18.24,63.0,24.0
02/11/2018 01:38:21.500000,17.48,62.0,24.0
02/11/2018 01:41:01.223333,21.15,62.0,22.0
02/11/2018 01:43:41.316666,17.67,61.0,20.0
02/11/2018 01:47:41.366666,18.54,63.0,21.0
02/11/2018 01:50:21.366666,17.7,63.0,20.0
02/11/2018 01:53:01.433333,15.93,64.0,21.0
02/11/2018 01:55:41.266666,17.88,64.0,22.0
02/11/2018 01:59:41.346666,17.66,64.0,23.0
02/11/2018 02:02:21.263333,16.9,63.0,23.0
02/11/2018 02:05:01.256666,17.18,63.0,23.0
02/11/2018 02:07:41.366666,17.62,62.0,23.0
02/11/2018 02:11:41.233333,18.9,62.0,23.0
02/11/2018 02:14:21.356666,16.62,62.0,23.0
02/11/2018 02:17:01.333333,19.46,62.0,24.0
02/11/2018 02:19:41.393333,18.54,62.0,24.0
02/11/2018 02:23:41.510000,19.54,61.0,23.0
02/11/2018 02:26:21.286666,18.38,61.0,24.0
02/11/2018 02:29:01.323333,20.37,61.0,22.0
02/11/2018 02:31:41.366666,20.68,61.0,21.0
02/11/2018 02:35:41.303333,20.8,63.0,22.0
02/11/2018 02:38:23.900000,19.17,63.0,23.0
02/11/2018 02:41:01.276666,19.24,63.0,23.0
02/11/2018 02:43:41.256666,18.83,63.0,23.0
02/11/2018 02:47:41.496666,20.65,63.0,24.0
02/11/2018 02:50:21.303333,18.2,62.0,24.0
02/11/2018 02:53:01.536666,20.48,62.0,24.0
02/11/2018 02:55:41.563333,51.49,63.0,24.0
02/11/2018 02:59:41.566666,23.56,62.0,24.0
02/11/2018 03:02:21.413333,26.9,62.0,24.0
02/11/2018 03:05:01.566666,22.45,63.0,24.0
02/11/2018 03:07:41.556666,23.73,62.0,24.0
02/11/2018 03:11:41.363333,23.15,62.0,25.0
02/11/2018 03:14:21.226666,27.79,62.0,25.0
02/11/2018 03:17:01.186666,26.88,62.0,25.0
02/11/2018 03:19:41.216666,27.29,62.0,25.0
02/11/2018 03:23:41.286666,28.46,62.0,25.0
02/11/2018 03:26:21.266666,31.5,62.0,25.0
02/11/2018 03:29:01.303333,28.27,62.0,25.0
02/11/2018 03:31:41.206666,25.7,62.0,25.0
02/11/2018 03:35:41.346666,30.24,62.0,25.0
02/11/2018 03:38:21.483333,36.67,62.0,25.0
02/11/2018 03:41:01.380000,32.88,62.0,25.0
02/11/2018 03:43:41.366666,32.93,62.0,25.0
02/11/2018 03:47:41.476666,34.05,62.0,25.0
02/11/2018 03:50:21.293333,32.67,62.0,25.0
02/11/2018 03:53:01.536666,31.58,62.0,25.0
02/11/2018 03:55:41.260000,29.13,62.0,25.0
02/11/2018 03:59:41.723333,33.03,62.0,25.0
02/11/2018 04:02:21.546666,33.21,62.0,25.0
02/11/2018 04:05:01.346666,33.0,62.0,25.0
02/11/2018 04:07:41.590000,35.02,62.0,25.0
02/11/2018 04:11:41.280000,36.25,62.0,25.0
02/11/2018 04:14:21.283333,35.49,62.0,25.0
02/11/2018 04:17:01.266666,36.34,62.0,25.0
02/11/2018 04:19:41.306666,35.66,62.0,25.0
02/11/2018 04:23:41.510000,43.34,62.0,25.0
02/11/2018 04:26:21.373333,43.63,62.0,25.0
02/11/2018 04:29:01.216666,40.6,62.0,25.0
02/11/2018 04:31:41.276666,36.24,63.0,25.0
02/11/2018 04:35:41.256666,37.12,63.0,25.0
02/11/2018 04:38:21.293333,32.88,63.0,25.0
02/11/2018 04:41:01.323333,31.07,62.0,25.0
02/11/2018 04:43:41.333333,38.79,62.0,24.0
02/11/2018 04:47:41.303333,40.74,62.0,24.0
02/11/2018 04:50:21.256666,40.93,62.0,24.0
02/11/2018 04:53:01.393333,39.34,62.0,24.0
02/11/2018 04:55:41.263333,40.1,62.0,24.0
02/11/2018 04:59:41.350000,42.93,63.0,24.0
02/11/2018 05:02:21.396666,40.22,63.0,24.0
02/11/2018 05:05:01.306666,42.68,63.0,24.0
02/11/2018 05:07:41.283333,42.37,63.0,24.0
02/11/2018 05:11:41.536666,43.05,63.0,24.0
02/11/2018 05:17:01.413333,42.38,63.0,24.0
02/11/2018 05:19:41.276666,40.15,63.0,24.0
02/11/2018 05:23:41.310000,44.83,63.0,24.0
02/11/2018 05:26:21.213333,43.65,63.0,24.0
02/11/2018 05:29:01.300000,43.1,63.0,24.0
02/11/2018 05:31:41.276666,44.2,63.0,24.0
02/11/2018 05:35:41.473333,43.49,63.0,24.0
02/11/2018 05:38:21.186666,45.75,63.0,24.0
02/11/2018 05:41:01.236666,43.69,63.0,24.0
02/11/2018 05:43:41.526666,45.59,64.0,24.0
02/11/2018 05:47:41.210000,41.97,63.0,24.0
02/11/2018 05:50:21.400000,41.59,63.0,24.0
02/11/2018 05:53:01.310000,42.87,64.0,24.0
02/11/2018 05:55:41.283333,41.09,64.0,24.0
02/11/2018 05:59:41.236666,40.46,64.0,25.0
02/11/2018 06:02:21.263333,38.05,64.0,25.0
02/11/2018 06:05:01.260000,38.17,64.0,25.0
02/11/2018 06:07:41.566666,41.17,64.0,24.0
02/11/2018 06:11:41.520000,38.9,64.0,24.0
02/11/2018 06:14:21.276666,38.88,64.0,24.0
02/11/2018 06:17:01.370000,33.44,64.0,24.0
02/11/2018 06:19:41.266666,40.28,64.0,24.0
02/11/2018 06:23:41.320000,36.1,64.0,24.0
02/11/2018 06:26:21.426666,37.14,64.0,24.0
02/11/2018 06:29:01.226666,32.8,64.0,24.0
02/11/2018 06:31:41.516666,33.0,64.0,24.0
02/11/2018 06:35:41.256666,33.49,64.0,25.0
02/11/2018 06:38:21.310000,30.79,64.0,25.0
02/11/2018 06:41:01.406666,29.68,63.0,25.0
02/11/2018 06:43:41.346666,30.73,63.0,25.0
02/11/2018 06:47:41.323333,25.7,63.0,25.0
02/11/2018 06:50:21.306666,28.21,63.0,25.0
02/11/2018 06:51:41.376666,29.05,62.0,25.0
02/11/2018 06:56:08.796666,24.0,62.0,25.0
02/11/2018 06:58:45.016666,34.03,62.0,25.0
02/11/2018 07:01:24.806666,32.44,62.0,25.0
02/11/2018 07:05:24.663333,34.22,62.0,25.0
02/11/2018 07:08:04.563333,35.6,62.0,24.0
02/11/2018 07:10:44.800000,37.81,62.0,24.0
02/11/2018 07:13:24.563333,39.09,62.0,24.0
02/11/2018 07:17:24.860000,38.24,62.0,24.0
02/11/2018 07:20:04.676666,39.55,61.0,24.0
02/11/2018 07:22:44.803333,39.93,62.0,24.0
02/11/2018 07:25:24.673333,34.95,62.0,24.0
02/11/2018 07:29:24.653333,35.64,61.0,24.0
02/11/2018 07:32:04.676666,31.05,61.0,23.0
02/11/2018 07:34:44.646666,34.78,61.0,23.0
02/11/2018 07:37:24.583333,33.34,61.0,23.0
02/11/2018 07:41:24.746666,30.65,61.0,23.0
02/11/2018 07:44:04.660000,32.24,62.0,23.0
02/11/2018 07:46:45.243333,32.95,62.0,23.0
02/11/2018 07:49:24.726666,31.17,62.0,23.0
02/11/2018 07:53:24.653333,32.24,62.0,23.0
02/11/2018 07:56:04.740000,27.45,62.0,23.0
02/11/2018 07:58:44.973333,29.95,61.0,23.0
02/11/2018 08:01:24.646666,28.45,61.0,23.0
02/11/2018 08:05:24.550000,29.37,61.0,23.0
02/11/2018 08:08:04.606666,28.74,61.0,23.0
02/11/2018 08:10:44.913333,28.73,61.0,23.0
02/11/2018 08:13:25.270000,30.45,61.0,23.0
02/11/2018 08:17:24.580000,31.07,61.0,23.0
02/11/2018 08:20:04.580000,31.03,61.0,23.0
02/11/2018 08:22:44.796666,29.39,61.0,23.0
02/11/2018 08:25:24.770000,28.95,61.0,23.0
02/11/2018 08:29:24.710000,32.05,61.0,23.0
02/11/2018 08:32:04.683333,27.13,61.0,23.0
02/11/2018 08:34:44.786666,29.32,61.0,23.0
02/11/2018 08:38:44.610000,27.48,61.0,23.0
02/11/2018 08:41:24.623333,26.14,61.0,22.0
02/11/2018 08:44:05.773333,26.76,61.0,22.0
02/11/2018 08:46:46.096666,28.49,60.0,22.0
02/11/2018 08:49:24.760000,26.52,61.0,22.0
02/11/2018 08:53:26.996666,27.88,61.0,22.0
02/11/2018 08:56:04.630000,28.4,61.0,22.0
02/11/2018 08:58:44.870000,32.44,60.0,22.0
02/11/2018 09:02:44.623333,29.92,61.0,22.0
02/11/2018 09:05:24.653333,29.63,61.0,22.0
02/11/2018 09:08:04.566666,28.55,60.0,22.0
02/11/2018 09:10:44.860000,26.31,60.0,22.0
02/11/2018 09:13:24.573333,24.77,60.0,22.0
02/11/2018 09:17:24.610000,23.43,60.0,22.0
02/11/2018 09:20:04.646666,20.0,60.0,22.0
02/11/2018 09:22:44.736666,21.18,60.0,22.0
02/11/2018 09:25:24.826666,22.34,60.0,22.0
02/11/2018 09:29:24.590000,21.66,60.0,22.0
02/11/2018 09:32:04.650000,20.12,60.0,22.0
02/11/2018 09:34:44.850000,20.0,60.0,22.0
02/11/2018 09:37:24.606666,18.29,60.0,22.0
02/11/2018 09:41:24.606666,16.98,60.0,22.0
02/11/2018 09:44:04.623333,18.02,60.0,22.0
02/11/2018 09:46:44.823333,15.72,59.0,22.0
02/11/2018 09:49:24.586666,14.37,59.0,22.0
02/11/2018 09:53:24.676666,13.26,59.0,22.0
02/11/2018 09:56:04.533333,13.95,59.0,22.0
02/11/2018 09:58:44.730000,13.67,59.0,22.0
02/11/2018 10:02:44.753333,12.36,59.0,22.0
02/11/2018 10:05:24.813333,13.07,58.0,22.0
02/11/2018 10:08:04.543333,12.71,58.0,22.0
02/11/2018 10:10:44.770000,13.7,58.0,21.0
02/11/2018 10:13:24.566666,13.49,58.0,22.0
02/11/2018 10:17:24.523333,12.57,58.0,21.0
02/11/2018 10:20:04.836666,12.14,58.0,21.0
02/11/2018 10:22:44.746666,14.88,58.0,21.0
02/11/2018 10:25:24.670000,12.55,58.0,21.0
02/11/2018 10:29:24.736666,14.46,58.0,21.0
02/11/2018 10:32:05.180000,13.97,58.0,21.0
02/11/2018 10:34:44.766666,15.62,57.0,21.0
02/11/2018 10:37:25.086666,16.66,57.0,20.0
02/11/2018 10:41:24.580000,18.66,57.0,20.0
02/11/2018 10:44:04.686666,18.77,57.0,20.0
02/11/2018 10:46:44.750000,18.24,58.0,20.0
02/11/2018 10:49:24.706666,19.59,58.0,20.0
02/11/2018 10:53:24.613333,12.45,58.0,20.0
02/11/2018 10:56:04.490000,13.23,58.0,20.0
