InstrumentName, Swansea (DEH),,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/01/2018 03:41:25.116666,0.28,100.0,-221.0
02/10/2018 23:26:17.630000,9.31,100.0,-221.0
02/10/2018 23:28:57.690000,12.89,100.0,-221.0
02/10/2018 23:31:37.556666,10.49,100.0,-221.0
02/10/2018 23:35:37.586666,11.31,100.0,-221.0
02/10/2018 23:38:17.626666,11.62,100.0,-221.0
02/10/2018 23:40:57.526666,11.35,100.0,-221.0
02/10/2018 23:43:37.546666,11.48,100.0,-221.0
02/10/2018 23:47:37.543333,12.86,100.0,-221.0
02/10/2018 23:50:18.010000,12.92,100.0,-221.0
02/10/2018 23:52:57.546666,11.86,100.0,-221.0
02/10/2018 23:55:37.836666,11.55,100.0,-221.0
02/10/2018 23:59:37.553333,23.0,100.0,-221.0
02/11/2018 00:02:17.530000,10.31,100.0,-221.0
02/11/2018 00:04:57.673333,11.17,100.0,-221.0
02/11/2018 00:07:37.583333,10.31,100.0,-221.0
02/11/2018 00:11:37.533333,9.43,100.0,-221.0
02/11/2018 00:14:17.706666,7.68,100.0,-221.0
02/11/2018 00:16:57.556666,11.1,100.0,-221.0
02/11/2018 00:19:37.660000,8.56,100.0,-221.0
02/11/2018 00:23:37.630000,8.69,100.0,-221.0
02/11/2018 00:26:18.056666,8.67,100.0,-221.0
02/11/2018 00:28:57.600000,9.26,100.0,-221.0
02/11/2018 00:31:37.600000,9.05,100.0,-221.0
02/11/2018 00:35:37.573333,7.62,100.0,-221.0
02/11/2018 00:38:17.586666,8.85,100.0,-221.0
02/11/2018 00:40:57.560000,12.32,100.0,-221.0
02/11/2018 00:43:37.576666,25.67,100.0,-221.0
02/11/2018 00:47:37.683333,13.32,100.0,-221.0
02/11/2018 00:50:17.690000,16.58,100.0,-221.0
02/11/2018 00:52:57.863333,7.05,100.0,-221.0
02/11/2018 00:55:38.243333,9.15,100.0,-221.0
02/11/2018 00:59:37.610000,9.08,100.0,-221.0
02/11/2018 01:02:17.700000,7.08,100.0,-221.0
02/11/2018 01:04:57.676666,9.23,100.0,-221.0
02/11/2018 01:07:37.770000,12.05,100.0,-221.0
02/11/2018 01:11:37.613333,8.63,100.0,-221.0
02/11/2018 01:14:17.890000,9.45,100.0,-221.0
02/11/2018 01:16:57.746666,10.46,100.0,-221.0
02/11/2018 01:19:37.730000,10.77,100.0,-221.0
02/11/2018 01:23:37.666666,16.79,100.0,-221.0
02/11/2018 01:26:17.653333,11.07,100.0,-221.0
02/11/2018 01:28:57.636666,11.59,100.0,-221.0
02/11/2018 01:31:38.083333,9.97,100.0,-221.0
02/11/2018 01:35:37.740000,9.76,100.0,-221.0
02/11/2018 01:38:17.736666,8.97,100.0,-221.0
02/11/2018 01:40:58.173333,8.48,100.0,-221.0
02/11/2018 01:43:37.553333,9.16,100.0,-221.0
02/11/2018 01:47:37.570000,10.03,100.0,-221.0
02/11/2018 01:50:18.096666,10.24,100.0,-221.0
02/11/2018 01:52:57.570000,9.72,100.0,-221.0
02/11/2018 01:55:37.570000,10.34,100.0,-221.0
02/11/2018 01:59:37.690000,11.13,100.0,-221.0
02/11/2018 02:02:17.690000,11.36,100.0,-221.0
02/11/2018 02:04:57.626666,10.02,100.0,-221.0
02/11/2018 02:07:37.866666,11.75,100.0,-221.0
02/11/2018 02:11:37.563333,11.23,100.0,-221.0
02/11/2018 02:14:17.676666,10.38,100.0,-221.0
02/11/2018 02:16:57.586666,11.74,100.0,-221.0
02/11/2018 02:19:37.646666,10.05,100.0,-221.0
02/11/2018 02:23:37.766666,10.41,100.0,-221.0
02/11/2018 02:26:17.530000,15.31,100.0,-221.0
02/11/2018 02:28:57.743333,14.59,100.0,-221.0
02/11/2018 02:31:37.523333,14.2,100.0,-221.0
02/11/2018 02:35:37.926666,12.74,100.0,-221.0
02/11/2018 02:38:18.266666,12.26,100.0,-221.0
02/11/2018 02:40:57.863333,13.0,100.0,-221.0
02/11/2018 02:43:37.566666,12.82,100.0,-221.0
02/11/2018 02:47:38.256666,11.92,100.0,-221.0
02/11/2018 02:50:17.846666,13.03,100.0,-221.0
02/11/2018 02:52:57.590000,11.54,100.0,-221.0
02/11/2018 02:55:37.856666,12.45,100.0,-221.0
02/11/2018 02:59:37.670000,15.74,100.0,-221.0
02/11/2018 03:02:17.640000,12.66,100.0,-221.0
02/11/2018 03:04:58.036666,11.5,100.0,-221.0
02/11/2018 03:07:37.806666,13.81,100.0,-221.0
02/11/2018 03:11:37.826666,13.02,100.0,-221.0
02/11/2018 03:14:17.713333,14.46,100.0,-221.0
02/11/2018 03:16:57.816666,14.95,100.0,-221.0
02/11/2018 03:19:37.730000,18.92,100.0,-221.0
02/11/2018 03:23:37.813333,15.62,100.0,-221.0
02/11/2018 03:26:17.736666,16.08,100.0,-221.0
02/11/2018 03:28:57.953333,16.41,100.0,-221.0
02/11/2018 03:31:37.703333,18.87,100.0,-221.0
02/11/2018 03:35:38.166666,18.63,100.0,-221.0
02/11/2018 03:38:17.886666,20.21,100.0,-221.0
02/11/2018 03:40:57.690000,22.76,100.0,-221.0
02/11/2018 03:43:38.130000,20.5,100.0,-221.0
02/11/2018 03:47:38.776666,19.87,100.0,-221.0
02/11/2018 03:50:17.890000,20.08,100.0,-221.0
02/11/2018 03:52:57.816666,21.1,100.0,-221.0
02/11/2018 03:55:37.866666,22.24,100.0,-221.0
02/11/2018 03:59:37.923333,22.03,100.0,-221.0
02/11/2018 04:02:18.120000,22.87,100.0,-221.0
02/11/2018 04:04:57.876666,23.24,100.0,-221.0
02/11/2018 04:07:37.853333,19.33,100.0,-221.0
02/11/2018 04:11:37.913333,20.62,100.0,-221.0
02/11/2018 04:14:17.700000,23.62,100.0,-221.0
02/11/2018 04:16:57.803333,23.08,100.0,-221.0
02/11/2018 04:19:37.813333,24.79,100.0,-221.0
02/11/2018 04:23:38.216666,27.26,100.0,-221.0
02/11/2018 04:26:18.893333,25.85,100.0,-221.0
02/11/2018 04:28:57.943333,27.73,100.0,-221.0
02/11/2018 04:31:37.830000,24.14,100.0,-221.0
02/11/2018 04:35:37.656666,22.15,100.0,-221.0
02/11/2018 04:38:17.746666,29.05,100.0,-221.0
02/11/2018 04:40:57.753333,23.26,100.0,-221.0
02/11/2018 04:43:37.613333,28.0,100.0,-221.0
02/11/2018 04:47:38.803333,26.15,100.0,-221.0
02/11/2018 04:50:18.336666,25.76,100.0,-221.0
02/11/2018 04:52:58.403333,21.3,100.0,-221.0
02/11/2018 04:55:37.796666,22.63,100.0,-221.0
02/11/2018 04:59:37.843333,25.83,100.0,-221.0
02/11/2018 05:02:17.830000,26.1,100.0,-221.0
02/11/2018 05:04:57.620000,27.71,100.0,-221.0
02/11/2018 05:07:37.710000,31.97,100.0,-221.0
02/11/2018 05:11:38.116666,32.74,100.0,-221.0
02/11/2018 05:16:57.903333,31.92,100.0,-221.0
02/11/2018 05:19:38.016666,32.68,100.0,-221.0
02/11/2018 05:23:37.690000,30.69,100.0,-221.0
02/11/2018 05:26:17.663333,30.79,100.0,-221.0
02/11/2018 05:28:57.580000,29.79,100.0,-221.0
02/11/2018 05:31:38.213333,31.39,100.0,-221.0
02/11/2018 05:35:37.920000,31.13,100.0,-221.0
02/11/2018 05:38:17.763333,32.74,100.0,-221.0
02/11/2018 05:40:57.933333,32.58,100.0,-221.0
02/11/2018 05:43:37.680000,32.71,100.0,-221.0
02/11/2018 05:47:38.043333,29.79,100.0,-221.0
02/11/2018 05:50:18.073333,29.61,100.0,-221.0
02/11/2018 05:52:57.956666,32.05,100.0,-221.0
02/11/2018 05:55:37.783333,31.3,100.0,-221.0
02/11/2018 05:59:38.403333,30.11,100.0,-221.0
02/11/2018 06:02:17.776666,31.02,100.0,-221.0
02/11/2018 06:04:57.683333,33.92,100.0,-221.0
02/11/2018 06:07:37.806666,34.74,100.0,-221.0
02/11/2018 06:11:37.690000,36.67,100.0,-221.0
02/11/2018 06:14:17.613333,34.15,100.0,-221.0
02/11/2018 06:16:57.693333,33.56,100.0,-221.0
02/11/2018 06:19:37.630000,31.36,100.0,-221.0
02/11/2018 06:23:37.816666,30.27,100.0,-221.0
02/11/2018 06:26:17.726666,29.81,100.0,-221.0
02/11/2018 06:28:57.846666,32.58,100.0,-221.0
02/11/2018 06:31:37.646666,29.75,100.0,-221.0
02/11/2018 06:35:37.670000,30.9,100.0,-221.0
02/11/2018 06:38:17.613333,30.05,100.0,-221.0
02/11/2018 06:40:57.863333,30.21,100.0,-221.0
02/11/2018 06:43:37.736666,29.35,100.0,-221.0
02/11/2018 06:47:37.616666,31.73,100.0,-221.0
02/11/2018 06:50:17.663333,32.37,100.0,-221.0
02/11/2018 06:52:57.663333,31.62,100.0,-221.0
02/11/2018 06:55:37.553333,29.83,100.0,-221.0
02/11/2018 06:59:37.606666,30.72,100.0,-221.0
02/11/2018 07:02:17.600000,29.28,100.0,-221.0
02/11/2018 07:04:57.816666,32.22,100.0,-221.0
02/11/2018 07:07:37.680000,30.88,100.0,-221.0
02/11/2018 07:11:37.660000,28.12,100.0,-221.0
02/11/2018 07:14:17.716666,28.05,100.0,-221.0
02/11/2018 07:16:57.713333,26.58,100.0,-221.0
02/11/2018 07:19:37.860000,30.33,100.0,-221.0
02/11/2018 07:23:37.870000,29.9,100.0,-221.0
02/11/2018 07:26:17.733333,32.72,100.0,-221.0
02/11/2018 07:28:57.760000,30.41,100.0,-221.0
02/11/2018 07:31:37.803333,30.38,100.0,-221.0
02/11/2018 07:35:37.660000,30.9,100.0,-221.0
02/11/2018 07:38:17.973333,27.1,100.0,-221.0
02/11/2018 07:40:57.870000,30.72,100.0,-221.0
02/11/2018 07:43:37.676666,30.62,100.0,-221.0
02/11/2018 07:47:37.903333,30.29,100.0,-221.0
02/11/2018 07:50:17.620000,28.38,100.0,-221.0
02/11/2018 07:52:57.793333,29.38,100.0,-221.0
02/11/2018 07:54:18.266666,29.65,100.0,-221.0
02/11/2018 07:59:37.830000,29.44,100.0,-221.0
02/11/2018 08:02:18.206666,27.0,100.0,-221.0
02/11/2018 08:04:57.633333,27.08,100.0,-221.0
02/11/2018 08:07:37.850000,26.17,100.0,-221.0
02/11/2018 08:11:37.740000,25.62,100.0,-221.0
02/11/2018 08:14:17.766666,22.87,100.0,-221.0
02/11/2018 08:16:57.720000,24.97,100.0,-221.0
02/11/2018 08:19:38.150000,21.9,100.0,-221.0
02/11/2018 08:23:37.723333,22.25,100.0,-221.0
02/11/2018 08:26:17.836666,23.14,100.0,-221.0
02/11/2018 08:28:57.676666,20.59,100.0,-221.0
02/11/2018 08:31:37.910000,19.76,100.0,-221.0
02/11/2018 08:35:37.906666,19.37,100.0,-221.0
02/11/2018 08:38:17.773333,17.23,100.0,-221.0
02/11/2018 08:40:58.160000,19.9,100.0,-221.0
02/11/2018 08:43:37.586666,16.8,100.0,-221.0
02/11/2018 08:47:37.693333,16.36,100.0,-221.0
02/11/2018 08:50:17.763333,17.27,100.0,-221.0
02/11/2018 08:51:37.856666,17.39,100.0,-221.0
02/11/2018 08:55:37.903333,18.58,100.0,-221.0
02/11/2018 08:59:37.946666,20.95,100.0,-221.0
02/11/2018 09:02:18.073333,22.7,100.0,-221.0
02/11/2018 09:04:57.793333,23.05,100.0,-221.0
02/11/2018 09:07:37.866666,19.26,100.0,-221.0
02/11/2018 09:11:37.690000,21.71,100.0,-221.0
02/11/2018 09:14:17.816666,26.87,100.0,-221.0
02/11/2018 09:16:57.720000,30.13,100.0,-221.0
02/11/2018 09:19:37.733333,28.26,100.0,-221.0
02/11/2018 09:23:37.916666,21.9,100.0,-221.0
02/11/2018 09:26:17.813333,18.54,100.0,-221.0
02/11/2018 09:28:57.820000,19.05,100.0,-221.0
02/11/2018 09:31:37.706666,21.5,100.0,-221.0
02/11/2018 09:35:37.786666,18.67,100.0,-221.0
02/11/2018 09:38:17.836666,17.9,100.0,-221.0
02/11/2018 09:40:57.756666,18.03,100.0,-221.0
02/11/2018 09:43:37.960000,18.3,100.0,-221.0
02/11/2018 09:47:37.820000,19.75,100.0,-221.0
02/11/2018 09:50:17.710000,18.1,100.0,-221.0
02/11/2018 09:52:57.800000,16.26,100.0,-221.0
02/11/2018 09:55:37.796666,16.95,100.0,-221.0
02/11/2018 09:59:37.780000,16.51,100.0,-221.0
02/11/2018 10:02:17.763333,18.28,100.0,-221.0
02/11/2018 10:04:57.750000,18.46,100.0,-221.0
02/11/2018 10:07:37.890000,16.52,100.0,-221.0
02/11/2018 10:11:37.673333,15.69,100.0,-221.0
02/11/2018 10:14:17.776666,15.82,100.0,-221.0
02/11/2018 10:16:57.780000,14.65,100.0,-221.0
02/11/2018 10:19:37.780000,16.66,100.0,-221.0
02/11/2018 10:23:37.660000,15.18,100.0,-221.0
02/11/2018 10:26:17.690000,13.2,100.0,-221.0
02/11/2018 10:28:57.816666,12.9,100.0,-221.0
02/11/2018 10:31:37.650000,14.08,100.0,-221.0
