InstrumentName, Thornton,,
StartTime, 2018-02-01 00:00:00,,
EndTime, 2018-02-28 23:59:59,,
Date,PM2.5,humidity,temp_f
02/01/2018 03:41:04.666666,23.95,54.0,34.0
02/10/2018 23:25:43.923333,26.54,61.0,20.0
02/10/2018 23:29:43.886666,28.89,61.0,20.0
02/10/2018 23:32:23.896666,27.49,62.0,21.0
02/10/2018 23:35:04.050000,27.17,60.0,20.0
02/10/2018 23:37:43.906666,28.38,60.0,22.0
02/10/2018 23:41:44.050000,27.13,61.0,21.0
02/10/2018 23:44:23.970000,26.68,60.0,20.0
02/10/2018 23:47:03.906666,26.27,60.0,22.0
02/10/2018 23:49:44.006666,27.83,61.0,22.0
02/10/2018 23:53:43.863333,27.35,59.0,22.0
02/10/2018 23:56:23.843333,26.51,58.0,22.0
02/10/2018 23:59:03.916666,27.56,58.0,21.0
02/11/2018 00:01:43.960000,29.28,59.0,20.0
02/11/2018 00:05:43.856666,26.57,59.0,20.0
02/11/2018 00:08:23.906666,26.68,60.0,21.0
02/11/2018 00:11:03.970000,28.28,60.0,20.0
02/11/2018 00:13:43.963333,26.89,60.0,20.0
02/11/2018 00:17:43.920000,31.08,60.0,20.0
02/11/2018 00:20:23.913333,32.05,60.0,19.0
02/11/2018 00:23:03.910000,26.94,61.0,20.0
02/11/2018 00:25:43.993333,27.85,60.0,20.0
02/11/2018 00:29:43.926666,28.53,60.0,20.0
02/11/2018 00:32:24.023333,28.87,60.0,19.0
02/11/2018 00:35:03.953333,26.58,61.0,19.0
02/11/2018 00:37:44.140000,28.7,61.0,19.0
02/11/2018 00:41:43.973333,26.58,61.0,19.0
02/11/2018 00:44:25.046666,26.11,62.0,19.0
02/11/2018 00:47:04.003333,27.88,62.0,19.0
02/11/2018 00:49:44.173333,27.26,62.0,19.0
02/11/2018 00:53:44.846666,28.21,62.0,20.0
02/11/2018 00:56:24.320000,28.5,62.0,20.0
02/11/2018 00:58:50.730000,28.0,61.0,20.0
02/11/2018 01:01:30.710000,28.84,61.0,19.0
02/11/2018 01:05:30.826666,27.21,61.0,20.0
02/11/2018 01:08:10.940000,28.16,61.0,19.0
02/11/2018 01:10:51.450000,29.76,62.0,20.0
02/11/2018 01:13:30.760000,29.31,61.0,19.0
02/11/2018 01:17:32.206666,28.58,62.0,19.0
02/11/2018 01:20:11.283333,30.61,62.0,18.0
02/11/2018 01:22:50.776666,31.21,62.0,19.0
02/11/2018 01:25:30.756666,33.19,63.0,18.0
02/11/2018 01:29:30.720000,29.68,63.0,19.0
02/11/2018 01:32:10.743333,29.16,63.0,19.0
02/11/2018 01:34:50.743333,27.83,62.0,19.0
02/11/2018 01:37:30.736666,27.63,63.0,20.0
02/11/2018 01:41:30.800000,27.89,62.0,20.0
02/11/2018 01:44:10.783333,30.05,62.0,20.0
02/11/2018 01:46:50.816666,28.11,62.0,20.0
02/11/2018 01:49:30.873333,27.22,62.0,20.0
02/11/2018 01:53:30.860000,28.47,61.0,21.0
02/11/2018 01:56:10.766666,27.67,61.0,22.0
02/11/2018 01:58:50.723333,24.37,60.0,22.0
02/11/2018 02:01:30.743333,27.63,60.0,21.0
02/11/2018 02:05:30.706666,25.59,59.0,22.0
02/11/2018 02:08:10.823333,26.17,59.0,23.0
02/11/2018 02:10:50.763333,26.05,58.0,23.0
02/11/2018 02:13:30.690000,25.64,58.0,24.0
02/11/2018 02:17:31.126666,27.68,58.0,24.0
02/11/2018 02:20:10.696666,26.61,57.0,24.0
02/11/2018 02:22:50.756666,24.92,57.0,24.0
02/11/2018 02:25:30.780000,24.68,57.0,24.0
02/11/2018 02:29:30.720000,25.65,56.0,24.0
02/11/2018 02:32:10.706666,26.11,56.0,25.0
02/11/2018 02:34:51.096666,23.73,56.0,24.0
02/11/2018 02:37:30.720000,25.42,56.0,25.0
02/11/2018 02:41:30.926666,23.57,55.0,25.0
02/11/2018 02:44:10.876666,25.0,55.0,25.0
02/11/2018 02:46:50.743333,26.59,55.0,24.0
02/11/2018 02:49:30.840000,25.17,56.0,25.0
02/11/2018 02:53:30.820000,28.11,55.0,25.0
02/11/2018 02:56:10.870000,26.86,55.0,25.0
02/11/2018 02:58:50.783333,25.23,55.0,25.0
02/11/2018 03:01:30.783333,26.81,55.0,25.0
02/11/2018 03:05:30.723333,26.38,55.0,25.0
02/11/2018 03:08:10.753333,27.57,55.0,25.0
02/11/2018 03:10:50.873333,23.15,54.0,24.0
02/11/2018 03:13:31.436666,27.05,55.0,24.0
02/11/2018 03:17:30.796666,26.27,55.0,24.0
02/11/2018 03:20:10.830000,26.58,55.0,24.0
02/11/2018 03:22:50.836666,24.59,55.0,24.0
02/11/2018 03:25:30.736666,25.15,55.0,24.0
02/11/2018 03:29:31.053333,25.26,55.0,24.0
02/11/2018 03:32:10.766666,30.67,54.0,24.0
02/11/2018 03:34:50.730000,24.8,55.0,24.0
02/11/2018 03:37:30.806666,25.37,55.0,24.0
02/11/2018 03:41:30.753333,24.57,55.0,24.0
02/11/2018 03:44:10.870000,25.51,56.0,24.0
02/11/2018 03:46:50.916666,27.26,54.0,23.0
02/11/2018 03:49:30.736666,24.06,56.0,24.0
02/11/2018 03:53:30.946666,24.32,54.0,24.0
02/11/2018 03:56:10.946666,27.41,54.0,23.0
02/11/2018 03:58:50.936666,28.23,55.0,23.0
02/11/2018 04:01:30.810000,27.3,55.0,23.0
02/11/2018 04:05:30.856666,27.67,55.0,24.0
02/11/2018 04:08:10.800000,24.95,55.0,24.0
02/11/2018 04:10:50.806666,29.47,55.0,23.0
02/11/2018 04:13:30.916666,25.79,55.0,23.0
02/11/2018 04:17:31.040000,26.0,55.0,24.0
02/11/2018 04:20:10.833333,27.3,56.0,24.0
02/11/2018 04:22:50.766666,26.16,56.0,24.0
02/11/2018 04:25:31.553333,27.24,55.0,23.0
02/11/2018 04:29:30.806666,27.69,56.0,23.0
02/11/2018 04:32:10.940000,27.5,56.0,23.0
02/11/2018 04:34:51.166666,27.03,56.0,23.0
02/11/2018 04:37:30.920000,26.63,56.0,23.0
02/11/2018 04:41:30.880000,28.37,56.0,23.0
02/11/2018 04:44:11.126666,26.11,57.0,23.0
02/11/2018 04:46:51.056666,27.15,57.0,23.0
02/11/2018 04:49:30.966666,26.41,56.0,22.0
02/11/2018 04:53:30.870000,26.11,57.0,23.0
02/11/2018 04:56:10.866666,26.0,57.0,23.0
02/11/2018 04:58:50.833333,25.89,57.0,23.0
02/11/2018 05:01:30.920000,27.57,57.0,22.0
02/11/2018 05:05:30.800000,26.39,57.0,23.0
02/11/2018 05:08:10.893333,25.74,57.0,23.0
02/11/2018 05:10:51.003333,27.33,58.0,23.0
02/11/2018 05:17:30.983333,26.97,57.0,23.0
02/11/2018 05:20:10.943333,27.42,58.0,23.0
02/11/2018 05:22:50.836666,29.11,58.0,23.0
02/11/2018 05:25:30.810000,26.39,58.0,23.0
02/11/2018 05:29:31.013333,26.37,58.0,23.0
02/11/2018 05:32:11.043333,27.19,58.0,23.0
02/11/2018 05:34:50.833333,26.47,58.0,23.0
02/11/2018 05:37:31.063333,26.43,58.0,24.0
02/11/2018 05:41:30.813333,28.97,58.0,24.0
02/11/2018 05:44:10.976666,25.67,58.0,24.0
02/11/2018 05:46:51.030000,26.11,58.0,24.0
02/11/2018 05:49:30.893333,27.95,56.0,22.0
02/11/2018 05:53:30.973333,26.28,58.0,23.0
02/11/2018 05:56:11.043333,34.83,57.0,23.0
02/11/2018 05:58:50.983333,27.11,57.0,23.0
02/11/2018 06:01:30.956666,27.05,56.0,22.0
02/11/2018 06:05:30.983333,31.24,57.0,23.0
02/11/2018 06:08:10.923333,29.74,55.0,22.0
02/11/2018 06:10:51.086666,32.51,56.0,20.0
02/11/2018 06:13:30.903333,32.46,57.0,19.0
02/11/2018 06:17:30.840000,47.21,58.0,20.0
02/11/2018 06:20:10.836666,28.05,58.0,21.0
02/11/2018 06:22:51.450000,26.97,57.0,21.0
02/11/2018 06:25:31.120000,28.54,57.0,20.0
02/11/2018 06:29:31.023333,28.76,58.0,21.0
02/11/2018 06:32:10.956666,27.41,58.0,20.0
02/11/2018 06:34:51.156666,31.89,58.0,19.0
02/11/2018 06:37:30.923333,34.17,59.0,19.0
02/11/2018 06:41:30.916666,30.92,59.0,19.0
02/11/2018 06:44:11.100000,27.66,60.0,20.0
02/11/2018 06:46:51.190000,28.21,61.0,20.0
02/11/2018 06:49:30.913333,30.74,59.0,20.0
02/11/2018 06:53:31.176666,26.89,59.0,21.0
02/11/2018 06:56:10.983333,28.38,58.0,20.0
02/11/2018 06:58:51.023333,28.6,58.0,20.0
02/11/2018 07:01:30.933333,27.59,59.0,21.0
02/11/2018 07:05:30.856666,27.19,56.0,21.0
02/11/2018 07:08:11.066666,28.94,56.0,19.0
02/11/2018 07:10:50.930000,29.41,57.0,19.0
02/11/2018 07:13:32.246666,32.92,58.0,20.0
02/11/2018 07:17:30.976666,34.89,57.0,20.0
02/11/2018 07:20:11.026666,30.97,56.0,18.0
02/11/2018 07:22:51.090000,28.95,57.0,17.0
02/11/2018 07:25:30.863333,27.89,59.0,19.0
02/11/2018 07:29:30.866666,26.81,59.0,20.0
02/11/2018 07:32:11.073333,29.79,58.0,20.0
02/11/2018 07:34:51.273333,27.26,56.0,19.0
02/11/2018 07:37:30.900000,27.78,57.0,18.0
02/11/2018 07:41:31.040000,30.92,58.0,18.0
02/11/2018 07:44:10.920000,27.46,57.0,19.0
02/11/2018 07:46:50.956666,26.74,57.0,19.0
02/11/2018 07:49:31.086666,27.46,56.0,19.0
02/11/2018 07:53:30.960000,30.26,58.0,19.0
02/11/2018 07:56:11.056666,30.49,57.0,18.0
02/11/2018 07:58:51.873333,31.35,58.0,18.0
02/11/2018 08:01:30.953333,32.05,59.0,18.0
02/11/2018 08:05:30.973333,28.5,59.0,18.0
02/11/2018 08:08:10.983333,30.63,59.0,18.0
02/11/2018 08:10:51.020000,27.57,60.0,19.0
02/11/2018 08:13:31.056666,28.32,60.0,19.0
02/11/2018 08:17:31.426666,28.43,57.0,17.0
02/11/2018 08:20:10.986666,33.23,59.0,18.0
02/11/2018 08:22:50.976666,28.22,58.0,18.0
02/11/2018 08:25:30.953333,29.79,57.0,17.0
02/11/2018 08:29:30.953333,30.53,58.0,17.0
02/11/2018 08:32:10.913333,27.79,59.0,18.0
02/11/2018 08:34:51.063333,30.37,58.0,18.0
02/11/2018 08:37:30.916666,28.26,58.0,18.0
02/11/2018 08:41:30.993333,31.32,57.0,18.0
02/11/2018 08:44:11.066666,25.67,57.0,18.0
02/11/2018 08:46:51.110000,30.54,56.0,17.0
02/11/2018 08:49:30.940000,30.87,57.0,16.0
02/11/2018 08:53:31.006666,28.58,58.0,18.0
02/11/2018 08:56:11.020000,29.32,57.0,18.0
02/11/2018 08:58:51.033333,32.11,57.0,17.0
02/11/2018 09:01:31.246666,28.1,57.0,17.0
02/11/2018 09:05:31.023333,28.36,57.0,17.0
02/11/2018 09:08:11.096666,28.32,57.0,17.0
02/11/2018 09:10:51.026666,29.11,57.0,18.0
02/11/2018 09:13:31.163333,31.26,57.0,18.0
02/11/2018 09:17:31.013333,33.41,56.0,18.0
02/11/2018 09:20:11.030000,27.84,56.0,18.0
02/11/2018 09:22:50.990000,28.95,57.0,18.0
02/11/2018 09:25:31.076666,30.22,58.0,18.0
02/11/2018 09:29:31.200000,26.76,58.0,18.0
02/11/2018 09:32:11.080000,27.58,59.0,19.0
02/11/2018 09:34:50.936666,27.84,59.0,19.0
02/11/2018 09:37:30.980000,30.65,58.0,18.0
02/11/2018 09:41:31.183333,31.24,59.0,19.0
02/11/2018 09:44:10.926666,28.21,59.0,19.0
02/11/2018 09:46:51.016666,25.73,59.0,19.0
02/11/2018 09:49:30.933333,26.74,59.0,19.0
02/11/2018 09:53:30.970000,27.89,58.0,19.0
02/11/2018 09:56:10.966666,27.74,57.0,19.0
02/11/2018 09:58:50.923333,29.58,57.0,19.0
02/11/2018 10:01:31.190000,29.26,57.0,19.0
02/11/2018 10:05:31.066666,30.42,58.0,19.0
02/11/2018 10:08:10.953333,29.49,58.0,19.0
02/11/2018 10:10:50.933333,29.58,58.0,19.0
02/11/2018 10:13:30.936666,27.11,58.0,19.0
02/11/2018 10:17:30.950000,29.22,59.0,20.0
02/11/2018 10:20:10.956666,28.24,59.0,20.0
02/11/2018 10:22:50.933333,27.33,59.0,20.0
02/11/2018 10:25:31.030000,27.59,59.0,20.0
02/11/2018 10:29:30.940000,27.14,59.0,20.0
02/11/2018 10:32:11.033333,26.0,59.0,20.0
02/11/2018 10:34:51.073333,27.63,58.0,20.0
02/11/2018 10:37:31.046666,27.46,59.0,21.0
02/11/2018 10:41:30.933333,27.21,58.0,20.0
02/11/2018 10:44:10.966666,28.43,58.0,21.0
02/11/2018 10:46:50.953333,30.32,58.0,21.0
02/11/2018 10:49:31.030000,30.32,59.0,21.0
02/11/2018 10:53:30.966666,28.92,58.0,21.0
02/11/2018 10:56:10.970000,27.53,58.0,21.0
