InstrumentName, Clarity-10 INACTIVE,,,,,,,
StartTime, 2019-09-01 00:00:00,,,,,,,
EndTime, 2019-09-30 23:59:59,,,,,,,
Date,pm10ConcMass,pm10ConcNum,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcNum,relHumid,temperature
09/01/2019 02:04:56.773000,15.411765,15.014706,6.588235,14.21353,11.941176,14.917647,21.681543,35.983063
09/01/2019 02:07:34.905000,9.705882,10.588234,4.529412,10.005882,7.529412,10.501177,21.602198,35.870911
09/01/2019 02:10:12.985000,14.588235,14.98941,6.823529,14.343529,10.882353,14.871764,21.626612,35.702675
09/01/2019 02:12:51.074000,8.823529,10.682941,3.705882,10.142941,7.117647,10.613529,21.580835,35.558479
09/01/2019 02:15:29.118000,10.705882,10.552941,4.0,9.985882,7.823529,10.453529,21.730373,35.406273
09/01/2019 02:18:07.266000,9.588235,11.168823,4.588235,10.525883,8.058824,11.104707,21.844816,35.251396
09/01/2019 02:20:45.281000,20.904764,17.796667,8.476191,16.962381,13.761906,17.622858,21.947052,35.165939
09/01/2019 02:23:23.405000,14.411765,14.637647,6.235294,13.895294,10.941176,14.525294,22.101168,35.08049
09/01/2019 02:26:01.423000,10.470589,11.350589,4.411765,10.707058,8.352942,11.271765,21.882963,34.997711
09/01/2019 02:28:39.488000,10.882353,11.795294,4.470588,11.20647,8.647058,11.715294,21.896696,34.925613
09/01/2019 02:31:17.521000,16.333334,15.264763,6.428572,14.406191,12.428572,15.13381,21.997406,34.842834
09/01/2019 02:33:55.621000,9.294118,9.349412,3.235294,8.911177,6.705883,9.245295,22.188145,34.786758
09/01/2019 02:36:33.600000,7.882353,8.574119,3.470588,8.126471,6.0,8.530001,22.185091,34.741356
09/01/2019 02:39:11.689000,9.529411,10.099412,3.764706,9.581764,7.058824,10.004706,22.023346,34.701302
09/01/2019 02:41:49.828000,10.176471,12.092354,4.529412,11.495294,8.470589,12.004118,22.1973,34.658577
09/01/2019 02:44:27.888000,10.941176,11.652941,4.470588,11.111176,8.764706,11.577059,22.253757,34.671928
09/01/2019 02:47:05.950000,12.619048,12.177621,5.238095,11.526668,8.761905,12.031905,22.906843,34.615852
09/01/2019 02:49:44.047000,7.764706,7.88647,2.529412,7.458235,5.294117,7.823529,22.670328,34.573128
09/01/2019 02:52:22.282000,9.058824,9.670588,3.058824,9.154119,6.647059,9.604117,22.636759,34.546425
09/01/2019 02:55:00.434000,7.823529,8.586471,2.764706,8.125295,5.882353,8.514706,22.789349,34.490349
09/01/2019 02:57:38.580000,8.705882,10.425295,3.823529,9.940589,7.294117,10.336471,22.944992,34.434273
09/01/2019 03:00:16.664000,15.190476,13.733335,5.285715,13.034762,10.333334,13.575237,23.227283,34.391548
09/01/2019 03:02:54.929000,11.882353,12.624705,4.764706,11.998824,9.705882,12.530588,23.013657,34.378197
09/01/2019 03:05:33.078000,13.882353,12.975294,5.764706,12.347059,9.529411,12.848236,23.471428,34.348824
09/01/2019 03:08:11.224000,10.529411,9.48,3.058824,8.785294,7.647059,9.372353,22.957199,34.348824
09/01/2019 03:10:49.287000,9.238095,8.763333,3.047619,8.251429,6.285715,8.655239,23.164721,34.250023
09/01/2019 03:13:27.429000,6.823529,8.529411,2.764706,8.204118,5.294117,8.462353,23.421072,34.124512
09/01/2019 03:16:05.523000,7.117647,8.052941,2.764706,7.641176,5.235294,7.987647,23.378347,34.025711
09/01/2019 03:18:43.663000,7.470588,8.125882,2.588235,7.687059,5.529412,8.09294,23.407339,33.913559
09/01/2019 03:21:21.757000,8.647058,8.281177,3.0,7.815883,6.176471,8.170588,23.382925,33.798737
09/01/2019 03:23:59.822000,7.294117,7.829412,2.588235,7.443529,5.117647,7.769412,23.588923,33.729301
09/01/2019 03:26:37.938000,8.294118,8.794705,3.058824,8.38353,5.529412,8.737059,23.709469,33.686577
09/01/2019 03:29:16.079000,6.0,7.377646,2.352941,7.085294,4.588235,7.339412,24.184023,33.5317
