InstrumentName, Wash Park West B
StartTime, 2019-09-01 00:00:00
EndTime, 2019-09-30 23:59:59
Date,PM2.5
09/01/2019 00:01:42.843000,0.0
09/01/2019 00:05:42.669000,0.0
09/01/2019 00:09:42.671000,0.0
09/01/2019 00:13:42.637000,0.0
09/01/2019 00:17:42.675000,0.0
09/01/2019 00:21:43.972000,0.0
09/01/2019 00:25:42.702000,0.0
09/01/2019 00:29:42.686000,0.0
09/01/2019 00:33:42.720000,0.0
09/01/2019 00:37:42.735000,0.0
09/01/2019 00:41:42.679000,0.0
09/01/2019 00:45:43.303000,0.0
09/01/2019 00:49:42.945000,0.0
09/01/2019 00:53:43.294000,0.0
09/01/2019 00:57:42.870000,0.0
09/01/2019 01:01:42.685000,0.0
09/01/2019 01:05:42.764000,0.0
09/01/2019 01:09:42.688000,0.0
09/01/2019 01:13:42.730000,0.0
09/01/2019 01:17:42.740000,0.0
09/01/2019 01:21:42.746000,0.0
09/01/2019 01:25:42.722000,0.0
09/01/2019 01:29:42.724000,0.0
09/01/2019 01:33:42.768000,0.0
09/01/2019 01:37:42.771000,0.0
09/01/2019 01:41:42.722000,0.0
09/01/2019 01:45:42.775000,0.0
09/01/2019 01:49:42.747000,0.0
09/01/2019 01:53:42.977000,0.0
09/01/2019 01:57:42.793000,0.0
09/01/2019 02:01:42.743000,0.0
09/01/2019 02:05:42.778000,0.0
09/01/2019 02:09:42.798000,0.0
09/01/2019 02:13:42.795000,0.0
09/01/2019 02:17:42.791000,0.0
09/01/2019 02:21:42.787000,0.0
09/01/2019 02:25:42.814000,0.0
09/01/2019 02:29:42.788000,0.0
09/01/2019 02:33:42.815000,0.0
09/01/2019 02:37:42.803000,0.0
09/01/2019 02:41:42.883000,0.0
09/01/2019 02:45:42.859000,0.0
09/01/2019 02:49:42.799000,0.0
09/01/2019 02:53:43.148000,0.0
09/01/2019 02:57:42.812000,0.0
09/01/2019 03:01:42.859000,0.0
09/01/2019 03:05:42.943000,0.0
09/01/2019 03:09:42.961000,0.0
09/01/2019 03:13:42.870000,0.0
