InstrumentName, Welby,,,
StartTime, 2019-09-01 00:00:00,,,
EndTime, 2019-09-30 23:59:59,,,
Date,NO2,O3,PM10,SO2
09/01/2019 00:00:00.000000,1.0,49.0,,0.0
09/01/2019 01:00:00.000000,2.0,50.0,,0.0
09/01/2019 02:00:00.000000,5.0,47.0,97.0,0.0
09/01/2019 03:00:00.000000,5.0,45.0,55.0,0.0
09/01/2019 04:00:00.000000,3.0,41.0,47.0,0.0
09/01/2019 05:00:00.000000,,36.0,54.0,0.0
09/01/2019 06:00:00.000000,17.0,29.0,49.0,0.0
09/01/2019 07:00:00.000000,16.0,24.0,47.0,1.0
09/01/2019 08:00:00.000000,19.0,24.0,47.0,0.0
09/01/2019 09:00:00.000000,16.0,18.0,50.0,0.0
09/01/2019 10:00:00.000000,18.0,14.0,41.0,0.0
09/01/2019 11:00:00.000000,14.0,11.0,27.0,0.0
09/01/2019 12:00:00.000000,15.0,12.0,30.0,0.0
09/01/2019 13:00:00.000000,12.0,14.0,30.0,0.0
09/01/2019 14:00:00.000000,6.0,26.0,59.0,0.0
09/01/2019 15:00:00.000000,4.0,24.0,85.0,0.0
09/01/2019 16:00:00.000000,6.0,31.0,,0.0
09/01/2019 17:00:00.000000,4.0,39.0,,0.0
09/01/2019 18:00:00.000000,2.0,45.0,,0.0
09/01/2019 19:00:00.000000,0.0,49.0,,0.0
09/01/2019 20:00:00.000000,1.0,51.0,,0.0
09/01/2019 21:00:00.000000,0.0,55.0,,0.0
09/01/2019 22:00:00.000000,0.0,52.0,,0.0
09/01/2019 23:00:00.000000,0.0,48.0,,0.0
09/02/2019 00:00:00.000000,2.0,49.0,,0.0
09/02/2019 01:00:00.000000,7.0,44.0,,0.0
09/02/2019 02:00:00.000000,11.0,38.0,88.0,0.0
09/02/2019 03:00:00.000000,24.0,30.0,65.0,0.0
09/02/2019 04:00:00.000000,28.0,22.0,65.0,0.0
09/02/2019 05:00:00.000000,,15.0,51.0,0.0
09/02/2019 06:00:00.000000,22.0,12.0,48.0,0.0
