"date","ID","Site","SensorType","Lat","Long","parameter","val","flag","parameter_units"
2018-01-25 18:00:00,"Indoor",NA,NA,NA,NA,"pm25_p",105.876363636364,"","ug/m3"
2018-01-25 19:00:00,"Indoor",NA,NA,NA,NA,"pm25_p",14.6712,"","ug/m3"
2018-01-25 18:00:00,"Indoor B",NA,NA,NA,NA,"pm25_p",105.876363636364,"","ug/m3"
2018-01-25 19:00:00,"Indoor B",NA,NA,NA,NA,"pm25_p",14.6712,"","ug/m3"
2017-12-31 18:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",26.17,"","ug/m3"
2017-12-31 19:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
2017-12-31 20:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
2017-12-31 21:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",25.1571428571429,"","ug/m3"
2017-12-31 22:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",26.946,"","ug/m3"
2017-12-31 23:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",NA,"missing","ug/m3"
2018-01-01 00:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",25.6866666666667,"","ug/m3"
2018-01-01 01:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",26.634,"","ug/m3"
2018-01-01 02:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",26.014,"","ug/m3"
2018-01-01 03:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",26.9216666666667,"","ug/m3"
2018-01-01 04:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",26.5596666666667,"","ug/m3"
2018-01-01 05:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",26.819,"","ug/m3"
2018-01-01 06:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",31.9073333333333,"","ug/m3"
2018-01-01 07:00:00,"Thornton",NA,NA,NA,NA,"pm25_p",30.6553333333333,"","ug/m3"
