InstrumentName, Manual HS (CS9),,,,,,,,,,,,,,
StartTime, 2019-03-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2019-03-31 23:59:59,,,,,,,,,,,,,,
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,PM2_52,Sig,Temp,Uncertainty,pm25_r
03/21/2019 20:57:07.503000,0.0,0.0,0.0,24.2,39.725544,-105.013153,1.35,0.35,,,0.35,15.0,60.44,1807.0,1.0
03/21/2019 20:58:06.627000,0.0,0.0,0.0,23.8,39.725544,-105.013153,1.08,1.81,0.02,1.09,1.41,15.0,60.26,1807.0,0.74
03/21/2019 20:59:07.097000,0.0,0.0,0.0,23.5,39.725544,-105.013153,0.8,3.15,0.1,2.28,2.8,14.0,60.26,1807.0,0.8
03/21/2019 21:00:06.973000,0.0,0.0,0.0,23.3,39.725544,-105.013153,0.9,1.45,0.48,0.7,1.45,16.0,60.08,1807.0,0.9
03/21/2019 21:01:06.490000,0.0,0.0,0.0,23.5,39.725544,-105.013153,1.5,1.52,0.58,0.57,1.32,16.0,59.9,1807.0,1.27
03/21/2019 21:02:05.993000,0.0,0.0,0.0,23.3,39.725544,-105.013153,1.4,1.4,0.5,0.37,1.08,17.0,60.08,1807.0,1.17
03/21/2019 21:03:07.527000,0.0,0.0,0.0,23.5,39.725544,-105.013153,0.98,1.67,0.38,0.45,1.28,12.0,60.08,1807.0,0.98
03/21/2019 21:04:07.700000,0.0,0.0,0.0,26.2,39.725544,-105.013153,1.1,1.77,0.25,0.33,1.18,15.0,60.26,1807.0,1.1
03/21/2019 21:05:05.293000,0.0,0.0,0.0,24.3,39.725544,-105.013153,1.15,1.35,0.27,0.37,0.9,15.0,60.26,1807.0,1.15
03/21/2019 21:06:06.590000,0.0,0.0,0.0,26.2,39.725544,-105.013153,1.23,1.13,0.28,0.4,0.98,15.0,60.44,1807.0,1.23
03/21/2019 21:07:07.357000,0.0,0.0,0.0,26.3,39.725544,-105.013153,1.37,1.57,0.45,0.6,1.37,15.0,60.8,1807.0,1.12
03/21/2019 21:08:07.907000,0.0,0.0,0.0,25.8,39.725544,-105.013153,1.37,1.8,0.68,0.53,1.13,15.0,60.98,1807.0,1.12
03/21/2019 21:09:06.767000,0.0,0.0,0.0,26.3,39.725544,-105.013153,1.23,1.3,0.5,0.28,0.77,15.0,61.16,1807.0,0.97
03/21/2019 21:10:08.423000,0.0,0.0,0.0,25.4,39.725544,-105.013153,1.12,0.8,0.5,0.17,0.78,14.0,61.34,1807.0,0.85
03/21/2019 21:11:07.783000,0.0,0.0,0.0,26.1,39.725544,-105.013153,0.9,1.05,0.48,,1.03,15.0,61.34,1807.0,0.9
03/21/2019 21:12:06.737000,0.0,0.0,0.0,25.1,39.725544,-105.013153,0.93,1.52,0.4,0.33,1.22,15.0,61.52,1807.0,0.93
03/21/2019 21:13:06.490000,0.0,0.0,0.0,25.5,39.725544,-105.013153,1.25,1.08,0.8,0.82,1.05,15.0,61.88,1807.0,1.13
03/21/2019 21:14:06.833000,0.0,0.0,0.0,25.8,39.725544,-105.013153,1.32,1.27,0.77,0.82,1.25,14.0,62.06,1807.0,1.03
03/21/2019 21:15:06.880000,0.0,0.0,0.0,26.0,39.725544,-105.013153,0.65,1.18,0.3,0.45,1.18,15.0,62.24,1807.0,0.65
03/21/2019 21:16:07.850000,0.0,0.0,0.0,24.3,39.725544,-105.013153,0.73,1.02,0.15,0.22,1.02,19.0,62.24,1807.0,0.73
03/21/2019 21:17:05.663000,0.0,0.0,0.0,23.4,39.725544,-105.013153,1.43,1.27,0.55,0.6,0.98,20.0,62.42,1807.0,1.15
03/21/2019 21:18:07.210000,0.0,0.0,0.0,23.1,39.725544,-105.013153,1.25,1.25,0.67,0.8,0.97,20.0,62.6,1807.0,0.97
03/21/2019 21:19:05.963000,0.0,0.0,0.0,22.5,39.725544,-105.013153,1.0,0.98,0.3,0.4,0.98,20.0,62.6,1807.0,0.92
03/21/2019 21:20:06.760000,0.0,0.0,0.0,22.5,39.725544,-105.013153,1.32,1.13,0.38,0.53,1.12,19.0,62.78,1807.0,1.0
03/21/2019 21:21:05.403000,0.0,0.0,0.0,22.7,39.725544,-105.013153,1.23,1.68,0.38,0.65,1.12,19.0,62.78,1807.0,0.97
03/21/2019 21:22:06.357000,0.0,0.0,0.0,22.7,39.725544,-105.013153,1.22,1.52,0.67,0.67,0.87,20.0,62.6,1807.0,1.1
03/21/2019 21:23:07.530000,0.0,0.0,0.0,22.5,39.725544,-105.013153,0.9,1.25,0.53,0.67,1.25,20.0,62.6,1807.0,0.9
03/21/2019 21:24:08.780000,0.0,0.0,0.0,22.3,39.725544,-105.013153,1.12,1.23,0.55,0.53,1.23,20.0,62.6,1807.0,1.12
03/21/2019 21:25:05.173000,0.0,0.0,0.0,22.2,39.725544,-105.013153,1.15,0.67,0.53,0.27,0.67,20.0,62.6,1807.0,1.15
03/21/2019 21:26:06.033000,0.0,0.0,0.0,22.4,39.725544,-105.013153,1.15,0.95,0.32,0.3,0.95,20.0,62.6,1807.0,1.15
03/21/2019 21:27:08.207000,0.0,0.0,1.0,22.3,39.725544,-105.013153,1.08,1.17,0.4,0.82,1.17,20.0,62.6,1807.0,1.08
03/21/2019 21:28:06.113000,0.0,0.0,0.0,22.6,39.725544,-105.013153,0.63,1.2,,0.63,1.2,19.0,62.6,1807.0,0.63
03/21/2019 21:29:07.130000,0.0,0.0,0.0,22.5,39.725544,-105.013153,1.12,1.07,0.28,0.22,0.98,20.0,62.6,1807.0,0.82
03/21/2019 21:30:06.253000,0.0,0.0,0.0,22.3,39.725544,-105.013153,1.4,1.03,0.37,0.37,0.92,19.0,62.6,1807.0,0.87
03/21/2019 21:31:06.397000,0.0,0.0,0.0,22.2,39.725544,-105.013153,0.98,1.2,0.43,0.47,1.02,20.0,62.42,1807.0,0.93
03/21/2019 21:32:05.020000,0.0,0.0,0.0,22.4,39.725544,-105.013153,1.18,1.4,0.63,0.78,1.27,20.0,62.24,1807.0,0.92
03/21/2019 21:33:07.303000,0.0,0.0,0.0,22.7,39.725544,-105.013153,1.3,1.32,0.77,0.98,1.28,20.0,62.24,1807.0,1.08
03/21/2019 21:34:05.570000,0.0,0.0,0.0,22.7,39.725544,-105.013153,1.42,1.03,0.9,0.93,1.03,20.0,62.24,1807.0,1.42
03/21/2019 21:35:07.180000,0.0,0.0,0.0,22.8,39.725544,-105.013153,1.5,2.02,1.07,1.25,1.7,20.0,62.06,1807.0,1.5
03/21/2019 21:36:07.010000,0.0,0.0,0.0,23.1,39.725544,-105.013153,1.35,2.67,0.82,1.38,2.08,19.0,62.24,1807.0,1.35
03/21/2019 21:37:07.180000,0.0,0.0,0.0,22.9,39.725544,-105.013153,1.63,2.12,0.78,0.77,1.7,20.0,62.06,1807.0,1.63
03/21/2019 21:38:06.887000,0.0,0.0,0.0,22.8,39.725544,-105.013153,2.05,1.73,0.87,0.58,1.6,20.0,62.24,1807.0,1.8
03/21/2019 21:39:07.683000,0.0,0.0,0.0,22.7,39.725544,-105.013153,1.97,1.28,0.92,0.4,1.13,20.0,62.06,1807.0,1.62
03/21/2019 21:40:05.543000,0.0,0.0,0.0,22.7,39.725544,-105.013153,1.4,2.23,0.7,0.65,1.05,19.0,62.24,1807.0,1.4
03/21/2019 21:41:06.077000,0.0,0.0,0.0,22.7,39.725544,-105.013153,1.15,2.42,0.57,0.87,1.4,19.0,62.24,1807.0,1.15
03/21/2019 21:42:05.267000,0.0,0.0,0.0,22.6,39.725544,-105.013153,1.3,1.28,0.1,0.52,1.28,20.0,62.24,1807.0,0.68
03/21/2019 21:43:06.673000,0.0,0.0,0.0,22.7,39.725544,-105.013153,1.45,1.42,,0.38,1.05,19.0,62.24,1807.0,0.83
03/21/2019 21:44:05.393000,0.0,0.0,0.0,22.9,39.725544,-105.013153,1.52,1.87,0.25,0.63,1.33,20.0,62.24,1807.0,0.98
03/21/2019 21:45:06.347000,0.0,0.0,0.0,22.8,39.725544,-105.013153,2.03,1.55,0.62,0.82,1.27,20.0,62.24,1807.0,1.32
03/21/2019 21:46:07.957000,0.0,0.0,0.0,23.0,39.725544,-105.013153,1.65,1.5,0.52,0.7,1.42,19.0,62.24,1807.0,1.4
03/21/2019 21:47:06.363000,0.0,0.0,0.0,23.0,39.725544,-105.013153,1.4,2.05,0.43,0.92,1.78,19.0,62.24,1807.0,1.4
03/21/2019 21:48:05.833000,0.0,0.0,0.0,22.5,39.725544,-105.013153,1.07,1.5,0.48,0.52,1.3,20.0,62.24,1807.0,1.07
03/21/2019 21:49:06.883000,0.0,0.0,0.0,22.7,39.725544,-105.013153,0.98,1.95,0.58,0.97,1.53,19.0,62.24,1807.0,0.98
                
