InstrumentName, I-25 Globeville,
StartTime, 2019-03-01 00:00:00,
EndTime, 2019-03-31 23:59:59,
Date,NO2,PM2.5
03/01/2019 00:00:00.000000,32.0,13.2
03/01/2019 01:00:00.000000,38.0,13.5
03/01/2019 02:00:00.000000,43.0,15.2
03/01/2019 03:00:00.000000,45.0,16.4
03/01/2019 04:00:00.000000,45.0,18.8
03/01/2019 05:00:00.000000,,19.5
03/01/2019 06:00:00.000000,39.0,16.6
03/01/2019 07:00:00.000000,40.0,15.5
03/01/2019 08:00:00.000000,44.0,16.7
03/01/2019 09:00:00.000000,44.0,16.7
03/01/2019 10:00:00.000000,50.0,17.9
03/01/2019 11:00:00.000000,51.0,18.5
03/01/2019 12:00:00.000000,47.0,14.4
03/01/2019 13:00:00.000000,49.0,15.4
03/01/2019 14:00:00.000000,61.0,21.5
03/01/2019 15:00:00.000000,47.0,20.7
03/01/2019 16:00:00.000000,42.0,19.7
03/01/2019 17:00:00.000000,21.0,16.2
03/01/2019 18:00:00.000000,18.0,14.0
03/01/2019 19:00:00.000000,9.0,14.0
03/01/2019 20:00:00.000000,8.0,11.1
03/01/2019 21:00:00.000000,9.0,8.7
03/01/2019 22:00:00.000000,8.0,8.2
03/01/2019 23:00:00.000000,10.0,7.6
03/02/2019 00:00:00.000000,9.0,7.4
03/02/2019 01:00:00.000000,10.0,6.5
03/02/2019 02:00:00.000000,12.0,6.2
03/02/2019 03:00:00.000000,8.0,5.9
03/02/2019 04:00:00.000000,10.0,6.0
03/02/2019 05:00:00.000000,,6.3
03/02/2019 06:00:00.000000,24.0,7.3
03/02/2019 07:00:00.000000,16.0,7.3
03/02/2019 08:00:00.000000,13.0,7.7
03/02/2019 09:00:00.000000,14.0,8.9
03/02/2019 10:00:00.000000,13.0,8.8
03/02/2019 11:00:00.000000,10.0,6.4
03/02/2019 12:00:00.000000,12.0,5.0
03/02/2019 13:00:00.000000,18.0,4.4
03/02/2019 14:00:00.000000,17.0,4.3
03/02/2019 15:00:00.000000,,4.3
03/02/2019 23:00:00.000000,20.0,9.8
03/03/2019 00:00:00.000000,17.0,9.4
03/03/2019 01:00:00.000000,17.0,9.1
03/03/2019 02:00:00.000000,10.0,9.2
03/03/2019 03:00:00.000000,8.0,9.2
03/03/2019 04:00:00.000000,8.0,9.0
03/03/2019 05:00:00.000000,,8.4
03/03/2019 06:00:00.000000,7.0,7.5
03/03/2019 07:00:00.000000,10.0,6.1
03/03/2019 08:00:00.000000,9.0,5.1
03/03/2019 09:00:00.000000,10.0,5.1
03/03/2019 10:00:00.000000,8.0,4.1
03/03/2019 11:00:00.000000,9.0,3.8
03/03/2019 12:00:00.000000,12.0,3.9
03/03/2019 13:00:00.000000,12.0,4.2
03/03/2019 14:00:00.000000,9.0,4.4
03/03/2019 15:00:00.000000,10.0,5.2
03/03/2019 16:00:00.000000,9.0,5.8
03/03/2019 17:00:00.000000,7.0,6.5
03/03/2019 18:00:00.000000,8.0,8.2
03/03/2019 19:00:00.000000,9.0,12.2
03/03/2019 20:00:00.000000,10.0,14.2
03/03/2019 21:00:00.000000,10.0,12.3
03/03/2019 22:00:00.000000,9.0,11.2
03/03/2019 23:00:00.000000,10.0,10.1
03/04/2019 00:00:00.000000,13.0,9.2
03/04/2019 01:00:00.000000,15.0,8.5
03/04/2019 02:00:00.000000,13.0,8.2
03/04/2019 03:00:00.000000,16.0,7.7
03/04/2019 04:00:00.000000,22.0,8.1
03/04/2019 05:00:00.000000,,9.3
03/04/2019 06:00:00.000000,35.0,11.7
03/04/2019 07:00:00.000000,41.0,14.6
03/04/2019 08:00:00.000000,43.0,16.7
03/04/2019 09:00:00.000000,46.0,19.0
03/04/2019 10:00:00.000000,49.0,21.2
03/04/2019 11:00:00.000000,54.0,21.7
03/04/2019 12:00:00.000000,60.0,21.7
03/04/2019 13:00:00.000000,55.0,23.8
03/04/2019 14:00:00.000000,51.0,26.6
03/04/2019 15:00:00.000000,52.0,31.1
03/04/2019 16:00:00.000000,48.0,33.8
03/04/2019 17:00:00.000000,48.0,35.7
03/04/2019 18:00:00.000000,42.0,34.0
03/04/2019 19:00:00.000000,36.0,30.9
03/04/2019 20:00:00.000000,32.0,28.0
03/04/2019 21:00:00.000000,25.0,23.6
03/04/2019 22:00:00.000000,20.0,19.7
