InstrumentName, La Casa NCORE,,,,
StartTime, 2019-03-01 00:00:00,,,,
EndTime, 2019-03-31 23:59:59,,,,
Date,Carbon monoxide,Nitrogen dioxide,Ozone,PM10 Total 0-10um STP,PM2.5 Total Atmospheric
03/02/2019 07:00:00.000000,0.192015,11.600033,0.00025,19.193187,7.174853
03/02/2019 07:01:00.000000,0.193298,12.144345,8.3e-05,18.791816,7.118011
03/02/2019 07:02:00.000000,0.183518,11.263896,-9999.0,17.998034,7.075104
03/02/2019 07:03:00.000000,0.188857,11.3779,8.3e-05,17.847191,6.970995
03/02/2019 07:04:00.000000,0.186982,11.733405,0.000417,18.315198,6.946121
03/02/2019 07:05:00.000000,0.17865,11.296809,0.0002,18.346223,6.886946
03/02/2019 07:06:00.000000,0.167278,10.543752,0.008183,19.461024,6.866912
03/02/2019 07:07:00.000000,0.167046,10.636939,0.03085,17.698785,6.817586
03/02/2019 07:08:00.000000,0.166192,10.796991,0.0284,16.926087,6.785234
03/02/2019 07:09:00.000000,0.166991,10.810645,0.026733,15.879963,6.73302
03/02/2019 07:10:00.000000,0.167552,10.587501,0.026567,16.127211,6.726672
03/02/2019 07:11:00.000000,0.167908,10.339221,0.027017,16.303025,6.702299
03/02/2019 07:12:00.000000,0.162315,9.551277,0.027917,16.351407,6.692492
03/02/2019 07:13:00.000000,0.163062,9.970527,0.027667,16.607874,6.692257
03/02/2019 07:14:00.000000,0.164431,10.400263,0.026867,16.37757,6.69489
03/02/2019 07:15:00.000000,0.164373,10.021413,0.02775,15.44285,6.652027
03/02/2019 07:16:00.000000,0.166786,9.085029,0.0288,15.084246,6.663251
03/02/2019 07:17:00.000000,0.145741,8.937583,0.0288,13.787206,6.645155
03/02/2019 07:18:00.000000,0.148596,9.524878,0.0286,13.613909,6.625289
03/02/2019 07:19:00.000000,0.155236,9.249371,0.02815,13.375616,6.596219
03/02/2019 07:20:00.000000,0.149914,8.228569,0.0288,13.651189,6.586297
03/02/2019 07:21:00.000000,0.144831,8.383781,0.028617,13.58157,6.556247
03/02/2019 07:22:00.000000,0.148317,9.314,0.027133,13.616032,6.527246
03/02/2019 07:23:00.000000,0.152054,7.976666,0.027867,13.532257,6.472314
03/02/2019 07:24:00.000000,0.136241,7.4495,0.02885,13.281009,6.434127
03/02/2019 07:25:00.000000,0.14415,8.282886,0.027383,12.889197,6.388675
03/02/2019 07:26:00.000000,0.169067,12.075535,0.0257,12.841894,6.37216
03/02/2019 07:27:00.000000,0.179969,10.592265,0.025133,12.910888,6.368714
03/02/2019 07:28:00.000000,0.1624,8.242241,0.026883,12.938772,6.331303
03/02/2019 07:29:00.000000,0.152853,7.804574,0.02755,12.911895,6.350112
03/02/2019 07:30:00.000000,0.14911,8.07204,0.0275,12.870003,6.333434
03/02/2019 07:31:00.000000,0.175868,8.316816,0.027133,12.451132,6.304435
03/02/2019 07:32:00.000000,0.151837,8.137503,0.026983,12.410456,6.268345
03/02/2019 07:33:00.000000,0.139354,8.236258,0.025983,13.04279,6.301627
03/02/2019 07:34:00.000000,0.157109,8.238733,0.026167,12.903726,6.313483
03/02/2019 07:35:00.000000,0.158975,8.204175,0.026267,12.891752,6.32796
03/02/2019 07:36:00.000000,0.160305,8.432183,0.025917,12.896399,6.328308
03/02/2019 07:37:00.000000,0.165327,8.11036,0.026517,12.79204,6.296503
03/02/2019 07:38:00.000000,0.158507,8.061798,0.02685,12.71739,6.243698
03/02/2019 07:39:00.000000,0.158191,7.761524,0.0266,12.674371,6.258321
03/02/2019 07:40:00.000000,0.157101,7.399983,0.026283,12.967401,6.250726
03/02/2019 07:41:00.000000,0.144022,7.572186,0.025783,13.328481,6.25102
03/02/2019 07:42:00.000000,0.147015,7.237869,0.026867,13.055127,6.272208
03/02/2019 07:43:00.000000,0.146161,6.778756,0.027967,13.056109,6.28091
03/02/2019 07:44:00.000000,0.13752,6.549045,0.027483,12.296126,6.264332
03/02/2019 07:45:00.000000,0.140173,6.660321,0.0281,12.687585,6.277977
03/02/2019 07:46:00.000000,0.139805,6.489626,0.027917,12.627492,6.300774
03/02/2019 07:47:00.000000,0.13621,6.423556,0.026667,13.597943,6.340377
03/02/2019 07:48:00.000000,0.14332,6.685298,0.026817,14.605127,6.401467
03/02/2019 07:49:00.000000,0.154273,7.060979,0.027117,15.04388,6.458966
