InstrumentName, Wash Park West B,,
StartTime, 2019-03-01 00:00:00,,
EndTime, 2019-03-31 23:59:59,,
Date,PM2.5,humidity,temp_f
03/01/2019 00:01:49.792000,3.11,24.0,61.0
03/01/2019 00:03:10.790000,2.43,25.0,61.0
03/01/2019 00:05:49.794000,3.85,26.0,60.0
03/01/2019 00:07:09.842000,7.39,27.0,59.0
03/01/2019 00:09:49.791000,9.49,29.0,59.0
03/01/2019 00:11:09.341000,8.54,30.0,58.0
03/01/2019 00:13:49.862000,9.19,31.0,58.0
03/01/2019 00:15:09.802000,9.39,31.0,57.0
03/01/2019 00:16:29.815000,9.59,31.0,57.0
03/01/2019 00:19:09.952000,9.65,32.0,57.0
03/01/2019 00:21:54.917000,8.56,33.0,56.0
03/01/2019 00:23:09.783000,9.96,33.0,56.0
03/01/2019 00:25:49.839000,10.96,33.0,55.0
03/01/2019 00:27:09.845000,9.7,34.0,55.0
03/01/2019 00:28:29.797000,10.93,34.0,55.0
03/01/2019 00:31:09.816000,10.69,34.0,55.0
03/01/2019 00:33:49.831000,11.22,34.0,55.0
03/01/2019 00:35:09.844000,10.13,35.0,54.0
03/01/2019 00:37:49.814000,9.74,35.0,54.0
03/01/2019 00:41:49.816000,12.7,35.0,54.0
03/01/2019 00:43:08.774000,13.15,36.0,54.0
03/01/2019 00:44:29.869000,12.11,36.0,54.0
03/01/2019 00:47:09.839000,12.74,36.0,53.0
03/01/2019 00:49:49.848000,14.8,36.0,53.0
03/01/2019 00:51:10.072000,14.3,37.0,53.0
03/01/2019 00:53:48.600000,21.36,37.0,53.0
03/01/2019 00:55:09.890000,23.2,37.0,53.0
03/01/2019 00:57:49.857000,36.48,37.0,52.0
03/01/2019 01:01:49.868000,46.66,38.0,52.0
03/01/2019 01:03:09.836000,25.53,38.0,52.0
03/01/2019 01:05:49.838000,14.46,38.0,52.0
03/01/2019 01:07:09.888000,14.42,38.0,52.0
03/01/2019 01:09:49.833000,17.2,38.0,51.0
03/01/2019 01:11:09.870000,21.93,39.0,51.0
03/01/2019 01:13:49.843000,16.24,39.0,51.0
03/01/2019 01:14:59.738000,15.61,39.0,52.0
03/01/2019 01:17:49.954000,14.53,39.0,52.0
03/01/2019 01:21:49.862000,14.49,39.0,52.0
03/01/2019 01:23:09.930000,14.81,39.0,51.0
03/01/2019 01:25:49.964000,15.29,39.0,51.0
03/01/2019 01:29:49.864000,13.65,39.0,51.0
03/01/2019 01:31:09.885000,13.13,39.0,51.0
03/01/2019 01:33:49.938000,13.47,39.0,51.0
03/01/2019 01:35:10.852000,14.48,39.0,51.0
03/01/2019 01:37:49.948000,18.02,39.0,51.0
03/01/2019 01:39:09.882000,15.72,39.0,51.0
03/01/2019 01:40:29.873000,14.5,39.0,51.0
03/01/2019 01:45:49.868000,14.72,39.0,51.0
03/01/2019 01:47:09.878000,15.02,39.0,51.0
03/01/2019 01:48:29.905000,14.43,39.0,50.0
03/01/2019 01:53:49.881000,14.66,39.0,50.0
03/01/2019 01:55:09.887000,14.46,39.0,50.0
03/01/2019 01:57:49.879000,15.91,40.0,50.0
03/01/2019 02:01:49.889000,13.64,40.0,50.0
03/01/2019 02:03:09.879000,14.38,40.0,50.0
03/01/2019 02:05:49.917000,14.36,40.0,50.0
03/01/2019 02:07:09.920000,14.3,40.0,50.0
03/01/2019 02:09:50.320000,14.02,40.0,50.0
03/01/2019 02:13:49.884000,14.89,40.0,50.0
03/01/2019 02:15:09.533000,12.94,40.0,50.0
03/01/2019 02:17:52.010000,14.47,40.0,49.0
03/01/2019 02:19:10.014000,15.2,40.0,49.0
03/01/2019 02:21:50.078000,19.78,41.0,49.0
03/01/2019 02:23:09.950000,19.15,41.0,49.0
03/01/2019 02:29:49.910000,33.87,41.0,49.0
03/01/2019 02:31:09.963000,30.98,42.0,49.0
03/01/2019 02:32:30.463000,26.96,42.0,49.0
03/01/2019 02:35:10.054000,26.33,42.0,48.0
03/01/2019 02:36:29.390000,24.07,42.0,48.0
03/01/2019 02:39:09.998000,23.43,42.0,48.0
03/01/2019 02:41:49.918000,23.43,42.0,48.0
03/01/2019 02:43:09.980000,26.26,42.0,48.0
03/01/2019 02:45:49.937000,31.58,43.0,48.0
03/01/2019 02:47:12.152000,33.02,43.0,48.0
03/01/2019 02:49:49.996000,31.3,43.0,48.0
