InstrumentName, Welby,,,
StartTime, 2019-03-01 00:00:00,,,
EndTime, 2019-03-31 23:59:59,,,
Date,NO2,O3,PM10,SO2
03/01/2019 00:00:00.000000,14.0,25.0,36.0,0.0
03/01/2019 01:00:00.000000,20.0,24.0,33.0,0.0
03/01/2019 02:00:00.000000,34.0,18.0,36.0,0.0
03/01/2019 03:00:00.000000,38.0,12.0,30.0,0.0
03/01/2019 04:00:00.000000,40.0,7.0,34.0,1.0
03/01/2019 05:00:00.000000,,0.0,33.0,1.0
03/01/2019 06:00:00.000000,36.0,0.0,32.0,1.0
03/01/2019 07:00:00.000000,35.0,0.0,28.0,1.0
03/01/2019 08:00:00.000000,33.0,0.0,24.0,0.0
03/01/2019 09:00:00.000000,32.0,0.0,20.0,1.0
03/01/2019 10:00:00.000000,31.0,0.0,17.0,1.0
03/01/2019 11:00:00.000000,31.0,0.0,16.0,1.0
03/01/2019 12:00:00.000000,35.0,0.0,17.0,1.0
03/01/2019 13:00:00.000000,44.0,0.0,20.0,2.0
03/01/2019 14:00:00.000000,47.0,2.0,32.0,3.0
03/01/2019 15:00:00.000000,26.0,10.0,37.0,1.0
03/01/2019 16:00:00.000000,22.0,18.0,40.0,1.0
03/01/2019 17:00:00.000000,15.0,15.0,34.0,1.0
03/01/2019 18:00:00.000000,9.0,20.0,37.0,0.0
03/01/2019 19:00:00.000000,6.0,26.0,26.0,0.0
03/01/2019 20:00:00.000000,4.0,31.0,19.0,0.0
03/01/2019 21:00:00.000000,3.0,39.0,19.0,0.0
03/01/2019 22:00:00.000000,3.0,39.0,19.0,0.0
03/01/2019 23:00:00.000000,6.0,39.0,21.0,0.0
03/02/2019 00:00:00.000000,,37.0,21.0,
03/02/2019 02:00:00.000000,6.0,,,0.0
03/02/2019 03:00:00.000000,6.0,36.0,10.0,0.0
03/02/2019 04:00:00.000000,7.0,34.0,14.0,0.0
03/02/2019 05:00:00.000000,,31.0,13.0,0.0
03/02/2019 06:00:00.000000,7.0,28.0,11.0,0.0
03/02/2019 07:00:00.000000,6.0,28.0,10.0,0.0
03/02/2019 08:00:00.000000,6.0,27.0,13.0,0.0
03/02/2019 09:00:00.000000,6.0,26.0,11.0,0.0
03/02/2019 10:00:00.000000,5.0,26.0,6.0,0.0
03/02/2019 11:00:00.000000,4.0,27.0,6.0,0.0
03/02/2019 12:00:00.000000,3.0,28.0,2.0,0.0
03/02/2019 13:00:00.000000,4.0,29.0,2.0,0.0
03/02/2019 14:00:00.000000,4.0,29.0,7.0,0.0
03/02/2019 15:00:00.000000,,29.0,7.0,
03/02/2019 23:00:00.000000,6.0,38.0,8.0,0.0
03/03/2019 00:00:00.000000,7.0,38.0,8.0,0.0
03/03/2019 01:00:00.000000,6.0,41.0,9.0,0.0
03/03/2019 02:00:00.000000,6.0,42.0,8.0,0.0
03/03/2019 03:00:00.000000,6.0,43.0,8.0,0.0
03/03/2019 04:00:00.000000,6.0,43.0,7.0,0.0
03/03/2019 05:00:00.000000,,43.0,7.0,0.0
03/03/2019 06:00:00.000000,5.0,43.0,5.0,0.0
03/03/2019 07:00:00.000000,6.0,42.0,5.0,0.0
03/03/2019 08:00:00.000000,3.0,43.0,5.0,0.0
03/03/2019 09:00:00.000000,4.0,42.0,4.0,0.0
03/03/2019 10:00:00.000000,3.0,41.0,3.0,0.0
03/03/2019 11:00:00.000000,3.0,41.0,2.0,0.0
03/03/2019 12:00:00.000000,2.0,40.0,2.0,0.0
03/03/2019 13:00:00.000000,5.0,38.0,3.0,0.0
03/03/2019 14:00:00.000000,6.0,37.0,4.0,0.0
03/03/2019 15:00:00.000000,4.0,36.0,6.0,0.0
03/03/2019 16:00:00.000000,4.0,36.0,8.0,0.0
03/03/2019 17:00:00.000000,5.0,35.0,7.0,0.0
03/03/2019 18:00:00.000000,6.0,36.0,9.0,0.0
03/03/2019 19:00:00.000000,5.0,37.0,9.0,0.0
03/03/2019 20:00:00.000000,6.0,39.0,12.0,0.0
03/03/2019 21:00:00.000000,7.0,40.0,12.0,0.0
03/03/2019 22:00:00.000000,4.0,42.0,11.0,0.0
03/03/2019 23:00:00.000000,4.0,42.0,7.0,0.0
03/04/2019 00:00:00.000000,7.0,42.0,7.0,0.0
03/04/2019 01:00:00.000000,7.0,41.0,8.0,0.0
