InstrumentName, NJH
StartTime, 2019-08-01 00:00:00
EndTime, 2019-08-31 23:59:59
Date,PM2.5
08/01/2019 00:00:00.000000,11.7
08/01/2019 01:00:00.000000,11.6
08/01/2019 02:00:00.000000,10.9
08/01/2019 03:00:00.000000,9.2
08/01/2019 04:00:00.000000,8.2
08/01/2019 05:00:00.000000,7.5
08/01/2019 06:00:00.000000,7.2
08/01/2019 07:00:00.000000,7.1
08/01/2019 08:00:00.000000,7.0
08/01/2019 09:00:00.000000,7.0
08/01/2019 10:00:00.000000,7.0
08/01/2019 11:00:00.000000,6.9
08/01/2019 12:00:00.000000,7.0
08/01/2019 13:00:00.000000,7.2
08/01/2019 14:00:00.000000,8.4
08/01/2019 15:00:00.000000,9.3
08/01/2019 16:00:00.000000,9.9
08/01/2019 17:00:00.000000,10.5
08/01/2019 18:00:00.000000,10.9
08/01/2019 19:00:00.000000,11.5
08/01/2019 20:00:00.000000,11.5
08/01/2019 21:00:00.000000,10.6
08/01/2019 22:00:00.000000,9.6
08/01/2019 23:00:00.000000,8.1
08/02/2019 00:00:00.000000,7.2
08/02/2019 01:00:00.000000,6.5
08/02/2019 02:00:00.000000,6.2
08/02/2019 03:00:00.000000,6.0
08/02/2019 04:00:00.000000,6.0
08/02/2019 05:00:00.000000,6.5
08/02/2019 06:00:00.000000,7.2
08/02/2019 07:00:00.000000,7.6
08/02/2019 08:00:00.000000,7.3
08/02/2019 09:00:00.000000,9.6
08/02/2019 10:00:00.000000,10.5
08/02/2019 11:00:00.000000,12.8
08/02/2019 12:00:00.000000,15.0
08/02/2019 13:00:00.000000,14.9
08/02/2019 14:00:00.000000,13.8
08/02/2019 15:00:00.000000,11.6
08/02/2019 16:00:00.000000,10.0
08/02/2019 17:00:00.000000,9.2
08/02/2019 18:00:00.000000,8.2
08/02/2019 19:00:00.000000,8.3
08/02/2019 20:00:00.000000,8.0
08/02/2019 21:00:00.000000,7.7
08/02/2019 22:00:00.000000,7.2
08/02/2019 23:00:00.000000,6.8
08/03/2019 00:00:00.000000,6.6
08/03/2019 01:00:00.000000,6.4
08/03/2019 02:00:00.000000,6.3
08/03/2019 03:00:00.000000,6.6
08/03/2019 04:00:00.000000,7.1
08/03/2019 05:00:00.000000,7.2
08/03/2019 06:00:00.000000,7.5
08/03/2019 07:00:00.000000,7.8
08/03/2019 08:00:00.000000,8.0
08/03/2019 09:00:00.000000,8.1
08/03/2019 10:00:00.000000,8.2
08/03/2019 11:00:00.000000,8.3
08/03/2019 12:00:00.000000,8.2
08/03/2019 13:00:00.000000,8.1
08/03/2019 14:00:00.000000,8.0
08/03/2019 15:00:00.000000,8.1
08/03/2019 16:00:00.000000,8.2
08/03/2019 17:00:00.000000,8.4
08/03/2019 18:00:00.000000,8.3
08/03/2019 19:00:00.000000,7.4
08/03/2019 20:00:00.000000,6.3
08/03/2019 21:00:00.000000,5.7
08/03/2019 22:00:00.000000,5.1
08/03/2019 23:00:00.000000,4.7
08/04/2019 00:00:00.000000,4.8
08/04/2019 01:00:00.000000,5.1
08/04/2019 02:00:00.000000,5.5
08/04/2019 03:00:00.000000,6.0
08/04/2019 04:00:00.000000,6.5
08/04/2019 05:00:00.000000,6.7
08/04/2019 06:00:00.000000,6.4
08/04/2019 07:00:00.000000,5.5
08/04/2019 08:00:00.000000,4.6
08/04/2019 09:00:00.000000,4.4
08/04/2019 10:00:00.000000,4.2
08/04/2019 11:00:00.000000,4.1
08/04/2019 12:00:00.000000,4.3
08/04/2019 13:00:00.000000,4.6
08/04/2019 14:00:00.000000,5.7
08/04/2019 15:00:00.000000,6.6
08/04/2019 16:00:00.000000,6.3
08/04/2019 17:00:00.000000,5.8
08/04/2019 18:00:00.000000,4.8
08/04/2019 19:00:00.000000,4.3
08/04/2019 20:00:00.000000,4.7
08/04/2019 21:00:00.000000,4.2
08/04/2019 22:00:00.000000,3.9
08/04/2019 23:00:00.000000,3.9
08/05/2019 00:00:00.000000,4.3
08/05/2019 01:00:00.000000,4.8
08/05/2019 02:00:00.000000,4.7
08/05/2019 03:00:00.000000,3.8
08/05/2019 04:00:00.000000,3.6
08/05/2019 05:00:00.000000,3.7
08/05/2019 06:00:00.000000,3.6
08/05/2019 07:00:00.000000,3.9
08/05/2019 08:00:00.000000,3.9
08/05/2019 09:00:00.000000,4.4
08/05/2019 10:00:00.000000,5.8
08/05/2019 11:00:00.000000,6.7
08/05/2019 12:00:00.000000,6.7
08/05/2019 13:00:00.000000,6.5
08/05/2019 14:00:00.000000,6.0
08/05/2019 15:00:00.000000,5.8
08/05/2019 16:00:00.000000,5.5
08/05/2019 17:00:00.000000,5.2
08/05/2019 18:00:00.000000,5.0
08/05/2019 19:00:00.000000,5.0
08/05/2019 20:00:00.000000,5.0
08/05/2019 21:00:00.000000,5.1
08/05/2019 22:00:00.000000,5.1
08/05/2019 23:00:00.000000,5.4
08/06/2019 00:00:00.000000,5.2
08/06/2019 01:00:00.000000,5.3
08/06/2019 02:00:00.000000,5.5
08/06/2019 03:00:00.000000,5.4
08/06/2019 04:00:00.000000,5.3
08/06/2019 05:00:00.000000,5.3
08/06/2019 06:00:00.000000,5.5
08/06/2019 07:00:00.000000,5.9
08/06/2019 08:00:00.000000,6.5
08/06/2019 09:00:00.000000,6.8
08/06/2019 10:00:00.000000,7.0
08/06/2019 11:00:00.000000,7.0
08/06/2019 12:00:00.000000,7.5
08/06/2019 13:00:00.000000,7.3
08/06/2019 14:00:00.000000,6.9
08/06/2019 15:00:00.000000,6.5
08/06/2019 16:00:00.000000,6.7
08/06/2019 17:00:00.000000,6.4
08/06/2019 18:00:00.000000,6.2
08/06/2019 19:00:00.000000,6.2
08/06/2019 20:00:00.000000,6.2
08/06/2019 21:00:00.000000,6.6
08/06/2019 22:00:00.000000,7.6
08/06/2019 23:00:00.000000,8.9
08/07/2019 00:00:00.000000,9.4
08/07/2019 01:00:00.000000,9.0
08/07/2019 02:00:00.000000,9.0
08/07/2019 03:00:00.000000,9.0
08/07/2019 04:00:00.000000,8.2
08/07/2019 05:00:00.000000,7.6
08/07/2019 06:00:00.000000,7.4
08/07/2019 07:00:00.000000,6.8
08/07/2019 08:00:00.000000,6.8
08/07/2019 09:00:00.000000,6.6
08/07/2019 10:00:00.000000,7.8
08/07/2019 11:00:00.000000,9.4
08/07/2019 12:00:00.000000,10.9
08/07/2019 13:00:00.000000,10.8
08/07/2019 14:00:00.000000,9.9
08/07/2019 15:00:00.000000,9.7
08/07/2019 16:00:00.000000,9.8
08/07/2019 17:00:00.000000,10.3
08/07/2019 18:00:00.000000,10.2
08/07/2019 19:00:00.000000,9.9
08/07/2019 20:00:00.000000,9.8
08/07/2019 21:00:00.000000,10.1
08/07/2019 22:00:00.000000,10.6
08/07/2019 23:00:00.000000,10.9
08/08/2019 00:00:00.000000,10.9
08/08/2019 01:00:00.000000,10.6
08/08/2019 02:00:00.000000,10.4
08/08/2019 03:00:00.000000,10.3
08/08/2019 04:00:00.000000,9.8
08/08/2019 05:00:00.000000,9.3
08/08/2019 06:00:00.000000,8.9
