InstrumentName, I-25 Denver,,
StartTime, 2022-09-01 00:00:00,,
EndTime, 2022-09-30 23:59:59,,
Date,CO,NO2,PM2.5
09/01/2022 00:00:00.000000,0.51,17.0,4.9
09/01/2022 01:00:00.000000,0.621,16.0,2.7
09/01/2022 02:00:00.000000,0.526,18.0,3.8
09/01/2022 03:00:00.000000,0.514,16.0,3.7
09/01/2022 04:00:00.000000,0.509,,4.6
09/01/2022 05:00:00.000000,0.383,15.0,4.4
09/01/2022 06:00:00.000000,0.196,11.0,5.5
09/01/2022 07:00:00.000000,0.33,13.0,5.2
09/01/2022 08:00:00.000000,0.264,16.0,
09/01/2022 09:00:00.000000,0.193,13.0,4.7
09/01/2022 10:00:00.000000,0.171,10.0,5.0
09/01/2022 11:00:00.000000,0.284,16.0,4.8
09/01/2022 12:00:00.000000,0.88,27.0,4.8
09/01/2022 13:00:00.000000,0.774,23.0,5.5
09/01/2022 14:00:00.000000,0.413,14.0,5.7
09/01/2022 15:00:00.000000,0.302,14.0,6.8
09/01/2022 16:00:00.000000,0.27,14.0,5.9
09/01/2022 17:00:00.000000,0.2,9.0,4.5
09/01/2022 18:00:00.000000,0.217,9.0,3.3
09/01/2022 19:00:00.000000,0.332,15.0,4.3
09/01/2022 20:00:00.000000,0.483,21.0,3.9
09/01/2022 21:00:00.000000,0.31,10.0,3.4
09/01/2022 22:00:00.000000,0.35,11.0,3.7
09/01/2022 23:00:00.000000,0.513,17.0,2.8
09/02/2022 00:00:00.000000,0.552,18.0,2.9
09/02/2022 01:00:00.000000,0.597,22.0,3.6
09/02/2022 02:00:00.000000,0.63,22.0,4.8
09/02/2022 03:00:00.000000,0.463,19.0,5.7
09/02/2022 04:00:00.000000,,,4.8
09/02/2022 05:00:00.000000,0.322,14.0,5.4
09/02/2022 06:00:00.000000,0.279,12.0,4.8
09/02/2022 07:00:00.000000,,,5.0
09/02/2022 09:00:00.000000,0.204,10.0,5.6
09/02/2022 10:00:00.000000,0.354,17.0,6.2
09/02/2022 11:00:00.000000,0.638,19.0,7.2
09/02/2022 12:00:00.000000,0.731,25.0,9.8
09/02/2022 13:00:00.000000,0.525,27.0,9.8
09/02/2022 14:00:00.000000,0.617,22.0,7.4
09/02/2022 15:00:00.000000,0.64,27.0,8.2
09/02/2022 16:00:00.000000,0.562,27.0,6.2
09/02/2022 17:00:00.000000,0.361,16.0,5.1
09/02/2022 18:00:00.000000,0.289,11.0,4.7
09/02/2022 19:00:00.000000,0.25,8.0,5.0
09/02/2022 20:00:00.000000,0.221,5.0,4.6
09/02/2022 21:00:00.000000,0.438,15.0,4.7
09/02/2022 22:00:00.000000,0.364,16.0,3.9
09/02/2022 23:00:00.000000,0.594,20.0,3.3
09/03/2022 00:00:00.000000,0.605,18.0,3.5
09/03/2022 01:00:00.000000,0.381,12.0,3.7
09/03/2022 02:00:00.000000,0.323,8.0,10.7
09/03/2022 03:00:00.000000,0.161,4.0,5.7
09/03/2022 04:00:00.000000,,,6.4
09/03/2022 05:00:00.000000,0.159,4.0,1.7
09/03/2022 06:00:00.000000,0.262,5.0,1.9
09/03/2022 07:00:00.000000,,,2.5
09/03/2022 09:00:00.000000,0.168,6.0,2.2
09/03/2022 10:00:00.000000,0.243,11.0,2.9
09/03/2022 11:00:00.000000,0.325,12.0,3.9
09/03/2022 12:00:00.000000,0.341,12.0,4.4
09/03/2022 13:00:00.000000,0.374,12.0,6.5
09/03/2022 14:00:00.000000,0.356,9.0,6.3
09/03/2022 15:00:00.000000,0.273,7.0,6.5
09/03/2022 16:00:00.000000,0.26,7.0,6.2
09/03/2022 17:00:00.000000,0.237,5.0,4.5
09/03/2022 18:00:00.000000,0.178,3.0,2.6
09/03/2022 19:00:00.000000,0.145,1.0,1.3
09/03/2022 20:00:00.000000,0.127,1.0,1.5
09/03/2022 21:00:00.000000,0.13,1.0,1.7
09/03/2022 22:00:00.000000,0.121,1.0,2.3
09/03/2022 23:00:00.000000,0.109,2.0,2.6
09/04/2022 00:00:00.000000,0.136,2.0,3.0
09/04/2022 01:00:00.000000,0.237,6.0,4.7
09/04/2022 02:00:00.000000,0.219,6.0,2.8
09/04/2022 03:00:00.000000,0.231,7.0,2.8
09/04/2022 04:00:00.000000,0.464,,2.9
09/04/2022 05:00:00.000000,,,2.9
09/04/2022 06:00:00.000000,0.463,13.0,4.4
09/04/2022 07:00:00.000000,,,4.0
09/04/2022 09:00:00.000000,0.324,8.0,5.0
09/04/2022 10:00:00.000000,0.38,11.0,5.6
09/04/2022 11:00:00.000000,0.363,12.0,5.8
09/04/2022 12:00:00.000000,0.466,13.0,7.2
09/04/2022 13:00:00.000000,0.416,12.0,7.0
09/04/2022 14:00:00.000000,0.222,8.0,4.5
09/04/2022 15:00:00.000000,0.175,4.0,4.0
09/04/2022 16:00:00.000000,0.28,6.0,3.7
09/04/2022 17:00:00.000000,0.229,5.0,3.2
09/04/2022 18:00:00.000000,0.211,4.0,2.8
09/04/2022 19:00:00.000000,0.164,2.0,2.8
09/04/2022 20:00:00.000000,0.13,1.0,2.4
09/04/2022 21:00:00.000000,0.2,3.0,2.6
09/04/2022 22:00:00.000000,0.159,2.0,2.5
09/04/2022 23:00:00.000000,0.221,4.0,2.8
09/05/2022 00:00:00.000000,0.113,1.0,2.8
09/05/2022 01:00:00.000000,0.416,11.0,5.8
09/05/2022 02:00:00.000000,1.03,28.0,7.2
09/05/2022 03:00:00.000000,1.041,31.0,8.2
09/05/2022 04:00:00.000000,,,6.9
09/05/2022 05:00:00.000000,,,6.4
09/05/2022 06:00:00.000000,0.299,15.0,6.0
09/05/2022 07:00:00.000000,,,5.9
09/05/2022 10:00:00.000000,0.439,14.0,8.7
09/05/2022 11:00:00.000000,0.471,17.0,8.5
09/05/2022 12:00:00.000000,0.48,18.0,8.1
09/05/2022 13:00:00.000000,0.573,18.0,8.2
09/05/2022 14:00:00.000000,0.402,14.0,5.7
09/05/2022 15:00:00.000000,0.31,12.0,4.2
09/05/2022 16:00:00.000000,0.285,13.0,3.9
09/05/2022 17:00:00.000000,0.258,8.0,3.9
09/05/2022 18:00:00.000000,0.257,6.0,3.6
09/05/2022 19:00:00.000000,0.18,5.0,3.1
09/05/2022 20:00:00.000000,0.181,4.0,3.3
09/05/2022 21:00:00.000000,0.261,6.0,2.9
09/05/2022 22:00:00.000000,0.256,6.0,2.6
09/05/2022 23:00:00.000000,0.52,13.0,2.2
09/06/2022 00:00:00.000000,0.467,13.0,2.4
09/06/2022 01:00:00.000000,0.543,21.0,3.7
09/06/2022 02:00:00.000000,0.319,12.0,4.5
09/06/2022 03:00:00.000000,0.434,16.0,4.2
09/06/2022 04:00:00.000000,,,3.9
09/06/2022 05:00:00.000000,0.303,13.0,4.7
09/06/2022 06:00:00.000000,,,4.4
09/06/2022 09:00:00.000000,0.263,11.0,5.1
09/06/2022 10:00:00.000000,0.374,15.0,6.7
09/06/2022 11:00:00.000000,0.76,22.0,8.1
09/06/2022 12:00:00.000000,1.137,26.0,8.5
09/06/2022 13:00:00.000000,0.834,28.0,8.5
09/06/2022 14:00:00.000000,,21.0,6.8
09/06/2022 15:00:00.000000,0.341,17.0,7.7
09/06/2022 16:00:00.000000,0.374,20.0,6.6
09/06/2022 17:00:00.000000,0.251,10.0,5.6
09/06/2022 18:00:00.000000,0.287,7.0,5.7
09/06/2022 19:00:00.000000,0.261,9.0,6.6
09/06/2022 20:00:00.000000,0.275,13.0,6.6
09/06/2022 21:00:00.000000,0.258,,5.8
09/06/2022 22:00:00.000000,0.226,8.0,6.4
09/06/2022 23:00:00.000000,0.226,5.0,7.1
09/07/2022 00:00:00.000000,0.498,17.0,8.7
09/07/2022 01:00:00.000000,1.068,37.0,10.4
09/07/2022 02:00:00.000000,0.653,24.0,11.8
09/07/2022 03:00:00.000000,0.679,26.0,12.9
09/07/2022 04:00:00.000000,,,11.6
09/07/2022 05:00:00.000000,0.383,15.0,12.8
09/07/2022 06:00:00.000000,0.443,15.0,14.6
09/07/2022 07:00:00.000000,,,13.8
09/07/2022 09:00:00.000000,0.466,18.0,20.0
09/07/2022 10:00:00.000000,0.437,21.0,19.4
09/07/2022 11:00:00.000000,0.642,23.0,20.3
09/07/2022 12:00:00.000000,0.8,29.0,18.5
09/07/2022 13:00:00.000000,0.601,29.0,14.2
09/07/2022 14:00:00.000000,0.36,18.0,11.6
09/07/2022 15:00:00.000000,0.371,19.0,12.0
09/07/2022 16:00:00.000000,0.391,19.0,11.8
09/07/2022 17:00:00.000000,,,9.2
09/07/2022 18:00:00.000000,0.457,18.0,7.9
09/07/2022 19:00:00.000000,0.298,10.0,7.1
09/07/2022 20:00:00.000000,0.313,12.0,7.4
09/07/2022 21:00:00.000000,0.261,8.0,7.0
09/07/2022 22:00:00.000000,0.226,7.0,7.3
09/07/2022 23:00:00.000000,0.334,12.0,9.4
09/08/2022 00:00:00.000000,0.285,10.0,8.9
09/08/2022 01:00:00.000000,0.379,15.0,8.8
09/08/2022 02:00:00.000000,0.317,11.0,9.2
09/08/2022 03:00:00.000000,0.307,11.0,9.5
09/08/2022 04:00:00.000000,0.261,,9.9
09/08/2022 05:00:00.000000,0.256,8.0,9.6
09/08/2022 06:00:00.000000,0.221,8.0,9.2
09/08/2022 07:00:00.000000,,,9.3
09/08/2022 09:00:00.000000,0.204,8.0,9.6
09/08/2022 10:00:00.000000,0.225,13.0,10.2
09/08/2022 11:00:00.000000,0.356,21.0,11.4
09/08/2022 12:00:00.000000,0.573,31.0,12.1
09/08/2022 13:00:00.000000,0.485,28.0,12.8
09/08/2022 14:00:00.000000,0.5,23.0,11.8
09/08/2022 15:00:00.000000,0.387,22.0,12.9
09/08/2022 16:00:00.000000,0.438,26.0,12.2
09/08/2022 17:00:00.000000,0.328,18.0,12.0
09/08/2022 18:00:00.000000,0.307,12.0,6.1
09/08/2022 19:00:00.000000,0.48,22.0,6.2
09/08/2022 20:00:00.000000,0.318,14.0,5.1
09/08/2022 21:00:00.000000,0.257,9.0,5.3
09/08/2022 22:00:00.000000,0.351,12.0,6.2
09/08/2022 23:00:00.000000,0.406,14.0,7.5
09/09/2022 00:00:00.000000,0.618,23.0,4.8
09/09/2022 01:00:00.000000,0.384,14.0,6.8
09/09/2022 02:00:00.000000,0.422,12.0,5.8
09/09/2022 03:00:00.000000,0.518,15.0,6.7
09/09/2022 04:00:00.000000,0.394,,7.6
09/09/2022 05:00:00.000000,,,6.7
09/09/2022 06:00:00.000000,0.229,9.0,24.8
09/09/2022 07:00:00.000000,,,16.3
09/09/2022 09:00:00.000000,0.223,6.0,13.1
09/09/2022 10:00:00.000000,0.213,7.0,12.9
09/09/2022 11:00:00.000000,0.356,10.0,15.5
09/09/2022 12:00:00.000000,0.715,23.0,13.5
09/09/2022 13:00:00.000000,0.369,13.0,9.9
09/09/2022 14:00:00.000000,0.543,16.0,10.2
09/09/2022 15:00:00.000000,0.483,17.0,9.8
09/09/2022 16:00:00.000000,0.305,11.0,11.3
09/09/2022 17:00:00.000000,0.408,15.0,12.9
09/09/2022 18:00:00.000000,0.501,19.0,12.6
09/09/2022 19:00:00.000000,0.578,21.0,11.7
09/09/2022 20:00:00.000000,0.55,19.0,13.9
09/09/2022 21:00:00.000000,0.509,18.0,12.4
09/09/2022 22:00:00.000000,0.525,18.0,11.8
09/09/2022 23:00:00.000000,0.603,18.0,11.2
09/10/2022 00:00:00.000000,0.627,18.0,10.8
09/10/2022 01:00:00.000000,0.499,13.0,9.2
09/10/2022 02:00:00.000000,0.199,4.0,11.5
09/10/2022 03:00:00.000000,0.193,3.0,8.4
09/10/2022 04:00:00.000000,0.178,,6.3
09/10/2022 05:00:00.000000,,,7.9
09/10/2022 06:00:00.000000,,,6.7
09/10/2022 09:00:00.000000,0.157,2.0,2.6
09/10/2022 10:00:00.000000,0.116,2.0,2.6
09/10/2022 11:00:00.000000,0.117,3.0,2.2
09/10/2022 12:00:00.000000,,,2.4
09/10/2022 13:00:00.000000,0.13,5.0,1.4
09/10/2022 14:00:00.000000,0.181,5.0,1.1
09/10/2022 15:00:00.000000,0.146,5.0,1.1
09/10/2022 16:00:00.000000,0.256,5.0,1.4
09/10/2022 17:00:00.000000,0.25,6.0,1.4
09/10/2022 18:00:00.000000,0.193,4.0,1.5
09/10/2022 19:00:00.000000,0.229,7.0,1.7
09/10/2022 20:00:00.000000,0.361,10.0,1.4
09/10/2022 21:00:00.000000,0.27,7.0,0.9
09/10/2022 22:00:00.000000,0.399,7.0,1.2
09/10/2022 23:00:00.000000,0.238,6.0,0.9
09/11/2022 00:00:00.000000,0.191,4.0,0.6
09/11/2022 01:00:00.000000,0.236,5.0,0.8
09/11/2022 02:00:00.000000,0.439,11.0,1.4
09/11/2022 03:00:00.000000,0.237,8.0,1.9
09/11/2022 04:00:00.000000,,,1.5
09/11/2022 05:00:00.000000,0.25,10.0,2.8
09/11/2022 06:00:00.000000,0.651,16.0,4.5
09/11/2022 07:00:00.000000,,,3.3
09/11/2022 09:00:00.000000,0.272,8.0,6.2
09/11/2022 10:00:00.000000,0.264,6.0,5.8
09/11/2022 11:00:00.000000,0.289,7.0,5.6
09/11/2022 12:00:00.000000,0.33,8.0,4.8
09/11/2022 13:00:00.000000,0.46,9.0,5.3
09/11/2022 14:00:00.000000,0.302,7.0,5.6
09/11/2022 15:00:00.000000,0.285,6.0,6.2
09/11/2022 16:00:00.000000,0.245,6.0,6.8
09/11/2022 17:00:00.000000,0.365,10.0,8.8
