InstrumentName, CCD_Jaspe_007,,,,,,,,,,,,,,
StartTime, 2022-09-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2022-09-30 23:59:59,,,,,,,,,,,,,,
Date,*Lat,*Lon,F1,F3,F4,Hmdty,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Uncertainty
09/23/2022 16:40:54.756000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:41:54.384000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.17,0.03,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:42:55.282000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.02,0.0,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:43:56.771000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.13,0.07,0.0,0.0,0.13,0.07,,-1.0,334.0
09/23/2022 16:44:56.866000,39.731792,-105.200829,1.0,0.0,1.0,-1.0,0.13,0.07,0.0,0.0,0.13,0.07,,-1.0,334.0
09/23/2022 16:45:55.182000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:46:55.024000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:47:54.986000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:48:55.243000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.1,0.22,0.0,0.0,0.1,0.0,,-1.0,334.0
09/23/2022 16:49:55.192000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.1,0.17,0.0,0.0,0.1,0.0,,-1.0,334.0
09/23/2022 16:50:56.325000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:51:55.313000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:52:57.643000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:53:55.260000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.07,0.0,0.07,0.0,0.07,,-1.0,334.0
09/23/2022 16:54:54.727000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.2,0.0,0.2,0.0,0.2,,-1.0,334.0
09/23/2022 16:55:54.484000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.22,0.37,0.0,0.3,0.22,0.37,,-1.0,334.0
09/23/2022 16:56:53.562000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.22,0.15,0.0,0.08,0.22,0.15,,-1.0,334.0
09/23/2022 16:57:55.003000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:58:55.060000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.17,0.03,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 16:59:55.422000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.17,0.12,0.0,0.0,0.0,0.08,,-1.0,334.0
09/23/2022 17:00:55.604000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.08,0.0,0.0,0.0,0.08,,-1.0,334.0
09/23/2022 17:01:56.141000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.1,0.02,0.0,0.0,0.0,0.0,,-1.0,334.0
09/23/2022 17:02:55.802000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.18,0.02,0.0,0.0,0.07,0.0,,-1.0,334.0
09/23/2022 17:03:53.940000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.07,0.1,0.0,0.0,0.07,0.0,,-1.0,73554.0
09/23/2022 17:04:54.254000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.1,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:05:53.644000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.1,0.0,0.0,0.0,0.1,0.0,,-1.0,73554.0
09/23/2022 17:06:53.601000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.1,0.0,0.0,0.0,0.1,0.0,,-1.0,73554.0
09/23/2022 17:07:55.382000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:08:56.244000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.17,0.08,0.0,0.0,0.17,0.08,,-1.0,73554.0
09/23/2022 17:09:55.881000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.27,0.08,0.0,0.0,0.2,0.08,,-1.0,73554.0
09/23/2022 17:10:55.803000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.57,0.0,0.0,0.0,0.13,0.0,,-1.0,73554.0
09/23/2022 17:11:54.900000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.17,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:12:55.170000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:13:55.823000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.4,0.0,0.2,0.0,0.4,0.0,,-1.0,73554.0
09/23/2022 17:14:53.670000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.32,0.0,0.07,0.0,0.18,0.0,,-1.0,73554.0
09/23/2022 17:15:54.443000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.18,0.53,0.0,0.08,0.0,0.53,,-1.0,73554.0
09/23/2022 17:16:54.580000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.18,0.0,0.0,0.0,0.18,0.0,,-1.0,73554.0
09/23/2022 17:17:53.607000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:18:54.143000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:19:53.881000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:20:56.482000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.03,0.0,0.0,0.0,0.03,0.0,,-1.0,73554.0
09/23/2022 17:21:54.712000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.03,0.22,0.0,0.0,0.03,0.0,,-1.0,73554.0
09/23/2022 17:22:54.489000,39.731792,-105.200829,1.0,1.0,0.0,-1.0,0.28,0.25,0.0,0.0,0.28,0.0,,-1.0,73554.0
09/23/2022 17:23:54.433000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,1.22,0.0,0.1,0.0,1.22,0.0,,-1.0,73554.0
09/23/2022 17:24:54.180000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.55,0.0,0.0,0.0,0.55,0.0,,-1.0,73554.0
09/23/2022 17:25:56.328000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.33,0.0,0.0,0.0,0.33,0.0,,-1.0,73554.0
09/23/2022 17:26:55.679000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.08,0.0,0.0,0.0,0.08,0.0,,-1.0,73554.0
09/23/2022 17:27:54.281000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.53,0.08,0.0,0.0,0.53,0.08,,-1.0,73554.0
09/23/2022 17:28:56.163000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.57,0.08,0.0,0.0,0.57,0.08,,-1.0,73554.0
09/23/2022 17:29:56.020000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.07,0.0,0.0,0.0,0.07,0.0,,-1.0,73554.0
09/23/2022 17:30:56.933000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.4,0.27,0.0,0.23,0.4,0.27,,-1.0,73554.0
09/23/2022 17:31:54.595000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.77,0.4,0.0,0.08,0.55,0.35,,-1.0,73554.0
09/23/2022 17:32:54.945000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.58,0.32,0.0,0.0,0.45,0.3,,-1.0,73554.0
09/23/2022 17:33:54.804000,39.731792,-105.200829,1.0,1.0,0.0,-1.0,0.18,0.23,0.0,0.0,0.18,0.23,,-1.0,73554.0
09/23/2022 17:34:52.786000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.22,0.13,0.0,0.0,0.1,0.07,,-1.0,73554.0
09/23/2022 17:35:53.603000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:36:55.688000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.1,0.03,0.0,0.0,0.1,0.03,,-1.0,73554.0
09/23/2022 17:37:55.331000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.15,0.03,0.0,0.0,0.15,0.03,,-1.0,73554.0
09/23/2022 17:38:55.303000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:39:54.764000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:40:53.866000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-1.0,73554.0
09/23/2022 17:42:05.704000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.63,0.0,0.0,0.0,0.07,0.0,,-1.0,73554.0
09/23/2022 17:43:05.940000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.8,1.65,0.0,0.83,0.07,1.27,,-1.0,73554.0
09/23/2022 17:44:07.242000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.33,0.58,0.0,0.27,0.07,0.35,,-1.0,73554.0
09/23/2022 17:45:07.050000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.0,0.12,0.0,0.12,0.0,0.12,,-1.0,73554.0
