InstrumentName, SAMS,,,,,,,,,,
StartTime, 2022-09-01 00:00:00,,,,,,,,,,
EndTime, 2022-09-30 23:59:59,,,,,,,,,,
Date,42603,68108,85101,Ambient Avg Temperature,Carbon monoxide,Nitric oxide,Nitrogen dioxide,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind speed
09/01/2022 00:00:00.000000,3.8,0.815,45.607407,28.0,0.16,0.3,3.4,4.4,22.5,303.9,0.0
09/01/2022 00:01:00.000000,3.8,0.815,31.618421,28.0,0.17,0.3,3.5,7.1,21.9,301.7,0.0
09/01/2022 00:02:00.000000,4.0,0.815,50.375,28.0,0.16,0.3,3.6,4.8,21.9,281.8,0.0
09/01/2022 00:03:00.000000,4.4,0.815,28.889744,28.2,0.16,0.4,3.9,3.0,21.9,292.5,0.0
09/01/2022 00:04:00.000000,4.6,0.815,39.169231,28.8,0.17,0.4,4.2,3.8,21.6,277.9,0.0
09/01/2022 00:05:00.000000,4.6,0.815,66.574359,28.8,0.17,0.4,4.2,4.1,21.1,302.0,0.0
09/01/2022 00:06:00.000000,4.6,0.815,22.166667,28.8,0.16,0.4,4.2,6.4,21.1,283.5,0.0
09/01/2022 00:07:00.000000,4.8,0.815,21.592105,28.8,0.16,0.4,4.3,5.5,21.1,275.7,0.0
09/01/2022 00:08:00.000000,5.7,0.815,80.789189,28.8,0.18,0.6,5.1,5.0,21.1,267.5,0.0
09/01/2022 00:09:00.000000,6.3,0.815,193.6,28.8,0.22,0.7,5.5,2.5,21.1,279.4,0.0
09/01/2022 00:10:00.000000,6.3,0.815,46.572973,28.8,0.19,0.7,5.6,3.2,21.1,274.5,0.0
09/01/2022 00:11:00.000000,6.3,0.815,42.1325,28.8,0.17,0.7,5.6,4.7,21.1,278.2,0.0
09/01/2022 00:12:00.000000,6.6,0.815,119.055263,28.8,0.17,0.7,5.8,6.0,21.1,290.1,0.0
09/01/2022 00:13:00.000000,6.9,0.815,257.9,28.8,0.18,0.8,6.1,4.4,21.4,246.6,0.0
09/01/2022 00:14:00.000000,7.8,0.815,24.6125,29.0,0.19,0.9,6.9,6.7,21.6,261.4,0.0
09/01/2022 00:15:00.000000,22.9,0.815,41.533333,29.5,0.19,3.5,19.3,8.2,21.1,269.1,0.0
09/01/2022 00:16:00.000000,26.0,0.815,20.4,29.5,0.25,3.8,22.1,5.7,21.1,299.2,0.0
09/01/2022 00:17:00.000000,27.2,0.815,35.065789,29.5,0.23,4.0,23.2,5.8,21.1,281.1,0.0
09/01/2022 00:18:00.000000,27.7,0.815,32.091892,29.5,0.21,3.9,23.7,12.5,20.8,281.2,0.0
09/01/2022 00:19:00.000000,14.0,0.815,17.505128,29.5,0.22,1.2,12.7,7.8,20.6,255.8,0.0
09/01/2022 00:20:00.000000,13.7,0.815,13.433333,29.5,0.21,1.5,12.2,3.9,21.1,241.4,0.0
09/01/2022 00:21:00.000000,9.7,0.815,34.625,29.5,0.22,1.1,8.6,5.8,20.8,242.6,0.0
09/01/2022 00:22:00.000000,11.2,0.815,45.85,29.3,0.19,1.5,9.7,9.1,20.6,222.9,0.0
09/01/2022 00:23:00.000000,10.4,0.815,36.372222,28.8,0.17,1.3,9.1,5.3,20.9,210.4,0.0
09/01/2022 00:24:00.000000,9.7,0.815,66.041026,28.8,0.14,1.2,8.4,7.4,20.5,229.5,0.0
09/01/2022 00:25:00.000000,8.9,0.815,16.618182,28.8,0.14,1.1,7.7,4.5,21.1,239.0,0.0
09/01/2022 00:26:00.000000,8.3,0.815,26.742857,28.8,0.15,1.0,7.3,4.3,21.1,263.9,0.0
09/01/2022 00:27:00.000000,7.9,0.815,30.311765,28.8,0.17,0.9,7.0,3.3,21.1,298.0,0.0
09/01/2022 00:28:00.000000,7.1,0.815,23.505263,28.8,0.18,0.7,6.3,2.8,21.4,297.4,0.0
09/01/2022 00:29:00.000000,6.3,0.815,5.875,28.8,0.15,0.6,5.6,2.9,21.9,315.5,0.0
09/01/2022 00:30:00.000000,5.7,0.815,18.614286,28.8,0.14,0.5,5.1,4.1,21.9,301.2,0.0
09/01/2022 00:31:00.000000,5.7,0.815,26.373684,28.8,0.16,0.5,5.1,5.2,21.9,316.7,0.0
09/01/2022 00:32:00.000000,5.7,0.815,23.122857,28.8,0.16,0.6,5.1,3.9,21.9,321.6,0.0
09/01/2022 00:33:00.000000,5.9,0.815,19.297297,28.8,0.16,0.6,5.2,3.6,21.9,335.5,0.0
09/01/2022 00:34:00.000000,5.5,0.815,13.144444,28.8,0.15,0.5,4.9,4.2,21.9,325.1,0.0
09/01/2022 00:35:00.000000,4.9,0.815,13.902857,28.8,0.15,0.4,4.4,3.4,21.9,325.6,0.0
09/01/2022 00:36:00.000000,4.8,0.815,12.054286,28.8,0.15,0.5,4.3,3.4,21.9,348.2,0.0
