InstrumentName, La Casa,,,,,
StartTime, 2022-09-01 00:00:00,,,,,
EndTime, 2022-09-30 23:59:59,,,,,
Date,CO,NO2,O3,PM10,PM2.5,SO2
09/01/2022 00:00:00.000000,0.126,3.0,59.0,26.8,6.9,0.0
09/01/2022 01:00:00.000000,0.167,6.0,51.0,24.1,4.9,0.0
09/01/2022 02:00:00.000000,0.221,11.0,45.0,33.0,5.4,0.0
09/01/2022 03:00:00.000000,0.253,12.0,40.0,28.0,5.5,0.0
09/01/2022 04:00:00.000000,0.337,17.0,44.0,33.0,7.3,0.0
09/01/2022 05:00:00.000000,0.355,,38.0,34.0,7.6,0.0
09/01/2022 06:00:00.000000,0.219,14.0,34.0,42.3,7.0,0.0
09/01/2022 07:00:00.000000,,,33.0,38.0,7.3,
09/01/2022 08:00:00.000000,,,33.0,,,0.0
09/01/2022 09:00:00.000000,0.196,13.0,23.0,31.2,7.4,0.0
09/01/2022 10:00:00.000000,0.143,9.0,26.0,33.0,7.0,0.0
09/01/2022 11:00:00.000000,0.188,12.0,26.0,30.0,7.2,0.0
09/01/2022 12:00:00.000000,0.301,22.0,25.0,32.9,7.0,0.0
09/01/2022 13:00:00.000000,0.569,23.0,13.0,31.0,7.3,0.0
09/01/2022 14:00:00.000000,0.338,21.0,23.0,44.3,8.2,0.0
09/01/2022 15:00:00.000000,0.338,20.0,26.0,50.7,7.7,0.0
09/01/2022 16:00:00.000000,0.25,18.0,36.0,46.7,7.7,0.0
09/01/2022 17:00:00.000000,0.233,15.0,46.0,33.9,6.9,0.0
09/01/2022 18:00:00.000000,0.156,10.0,52.0,39.0,7.6,0.0
09/01/2022 19:00:00.000000,0.232,7.0,56.0,33.6,8.5,0.0
09/01/2022 20:00:00.000000,0.298,5.0,51.0,26.4,7.6,0.0
09/01/2022 21:00:00.000000,0.309,3.0,60.0,20.9,7.3,0.0
09/01/2022 22:00:00.000000,,,54.0,25.0,7.6,0.0
09/01/2022 23:00:00.000000,0.312,3.0,59.0,18.2,6.5,0.0
09/02/2022 00:00:00.000000,0.288,4.0,58.0,18.6,6.5,0.0
09/02/2022 01:00:00.000000,0.363,11.0,44.0,28.5,8.0,0.0
09/02/2022 02:00:00.000000,0.434,18.0,32.0,29.0,9.4,0.0
09/02/2022 03:00:00.000000,0.465,19.0,27.0,24.1,9.6,0.0
09/02/2022 04:00:00.000000,0.392,22.0,23.0,31.7,10.4,0.0
09/02/2022 05:00:00.000000,0.231,,34.0,24.6,8.2,0.0
09/02/2022 06:00:00.000000,0.168,7.0,38.0,22.6,8.0,0.0
09/02/2022 07:00:00.000000,,,32.0,24.0,8.5,
09/02/2022 08:00:00.000000,,,32.0,,,
09/02/2022 09:00:00.000000,0.147,8.0,27.0,19.6,8.3,0.0
09/02/2022 10:00:00.000000,0.188,15.0,19.0,22.2,9.2,0.0
09/02/2022 11:00:00.000000,0.197,13.0,20.0,22.5,9.0,0.0
09/02/2022 12:00:00.000000,0.533,25.0,7.0,34.3,10.8,0.0
09/02/2022 13:00:00.000000,0.361,30.0,9.0,44.0,10.7,0.0
09/02/2022 14:00:00.000000,0.465,26.0,15.0,54.5,11.3,0.0
09/02/2022 15:00:00.000000,0.462,32.0,18.0,70.6,11.7,0.0
09/02/2022 16:00:00.000000,0.408,28.0,31.0,88.4,12.5,0.0
09/02/2022 17:00:00.000000,0.256,9.0,55.0,42.3,9.2,1.0
09/02/2022 18:00:00.000000,0.231,7.0,63.0,40.0,10.0,1.0
09/02/2022 19:00:00.000000,0.225,6.0,67.0,46.4,10.9,1.0
09/02/2022 20:00:00.000000,0.234,6.0,68.0,44.6,10.3,0.0
09/02/2022 21:00:00.000000,0.243,6.0,67.0,43.8,10.4,0.0
09/02/2022 22:00:00.000000,0.176,4.0,64.0,33.2,8.4,0.0
09/02/2022 23:00:00.000000,0.179,4.0,63.0,32.5,8.0,0.0
09/03/2022 00:00:00.000000,0.179,7.0,60.0,34.7,7.6,0.0
09/03/2022 01:00:00.000000,0.203,12.0,52.0,44.3,8.3,0.0
09/03/2022 02:00:00.000000,0.162,9.0,47.0,56.2,9.9,0.0
09/03/2022 03:00:00.000000,0.121,7.0,47.0,35.2,7.2,0.0
09/03/2022 04:00:00.000000,0.114,6.0,46.0,14.2,4.8,0.0
09/03/2022 05:00:00.000000,0.104,,50.0,10.8,3.6,0.0
09/03/2022 06:00:00.000000,0.106,3.0,46.0,11.0,4.2,0.0
09/03/2022 07:00:00.000000,,,43.0,15.0,4.6,
09/03/2022 08:00:00.000000,,,43.0,,,
09/03/2022 09:00:00.000000,0.107,4.0,42.0,9.5,3.7,0.0
09/03/2022 10:00:00.000000,0.206,5.0,38.0,10.2,4.0,0.0
09/03/2022 11:00:00.000000,0.222,6.0,33.0,10.8,4.4,0.0
09/03/2022 12:00:00.000000,0.269,10.0,27.0,17.2,6.4,0.0
09/03/2022 13:00:00.000000,0.301,9.0,26.0,33.5,9.4,0.0
09/03/2022 14:00:00.000000,0.28,6.0,33.0,41.5,10.6,0.0
09/03/2022 15:00:00.000000,0.273,6.0,39.0,39.6,10.7,0.0
09/03/2022 16:00:00.000000,0.227,10.0,42.0,38.6,10.9,0.0
09/03/2022 17:00:00.000000,0.231,8.0,51.0,31.8,9.9,0.0
09/03/2022 18:00:00.000000,0.201,3.0,61.0,20.2,7.3,0.0
09/03/2022 19:00:00.000000,0.188,3.0,60.0,11.5,4.5,0.0
09/03/2022 20:00:00.000000,0.169,2.0,59.0,10.8,4.0,0.0
09/03/2022 21:00:00.000000,0.181,2.0,59.0,11.8,4.6,0.0
09/03/2022 22:00:00.000000,0.113,2.0,61.0,16.0,5.7,0.0
09/03/2022 23:00:00.000000,0.113,4.0,60.0,16.5,6.0,0.0
09/04/2022 00:00:00.000000,0.114,5.0,56.0,17.1,5.8,0.0
09/04/2022 01:00:00.000000,0.12,6.0,55.0,14.6,5.9,0.0
09/04/2022 02:00:00.000000,0.131,5.0,57.0,14.2,5.4,0.0
09/04/2022 03:00:00.000000,0.119,6.0,52.0,12.3,5.3,0.0
09/04/2022 04:00:00.000000,0.164,6.0,46.0,13.4,4.8,0.0
09/04/2022 05:00:00.000000,0.217,,39.0,14.7,5.6,0.0
09/04/2022 06:00:00.000000,0.174,7.0,40.0,14.8,5.6,0.0
09/04/2022 07:00:00.000000,,,43.0,14.0,5.4,
09/04/2022 08:00:00.000000,,,43.0,,,
09/04/2022 09:00:00.000000,0.149,6.0,32.0,17.6,7.0,0.0
09/04/2022 10:00:00.000000,0.202,7.0,27.0,19.9,8.0,0.0
09/04/2022 11:00:00.000000,0.238,9.0,21.0,20.8,8.3,0.0
09/04/2022 12:00:00.000000,0.275,10.0,16.0,18.9,8.4,0.0
09/04/2022 13:00:00.000000,0.299,13.0,15.0,19.6,7.9,0.0
09/04/2022 14:00:00.000000,0.273,15.0,26.0,22.0,7.6,0.0
09/04/2022 15:00:00.000000,0.245,13.0,36.0,29.8,8.0,1.0
09/04/2022 16:00:00.000000,0.201,9.0,46.0,23.4,7.5,0.0
09/04/2022 17:00:00.000000,0.205,7.0,57.0,18.5,7.3,0.0
09/04/2022 18:00:00.000000,0.181,4.0,64.0,18.4,7.0,0.0
09/04/2022 19:00:00.000000,0.169,2.0,66.0,17.1,6.5,0.0
09/04/2022 20:00:00.000000,0.146,4.0,60.0,16.3,6.4,0.0
09/04/2022 21:00:00.000000,0.139,4.0,59.0,17.0,6.3,0.0
09/04/2022 22:00:00.000000,0.144,3.0,62.0,19.2,6.5,0.0
09/04/2022 23:00:00.000000,0.148,4.0,61.0,18.7,6.5,0.0
09/05/2022 00:00:00.000000,0.149,6.0,59.0,18.3,6.6,0.0
09/05/2022 01:00:00.000000,0.341,18.0,34.0,26.3,8.7,0.0
09/05/2022 02:00:00.000000,0.601,31.0,15.0,33.8,12.3,0.0
09/05/2022 03:00:00.000000,0.607,29.0,19.0,30.5,11.9,0.0
09/05/2022 04:00:00.000000,0.496,23.0,26.0,27.2,11.6,0.0
09/05/2022 05:00:00.000000,0.298,,36.0,24.7,9.1,0.0
09/05/2022 06:00:00.000000,0.228,8.0,37.0,21.7,9.2,0.0
09/05/2022 07:00:00.000000,,,29.0,24.0,9.7,
09/05/2022 08:00:00.000000,,,29.0,,,
09/05/2022 09:00:00.000000,,,24.0,,,
09/05/2022 10:00:00.000000,0.291,14.0,20.0,23.5,9.0,0.0
09/05/2022 11:00:00.000000,0.25,13.0,21.0,21.7,8.8,0.0
09/05/2022 12:00:00.000000,0.271,14.0,18.0,21.7,9.0,0.0
09/05/2022 13:00:00.000000,0.286,11.0,22.0,20.5,8.5,0.0
09/05/2022 14:00:00.000000,0.265,8.0,29.0,21.8,7.9,0.0
09/05/2022 15:00:00.000000,0.278,14.0,37.0,29.7,8.3,0.0
09/05/2022 16:00:00.000000,0.176,6.0,52.0,23.3,7.5,0.0
09/05/2022 17:00:00.000000,0.16,4.0,60.0,23.8,7.2,0.0
09/05/2022 18:00:00.000000,0.159,3.0,65.0,24.1,7.3,0.0
09/05/2022 19:00:00.000000,0.167,3.0,74.0,26.8,7.8,0.0
09/05/2022 20:00:00.000000,0.168,3.0,76.0,29.3,7.5,0.0
09/05/2022 21:00:00.000000,0.157,3.0,73.0,25.5,7.1,0.0
09/05/2022 22:00:00.000000,0.13,3.0,65.0,23.0,6.2,0.0
09/05/2022 23:00:00.000000,0.138,3.0,65.0,22.0,6.0,0.0
09/06/2022 00:00:00.000000,0.212,8.0,56.0,20.9,6.0,0.0
09/06/2022 01:00:00.000000,0.425,19.0,36.0,32.7,10.6,0.0
09/06/2022 02:00:00.000000,0.393,20.0,34.0,30.6,9.6,0.0
09/06/2022 03:00:00.000000,0.238,9.0,44.0,21.5,7.6,0.0
09/06/2022 04:00:00.000000,0.251,9.0,42.0,21.5,7.6,0.0
09/06/2022 05:00:00.000000,0.252,,39.0,22.2,7.8,0.0
09/06/2022 06:00:00.000000,0.219,8.0,38.0,21.4,7.3,0.0
09/06/2022 07:00:00.000000,,,35.0,22.0,7.6,
09/06/2022 08:00:00.000000,,,35.0,,,
09/06/2022 09:00:00.000000,0.182,3.0,42.0,19.9,7.7,0.0
09/06/2022 10:00:00.000000,0.19,4.0,37.0,21.5,8.2,0.0
09/06/2022 11:00:00.000000,0.214,8.0,31.0,18.8,8.8,0.0
09/06/2022 12:00:00.000000,0.49,29.0,7.0,28.7,10.0,0.0
09/06/2022 13:00:00.000000,0.491,32.0,8.0,34.8,10.0,0.0
09/06/2022 14:00:00.000000,0.458,28.0,17.0,56.5,10.8,0.0
09/06/2022 15:00:00.000000,,24.0,28.0,72.7,11.9,0.0
09/06/2022 16:00:00.000000,0.379,31.0,29.0,57.7,12.0,
09/06/2022 17:00:00.000000,0.281,13.0,55.0,37.7,11.5,0.0
09/06/2022 18:00:00.000000,0.248,11.0,67.0,47.7,15.4,0.0
09/06/2022 19:00:00.000000,0.211,10.0,66.0,48.4,17.7,0.0
09/06/2022 20:00:00.000000,0.212,8.0,69.0,46.9,20.6,0.0
09/06/2022 21:00:00.000000,0.222,8.0,76.0,55.3,20.5,0.0
09/06/2022 22:00:00.000000,0.173,5.0,78.0,41.0,17.0,0.0
09/06/2022 23:00:00.000000,0.193,10.0,66.0,44.7,19.5,0.0
09/07/2022 00:00:00.000000,0.219,15.0,53.0,48.5,21.3,0.0
09/07/2022 01:00:00.000000,0.5,27.0,39.0,63.4,23.3,0.0
09/07/2022 02:00:00.000000,0.448,20.0,42.0,58.4,24.1,0.0
09/07/2022 03:00:00.000000,0.344,14.0,47.0,55.1,25.3,0.0
09/07/2022 04:00:00.000000,,,44.0,55.0,24.1,
09/07/2022 05:00:00.000000,0.373,,41.0,51.1,22.5,0.0
09/07/2022 06:00:00.000000,0.331,12.0,38.0,50.1,22.0,0.0
09/07/2022 07:00:00.000000,,,40.0,51.0,22.9,
09/07/2022 08:00:00.000000,,,40.0,,,
09/07/2022 09:00:00.000000,0.3,9.0,36.0,45.3,23.8,0.0
09/07/2022 10:00:00.000000,0.24,13.0,29.0,44.0,21.0,0.0
09/07/2022 11:00:00.000000,0.245,22.0,19.0,39.0,17.8,0.0
09/07/2022 12:00:00.000000,0.455,21.0,16.0,44.0,22.8,0.0
09/07/2022 13:00:00.000000,0.604,34.0,5.0,58.0,20.9,1.0
09/07/2022 14:00:00.000000,0.457,29.0,17.0,59.7,18.8,0.0
09/07/2022 15:00:00.000000,0.351,,31.0,55.8,17.3,0.0
09/07/2022 16:00:00.000000,0.353,28.0,36.0,81.5,19.3,1.0
09/07/2022 17:00:00.000000,,,50.0,68.0,18.7,
09/07/2022 18:00:00.000000,0.28,17.0,60.0,73.2,17.2,1.0
09/07/2022 19:00:00.000000,0.228,11.0,67.0,56.7,15.2,0.0
09/07/2022 20:00:00.000000,0.19,6.0,72.0,43.0,13.8,0.0
09/07/2022 21:00:00.000000,0.172,3.0,74.0,35.1,15.6,0.0
09/07/2022 22:00:00.000000,0.154,3.0,75.0,34.5,16.1,0.0
09/07/2022 23:00:00.000000,0.179,5.0,65.0,41.1,16.8,0.0
09/08/2022 00:00:00.000000,0.186,7.0,59.0,40.8,18.6,0.0
09/08/2022 01:00:00.000000,0.204,6.0,58.0,39.4,18.6,0.0
09/08/2022 02:00:00.000000,0.194,4.0,58.0,39.5,18.8,0.0
09/08/2022 03:00:00.000000,0.206,5.0,53.0,39.8,18.7,0.0
09/08/2022 04:00:00.000000,0.173,4.0,53.0,35.2,18.3,0.0
