InstrumentName, I25 Denver,,,,,,,
StartTime, 2022-06-01 00:00:00,,,,,,,
EndTime, 2022-06-30 23:59:59,,,,,,,
Date,81102,Carbon monoxide,Nitrogen dioxide,Outdoor Temperature,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind Speed
06/01/2022 02:16:00.000000,11.266684,0.36632,16.383706,44.143463,7.125,81.906128,35.940731,3.303375
06/01/2022 02:17:00.000000,4.468296,0.342529,16.523308,44.059143,3.55,81.334839,28.213799,2.602539
06/01/2022 02:18:00.000000,3.792107,0.225713,16.232718,44.097321,2.55,82.197266,22.734631,2.715149
06/01/2022 02:19:00.000000,3.032131,0.216392,14.970699,44.073425,2.6,82.681732,19.145073,2.361755
06/01/2022 02:20:00.000000,2.995354,0.195381,13.062651,44.016022,2.225,82.251129,34.047073,2.495575
06/01/2022 02:21:00.000000,2.543343,0.168677,11.643466,43.986084,2.15,82.700195,5.195777,1.478729
06/01/2022 02:22:00.000000,3.815015,0.167477,10.107921,44.026184,2.95,83.596954,337.512801,1.918945
06/01/2022 02:23:00.000000,7.243,0.193388,9.275563,44.076172,4.35,84.359436,190.44649,1.168518
06/01/2022 02:24:00.000000,9.620473,0.241382,11.250646,44.20636,5.75,85.427399,80.308634,1.336365
06/01/2022 02:25:00.000000,12.854942,0.329464,13.023703,44.280243,7.75,85.804749,322.672589,1.610107
06/01/2022 02:26:00.000000,14.541289,0.48811,22.237751,44.27832,8.75,85.808716,344.666406,2.207184
06/01/2022 02:27:00.000000,6.358358,0.454774,15.758909,44.090179,3.775,83.607178,358.373188,2.651825
06/01/2022 02:28:00.000000,8.487026,0.346334,14.036895,44.070129,5.2,83.204193,15.299434,2.624664
06/01/2022 02:29:00.000000,6.054263,0.308096,13.905063,44.044037,3.975,83.323517,13.788611,3.089142
06/01/2022 02:30:00.000000,5.750168,0.314257,13.388603,44.031403,3.525,83.611908,11.592683,3.725433
06/01/2022 02:31:00.000000,7.049484,0.282992,12.608767,44.110779,4.7,84.451904,357.005271,3.219147
06/01/2022 02:32:00.000000,5.639587,0.218067,11.920344,44.225037,4.225,85.585632,313.763566,2.218781
06/01/2022 02:33:00.000000,11.279175,0.243283,12.442327,44.375275,6.9,86.982117,289.956139,3.548126
06/01/2022 02:34:00.000000,12.219106,0.281292,17.491092,44.401642,8.1,87.946167,273.633955,3.017426
06/01/2022 02:35:00.000000,8.846412,0.313228,20.637532,44.325836,6.75,88.343658,262.841682,3.41568
06/01/2022 02:36:00.000000,6.883614,0.331668,19.617481,44.195923,4.725,88.464355,265.595194,4.373169
06/01/2022 02:37:00.000000,4.948462,0.362169,20.110788,43.750427,3.65,87.058105,264.852403,6.454773
06/01/2022 02:38:00.000000,10.366889,0.3348,18.539208,43.312073,6.35,85.592651,263.981557,6.430817
06/01/2022 02:39:00.000000,8.376446,0.289813,16.909526,43.144257,5.6,85.782013,263.723579,3.969879
06/01/2022 02:40:00.000000,7.325935,0.307225,15.859865,43.121735,4.925,86.391754,242.328838,4.252625
