InstrumentName, Melody-Catalpa B,,
StartTime, 2018-11-01 00:00:00,,
EndTime, 2018-11-30 23:59:59,,
Date,PM2.5,humidity,temp_f
11/01/2018 00:01:54.660000,6.38,43.0,52.0
11/01/2018 00:03:14.660000,6.14,43.0,52.0
11/01/2018 00:05:39.600000,9.17,44.0,52.0
11/01/2018 00:06:59.596666,5.55,44.0,52.0
11/01/2018 00:09:39.556666,3.72,44.0,51.0
11/01/2018 00:10:59.590000,2.93,44.0,51.0
11/01/2018 00:13:39.560000,2.0,45.0,51.0
11/01/2018 00:14:59.596666,2.26,45.0,51.0
11/01/2018 00:17:39.556666,2.17,46.0,51.0
11/01/2018 00:18:59.703333,2.34,46.0,51.0
11/01/2018 00:21:39.650000,2.37,46.0,50.0
11/01/2018 00:22:59.566666,2.74,46.0,50.0
11/01/2018 00:25:39.556666,2.69,47.0,50.0
11/01/2018 00:26:59.560000,2.71,47.0,50.0
11/01/2018 00:29:39.566666,2.42,48.0,50.0
11/01/2018 00:30:59.616666,2.98,48.0,50.0
11/01/2018 00:33:39.570000,1.79,48.0,49.0
11/01/2018 00:34:59.566666,2.12,48.0,49.0
11/01/2018 00:37:39.556666,2.32,48.0,49.0
11/01/2018 00:38:59.570000,3.63,49.0,49.0
11/01/2018 00:41:39.786666,2.05,49.0,49.0
11/01/2018 00:42:59.563333,2.14,49.0,49.0
11/01/2018 00:45:39.570000,3.09,49.0,49.0
11/01/2018 00:46:59.583333,2.35,49.0,48.0
11/01/2018 00:49:39.576666,3.4,49.0,48.0
11/01/2018 00:50:59.576666,3.6,50.0,48.0
11/01/2018 00:53:39.576666,3.0,50.0,48.0
11/01/2018 00:54:59.576666,3.26,50.0,48.0
11/01/2018 00:57:39.583333,3.03,50.0,48.0
11/01/2018 00:58:59.936666,3.1,50.0,48.0
11/01/2018 01:01:39.586666,3.12,51.0,48.0
11/01/2018 01:02:59.590000,3.72,51.0,47.0
11/01/2018 01:05:39.666666,4.41,51.0,47.0
11/01/2018 01:06:59.586666,4.05,51.0,47.0
11/01/2018 01:09:39.603333,4.57,51.0,47.0
11/01/2018 01:10:59.600000,4.74,51.0,47.0
11/01/2018 01:13:39.593333,5.33,51.0,47.0
11/01/2018 01:14:59.600000,4.81,51.0,47.0
11/01/2018 01:17:39.630000,4.02,51.0,47.0
11/01/2018 01:18:59.673333,4.74,51.0,47.0
11/01/2018 01:21:39.600000,5.25,51.0,47.0
11/01/2018 01:22:59.606666,6.32,51.0,47.0
11/01/2018 01:25:39.626666,6.0,52.0,47.0
11/01/2018 01:26:59.610000,7.77,51.0,46.0
11/01/2018 01:29:39.610000,5.17,51.0,46.0
11/01/2018 01:30:59.603333,7.24,52.0,46.0
11/01/2018 01:33:39.613333,7.56,52.0,46.0
11/01/2018 01:34:59.616666,12.37,52.0,46.0
11/01/2018 01:37:39.616666,8.26,53.0,46.0
11/01/2018 01:38:59.606666,8.48,53.0,46.0
11/01/2018 01:41:39.606666,11.47,53.0,46.0
11/01/2018 01:42:59.616666,12.6,53.0,45.0
11/01/2018 01:45:39.626666,10.19,54.0,45.0
11/01/2018 01:46:59.660000,11.93,53.0,45.0
11/01/2018 01:49:39.620000,14.21,53.0,45.0
11/01/2018 01:50:59.613333,11.62,53.0,45.0
11/01/2018 01:53:39.610000,12.89,55.0,44.0
11/01/2018 01:54:59.613333,12.3,55.0,44.0
11/01/2018 01:57:39.696666,12.43,55.0,44.0
11/01/2018 01:58:59.620000,14.5,55.0,45.0
11/01/2018 02:01:39.643333,13.91,54.0,45.0
11/01/2018 02:02:59.683333,15.5,54.0,45.0
11/01/2018 02:05:39.610000,15.76,54.0,45.0
11/01/2018 02:06:59.636666,14.84,54.0,45.0
11/01/2018 02:09:39.620000,15.36,55.0,44.0
11/01/2018 02:10:59.620000,14.32,55.0,44.0
11/01/2018 02:13:39.683333,13.29,55.0,44.0
11/01/2018 02:14:59.603333,13.67,55.0,44.0
11/01/2018 02:17:39.733333,14.07,55.0,44.0
11/01/2018 02:18:59.616666,13.51,55.0,44.0
11/01/2018 02:21:39.600000,13.3,55.0,44.0
11/01/2018 02:22:59.620000,13.23,55.0,44.0
11/01/2018 02:25:39.783333,12.59,55.0,44.0
11/01/2018 02:26:59.616666,13.21,55.0,44.0
11/01/2018 02:29:39.610000,12.88,55.0,44.0
11/01/2018 02:30:59.610000,10.6,55.0,44.0
11/01/2018 02:33:39.780000,12.93,55.0,44.0
11/01/2018 02:34:59.630000,12.6,55.0,44.0
11/01/2018 02:37:39.606666,11.88,55.0,44.0
11/01/2018 02:38:59.610000,12.4,55.0,44.0
11/01/2018 02:41:39.603333,12.86,56.0,43.0
11/01/2018 02:42:59.646666,12.61,56.0,44.0
11/01/2018 02:45:39.613333,13.65,55.0,44.0
11/01/2018 02:46:59.626666,12.24,55.0,44.0
11/01/2018 02:49:39.600000,12.86,55.0,43.0
11/01/2018 02:50:59.616666,13.23,55.0,43.0
11/01/2018 02:53:39.603333,12.7,56.0,43.0
11/01/2018 02:54:59.603333,12.35,55.0,43.0
11/01/2018 02:57:39.606666,13.02,55.0,43.0
11/01/2018 02:58:59.603333,12.42,55.0,43.0
11/01/2018 03:01:39.606666,12.35,55.0,43.0
11/01/2018 03:02:59.600000,13.27,55.0,43.0
11/01/2018 03:05:39.603333,11.37,55.0,43.0
11/01/2018 03:06:59.606666,10.44,55.0,43.0
11/01/2018 03:09:39.603333,10.49,56.0,43.0
11/01/2018 03:10:59.800000,10.34,56.0,43.0
11/01/2018 03:13:39.596666,11.0,56.0,43.0
11/01/2018 03:14:59.696666,9.37,55.0,43.0
11/01/2018 03:17:39.606666,11.37,55.0,43.0
11/01/2018 03:18:59.606666,11.02,55.0,43.0
11/01/2018 03:21:39.603333,9.4,56.0,42.0
11/01/2018 03:22:59.596666,11.26,56.0,42.0
11/01/2018 03:25:39.606666,11.77,56.0,43.0
11/01/2018 03:26:59.593333,11.44,56.0,42.0
11/01/2018 03:29:39.603333,7.33,57.0,42.0
11/01/2018 03:30:59.620000,7.3,57.0,42.0
11/01/2018 03:33:39.613333,7.53,57.0,42.0
11/01/2018 03:34:59.610000,7.28,57.0,42.0
11/01/2018 03:37:39.600000,7.14,57.0,42.0
11/01/2018 03:38:59.596666,7.41,57.0,42.0
11/01/2018 03:41:39.590000,6.14,57.0,42.0
11/01/2018 03:42:59.600000,6.65,57.0,42.0
11/01/2018 03:45:39.596666,6.5,57.0,43.0
11/01/2018 03:46:59.590000,6.52,57.0,43.0
11/01/2018 03:49:39.623333,7.4,56.0,43.0
11/01/2018 03:50:59.596666,6.91,56.0,43.0
11/01/2018 03:53:39.600000,6.93,56.0,43.0
11/01/2018 03:54:59.593333,6.73,56.0,43.0
11/01/2018 03:57:39.606666,6.3,56.0,43.0
11/01/2018 03:58:59.606666,6.1,56.0,42.0
11/01/2018 04:01:25.863333,8.83,56.0,42.0
11/01/2018 04:02:45.856666,6.84,56.0,42.0
11/01/2018 04:05:25.900000,6.52,57.0,42.0
11/01/2018 04:06:45.846666,6.81,58.0,42.0
11/01/2018 04:09:25.846666,7.91,58.0,42.0
11/01/2018 04:10:45.846666,8.12,58.0,42.0
11/01/2018 04:13:25.843333,7.0,59.0,42.0
11/01/2018 04:14:45.863333,6.49,58.0,42.0
