InstrumentName, Wash Park West B,,
StartTime, 2018-11-01 00:00:00,,
EndTime, 2018-11-30 23:59:59,,
Date,PM2.5,humidity,temp_f
11/01/2018 00:00:48.246666,3.51,36.0,54.0
11/01/2018 00:03:28.250000,3.14,36.0,54.0
11/01/2018 00:04:48.300000,3.05,37.0,54.0
11/01/2018 00:07:28.276666,4.14,37.0,53.0
11/01/2018 00:08:48.270000,4.41,37.0,53.0
11/01/2018 00:11:28.296666,5.98,37.0,53.0
11/01/2018 00:12:48.280000,7.19,37.0,53.0
11/01/2018 00:15:28.263333,8.93,38.0,53.0
11/01/2018 00:16:48.263333,8.16,38.0,53.0
11/01/2018 00:19:28.276666,7.98,38.0,53.0
11/01/2018 00:20:48.283333,8.15,38.0,53.0
11/01/2018 00:23:28.303333,8.0,38.0,53.0
11/01/2018 00:24:48.273333,8.34,38.0,53.0
11/01/2018 00:27:38.273333,8.56,39.0,53.0
11/01/2018 00:28:58.276666,9.9,39.0,53.0
11/01/2018 00:31:38.326666,7.75,39.0,53.0
11/01/2018 00:32:58.283333,7.7,39.0,52.0
11/01/2018 00:35:38.396666,8.44,39.0,52.0
11/01/2018 00:36:58.290000,8.16,39.0,52.0
11/01/2018 00:39:38.250000,9.28,39.0,52.0
11/01/2018 00:40:58.243333,8.49,40.0,52.0
11/01/2018 00:43:38.320000,8.49,40.0,52.0
11/01/2018 00:44:58.293333,8.6,40.0,52.0
11/01/2018 00:47:38.256666,8.12,40.0,52.0
11/01/2018 00:48:58.263333,9.07,40.0,52.0
11/01/2018 00:51:38.280000,9.57,40.0,52.0
11/01/2018 00:52:58.263333,9.51,40.0,52.0
11/01/2018 00:55:38.836666,7.9,41.0,52.0
11/01/2018 00:56:58.280000,8.43,41.0,52.0
11/01/2018 00:59:38.280000,8.88,41.0,51.0
11/01/2018 01:00:58.263333,7.88,41.0,52.0
11/01/2018 01:03:38.293333,8.3,41.0,51.0
11/01/2018 01:04:58.273333,8.02,41.0,51.0
11/01/2018 01:07:38.386666,8.28,41.0,51.0
11/01/2018 01:08:58.290000,7.98,41.0,51.0
11/01/2018 01:11:38.393333,8.53,41.0,51.0
11/01/2018 01:12:58.376666,8.98,42.0,51.0
11/01/2018 01:15:38.293333,8.26,42.0,51.0
11/01/2018 01:16:58.286666,8.31,42.0,51.0
11/01/2018 01:19:38.276666,8.42,42.0,51.0
11/01/2018 01:20:58.296666,8.84,42.0,51.0
11/01/2018 01:23:38.313333,9.47,42.0,51.0
11/01/2018 01:24:58.296666,9.74,42.0,51.0
11/01/2018 01:27:38.320000,9.76,42.0,51.0
11/01/2018 01:28:58.306666,10.12,42.0,51.0
11/01/2018 01:31:38.310000,9.72,42.0,50.0
11/01/2018 01:32:58.356666,9.75,42.0,50.0
11/01/2018 01:35:38.360000,11.05,43.0,50.0
11/01/2018 01:36:58.323333,10.3,43.0,50.0
11/01/2018 01:39:38.300000,10.77,43.0,50.0
11/01/2018 01:40:58.383333,10.79,43.0,50.0
11/01/2018 01:43:38.306666,10.75,43.0,50.0
11/01/2018 01:44:58.313333,11.27,43.0,50.0
11/01/2018 01:47:38.480000,11.24,43.0,50.0
11/01/2018 01:48:58.326666,12.02,43.0,49.0
11/01/2018 01:51:38.346666,12.05,44.0,49.0
11/01/2018 01:52:58.340000,12.21,44.0,49.0
11/01/2018 01:55:38.330000,12.3,44.0,49.0
11/01/2018 01:56:58.323333,11.77,44.0,49.0
11/01/2018 01:59:38.330000,11.7,44.0,49.0
11/01/2018 02:00:58.316666,12.9,44.0,49.0
11/01/2018 02:03:38.350000,13.77,45.0,49.0
11/01/2018 02:04:58.346666,13.58,45.0,49.0
11/01/2018 02:07:38.390000,13.7,45.0,49.0
11/01/2018 02:08:58.323333,13.05,45.0,49.0
11/01/2018 02:11:38.323333,14.3,45.0,48.0
11/01/2018 02:12:58.386666,14.7,45.0,48.0
11/01/2018 02:15:38.340000,14.02,46.0,48.0
11/01/2018 02:16:58.363333,13.72,46.0,48.0
11/01/2018 02:19:38.346666,14.14,46.0,48.0
11/01/2018 02:20:58.376666,14.43,46.0,48.0
11/01/2018 02:23:38.576666,12.51,46.0,48.0
11/01/2018 02:24:58.353333,13.95,46.0,48.0
11/01/2018 02:27:38.396666,13.24,46.0,48.0
11/01/2018 02:28:58.596666,12.65,46.0,48.0
11/01/2018 02:31:38.363333,13.75,46.0,48.0
11/01/2018 02:32:58.350000,12.83,46.0,48.0
11/01/2018 02:35:38.386666,14.33,46.0,48.0
11/01/2018 02:36:58.366666,15.05,46.0,48.0
11/01/2018 02:39:38.360000,14.6,46.0,48.0
11/01/2018 02:40:58.360000,14.79,47.0,48.0
11/01/2018 02:43:38.353333,15.23,47.0,48.0
11/01/2018 02:44:58.403333,15.55,47.0,47.0
11/01/2018 02:47:38.360000,14.09,47.0,47.0
11/01/2018 02:48:58.383333,13.95,47.0,47.0
11/01/2018 02:51:38.400000,14.33,47.0,47.0
11/01/2018 02:52:58.370000,12.77,47.0,47.0
11/01/2018 02:55:38.370000,12.65,47.0,47.0
11/01/2018 02:56:58.370000,12.93,47.0,47.0
11/01/2018 02:59:38.366666,11.14,47.0,47.0
11/01/2018 03:00:58.453333,12.33,47.0,47.0
11/01/2018 03:03:38.396666,12.29,47.0,47.0
11/01/2018 03:04:58.396666,12.14,47.0,47.0
11/01/2018 03:07:38.406666,11.72,47.0,47.0
11/01/2018 03:08:58.406666,10.48,47.0,47.0
11/01/2018 03:11:38.410000,10.74,47.0,47.0
11/01/2018 03:12:58.406666,9.84,47.0,47.0
11/01/2018 03:15:38.856666,12.05,48.0,46.0
11/01/2018 03:16:58.416666,11.14,48.0,46.0
11/01/2018 03:19:38.410000,12.19,48.0,46.0
11/01/2018 03:20:58.416666,10.56,48.0,46.0
11/01/2018 03:23:38.413333,12.91,48.0,46.0
11/01/2018 03:24:58.446666,11.81,48.0,46.0
11/01/2018 03:27:38.513333,12.02,48.0,46.0
11/01/2018 03:28:58.413333,11.74,48.0,46.0
11/01/2018 03:31:38.496666,13.21,48.0,46.0
11/01/2018 03:32:58.430000,12.67,48.0,46.0
11/01/2018 03:35:38.443333,12.05,48.0,46.0
11/01/2018 03:36:58.436666,11.19,48.0,46.0
11/01/2018 03:39:38.486666,12.59,48.0,46.0
11/01/2018 03:40:58.426666,12.0,48.0,46.0
11/01/2018 03:43:38.430000,12.16,48.0,46.0
11/01/2018 03:44:58.466666,12.59,48.0,46.0
11/01/2018 03:47:38.446666,12.16,48.0,46.0
11/01/2018 03:48:58.433333,11.69,48.0,45.0
11/01/2018 03:51:38.426666,12.02,49.0,45.0
11/01/2018 03:52:58.456666,11.42,49.0,45.0
11/01/2018 03:55:38.546666,12.95,49.0,45.0
11/01/2018 03:56:58.443333,11.9,49.0,45.0
11/01/2018 03:59:38.426666,11.33,49.0,45.0
11/01/2018 04:00:58.420000,12.43,49.0,45.0
11/01/2018 04:03:38.500000,13.37,49.0,45.0
11/01/2018 04:04:58.423333,12.81,49.0,45.0
11/01/2018 04:07:38.446666,12.09,49.0,45.0
11/01/2018 04:08:58.443333,11.73,49.0,45.0
11/01/2018 04:11:38.506666,12.31,49.0,45.0
11/01/2018 04:12:58.430000,12.53,49.0,45.0
11/01/2018 04:15:01.946666,13.67,49.0,45.0
