InstrumentName, 26th and Williams B,,
StartTime, 2018-11-01 00:00:00,,
EndTime, 2018-11-30 23:59:59,,
Date,PM2.5,humidity,temp_f
11/01/2018 00:00:48.036666,2.22,32.0,60.0
11/01/2018 00:02:08.416666,2.67,32.0,59.0
11/01/2018 00:04:48.053333,2.68,32.0,59.0
11/01/2018 00:06:08.053333,2.89,32.0,59.0
11/01/2018 00:08:48.086666,3.75,33.0,59.0
11/01/2018 00:10:09.556666,3.51,33.0,59.0
11/01/2018 00:12:49.796666,3.65,33.0,59.0
11/01/2018 00:14:08.060000,4.05,33.0,58.0
11/01/2018 00:16:48.366666,4.23,34.0,58.0
11/01/2018 00:19:28.066666,4.3,34.0,58.0
11/01/2018 00:20:48.053333,4.17,34.0,58.0
11/01/2018 00:23:28.563333,4.52,34.0,58.0
11/01/2018 00:24:48.066666,3.86,35.0,58.0
11/01/2018 00:27:28.083333,4.66,35.0,58.0
11/01/2018 00:28:48.470000,5.47,35.0,58.0
11/01/2018 00:31:28.063333,6.98,35.0,57.0
11/01/2018 00:32:49.260000,6.28,35.0,57.0
11/01/2018 00:35:28.090000,6.6,36.0,57.0
11/01/2018 00:36:48.053333,6.93,36.0,57.0
11/01/2018 00:39:28.173333,6.25,36.0,57.0
11/01/2018 00:40:48.776666,6.4,36.0,57.0
11/01/2018 00:43:28.063333,6.23,36.0,57.0
11/01/2018 00:44:50.486666,6.64,36.0,57.0
11/01/2018 00:47:28.070000,7.49,36.0,57.0
11/01/2018 00:48:48.063333,7.52,37.0,57.0
11/01/2018 00:51:28.156666,6.44,36.0,57.0
11/01/2018 00:52:48.136666,7.05,36.0,57.0
11/01/2018 00:55:28.083333,8.09,36.0,56.0
11/01/2018 00:56:48.083333,8.6,36.0,56.0
11/01/2018 00:59:28.080000,8.36,37.0,56.0
11/01/2018 01:00:48.060000,10.64,37.0,56.0
11/01/2018 01:03:29.103333,9.49,37.0,56.0
11/01/2018 01:04:50.126666,10.27,37.0,56.0
11/01/2018 01:07:28.396666,11.26,37.0,56.0
11/01/2018 01:08:48.790000,11.31,37.0,56.0
11/01/2018 01:11:28.090000,12.45,38.0,56.0
11/01/2018 01:12:48.096666,12.73,38.0,56.0
11/01/2018 01:15:29.283333,10.95,38.0,55.0
11/01/2018 01:16:48.073333,13.62,38.0,55.0
11/01/2018 01:19:28.070000,14.46,38.0,55.0
11/01/2018 01:20:48.073333,15.67,38.0,55.0
11/01/2018 01:23:28.080000,14.07,38.0,55.0
11/01/2018 01:24:48.066666,13.9,39.0,55.0
11/01/2018 01:27:28.090000,13.85,39.0,55.0
11/01/2018 01:28:48.126666,14.54,39.0,55.0
11/01/2018 01:31:28.070000,18.46,39.0,55.0
11/01/2018 01:32:48.086666,20.7,39.0,55.0
11/01/2018 01:34:08.373333,22.63,39.0,55.0
11/01/2018 01:36:48.073333,19.86,39.0,55.0
11/01/2018 01:38:08.073333,16.18,39.0,55.0
11/01/2018 01:40:48.126666,18.28,39.0,55.0
11/01/2018 01:42:08.076666,15.42,39.0,55.0
11/01/2018 01:44:48.056666,17.12,39.0,55.0
11/01/2018 01:46:08.083333,16.37,41.0,55.0
11/01/2018 01:48:48.130000,17.0,39.0,55.0
11/01/2018 01:50:08.080000,16.0,39.0,55.0
11/01/2018 01:52:48.073333,16.9,39.0,55.0
11/01/2018 01:54:08.146666,33.36,39.0,55.0
11/01/2018 01:56:48.133333,17.53,39.0,55.0
11/01/2018 01:58:08.070000,14.5,39.0,55.0
11/01/2018 02:00:48.086666,13.39,40.0,55.0
11/01/2018 02:02:08.073333,13.45,39.0,55.0
11/01/2018 02:04:48.070000,16.73,39.0,55.0
11/01/2018 02:06:08.079000,16.28,39.0,55.0
11/01/2018 02:06:08.080000,16.28,39.0,55.0
                
