InstrumentName, APCD,,
StartTime, 2018-11-01 00:00:00,,
EndTime, 2018-11-30 23:59:59,,
Date,PM2.5,humidity,temp_f
11/01/2018 00:01:13.873333,2.36,42.0,48.0
11/01/2018 00:03:53.673333,3.24,43.0,49.0
11/01/2018 00:05:13.910000,2.5,43.0,49.0
11/01/2018 00:07:54.086666,2.42,43.0,49.0
11/01/2018 00:09:15.983333,2.87,43.0,49.0
11/01/2018 00:11:54.766666,3.29,43.0,49.0
11/01/2018 00:13:15.436666,2.89,43.0,48.0
11/01/2018 00:15:53.643333,2.76,44.0,48.0
11/01/2018 00:17:13.716666,2.74,44.0,48.0
11/01/2018 00:19:53.880000,3.11,45.0,48.0
11/01/2018 00:21:14.116666,3.41,45.0,48.0
11/01/2018 00:23:53.610000,4.22,45.0,48.0
11/01/2018 00:25:14.053333,3.97,45.0,48.0
11/01/2018 00:27:53.730000,4.33,45.0,48.0
11/01/2018 00:29:13.603333,4.28,46.0,48.0
11/01/2018 00:31:53.646666,4.47,46.0,48.0
11/01/2018 00:33:13.726666,4.46,46.0,48.0
11/01/2018 00:35:53.836666,4.47,46.0,48.0
11/01/2018 00:37:13.776666,4.97,46.0,48.0
11/01/2018 00:39:54.766666,6.18,47.0,47.0
11/01/2018 00:41:13.770000,6.11,47.0,47.0
11/01/2018 00:43:53.746666,8.88,47.0,47.0
11/01/2018 00:45:13.703333,8.9,47.0,47.0
11/01/2018 00:47:53.656666,6.26,47.0,47.0
11/01/2018 00:49:13.873333,6.65,48.0,47.0
11/01/2018 00:51:53.676666,6.81,48.0,47.0
11/01/2018 00:53:13.876666,6.3,48.0,47.0
11/01/2018 00:55:55.286666,6.74,48.0,47.0
11/01/2018 00:57:13.693333,6.68,48.0,47.0
11/01/2018 00:59:54.073333,7.93,48.0,47.0
11/01/2018 01:01:14.456666,8.77,49.0,47.0
11/01/2018 01:03:53.890000,8.18,49.0,47.0
11/01/2018 01:05:13.960000,7.49,49.0,47.0
11/01/2018 01:07:54.766666,9.21,50.0,46.0
11/01/2018 01:09:13.783333,8.78,50.0,47.0
11/01/2018 01:11:54.050000,9.08,50.0,47.0
11/01/2018 01:13:14.406666,9.05,50.0,47.0
11/01/2018 01:15:53.946666,9.44,50.0,46.0
11/01/2018 01:17:14.056666,9.94,50.0,46.0
11/01/2018 01:20:00.336666,9.97,50.0,46.0
11/01/2018 01:21:14.083333,10.34,50.0,46.0
11/01/2018 01:23:54.810000,8.38,51.0,45.0
11/01/2018 01:25:13.790000,9.97,51.0,46.0
11/01/2018 01:27:53.970000,8.82,52.0,45.0
11/01/2018 01:29:13.726666,9.23,52.0,45.0
11/01/2018 01:31:53.753333,10.03,53.0,45.0
11/01/2018 01:33:13.910000,9.85,53.0,46.0
11/01/2018 01:35:54.516666,10.26,52.0,45.0
11/01/2018 01:37:14.426666,9.91,53.0,46.0
11/01/2018 01:39:54.426666,10.32,52.0,46.0
11/01/2018 01:41:13.766666,10.0,52.0,45.0
11/01/2018 01:43:53.760000,9.85,53.0,45.0
11/01/2018 01:45:13.706666,9.36,53.0,45.0
11/01/2018 01:47:54.890000,10.59,53.0,45.0
11/01/2018 01:49:13.723333,11.73,53.0,45.0
11/01/2018 01:51:53.900000,13.82,53.0,46.0
11/01/2018 01:53:13.766666,14.49,53.0,45.0
11/01/2018 01:55:53.846666,10.79,53.0,46.0
11/01/2018 01:57:13.683333,11.5,54.0,45.0
11/01/2018 01:59:54.350000,12.16,54.0,45.0
11/01/2018 02:01:13.706666,11.43,54.0,44.0
11/01/2018 02:03:54.510000,10.75,55.0,44.0
11/01/2018 02:05:13.946666,10.24,56.0,44.0
11/01/2018 02:07:54.036666,10.0,56.0,44.0
11/01/2018 02:09:14.166666,9.32,56.0,43.0
11/01/2018 02:11:53.910000,9.54,57.0,43.0
11/01/2018 02:13:13.940000,8.74,57.0,43.0
11/01/2018 02:15:54.053333,9.0,58.0,44.0
11/01/2018 02:17:13.836666,9.69,57.0,44.0
11/01/2018 02:19:54.160000,12.18,57.0,43.0
11/01/2018 02:21:14.186666,10.85,58.0,43.0
11/01/2018 02:23:53.856666,10.47,58.0,43.0
11/01/2018 02:25:13.780000,9.97,58.0,43.0
11/01/2018 02:27:53.713333,10.84,59.0,43.0
11/01/2018 02:29:14.253333,10.97,59.0,43.0
11/01/2018 02:31:53.873333,11.77,59.0,43.0
11/01/2018 02:33:13.956666,12.92,59.0,43.0
11/01/2018 02:35:54.126666,12.1,59.0,43.0
11/01/2018 02:37:13.736666,11.82,59.0,43.0
11/01/2018 02:39:54.030000,11.9,59.0,43.0
11/01/2018 02:41:14.020000,11.37,60.0,43.0
11/01/2018 02:43:57.446666,11.63,60.0,42.0
11/01/2018 02:45:13.950000,12.11,60.0,43.0
11/01/2018 02:47:53.980000,10.37,60.0,43.0
11/01/2018 02:49:13.953333,11.54,60.0,43.0
11/01/2018 02:51:54.090000,9.62,61.0,42.0
11/01/2018 02:53:13.983333,10.11,61.0,42.0
11/01/2018 02:55:54.206666,9.43,62.0,42.0
11/01/2018 02:57:16.606666,8.67,62.0,42.0
11/01/2018 02:59:54.506666,8.65,61.0,42.0
11/01/2018 03:01:13.946666,8.78,61.0,42.0
11/01/2018 03:03:54.170000,8.74,62.0,42.0
11/01/2018 03:05:13.966666,9.05,62.0,42.0
11/01/2018 03:07:55.450000,8.55,61.0,42.0
11/01/2018 03:09:14.690000,8.95,61.0,42.0
11/01/2018 03:11:54.313333,8.5,61.0,42.0
11/01/2018 03:13:14.016666,8.49,61.0,42.0
11/01/2018 03:15:56.800000,9.13,61.0,42.0
11/01/2018 03:17:13.956666,8.5,61.0,42.0
11/01/2018 03:19:54.506666,8.34,61.0,41.0
11/01/2018 03:21:13.973333,9.5,62.0,41.0
11/01/2018 03:23:54.440000,8.39,62.0,41.0
11/01/2018 03:25:13.993333,7.21,62.0,41.0
11/01/2018 03:27:54.100000,9.55,62.0,41.0
11/01/2018 03:29:14.123333,10.16,62.0,41.0
11/01/2018 03:31:54.280000,10.38,62.0,41.0
11/01/2018 03:33:14.073333,9.51,63.0,41.0
11/01/2018 03:35:56.346666,9.47,63.0,41.0
11/01/2018 03:37:14.216666,8.54,63.0,41.0
11/01/2018 03:39:53.783333,9.09,63.0,41.0
11/01/2018 03:41:17.513333,8.16,63.0,41.0
11/01/2018 03:43:54.076666,9.44,63.0,41.0
11/01/2018 03:45:13.796666,11.13,63.0,42.0
11/01/2018 03:47:53.853333,10.21,62.0,41.0
11/01/2018 03:49:16.666666,8.5,62.0,41.0
11/01/2018 03:51:54.733333,10.51,62.0,41.0
11/01/2018 03:53:13.846666,11.71,63.0,41.0
11/01/2018 03:55:54.036666,11.82,63.0,41.0
11/01/2018 03:57:13.996666,10.63,63.0,41.0
11/01/2018 03:59:53.820000,11.79,64.0,41.0
11/01/2018 04:01:14.100000,13.0,64.0,41.0
11/01/2018 04:03:53.900000,11.57,63.0,41.0
11/01/2018 04:05:13.836666,11.9,63.0,41.0
11/01/2018 04:07:56.666666,10.23,64.0,40.0
11/01/2018 04:09:13.860000,12.24,64.0,40.0
11/01/2018 04:11:56.316666,13.58,65.0,40.0
11/01/2018 04:13:13.986666,12.46,65.0,40.0
11/01/2018 04:15:54.416666,14.39,65.0,39.0
