InstrumentName, West Denver PA-II,,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2018 00:01:50.176666,1.12,33.0,75.0
07/01/2018 00:04:30.166666,1.62,33.0,75.0
07/01/2018 00:07:10.146666,1.84,33.0,75.0
07/01/2018 00:09:50.140000,1.23,33.0,76.0
07/01/2018 00:13:50.133333,1.76,34.0,76.0
07/01/2018 00:16:30.146666,1.9,34.0,75.0
07/01/2018 00:19:10.133333,1.5,34.0,75.0
07/01/2018 00:23:10.223333,1.87,34.0,75.0
07/01/2018 00:25:50.183333,1.41,34.0,75.0
07/01/2018 00:28:30.143333,1.98,34.0,75.0
07/01/2018 00:31:10.143333,2.07,34.0,75.0
07/01/2018 00:35:10.156666,1.6,34.0,75.0
07/01/2018 00:37:50.316666,1.07,34.0,75.0
07/01/2018 00:40:30.290000,2.71,34.0,75.0
07/01/2018 00:43:10.150000,2.38,34.0,75.0
07/01/2018 00:47:10.173333,3.0,34.0,75.0
07/01/2018 00:49:50.143333,1.71,34.0,75.0
07/01/2018 00:52:30.286666,2.02,34.0,75.0
07/01/2018 00:55:10.143333,1.37,36.0,75.0
07/01/2018 00:59:10.173333,1.85,36.0,75.0
07/01/2018 01:01:50.173333,1.56,36.0,75.0
07/01/2018 01:04:30.423333,2.0,37.0,75.0
07/01/2018 01:08:30.146666,2.12,36.0,75.0
07/01/2018 01:11:10.236666,2.92,36.0,75.0
07/01/2018 01:13:50.193333,2.69,36.0,75.0
07/01/2018 01:16:30.746666,2.41,36.0,75.0
07/01/2018 01:20:30.146666,2.8,36.0,75.0
07/01/2018 01:23:10.260000,2.37,36.0,75.0
07/01/2018 01:25:50.186666,1.65,36.0,75.0
07/01/2018 01:28:30.156666,1.6,36.0,75.0
07/01/2018 01:32:30.260000,2.81,36.0,75.0
07/01/2018 01:35:10.166666,1.92,36.0,75.0
07/01/2018 01:37:50.556666,2.5,35.0,75.0
07/01/2018 01:40:30.660000,3.12,35.0,75.0
07/01/2018 01:44:30.203333,3.15,36.0,75.0
07/01/2018 01:47:10.283333,3.1,36.0,75.0
07/01/2018 01:49:50.156666,3.33,35.0,75.0
07/01/2018 01:52:30.153333,3.15,35.0,75.0
07/01/2018 01:56:30.286666,2.98,35.0,75.0
07/01/2018 01:59:10.246666,3.5,35.0,75.0
07/01/2018 02:01:50.153333,3.17,34.0,75.0
07/01/2018 02:04:30.220000,2.63,34.0,75.0
07/01/2018 02:08:30.156666,3.29,34.0,75.0
07/01/2018 02:11:10.170000,3.16,35.0,75.0
07/01/2018 02:13:50.163333,3.88,35.0,75.0
07/01/2018 02:16:30.153333,3.1,35.0,75.0
07/01/2018 02:20:30.220000,3.76,35.0,75.0
07/01/2018 02:23:10.163333,4.66,35.0,75.0
07/01/2018 02:25:50.156666,3.39,35.0,75.0
07/01/2018 02:28:30.276666,2.73,35.0,75.0
07/01/2018 02:31:10.300000,3.54,36.0,75.0
07/01/2018 02:33:50.160000,3.97,36.0,75.0
07/01/2018 02:37:50.193333,3.88,36.0,75.0
07/01/2018 02:40:30.416666,3.62,36.0,75.0
07/01/2018 02:43:10.166666,11.71,36.0,75.0
07/01/2018 02:45:50.160000,71.85,36.0,75.0
07/01/2018 02:49:50.160000,3.83,36.0,75.0
07/01/2018 02:52:30.233333,3.95,36.0,75.0
07/01/2018 02:55:10.193333,5.21,36.0,74.0
07/01/2018 02:57:50.196666,4.79,36.0,74.0
07/01/2018 03:01:50.293333,4.86,36.0,74.0
07/01/2018 03:04:30.226666,4.76,36.0,74.0
07/01/2018 03:07:10.253333,4.64,37.0,74.0
07/01/2018 03:11:10.176666,5.32,36.0,74.0
07/01/2018 03:13:50.466666,5.78,37.0,74.0
07/01/2018 03:16:30.216666,5.18,37.0,74.0
07/01/2018 03:19:10.166666,5.43,37.0,74.0
07/01/2018 03:23:10.166666,5.12,37.0,74.0
07/01/2018 03:25:50.233333,5.56,37.0,74.0
07/01/2018 03:28:30.176666,5.27,37.0,74.0
07/01/2018 03:31:10.203333,4.68,37.0,74.0
07/01/2018 03:35:10.873333,6.43,37.0,74.0
07/01/2018 03:37:50.300000,6.15,37.0,74.0
07/01/2018 03:40:30.253333,5.83,37.0,74.0
07/01/2018 03:43:10.173333,6.36,38.0,74.0
07/01/2018 03:47:10.176666,5.51,38.0,74.0
07/01/2018 03:49:50.186666,5.07,38.0,74.0
07/01/2018 03:52:30.190000,6.32,38.0,74.0
07/01/2018 03:56:30.220000,6.68,38.0,74.0
07/01/2018 03:58:45.916666,5.97,38.0,74.0
07/01/2018 04:01:25.926666,6.46,38.0,74.0
07/01/2018 04:05:25.920000,5.9,38.0,74.0
07/01/2018 04:08:05.930000,7.05,38.0,74.0
07/01/2018 04:10:45.916666,6.46,39.0,74.0
07/01/2018 04:13:25.980000,8.63,39.0,74.0
07/01/2018 04:17:25.916666,7.54,39.0,74.0
07/01/2018 04:20:05.936666,7.44,39.0,74.0
07/01/2018 04:22:45.916666,7.32,39.0,74.0
07/01/2018 04:25:25.920000,6.35,39.0,74.0
07/01/2018 04:29:25.933333,7.0,39.0,74.0
07/01/2018 04:32:06.410000,7.2,40.0,73.0
07/01/2018 04:34:45.926666,7.47,39.0,73.0
07/01/2018 04:38:46.060000,12.07,40.0,73.0
07/01/2018 04:41:26.010000,12.07,40.0,73.0
07/01/2018 04:44:05.926666,11.07,40.0,73.0
07/01/2018 04:46:45.993333,11.57,40.0,73.0
07/01/2018 04:50:45.930000,10.48,40.0,73.0
07/01/2018 04:53:25.926666,11.59,40.0,73.0
07/01/2018 04:56:05.950000,10.6,40.0,73.0
07/01/2018 04:58:46.026666,9.63,41.0,73.0
07/01/2018 05:01:26.040000,10.6,41.0,73.0
07/01/2018 05:04:05.930000,8.88,41.0,72.0
07/01/2018 05:06:46.496666,9.45,41.0,72.0
07/01/2018 05:10:45.930000,9.8,41.0,72.0
07/01/2018 05:13:26.073333,9.35,41.0,72.0
07/01/2018 05:16:06.010000,10.81,41.0,72.0
07/01/2018 05:18:46.026666,9.26,41.0,72.0
07/01/2018 05:22:45.920000,9.51,41.0,72.0
07/01/2018 05:25:25.930000,10.22,41.0,72.0
07/01/2018 05:28:05.986666,8.9,41.0,72.0
07/01/2018 05:30:45.923333,10.44,41.0,72.0
07/01/2018 05:34:45.936666,10.0,41.0,72.0
07/01/2018 05:37:25.960000,10.88,42.0,72.0
07/01/2018 05:40:05.990000,10.6,42.0,72.0
07/01/2018 05:44:05.936666,10.41,41.0,72.0
07/01/2018 05:46:45.930000,10.88,41.0,72.0
07/01/2018 05:49:25.953333,12.07,41.0,72.0
07/01/2018 05:52:05.936666,11.68,41.0,72.0
07/01/2018 05:56:05.946666,10.48,41.0,72.0
07/01/2018 05:58:45.936666,10.85,41.0,72.0
07/01/2018 06:01:25.950000,12.33,41.0,72.0
07/01/2018 06:04:05.933333,12.07,41.0,72.0
07/01/2018 06:08:06.076666,12.25,41.0,72.0
07/01/2018 06:10:45.950000,12.37,41.0,72.0
07/01/2018 06:13:25.976666,13.6,41.0,72.0
07/01/2018 06:16:05.936666,13.52,41.0,72.0
07/01/2018 06:20:06.023333,10.79,41.0,72.0
07/01/2018 06:22:45.940000,10.02,41.0,72.0
07/01/2018 06:25:25.983333,11.51,41.0,72.0
07/01/2018 06:29:26.016666,10.05,41.0,72.0
