InstrumentName, 26th and Williams B,,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM2.5,humidity,temp_f
07/01/2018 17:14:16.210000,17.25,48.0,73.0
07/01/2018 17:16:56.096666,18.79,46.0,74.0
07/01/2018 17:19:36.090000,29.15,44.0,75.0
07/01/2018 17:23:37.033333,18.85,40.0,77.0
07/01/2018 17:26:16.220000,18.66,39.0,78.0
07/01/2018 17:28:57.710000,18.71,38.0,79.0
07/01/2018 17:31:36.120000,18.24,36.0,80.0
07/01/2018 17:35:36.900000,18.48,34.0,81.0
07/01/2018 17:38:16.096666,18.49,33.0,81.0
07/01/2018 17:40:57.026666,17.88,32.0,82.0
07/01/2018 17:43:36.093333,17.4,33.0,82.0
07/01/2018 17:46:16.096666,18.6,32.0,83.0
07/01/2018 17:50:16.796666,19.09,31.0,83.0
07/01/2018 17:52:56.103333,17.85,31.0,83.0
07/01/2018 17:55:39.956666,18.4,31.0,83.0
07/01/2018 17:58:16.140000,17.53,30.0,84.0
07/01/2018 18:02:16.113333,14.95,28.0,85.0
07/01/2018 18:04:56.106666,12.67,26.0,85.0
07/01/2018 18:07:36.106666,13.14,26.0,85.0
07/01/2018 18:11:36.100000,14.63,24.0,85.0
07/01/2018 18:14:16.100000,14.49,25.0,86.0
07/01/2018 18:16:56.953333,15.5,26.0,86.0
07/01/2018 18:19:36.106666,15.5,25.0,86.0
07/01/2018 18:23:36.130000,13.84,24.0,87.0
07/01/2018 18:26:16.430000,12.33,22.0,87.0
07/01/2018 18:28:56.090000,12.98,22.0,87.0
07/01/2018 18:31:36.110000,11.02,21.0,87.0
07/01/2018 18:34:16.826666,15.34,23.0,88.0
07/01/2018 18:38:17.810000,13.79,22.0,88.0
07/01/2018 18:40:56.326666,13.1,21.0,88.0
07/01/2018 18:43:36.103333,11.33,19.0,89.0
07/01/2018 18:47:36.110000,8.88,19.0,89.0
07/01/2018 18:50:16.133333,11.26,19.0,89.0
07/01/2018 18:52:56.133333,10.85,19.0,89.0
07/01/2018 18:55:36.113333,11.77,19.0,90.0
07/01/2018 18:59:36.430000,11.02,19.0,90.0
07/01/2018 19:02:16.133333,10.9,18.0,89.0
07/01/2018 19:04:56.116666,10.45,18.0,89.0
07/01/2018 19:07:36.273333,10.23,18.0,89.0
07/01/2018 19:11:36.113333,9.56,16.0,90.0
07/01/2018 19:14:16.916666,6.55,17.0,90.0
07/01/2018 19:16:56.196666,6.66,16.0,90.0
07/01/2018 19:19:36.126666,7.05,16.0,91.0
07/01/2018 19:23:36.133333,8.79,17.0,91.0
07/01/2018 19:26:16.123333,6.76,17.0,91.0
07/01/2018 19:28:56.106666,9.86,17.0,92.0
07/01/2018 19:31:36.126666,8.98,17.0,91.0
07/01/2018 19:35:36.206666,7.17,16.0,92.0
07/01/2018 19:36:56.210000,8.33,16.0,92.0
07/01/2018 19:40:56.226666,6.75,16.0,92.0
07/01/2018 19:43:36.546666,6.31,16.0,92.0
07/01/2018 19:46:16.133333,6.22,15.0,92.0
07/01/2018 19:48:58.136666,6.0,15.0,92.0
07/01/2018 19:52:56.173333,5.36,15.0,92.0
07/01/2018 19:55:36.133333,6.12,15.0,93.0
07/01/2018 19:58:16.136666,5.44,15.0,93.0
07/01/2018 20:00:56.170000,4.57,15.0,93.0
07/01/2018 20:04:56.136666,4.66,14.0,94.0
07/01/2018 20:07:36.153333,4.54,13.0,94.0
07/01/2018 20:11:36.416666,4.61,14.0,94.0
07/01/2018 20:12:56.140000,4.02,13.0,94.0
07/01/2018 20:16:56.220000,3.79,14.0,95.0
07/01/2018 20:19:36.146666,5.12,13.0,95.0
07/01/2018 20:23:36.173333,4.47,13.0,95.0
07/01/2018 20:24:56.150000,4.26,13.0,95.0
07/01/2018 20:28:56.166666,6.53,13.0,96.0
07/01/2018 20:31:36.956666,4.88,13.0,95.0
07/01/2018 20:34:16.376666,6.2,14.0,96.0
07/01/2018 20:38:16.156666,5.12,14.0,96.0
07/01/2018 20:40:56.213333,6.44,14.0,96.0
07/01/2018 20:43:36.150000,6.03,13.0,96.0
07/01/2018 20:46:16.716666,6.28,14.0,96.0
07/01/2018 20:50:16.140000,7.33,14.0,97.0
07/01/2018 20:52:56.160000,7.28,14.0,97.0
07/01/2018 20:55:36.150000,6.95,14.0,97.0
07/01/2018 20:58:16.143333,7.93,14.0,98.0
07/01/2018 21:02:16.173333,7.45,14.0,98.0
07/01/2018 21:04:56.523333,7.32,13.0,98.0
07/01/2018 21:07:37.270000,7.49,13.0,98.0
07/01/2018 21:10:16.163333,7.71,13.0,98.0
07/01/2018 21:12:56.166666,7.43,14.0,98.0
07/01/2018 21:16:56.166666,8.6,13.0,99.0
07/01/2018 21:19:36.173333,8.59,13.0,99.0
07/01/2018 21:22:17.576666,8.21,12.0,99.0
07/01/2018 21:26:17.136666,7.98,13.0,99.0
07/01/2018 21:28:56.170000,7.76,13.0,99.0
07/01/2018 21:31:36.163333,7.95,12.0,99.0
07/01/2018 21:35:36.180000,8.24,13.0,100.0
07/01/2018 21:38:16.170000,7.9,12.0,100.0
07/01/2018 21:40:56.190000,8.74,12.0,100.0
07/01/2018 21:43:36.226666,7.51,12.0,100.0
07/01/2018 21:47:36.170000,9.05,12.0,100.0
07/01/2018 21:50:16.196666,8.65,11.0,100.0
07/01/2018 21:52:56.293333,7.61,11.0,100.0
07/01/2018 21:55:36.193333,8.12,11.0,100.0
07/01/2018 21:59:36.186666,8.71,12.0,100.0
07/01/2018 22:00:56.196666,7.79,12.0,101.0
07/01/2018 22:04:56.183333,8.9,12.0,101.0
07/01/2018 22:07:36.186666,7.65,11.0,101.0
07/01/2018 22:11:36.226666,7.86,11.0,101.0
07/01/2018 22:12:56.720000,7.83,11.0,101.0
07/01/2018 22:16:56.193333,8.21,11.0,102.0
07/01/2018 22:19:36.240000,8.19,11.0,102.0
07/01/2018 22:22:16.803333,7.45,10.0,102.0
07/01/2018 22:26:16.196666,7.57,10.0,102.0
07/01/2018 22:28:59.046666,7.68,10.0,102.0
07/01/2018 22:31:36.176666,7.14,10.0,102.0
07/01/2018 22:34:16.196666,7.43,10.0,103.0
07/01/2018 22:36:56.203333,6.88,10.0,103.0
07/01/2018 22:40:56.186666,7.66,10.0,102.0
07/01/2018 22:43:36.213333,7.29,10.0,102.0
07/01/2018 22:46:19.323333,7.55,10.0,102.0
07/01/2018 22:50:16.996666,7.65,10.0,102.0
07/01/2018 22:52:56.216666,8.02,10.0,100.0
07/01/2018 22:55:36.220000,7.59,10.0,101.0
07/01/2018 22:58:16.210000,7.02,10.0,101.0
07/01/2018 23:00:56.203333,7.45,11.0,101.0
07/01/2018 23:04:56.206666,8.07,10.0,101.0
07/01/2018 23:07:36.253333,7.9,11.0,101.0
07/01/2018 23:10:31.373333,8.35,11.0,101.0
07/01/2018 23:14:16.210000,8.07,11.0,101.0
07/01/2018 23:16:56.196666,7.64,10.0,100.0
07/01/2018 23:19:36.216666,8.37,10.0,99.0
07/01/2018 23:22:16.196666,7.95,11.0,100.0
07/01/2018 23:26:16.206666,8.48,11.0,100.0
07/01/2018 23:28:56.210000,8.74,10.0,100.0
07/01/2018 23:31:36.236666,8.81,11.0,99.0
07/01/2018 23:34:16.230000,8.37,10.0,99.0
07/01/2018 23:38:16.220000,8.3,11.0,99.0
07/01/2018 23:40:56.223333,8.21,11.0,99.0
