InstrumentName, Woods Park B,,
StartTime, 2018-07-01 00:00:00,,
EndTime, 2018-07-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
07/01/2018 00:01:32.000000,2.35,3.14,3.14
07/01/2018 00:05:32.000000,2.55,3.52,3.14
07/01/2018 00:08:12.000000,3.28,4.49,3.93
07/01/2018 00:10:52.000000,2.51,3.28,3.07
07/01/2018 00:13:32.000000,2.98,3.38,3.38
07/01/2018 00:17:32.000000,2.71,3.48,3.48
07/01/2018 00:20:14.000000,2.53,3.26,3.19
07/01/2018 00:22:52.000000,2.26,3.0,3.0
07/01/2018 00:26:52.000000,2.23,3.44,3.16
07/01/2018 00:29:32.000000,2.18,3.2,3.05
07/01/2018 00:32:12.000000,1.57,2.17,2.0
07/01/2018 00:34:52.000000,2.24,2.5,2.5
07/01/2018 00:38:52.000000,1.56,2.51,2.4
07/01/2018 00:41:32.000000,1.74,2.57,2.57
07/01/2018 00:44:12.000000,1.91,2.49,2.35
07/01/2018 00:46:52.000000,2.03,3.03,2.62
07/01/2018 00:50:52.000000,1.5,2.21,2.21
07/01/2018 00:53:32.000000,2.24,2.6,2.6
07/01/2018 00:56:12.000000,1.57,1.79,1.79
07/01/2018 00:58:52.000000,2.14,2.63,2.26
07/01/2018 01:02:52.000000,1.67,2.6,2.38
07/01/2018 01:05:32.000000,1.77,2.11,1.98
07/01/2018 01:08:12.000000,2.0,3.15,2.73
07/01/2018 01:10:52.000000,1.69,2.17,2.17
07/01/2018 01:14:52.000000,1.52,2.68,2.41
07/01/2018 01:17:32.000000,1.67,2.98,2.26
07/01/2018 01:20:12.000000,1.76,2.76,2.19
07/01/2018 01:22:52.000000,1.45,2.16,2.11
07/01/2018 01:25:32.000000,1.76,2.64,2.21
07/01/2018 01:29:33.000000,0.86,1.69,1.48
07/01/2018 01:32:12.000000,1.05,1.6,1.6
07/01/2018 01:34:52.000000,1.71,2.86,2.38
07/01/2018 01:38:52.000000,1.52,2.05,2.05
07/01/2018 01:41:32.000000,1.7,2.65,2.02
07/01/2018 01:44:12.000000,1.38,1.74,1.74
07/01/2018 01:46:52.000000,1.78,2.34,2.27
07/01/2018 01:50:52.000000,0.86,1.09,1.09
07/01/2018 01:53:32.000000,0.93,1.56,1.56
07/01/2018 01:56:12.000000,0.93,1.31,1.07
07/01/2018 01:58:52.000000,0.98,1.79,1.72
07/01/2018 02:02:52.000000,0.79,1.12,1.12
07/01/2018 02:05:32.000000,0.9,1.24,1.24
07/01/2018 02:08:12.000000,0.95,1.55,1.4
07/01/2018 02:10:52.000000,0.42,1.35,1.28
07/01/2018 02:14:52.000000,1.19,1.81,1.81
07/01/2018 02:17:32.000000,1.23,1.88,1.81
07/01/2018 02:20:13.000000,1.53,2.0,2.0
07/01/2018 02:22:52.000000,1.59,1.93,1.93
07/01/2018 02:26:52.000000,1.0,2.16,2.0
07/01/2018 02:29:32.000000,1.19,1.84,1.84
07/01/2018 02:32:12.000000,1.27,1.63,1.63
07/01/2018 02:34:52.000000,1.05,2.19,1.88
07/01/2018 02:37:32.000000,0.93,1.21,1.21
07/01/2018 02:41:32.000000,0.43,0.67,0.6
07/01/2018 02:44:13.000000,0.72,1.19,1.19
07/01/2018 02:46:56.000000,0.81,1.0,1.0
07/01/2018 02:50:52.000000,0.83,1.76,1.0
07/01/2018 02:53:33.000000,0.66,1.1,0.83
07/01/2018 02:56:12.000000,0.98,1.4,0.98
07/01/2018 02:58:52.000000,0.52,1.1,1.1
07/01/2018 03:02:52.000000,0.79,1.0,0.93
07/01/2018 03:05:32.000000,1.0,1.37,1.23
07/01/2018 03:08:13.000000,0.62,1.1,0.95
07/01/2018 03:13:33.000000,0.58,1.05,0.79
07/01/2018 03:17:32.000000,0.32,0.34,0.34
07/01/2018 03:20:12.000000,0.07,0.36,0.36
07/01/2018 03:22:52.000000,0.72,1.49,1.4
07/01/2018 03:25:32.000000,0.26,0.53,0.53
07/01/2018 03:29:32.000000,0.19,0.65,0.37
07/01/2018 03:32:12.000000,0.3,0.63,0.51
07/01/2018 03:34:52.000000,0.21,1.12,1.12
07/01/2018 03:38:52.000000,0.23,0.72,0.37
07/01/2018 03:41:32.000000,0.17,0.76,0.57
07/01/2018 03:44:12.000000,0.1,0.43,0.43
07/01/2018 03:46:52.000000,0.4,0.44,0.44
07/01/2018 03:49:32.000000,0.07,0.57,0.57
07/01/2018 03:53:32.000000,0.23,0.67,0.67
07/01/2018 03:56:12.000000,0.23,0.43,0.36
07/01/2018 03:58:52.000000,0.33,0.65,0.65
07/01/2018 04:01:32.000000,0.6,1.05,1.05
07/01/2018 04:05:32.000000,0.18,0.64,0.64
07/01/2018 04:08:12.000000,0.19,1.05,0.56
07/01/2018 04:10:52.000000,0.05,0.52,0.52
07/01/2018 04:13:32.000000,0.05,0.53,0.53
07/01/2018 04:17:32.000000,0.14,0.14,0.14
07/01/2018 04:20:12.000000,0.4,0.88,0.88
07/01/2018 04:22:52.000000,0.47,0.91,0.81
07/01/2018 04:25:33.000000,0.64,1.12,0.76
07/01/2018 04:29:32.000000,0.71,1.38,1.17
07/01/2018 04:32:12.000000,0.67,1.19,1.02
07/01/2018 04:34:52.000000,0.53,1.7,1.3
07/01/2018 04:38:52.000000,0.4,1.49,1.0
07/01/2018 04:41:32.000000,0.51,0.77,0.77
07/01/2018 04:44:12.000000,0.43,1.07,1.07
07/01/2018 04:46:52.000000,0.63,1.07,1.0
07/01/2018 04:50:52.000000,0.91,1.42,1.14
07/01/2018 04:53:32.000000,1.14,1.77,1.33
07/01/2018 04:56:12.000000,0.86,1.77,1.6
07/01/2018 04:58:52.000000,1.0,1.91,1.67
07/01/2018 05:02:52.000000,1.29,2.21,1.76
07/01/2018 05:05:33.000000,0.98,1.77,1.77
07/01/2018 05:08:12.000000,0.26,1.0,1.0
07/01/2018 05:10:52.000000,1.0,1.6,1.31
07/01/2018 05:14:52.000000,1.07,2.28,1.77
07/01/2018 05:17:33.000000,1.33,1.84,1.84
07/01/2018 05:20:13.000000,1.17,2.41,1.98
07/01/2018 05:22:52.000000,1.02,2.02,1.75
07/01/2018 05:26:52.000000,0.73,2.39,2.2
07/01/2018 05:29:32.000000,1.28,2.42,1.79
07/01/2018 05:32:12.000000,1.28,3.44,2.72
07/01/2018 05:34:52.000000,0.9,1.81,1.52
07/01/2018 05:38:52.000000,1.4,3.16,2.56
07/01/2018 05:41:32.000000,1.19,1.81,1.81
07/01/2018 05:44:12.000000,1.6,2.9,2.26
07/01/2018 05:46:52.000000,1.79,2.67,2.12
07/01/2018 05:50:52.000000,2.23,2.98,2.44
07/01/2018 05:53:32.000000,1.09,1.88,1.79
07/01/2018 05:56:12.000000,1.69,2.45,2.38
07/01/2018 05:58:52.000000,2.0,4.17,2.98
07/01/2018 06:02:52.000000,1.35,2.02,1.91
07/01/2018 06:05:33.000000,1.98,2.98,2.48
07/01/2018 06:08:12.000000,1.7,2.63,2.49
07/01/2018 06:10:52.000000,1.62,3.0,2.55
07/01/2018 06:13:32.000000,1.21,2.21,1.72
07/01/2018 06:17:32.000000,1.72,2.69,2.41
07/01/2018 06:20:12.000000,1.44,2.42,2.35
07/01/2018 06:22:52.000000,1.79,2.35,2.35
07/01/2018 06:26:53.000000,1.37,2.58,1.87
07/01/2018 06:29:33.000000,2.0,3.65,3.23
07/01/2018 06:32:13.000000,1.88,3.28,2.88
