InstrumentName, Chatfield Park,
StartTime, 2018-07-01 00:00:00,
EndTime, 2018-07-31 23:59:59,
Date,O3,PM2.5
07/01/2018 00:00:00.000000,55.0,6.3
07/01/2018 01:00:00.000000,53.0,5.3
07/01/2018 02:00:00.000000,51.0,5.8
07/01/2018 03:00:00.000000,48.0,5.3
07/01/2018 04:00:00.000000,46.0,6.7
07/01/2018 05:00:00.000000,43.0,6.6
07/01/2018 06:00:00.000000,40.0,7.1
07/01/2018 07:00:00.000000,37.0,7.4
07/01/2018 08:00:00.000000,37.0,7.7
07/01/2018 09:00:00.000000,26.0,8.4
07/01/2018 10:00:00.000000,24.0,8.8
07/01/2018 11:00:00.000000,20.0,9.2
07/01/2018 12:00:00.000000,23.0,9.5
07/01/2018 13:00:00.000000,24.0,9.6
07/01/2018 14:00:00.000000,28.0,9.2
07/01/2018 15:00:00.000000,36.0,9.0
07/01/2018 16:00:00.000000,46.0,9.3
07/01/2018 17:00:00.000000,53.0,10.0
07/01/2018 18:00:00.000000,58.0,10.6
07/01/2018 19:00:00.000000,63.0,10.7
07/01/2018 20:00:00.000000,65.0,10.3
07/01/2018 21:00:00.000000,63.0,9.5
07/01/2018 22:00:00.000000,65.0,9.5
07/01/2018 23:00:00.000000,64.0,9.3
07/02/2018 00:00:00.000000,64.0,9.2
07/02/2018 01:00:00.000000,62.0,8.4
07/02/2018 02:00:00.000000,57.0,8.7
07/02/2018 03:00:00.000000,54.0,9.3
07/02/2018 04:00:00.000000,52.0,9.2
07/02/2018 05:00:00.000000,48.0,9.5
07/02/2018 06:00:00.000000,45.0,9.3
07/02/2018 07:00:00.000000,44.0,8.9
07/02/2018 08:00:00.000000,42.0,8.7
07/02/2018 09:00:00.000000,41.0,8.3
07/02/2018 10:00:00.000000,39.0,7.7
07/02/2018 11:00:00.000000,39.0,7.8
07/02/2018 12:00:00.000000,34.0,9.2
07/02/2018 13:00:00.000000,33.0,12.6
07/02/2018 14:00:00.000000,37.0,9.9
07/02/2018 15:00:00.000000,41.0,8.4
07/02/2018 16:00:00.000000,50.0,7.2
07/02/2018 17:00:00.000000,58.0,6.3
07/02/2018 18:00:00.000000,60.0,5.8
07/02/2018 19:00:00.000000,59.0,6.9
07/02/2018 20:00:00.000000,61.0,9.0
07/02/2018 21:00:00.000000,64.0,11.6
07/02/2018 22:00:00.000000,66.0,13.7
07/02/2018 23:00:00.000000,66.0,13.7
07/03/2018 00:00:00.000000,67.0,11.2
07/03/2018 01:00:00.000000,65.0,10.2
07/03/2018 02:00:00.000000,62.0,9.0
07/03/2018 03:00:00.000000,59.0,15.0
07/03/2018 04:00:00.000000,56.0,21.2
07/03/2018 05:00:00.000000,54.0,22.4
07/03/2018 06:00:00.000000,47.0,22.3
07/03/2018 07:00:00.000000,42.0,22.4
07/03/2018 08:00:00.000000,42.0,22.4
07/03/2018 09:00:00.000000,38.0,24.2
07/03/2018 10:00:00.000000,35.0,21.9
07/03/2018 11:00:00.000000,32.0,20.0
07/03/2018 12:00:00.000000,31.0,22.0
07/03/2018 13:00:00.000000,31.0,22.9
07/03/2018 14:00:00.000000,37.0,19.5
07/03/2018 15:00:00.000000,45.0,17.0
07/03/2018 16:00:00.000000,55.0,17.3
07/03/2018 17:00:00.000000,63.0,17.2
07/03/2018 18:00:00.000000,59.0,13.9
07/03/2018 19:00:00.000000,59.0,11.7
07/03/2018 20:00:00.000000,60.0,10.5
07/03/2018 21:00:00.000000,58.0,13.3
07/03/2018 22:00:00.000000,58.0,14.0
07/03/2018 23:00:00.000000,59.0,14.1
07/04/2018 00:00:00.000000,57.0,13.4
07/04/2018 01:00:00.000000,56.0,15.0
07/04/2018 02:00:00.000000,51.0,17.8
07/04/2018 03:00:00.000000,48.0,17.5
07/04/2018 04:00:00.000000,45.0,16.8
07/04/2018 05:00:00.000000,42.0,15.8
07/04/2018 06:00:00.000000,41.0,15.1
07/04/2018 07:00:00.000000,38.0,14.9
07/04/2018 08:00:00.000000,38.0,15.2
07/04/2018 09:00:00.000000,34.0,14.7
07/04/2018 10:00:00.000000,32.0,14.3
07/04/2018 11:00:00.000000,30.0,14.0
07/04/2018 12:00:00.000000,27.0,13.9
07/04/2018 13:00:00.000000,28.0,13.7
07/04/2018 14:00:00.000000,30.0,13.5
07/04/2018 15:00:00.000000,42.0,12.4
07/04/2018 16:00:00.000000,44.0,11.8
07/04/2018 17:00:00.000000,53.0,11.6
07/04/2018 18:00:00.000000,63.0,12.0
07/04/2018 19:00:00.000000,72.0,11.9
07/04/2018 20:00:00.000000,77.0,11.9
07/04/2018 21:00:00.000000,82.0,11.6
07/04/2018 22:00:00.000000,75.0,10.9
07/04/2018 23:00:00.000000,75.0,10.8
07/05/2018 00:00:00.000000,68.0,10.4
07/05/2018 01:00:00.000000,65.0,10.6
07/05/2018 02:00:00.000000,61.0,10.8
07/05/2018 03:00:00.000000,59.0,10.9
07/05/2018 04:00:00.000000,54.0,12.3
07/05/2018 05:00:00.000000,47.0,12.9
07/05/2018 06:00:00.000000,49.0,12.4
07/05/2018 07:00:00.000000,46.0,9.9
07/05/2018 08:00:00.000000,46.0,8.1
07/05/2018 09:00:00.000000,47.0,8.2
07/05/2018 10:00:00.000000,50.0,8.4
07/05/2018 11:00:00.000000,50.0,8.7
07/05/2018 12:00:00.000000,50.0,10.5
07/05/2018 13:00:00.000000,48.0,9.8
07/05/2018 14:00:00.000000,47.0,9.5
07/05/2018 15:00:00.000000,48.0,9.8
07/05/2018 16:00:00.000000,50.0,10.3
07/05/2018 17:00:00.000000,53.0,10.8
07/05/2018 18:00:00.000000,60.0,11.1
07/05/2018 19:00:00.000000,63.0,11.0
07/05/2018 20:00:00.000000,66.0,11.1
07/05/2018 21:00:00.000000,67.0,11.3
07/05/2018 22:00:00.000000,64.0,12.7
07/05/2018 23:00:00.000000,60.0,13.1
07/06/2018 00:00:00.000000,58.0,11.0
07/06/2018 01:00:00.000000,54.0,10.5
07/06/2018 02:00:00.000000,51.0,10.3
07/06/2018 03:00:00.000000,49.0,11.5
07/06/2018 04:00:00.000000,48.0,12.1
07/06/2018 05:00:00.000000,48.0,12.7
07/06/2018 06:00:00.000000,46.0,13.4
07/06/2018 07:00:00.000000,46.0,13.5
07/06/2018 08:00:00.000000,46.0,13.5
07/06/2018 09:00:00.000000,42.0,16.4
07/06/2018 10:00:00.000000,39.0,15.5
07/06/2018 11:00:00.000000,36.0,16.9
07/06/2018 12:00:00.000000,30.0,16.2
07/06/2018 13:00:00.000000,31.0,16.2
07/06/2018 14:00:00.000000,30.0,15.8
07/06/2018 15:00:00.000000,35.0,15.3
07/06/2018 16:00:00.000000,44.0,15.1
07/06/2018 17:00:00.000000,47.0,15.3
07/06/2018 18:00:00.000000,55.0,15.3
07/06/2018 19:00:00.000000,70.0,14.8
07/06/2018 20:00:00.000000,80.0,15.1
07/06/2018 21:00:00.000000,88.0,15.6
07/06/2018 22:00:00.000000,93.0,16.3
07/06/2018 23:00:00.000000,91.0,17.1
07/07/2018 00:00:00.000000,95.0,17.2
07/07/2018 01:00:00.000000,91.0,17.3
07/07/2018 02:00:00.000000,85.0,17.3
07/07/2018 03:00:00.000000,77.0,16.9
07/07/2018 04:00:00.000000,68.0,17.4
07/07/2018 05:00:00.000000,60.0,16.7
07/07/2018 06:00:00.000000,51.0,15.9
07/07/2018 07:00:00.000000,49.0,13.2
