InstrumentName, La Casa NCORE,,,,
StartTime, 2018-07-01 00:00:00,,,,
EndTime, 2018-07-31 23:59:59,,,,
Date,Carbon monoxide,Nitrogen dioxide,Ozone,PM10 Total 0-10um STP,PM2.5 Total Atmospheric
07/01/2018 00:00:00.000000,0.180384,9.020382,0.044133,61.139102,1.95
07/01/2018 00:01:00.000000,0.172952,7.620718,0.043633,15.967711,2.4
07/01/2018 00:02:00.000000,0.176598,7.620718,0.044117,15.057302,4.2
07/01/2018 00:03:00.000000,0.175564,6.610913,0.046183,8.607449,3.75
07/01/2018 00:04:00.000000,0.161926,5.40944,0.046267,4.522897,2.6
07/01/2018 00:05:00.000000,0.176563,5.675479,0.0452,9.393139,3.35
07/01/2018 00:06:00.000000,0.187976,6.537125,0.044967,11.695827,4.0
07/01/2018 00:07:00.000000,0.177201,5.959464,0.045283,17.617042,4.575
07/01/2018 00:08:00.000000,0.176215,5.525541,0.045083,14.006792,4.0
07/01/2018 00:09:00.000000,0.180755,5.740434,,,
07/01/2018 00:10:00.000000,0.19056,5.983564,0.045167,7.41173,3.2
07/01/2018 00:11:00.000000,0.185251,5.989758,0.045533,4.259379,2.625
07/01/2018 00:12:00.000000,0.178165,5.881233,0.0458,13.854592,5.225
07/01/2018 00:13:00.000000,0.167329,5.773894,0.046033,26.622412,6.475
07/01/2018 00:14:00.000000,0.165821,5.7988,0.046367,25.484041,3.375
07/01/2018 00:15:00.000000,0.165986,5.292216,0.0462,12.305643,2.9
07/01/2018 00:16:00.000000,0.170459,5.319181,0.0452,16.857741,3.85
07/01/2018 00:17:00.000000,0.194613,7.087914,0.044167,11.024823,2.55
07/01/2018 00:18:00.000000,0.175823,7.296506,0.044217,9.127724,3.95
07/01/2018 00:19:00.000000,0.189663,7.334748,0.044967,13.327853,4.625
07/01/2018 00:20:00.000000,0.178609,6.023307,0.045117,14.530379,3.3
07/01/2018 00:21:00.000000,0.170325,5.661534,0.045783,15.524845,2.55
07/01/2018 00:22:00.000000,0.171698,4.814443,0.045933,8.524634,2.35
07/01/2018 00:23:00.000000,0.168177,4.819191,0.046017,13.951017,2.725
07/01/2018 00:24:00.000000,0.173403,4.620204,0.046217,3.676919,1.95
07/01/2018 00:25:00.000000,0.169971,4.595638,0.045933,16.334993,3.25
07/01/2018 00:26:00.000000,0.1711,4.908846,0.0464,31.55857,3.8
07/01/2018 00:27:00.000000,0.185587,5.668824,0.0452,10.820131,3.1
07/01/2018 00:28:00.000000,0.188804,6.013827,0.0456,8.078713,2.925
07/01/2018 00:29:00.000000,0.183475,5.197713,0.046,,
07/01/2018 00:30:00.000000,0.174514,5.036396,0.0454,13.125297,4.375
07/01/2018 00:31:00.000000,0.175289,5.553734,0.04495,23.365618,5.175
07/01/2018 00:32:00.000000,0.190866,7.031305,0.044267,10.357973,3.4
07/01/2018 00:33:00.000000,0.179558,6.850265,0.044117,8.54947,3.4
07/01/2018 00:34:00.000000,0.173045,5.666341,0.0443,12.782565,2.65
07/01/2018 00:35:00.000000,0.191416,6.537298,0.0434,8.960139,3.35
07/01/2018 00:36:00.000000,0.191956,8.107123,0.042983,7.852574,4.15
07/01/2018 00:37:00.000000,0.201255,8.251491,0.041733,9.599504,3.975
07/01/2018 00:38:00.000000,0.194372,8.46456,0.042467,14.700976,2.85
07/01/2018 00:39:00.000000,0.173542,6.335202,0.043617,22.751331,2.675
07/01/2018 00:40:00.000000,0.183505,6.295129,0.043933,15.24707,3.375
07/01/2018 00:41:00.000000,0.171521,4.898153,0.04495,10.55207,2.95
07/01/2018 00:42:00.000000,0.177784,5.76369,0.043933,16.437106,3.225
07/01/2018 00:43:00.000000,0.195855,5.909195,0.044833,21.248467,4.35
07/01/2018 00:44:00.000000,0.188992,5.461668,0.0453,29.099335,3.575
07/01/2018 00:45:00.000000,0.195181,5.762457,0.044517,5.364964,3.1
07/01/2018 00:46:00.000000,0.195346,5.895937,0.044317,10.72985,4.175
07/01/2018 00:47:00.000000,0.167718,5.225233,0.0451,6.0633,2.925
07/01/2018 00:48:00.000000,0.178894,4.798979,0.045917,7.143786,3.175
07/01/2018 00:49:00.000000,0.172162,5.294463,0.0452,9.01517,3.45
07/01/2018 00:50:00.000000,0.187533,5.334167,0.044967,12.718165,3.05
07/01/2018 00:51:00.000000,0.165388,5.117412,0.046217,17.14123,4.325
07/01/2018 00:52:00.000000,0.156472,4.410255,0.046667,13.11667,4.2
07/01/2018 00:53:00.000000,0.1668,4.371823,0.046817,3.178552,2.025
07/01/2018 00:54:00.000000,0.168788,4.436302,0.046533,8.429307,2.925
07/01/2018 00:55:00.000000,0.168403,4.334773,0.046417,15.083398,3.775
07/01/2018 00:56:00.000000,0.164259,4.383218,0.046317,14.449135,4.1
07/01/2018 00:57:00.000000,0.167332,4.394286,0.0456,7.330141,3.825
07/01/2018 00:58:00.000000,0.177359,5.128803,0.04475,8.700988,4.425
07/01/2018 00:59:00.000000,0.162355,5.659445,0.045567,9.136449,3.325
07/01/2018 01:00:00.000000,0.164573,4.796895,0.0463,7.23549,3.625
07/01/2018 01:01:00.000000,0.173264,4.668063,0.046883,9.771034,4.1
07/01/2018 01:02:00.000000,0.172878,4.512321,0.047133,13.599338,3.225
07/01/2018 01:03:00.000000,0.177646,4.511594,0.046,14.452016,2.6
07/01/2018 01:04:00.000000,0.163761,4.581516,0.045817,12.552646,3.075
07/01/2018 01:05:00.000000,0.160394,4.777199,0.046483,12.987793,2.925
07/01/2018 01:06:00.000000,0.164016,4.458309,0.046967,22.240232,3.5
07/01/2018 01:07:00.000000,0.173055,4.259739,0.04665,24.576128,3.325
07/01/2018 01:08:00.000000,0.173061,4.492954,0.046283,16.933817,3.375
07/01/2018 01:09:00.000000,0.166166,4.682303,0.045717,8.76157,2.95
07/01/2018 01:10:00.000000,0.169159,4.871868,0.04575,20.497781,4.1
07/01/2018 01:11:00.000000,0.181336,5.194929,0.04595,3.181634,2.65
07/01/2018 01:12:00.000000,0.174054,5.308052,0.045633,5.167942,2.925
07/01/2018 01:13:00.000000,0.172332,5.304792,0.04535,11.857653,3.325
07/01/2018 01:14:00.000000,0.176896,5.294771,0.0449,15.485292,3.475
07/01/2018 01:15:00.000000,0.195304,5.634106,0.0437,15.811208,3.65
07/01/2018 01:16:00.000000,0.185542,6.351096,0.043967,10.839587,3.65
07/01/2018 01:17:00.000000,0.166537,5.341779,0.04555,8.679816,3.825
07/01/2018 01:18:00.000000,0.187069,5.123368,0.04555,6.078479,3.15
07/01/2018 01:19:00.000000,0.177511,5.30464,0.04475,13.323716,3.65
07/01/2018 01:20:00.000000,0.185271,5.869921,0.04405,10.517974,4.1
07/01/2018 01:21:00.000000,0.172554,6.180964,0.0438,8.880926,5.1
07/01/2018 01:22:00.000000,0.187749,6.146732,0.0441,22.912584,4.8
07/01/2018 01:23:00.000000,0.195697,6.278281,0.044133,33.988936,3.625
07/01/2018 01:24:00.000000,0.176143,5.899197,0.044633,11.627483,5.225
07/01/2018 01:25:00.000000,0.169504,5.495926,0.044817,17.46707,4.225
07/01/2018 01:26:00.000000,0.182989,5.472524,0.044617,19.979494,3.9
07/01/2018 01:27:00.000000,0.18187,5.537488,0.0445,8.997336,4.375
07/01/2018 01:28:00.000000,0.176994,5.859214,0.04415,10.516135,3.8
07/01/2018 01:29:00.000000,0.170308,5.787983,0.044367,8.882347,3.825
