InstrumentName, Construction Dust Monitor (B),,
StartTime, 2018-06-01 00:00:00,,
EndTime, 2018-06-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
06/01/2018 12:56:31.000000,1.0,4.0,4.0
06/01/2018 12:59:08.000000,5.03,7.14,6.24
06/01/2018 13:01:49.000000,4.6,6.1,5.47
06/01/2018 13:05:50.000000,5.13,7.89,6.61
06/01/2018 13:08:37.000000,4.62,7.72,6.93
06/01/2018 13:11:08.000000,4.34,6.17,5.1
06/01/2018 13:13:48.000000,3.57,6.11,4.84
06/01/2018 13:17:48.000000,4.12,6.62,5.5
06/01/2018 13:20:29.000000,5.02,7.2,6.78
06/01/2018 13:23:09.000000,3.36,4.9,4.54
06/01/2018 13:25:48.000000,3.5,5.25,4.45
06/01/2018 13:29:49.000000,3.97,6.31,5.03
06/01/2018 13:32:28.000000,3.68,5.32,4.84
06/01/2018 13:35:09.000000,4.21,6.05,5.46
06/01/2018 13:37:48.000000,3.73,5.57,4.78
06/01/2018 13:41:50.000000,5.13,7.67,6.82
06/01/2018 13:44:29.000000,3.85,7.03,5.4
06/01/2018 13:47:08.000000,4.34,6.27,5.41
06/01/2018 13:49:51.000000,4.85,6.85,6.12
06/01/2018 13:53:50.000000,3.79,5.87,4.87
06/01/2018 13:56:29.000000,3.87,6.08,4.95
06/01/2018 13:59:11.000000,3.47,5.72,4.85
06/01/2018 14:01:49.000000,3.33,4.55,4.25
06/01/2018 14:05:48.000000,2.87,4.7,4.35
06/01/2018 14:08:28.000000,2.62,5.5,4.12
06/01/2018 14:11:08.000000,2.8,4.1,3.55
06/01/2018 14:13:48.000000,2.74,4.05,3.59
06/01/2018 14:17:49.000000,2.55,4.22,3.35
06/01/2018 14:20:29.000000,2.7,5.43,3.97
06/01/2018 14:23:09.000000,2.15,3.1,2.9
06/01/2018 14:25:51.000000,2.31,4.36,3.23
06/01/2018 14:29:48.000000,2.22,3.3,3.0
06/01/2018 14:32:29.000000,1.64,2.07,1.83
06/01/2018 14:35:09.000000,1.42,2.2,1.52
06/01/2018 14:37:49.000000,1.65,1.98,1.9
06/01/2018 14:41:48.000000,2.34,3.71,3.12
06/01/2018 14:44:29.000000,1.66,2.66,1.89
06/01/2018 14:47:11.000000,1.72,2.72,2.18
06/01/2018 14:49:49.000000,5.43,7.22,6.07
06/01/2018 14:53:49.000000,1.32,2.51,1.68
06/01/2018 14:56:29.000000,0.44,0.9,0.51
06/01/2018 14:59:09.000000,0.5,1.16,1.16
06/01/2018 15:01:49.000000,0.5,1.0,0.6
06/01/2018 15:05:48.000000,1.5,3.22,2.4
06/01/2018 15:08:28.000000,1.85,3.95,2.75
06/01/2018 15:11:09.000000,1.02,2.83,1.93
06/01/2018 15:13:48.000000,0.63,1.0,0.63
06/01/2018 15:17:48.000000,0.95,1.23,1.23
06/01/2018 15:20:28.000000,1.56,2.22,1.98
06/01/2018 15:23:08.000000,0.57,1.33,1.25
06/01/2018 15:25:49.000000,0.54,1.49,0.82
06/01/2018 15:29:49.000000,0.32,0.65,0.55
06/01/2018 15:32:29.000000,0.44,0.63,0.59
06/01/2018 15:35:09.000000,0.15,0.62,0.35
06/01/2018 15:37:49.000000,0.1,0.47,0.47
06/01/2018 15:41:49.000000,0.03,0.8,0.32
06/01/2018 15:44:29.000000,0.51,0.67,0.67
06/01/2018 15:47:09.000000,0.85,1.2,0.95
06/01/2018 15:49:49.000000,0.27,0.56,0.56
06/01/2018 15:53:49.000000,0.08,0.16,0.16
06/01/2018 15:56:28.000000,0.3,0.6,0.6
06/01/2018 15:59:10.000000,0.18,0.61,0.49
06/01/2018 16:01:49.000000,0.03,1.2,1.0
06/01/2018 16:05:48.000000,0.3,1.27,0.77
06/01/2018 16:08:31.000000,0.3,0.1,0.1
06/01/2018 16:11:14.000000,0.11,0.32,0.32
06/01/2018 16:13:50.000000,0.03,0.37,0.37
06/01/2018 16:17:51.000000,0.56,0.24,0.05
06/01/2018 16:20:28.000000,0.56,0.22,0.1
06/01/2018 16:23:09.000000,0.56,0.24,0.1
06/01/2018 16:25:49.000000,0.56,0.05,0.07
06/01/2018 16:29:48.000000,0.23,2.77,1.05
06/01/2018 16:32:29.000000,0.88,0.37,0.1
06/01/2018 16:35:08.000000,0.88,0.27,0.02
06/01/2018 16:37:48.000000,0.52,1.36,1.12
06/01/2018 16:41:51.000000,0.03,0.39,0.29
06/01/2018 16:44:29.000000,0.13,0.89,0.58
06/01/2018 16:47:08.000000,0.27,1.07,0.49
06/01/2018 16:49:49.000000,0.27,1.27,0.83
06/01/2018 16:53:49.000000,0.51,1.51,0.76
06/01/2018 16:56:29.000000,0.03,0.64,0.23
06/01/2018 16:59:09.000000,0.05,0.77,0.37
06/01/2018 17:01:49.000000,0.15,1.0,0.73
06/01/2018 17:05:49.000000,0.02,0.26,0.26
06/01/2018 17:08:29.000000,0.02,0.25,0.27
06/01/2018 17:11:09.000000,0.28,0.68,0.43
06/01/2018 17:13:49.000000,0.28,0.15,0.15
06/01/2018 17:17:48.000000,0.28,1.45,0.28
06/01/2018 17:20:29.000000,0.73,1.76,0.83
06/01/2018 17:23:09.000000,0.25,1.23,0.73
06/01/2018 17:25:49.000000,0.25,0.3,0.2
06/01/2018 17:29:49.000000,0.25,0.4,0.05
06/01/2018 17:32:29.000000,0.25,0.23,0.17
06/01/2018 17:35:09.000000,0.25,0.98,0.5
06/01/2018 17:37:49.000000,1.35,0.69,4.21
06/01/2018 17:41:49.000000,1.35,0.54,0.27
06/01/2018 17:44:29.000000,0.08,1.19,0.32
06/01/2018 17:47:09.000000,0.2,0.77,0.6
06/01/2018 17:49:49.000000,0.2,0.4,0.6
06/01/2018 17:53:49.000000,0.2,0.38,0.6
06/01/2018 17:56:29.000000,0.9,3.0,1.9
06/01/2018 17:59:09.000000,0.9,0.17,0.17
06/01/2018 18:01:49.000000,0.9,0.03,0.03
06/01/2018 18:05:50.000000,0.9,0.05,0.05
06/01/2018 18:08:28.000000,1.87,9.73,4.93
06/01/2018 18:11:10.000000,1.87,0.17,0.17
06/01/2018 18:13:49.000000,1.87,0.08,0.08
06/01/2018 18:17:49.000000,0.95,4.8,2.9
06/01/2018 18:20:29.000000,1.07,8.17,3.66
06/01/2018 18:23:10.000000,0.15,1.1,0.75
06/01/2018 18:25:49.000000,1.08,2.82,2.13
06/01/2018 18:29:49.000000,0.93,2.22,0.32
06/01/2018 18:32:29.000000,0.69,4.13,1.69
06/01/2018 18:35:09.000000,0.69,0.32,0.08
06/01/2018 18:37:49.000000,5.78,32.53,13.82
06/01/2018 18:41:49.000000,0.57,1.21,0.93
06/01/2018 18:44:31.000000,0.57,0.15,0.2
06/01/2018 18:47:11.000000,1.7,2.12,1.98
06/01/2018 18:49:49.000000,1.7,0.22,1.98
06/01/2018 18:53:49.000000,0.22,0.2,0.45
06/01/2018 18:56:28.000000,0.22,0.2,0.45
06/01/2018 18:59:10.000000,0.22,0.12,0.45
06/01/2018 19:01:49.000000,0.21,3.54,1.49
06/01/2018 19:05:49.000000,0.21,0.02,1.49
06/01/2018 19:08:29.000000,0.21,0.15,0.15
06/01/2018 19:11:10.000000,0.21,0.26,0.15
06/01/2018 19:13:51.000000,0.21,0.26,0.15
06/01/2018 19:17:49.000000,0.83,1.72,1.72
06/01/2018 19:20:29.000000,0.83,0.2,0.24
06/01/2018 19:23:09.000000,0.25,0.8,0.5
06/01/2018 19:25:50.000000,0.03,0.3,0.28
06/01/2018 19:29:49.000000,0.7,2.95,1.49
06/01/2018 19:32:29.000000,0.7,2.95,1.49
06/01/2018 19:35:09.000000,0.7,0.93,0.35
06/01/2018 19:37:49.000000,1.37,5.32,3.95
06/01/2018 19:41:49.000000,0.08,0.28,0.25
06/01/2018 19:44:29.000000,0.08,0.28,0.25
06/01/2018 19:47:09.000000,0.08,0.82,0.22
06/01/2018 19:49:49.000000,0.08,0.95,0.28
06/01/2018 19:53:49.000000,0.35,1.73,0.62
06/01/2018 19:56:29.000000,12.18,16.4,15.1
06/01/2018 19:59:09.000000,27.39,42.03,36.0
06/01/2018 20:01:49.000000,5.56,7.98,7.61
06/01/2018 20:05:49.000000,11.18,16.29,14.84
06/01/2018 20:08:29.000000,4.68,6.07,5.68
06/01/2018 20:11:10.000000,1.55,4.66,2.84
06/01/2018 20:13:49.000000,1.55,0.28,0.13
06/01/2018 20:17:49.000000,1.29,3.05,2.29
06/01/2018 20:20:29.000000,1.29,3.05,2.29
06/01/2018 20:23:09.000000,1.29,0.27,2.29
06/01/2018 20:25:49.000000,1.29,0.4,2.29
06/01/2018 20:29:49.000000,1.29,0.4,2.29
06/01/2018 20:32:31.000000,1.29,0.18,2.29
06/01/2018 20:35:10.000000,1.29,0.26,0.26
06/01/2018 20:37:49.000000,0.3,0.77,0.08
06/01/2018 20:41:49.000000,0.13,0.31,0.13
06/01/2018 20:44:29.000000,0.13,0.49,0.13
06/01/2018 20:47:11.000000,0.13,0.25,0.13
06/01/2018 20:49:49.000000,0.13,0.05,0.13
06/01/2018 20:53:49.000000,0.13,0.37,0.31
06/01/2018 20:56:29.000000,0.13,0.43,0.17
06/01/2018 20:59:09.000000,0.13,0.62,0.32
06/01/2018 21:01:49.000000,0.13,0.62,0.32
06/01/2018 21:05:53.000000,0.03,0.13,0.11
06/01/2018 21:08:29.000000,0.07,0.03,0.03
06/01/2018 21:11:09.000000,0.08,0.36,0.26
06/01/2018 21:13:49.000000,0.08,0.36,0.26
06/01/2018 21:17:49.000000,0.5,0.5,0.5
06/01/2018 21:20:29.000000,0.5,0.5,0.5
06/01/2018 21:23:11.000000,0.5,0.5,0.5
06/01/2018 21:25:49.000000,0.5,0.97,0.5
06/01/2018 21:29:49.000000,0.16,0.45,0.32
06/01/2018 21:32:29.000000,0.16,0.32,0.32
06/01/2018 21:35:09.000000,0.16,0.55,0.55
06/01/2018 21:37:50.000000,0.16,0.08,0.08
06/01/2018 21:41:49.000000,0.16,0.34,0.08
06/01/2018 21:44:29.000000,0.16,0.03,0.08
06/01/2018 21:47:09.000000,0.16,0.03,0.08
06/01/2018 21:49:49.000000,0.16,0.71,0.08
06/01/2018 21:53:49.000000,0.16,0.32,0.25
06/01/2018 21:56:29.000000,0.16,0.88,0.25
06/01/2018 21:59:10.000000,0.16,0.88,0.25
06/01/2018 22:01:49.000000,1.02,1.52,1.17
06/01/2018 22:05:51.000000,1.02,0.47,0.15
06/01/2018 22:08:29.000000,1.02,0.15,0.15
06/01/2018 22:11:09.000000,0.49,2.1,0.85
06/01/2018 22:13:49.000000,0.17,1.35,0.2
06/01/2018 22:17:49.000000,0.68,0.1,0.54
06/01/2018 22:20:29.000000,0.68,0.51,0.13
06/01/2018 22:23:09.000000,0.73,4.15,2.6
06/01/2018 22:25:49.000000,0.73,0.17,2.6
06/01/2018 22:29:49.000000,0.44,0.78,0.78
06/01/2018 22:32:29.000000,0.44,0.15,0.25
06/01/2018 22:35:09.000000,0.56,4.05,1.69
06/01/2018 22:37:49.000000,0.56,0.02,0.52
06/01/2018 22:41:49.000000,0.56,1.35,0.03
06/01/2018 22:44:29.000000,0.56,1.35,0.03
06/01/2018 22:47:09.000000,0.56,0.25,0.03
06/01/2018 22:49:49.000000,0.24,0.46,0.41
06/01/2018 22:53:49.000000,0.24,0.46,0.41
06/01/2018 22:56:29.000000,0.24,0.46,0.22
06/01/2018 22:59:09.000000,2.37,3.15,2.88
06/01/2018 23:01:49.000000,2.37,0.49,0.13
06/01/2018 23:05:49.000000,2.37,0.46,0.13
06/01/2018 23:08:29.000000,2.37,0.2,0.13
06/01/2018 23:11:09.000000,2.37,0.38,0.13
06/01/2018 23:13:49.000000,2.37,0.15,0.13
06/01/2018 23:17:49.000000,2.37,0.15,0.13
06/01/2018 23:20:29.000000,2.37,0.15,0.13
06/01/2018 23:23:09.000000,2.37,0.28,0.13
06/01/2018 23:25:49.000000,2.37,0.28,0.13
06/17/2018 15:46:58.000000,12.0,16.0,16.0
06/17/2018 15:49:38.000000,11.63,17.83,16.98
06/17/2018 15:53:38.000000,10.68,15.97,14.92
06/17/2018 15:56:18.000000,12.02,17.2,16.7
06/17/2018 15:58:58.000000,10.62,14.19,14.12
06/17/2018 16:01:38.000000,10.87,16.1,14.92
06/17/2018 16:05:38.000000,11.24,16.05,15.32
06/17/2018 16:08:18.000000,11.88,17.0,15.85
06/17/2018 16:10:58.000000,11.57,16.15,15.25
06/17/2018 16:13:38.000000,12.0,16.93,15.81
06/17/2018 16:17:38.000000,11.02,17.22,15.71
06/17/2018 16:20:18.000000,9.52,12.4,12.23
06/17/2018 16:22:58.000000,10.75,14.23,14.1
06/17/2018 16:25:38.000000,8.98,14.13,13.0
06/17/2018 16:29:38.000000,10.51,14.22,13.8
06/17/2018 16:32:19.000000,11.71,15.95,15.49
06/17/2018 16:34:58.000000,11.07,16.27,15.57
06/17/2018 16:36:18.000000,11.1,15.93,14.49
06/18/2018 12:43:40.000000,1.21,4.59,2.92
06/18/2018 12:47:39.000000,1.27,6.0,3.51
06/18/2018 12:50:20.000000,2.0,5.47,3.97
06/18/2018 12:53:00.000000,2.0,4.69,3.64
06/18/2018 12:55:40.000000,1.0,3.88,3.07
06/18/2018 12:59:40.000000,1.26,4.71,2.66
06/18/2018 13:02:20.000000,1.44,3.69,3.31
06/18/2018 13:05:00.000000,1.87,4.21,2.95
06/18/2018 13:07:39.000000,1.61,4.07,3.24
06/18/2018 13:11:40.000000,1.71,5.39,3.93
06/18/2018 13:14:19.000000,2.0,4.32,3.47
06/18/2018 13:17:00.000000,1.9,5.35,4.5
06/18/2018 13:19:40.000000,3.15,7.03,5.95
06/18/2018 13:23:40.000000,2.0,5.15,4.15
06/18/2018 13:26:20.000000,1.42,3.67,3.42
06/18/2018 13:29:00.000000,1.0,3.37,2.58
06/18/2018 13:31:40.000000,0.93,4.1,2.17
06/18/2018 13:35:40.000000,1.12,3.87,3.08
06/18/2018 13:38:19.000000,1.44,4.78,3.73
06/18/2018 13:40:59.000000,1.6,4.05,3.35
06/18/2018 13:43:39.000000,1.67,5.35,4.15
06/18/2018 13:47:40.000000,1.85,3.9,3.41
06/18/2018 13:50:20.000000,1.34,4.54,3.66
06/18/2018 13:53:00.000000,1.25,4.62,3.67
06/18/2018 13:55:40.000000,1.7,5.0,3.78
06/18/2018 13:59:40.000000,1.85,4.9,3.72
06/18/2018 14:02:20.000000,2.08,6.82,4.18
06/18/2018 14:05:00.000000,1.39,4.21,3.71
06/18/2018 14:07:39.000000,1.42,3.92,3.25
06/18/2018 14:11:39.000000,1.85,4.68,3.51
06/18/2018 14:14:20.000000,1.41,4.28,3.36
06/18/2018 14:17:00.000000,1.58,4.15,3.75
06/18/2018 14:19:40.000000,2.0,4.68,3.39
06/18/2018 14:23:40.000000,1.77,4.87,3.6
06/18/2018 14:26:20.000000,2.16,5.26,4.03
06/18/2018 14:28:59.000000,2.0,4.17,3.76
06/18/2018 14:32:59.000000,1.8,4.66,3.23
06/18/2018 14:35:42.000000,2.41,4.13,3.49
06/18/2018 14:38:22.000000,1.78,4.8,3.56
06/18/2018 14:41:00.000000,2.16,4.13,3.58
06/18/2018 14:43:40.000000,2.32,4.12,3.66
06/18/2018 14:47:40.000000,2.47,5.43,4.43
06/18/2018 14:50:20.000000,2.42,5.32,4.32
06/18/2018 14:53:00.000000,2.45,4.4,3.6
06/18/2018 14:55:40.000000,1.93,4.29,2.95
06/18/2018 14:59:39.000000,1.25,3.05,2.25
06/18/2018 15:02:20.000000,1.95,4.78,3.0
06/18/2018 15:05:00.000000,1.76,2.34,2.34
06/18/2018 15:07:39.000000,2.22,3.5,3.15
06/18/2018 15:11:39.000000,2.0,3.49,3.39
06/18/2018 15:14:20.000000,2.75,4.2,3.67
06/18/2018 15:17:00.000000,1.15,3.18,1.87
06/18/2018 15:22:20.000000,2.02,3.66,2.59
06/18/2018 15:23:40.000000,2.17,3.22,3.22
06/18/2018 15:26:24.000000,2.24,3.63,3.24
06/18/2018 15:29:00.000000,2.55,3.75,3.5
06/18/2018 15:31:40.000000,2.6,4.57,3.9
