InstrumentName, Construction Dust Monitor (A),,
StartTime, 2018-06-01 00:00:00,,
EndTime, 2018-06-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
06/01/2018 13:13:34.000000,0.0,2.0,2.0
06/01/2018 13:17:34.000000,3.76,4.61,4.46
06/01/2018 13:20:18.000000,4.03,5.32,4.97
06/01/2018 13:22:54.000000,3.59,5.24,5.16
06/01/2018 13:25:34.000000,3.32,5.29,4.41
06/01/2018 13:29:34.000000,3.67,4.76,4.33
06/01/2018 13:32:14.000000,3.68,4.92,4.92
06/01/2018 13:34:54.000000,3.93,4.83,4.51
06/01/2018 13:37:34.000000,3.2,4.7,4.45
06/01/2018 13:41:35.000000,4.58,6.66,5.97
06/01/2018 13:44:15.000000,4.0,6.74,5.62
06/01/2018 13:46:55.000000,3.41,4.66,4.39
06/01/2018 13:49:34.000000,5.38,7.08,6.46
06/01/2018 13:53:34.000000,3.95,5.51,5.37
06/01/2018 13:56:14.000000,3.4,5.5,4.87
06/01/2018 13:58:54.000000,3.92,5.57,5.03
06/01/2018 14:01:34.000000,4.79,6.33,5.72
06/01/2018 14:05:34.000000,2.62,3.3,3.3
06/01/2018 14:08:14.000000,3.31,4.64,4.1
06/01/2018 14:10:55.000000,2.44,3.62,3.23
06/01/2018 14:13:34.000000,2.34,3.71,3.71
06/01/2018 14:17:34.000000,2.05,3.42,3.05
06/01/2018 14:20:15.000000,3.17,4.32,3.9
06/01/2018 14:22:54.000000,2.9,3.78,3.58
06/01/2018 14:25:34.000000,2.58,3.55,3.3
06/01/2018 14:29:34.000000,2.38,2.95,2.79
06/01/2018 14:32:14.000000,2.14,2.65,2.22
06/01/2018 14:34:55.000000,1.94,2.58,2.39
06/01/2018 14:37:34.000000,2.05,2.64,2.64
06/01/2018 14:41:34.000000,1.71,2.61,2.13
06/01/2018 14:44:14.000000,1.55,3.17,2.65
06/01/2018 14:46:54.000000,1.92,2.83,2.25
06/01/2018 14:49:35.000000,2.29,3.34,3.22
06/01/2018 14:53:36.000000,0.2,1.15,1.0
06/01/2018 14:56:14.000000,1.49,3.28,2.79
06/01/2018 14:58:54.000000,0.63,1.29,1.22
06/01/2018 15:01:34.000000,1.0,1.27,1.27
06/01/2018 15:05:35.000000,1.22,2.22,2.0
06/01/2018 15:08:14.000000,1.0,1.92,1.85
06/01/2018 15:10:54.000000,1.12,2.22,1.68
06/01/2018 15:13:34.000000,0.57,1.75,1.0
06/01/2018 15:17:34.000000,0.37,0.37,0.37
06/01/2018 15:20:14.000000,0.68,1.17,1.17
06/01/2018 15:22:55.000000,1.05,1.77,1.5
06/01/2018 15:25:34.000000,1.21,3.0,2.44
06/01/2018 15:29:34.000000,4.23,14.41,9.69
06/01/2018 15:32:17.000000,1.4,3.3,2.72
06/01/2018 15:34:54.000000,0.59,2.05,1.8
06/01/2018 15:37:34.000000,1.0,4.12,3.35
06/01/2018 15:41:34.000000,0.24,0.54,0.54
06/01/2018 15:44:14.000000,6.97,12.95,11.38
06/01/2018 15:46:54.000000,61.08,98.89,90.05
06/01/2018 15:49:34.000000,14.48,23.3,20.62
06/01/2018 15:53:39.000000,4.0,8.31,7.31
06/01/2018 15:56:17.000000,0.92,2.15,2.1
06/01/2018 15:58:55.000000,47.92,85.38,75.28
06/01/2018 16:01:34.000000,9.56,18.9,15.61
06/01/2018 16:05:34.000000,3.0,9.22,6.85
06/01/2018 16:08:15.000000,1.65,6.76,4.76
06/01/2018 16:10:54.000000,0.22,2.15,1.62
06/01/2018 16:13:35.000000,0.26,1.36,0.97
06/01/2018 16:17:34.000000,1.21,2.38,2.28
06/01/2018 16:20:14.000000,5.0,17.15,11.68
06/01/2018 16:22:55.000000,0.8,2.67,1.85
06/01/2018 16:25:34.000000,1.1,4.71,2.78
06/01/2018 16:29:34.000000,1.62,3.24,2.64
06/01/2018 16:32:14.000000,3.67,6.15,5.6
06/01/2018 16:34:54.000000,21.21,34.76,32.37
06/01/2018 16:37:34.000000,0.52,1.62,1.08
06/01/2018 16:41:38.000000,14.46,55.73,36.19
06/01/2018 16:44:14.000000,0.89,3.64,2.89
06/01/2018 16:46:54.000000,1.42,2.03,1.83
06/01/2018 16:49:36.000000,0.33,1.28,0.69
06/01/2018 16:53:34.000000,0.57,1.1,1.02
06/01/2018 16:56:14.000000,0.57,1.0,1.0
06/01/2018 16:58:54.000000,42.18,71.42,63.53
06/01/2018 17:01:35.000000,51.56,121.47,91.39
06/01/2018 17:05:35.000000,4.76,8.07,7.83
06/01/2018 17:08:14.000000,1.11,2.39,2.0
06/01/2018 17:10:54.000000,1.15,1.65,1.27
06/01/2018 17:13:34.000000,0.34,1.29,1.1
06/01/2018 17:17:34.000000,2.05,3.51,3.02
06/01/2018 17:20:15.000000,1.03,1.92,1.3
06/01/2018 17:22:54.000000,1.8,3.45,2.72
06/01/2018 17:25:36.000000,4.73,6.22,5.95
06/01/2018 17:29:34.000000,1.7,3.33,2.92
06/01/2018 17:32:14.000000,0.57,1.25,1.25
06/01/2018 17:34:55.000000,3.13,4.1,3.92
06/01/2018 17:38:54.000000,0.23,1.18,0.72
06/01/2018 17:41:34.000000,0.24,0.89,0.54
06/01/2018 17:44:14.000000,0.65,1.3,0.93
06/01/2018 17:46:54.000000,0.92,1.13,1.13
06/01/2018 17:49:34.000000,0.29,0.73,0.73
06/01/2018 17:53:34.000000,0.74,1.69,1.44
06/01/2018 17:56:14.000000,0.35,0.88,0.88
06/01/2018 17:58:54.000000,0.49,0.46,0.26
06/01/2018 18:01:34.000000,0.7,1.25,0.85
06/01/2018 18:05:34.000000,1.2,2.05,1.85
06/01/2018 18:08:14.000000,0.6,0.95,0.68
06/01/2018 18:10:54.000000,0.76,1.14,0.86
06/01/2018 18:13:35.000000,0.05,0.32,0.32
06/01/2018 18:17:35.000000,0.43,0.8,0.63
06/01/2018 18:20:14.000000,0.43,0.44,0.07
06/01/2018 18:22:55.000000,0.17,0.9,0.7
06/01/2018 18:26:54.000000,0.17,0.08,0.08
06/01/2018 18:29:35.000000,0.33,1.76,1.29
06/01/2018 18:32:14.000000,1.48,3.1,2.83
06/01/2018 18:34:54.000000,1.48,1.23,0.65
06/01/2018 18:37:34.000000,0.25,0.19,0.5
06/01/2018 18:41:34.000000,0.25,0.3,0.5
06/01/2018 18:44:14.000000,0.25,0.3,0.5
06/01/2018 18:46:54.000000,0.25,0.5,0.25
06/01/2018 18:49:34.000000,0.25,0.5,0.25
06/01/2018 18:53:35.000000,0.25,0.5,0.25
06/01/2018 18:56:15.000000,0.25,0.5,0.25
06/01/2018 18:58:54.000000,0.46,1.26,0.85
06/01/2018 19:01:38.000000,0.29,0.51,0.37
06/01/2018 19:05:35.000000,0.29,0.15,0.37
06/01/2018 19:08:15.000000,0.26,0.56,0.56
06/01/2018 19:10:56.000000,0.26,0.56,0.56
06/01/2018 19:13:34.000000,0.03,1.02,0.77
06/01/2018 19:17:34.000000,0.03,0.05,0.34
06/01/2018 19:20:15.000000,1.3,3.4,2.95
06/01/2018 19:22:54.000000,12.24,31.05,25.13
06/01/2018 19:25:36.000000,6.56,17.73,13.61
06/01/2018 19:29:35.000000,6.56,17.73,13.61
06/01/2018 19:32:16.000000,6.56,0.66,0.24
06/01/2018 19:34:54.000000,0.03,0.28,0.25
06/01/2018 19:37:34.000000,0.03,0.15,0.25
06/01/2018 19:41:35.000000,0.13,0.31,0.31
06/01/2018 19:44:15.000000,0.08,0.49,0.38
06/01/2018 19:46:54.000000,0.08,0.1,0.05
06/01/2018 19:49:36.000000,0.08,0.39,0.27
06/01/2018 19:53:34.000000,0.08,0.39,0.27
06/01/2018 19:56:14.000000,0.36,0.36,0.36
06/01/2018 19:58:54.000000,0.36,0.36,0.36
06/01/2018 20:01:34.000000,0.36,0.36,0.36
06/01/2018 20:05:35.000000,1.59,2.38,2.31
06/01/2018 20:08:14.000000,1.59,0.64,0.64
06/01/2018 20:10:54.000000,1.59,0.64,0.64
06/01/2018 20:14:54.000000,1.59,0.2,0.64
06/01/2018 20:17:34.000000,1.59,0.26,0.64
06/01/2018 20:20:16.000000,1.59,0.26,0.64
06/01/2018 20:22:55.000000,1.59,0.26,0.64
06/01/2018 20:25:34.000000,1.59,0.15,0.15
06/01/2018 20:29:34.000000,1.59,0.08,0.15
06/01/2018 20:32:15.000000,1.59,0.23,0.15
06/01/2018 20:34:55.000000,0.1,0.2,0.2
06/01/2018 20:37:34.000000,0.39,0.25,0.47
06/01/2018 20:41:35.000000,0.39,0.25,0.47
06/01/2018 20:44:15.000000,0.39,0.25,0.47
06/01/2018 20:46:54.000000,0.19,0.54,0.54
06/01/2018 20:49:35.000000,0.19,0.54,0.54
06/01/2018 20:53:35.000000,0.15,0.18,0.05
06/01/2018 20:56:14.000000,0.15,0.18,0.05
06/01/2018 20:58:54.000000,0.15,0.45,0.05
06/01/2018 21:01:34.000000,0.15,0.45,0.05
06/01/2018 21:05:34.000000,0.15,0.18,0.05
06/01/2018 21:08:17.000000,0.15,0.18,0.05
06/01/2018 21:10:54.000000,0.15,0.23,0.05
06/01/2018 21:13:34.000000,0.15,0.05,0.05
06/01/2018 21:17:34.000000,1.37,4.0,3.39
06/01/2018 21:20:14.000000,0.95,2.5,2.03
06/01/2018 21:22:54.000000,0.95,2.5,2.03
06/01/2018 21:25:34.000000,0.95,0.52,2.03
06/01/2018 21:29:35.000000,0.95,0.52,2.03
06/01/2018 21:32:18.000000,4.75,5.5,5.5
06/01/2018 21:34:54.000000,4.75,0.18,5.5
06/01/2018 21:37:34.000000,4.75,0.18,5.5
06/01/2018 21:41:35.000000,4.75,0.18,5.5
06/01/2018 21:44:14.000000,4.75,0.18,5.5
06/01/2018 21:46:55.000000,4.75,0.18,5.5
06/01/2018 21:49:34.000000,4.75,1.0,0.32
06/01/2018 21:53:34.000000,4.75,1.0,0.32
06/01/2018 21:56:14.000000,4.75,0.69,0.08
06/01/2018 21:58:55.000000,0.89,1.58,1.58
06/01/2018 22:01:34.000000,0.89,0.39,0.26
06/01/2018 22:05:35.000000,0.89,0.39,0.26
06/01/2018 22:08:14.000000,0.89,0.39,0.26
06/01/2018 22:10:54.000000,0.97,1.54,1.38
06/01/2018 22:13:34.000000,0.45,0.47,0.47
06/01/2018 22:17:34.000000,0.59,0.23,0.23
06/01/2018 22:20:15.000000,0.59,0.22,0.23
06/01/2018 22:22:54.000000,0.59,0.22,0.23
06/01/2018 22:25:34.000000,0.1,0.7,0.62
06/01/2018 22:29:34.000000,0.35,0.57,0.57
06/01/2018 22:32:14.000000,0.2,0.34,0.34
06/01/2018 22:34:55.000000,0.2,0.13,0.34
06/01/2018 22:37:35.000000,0.2,0.28,0.28
06/01/2018 22:41:35.000000,0.2,0.28,0.28
06/01/2018 22:44:14.000000,0.2,0.28,0.28
06/01/2018 22:46:54.000000,0.3,0.73,0.73
06/01/2018 22:49:35.000000,0.5,0.55,0.55
06/01/2018 22:53:34.000000,0.5,0.85,0.5
06/01/2018 22:56:15.000000,3.1,4.03,3.62
06/01/2018 22:58:54.000000,19.41,23.49,22.74
06/01/2018 23:01:34.000000,0.1,0.32,0.24
06/01/2018 23:05:34.000000,0.32,0.59,0.32
06/01/2018 23:08:15.000000,0.32,0.6,0.28
06/01/2018 23:10:55.000000,0.32,0.47,0.28
06/01/2018 23:13:34.000000,0.32,0.56,0.33
06/01/2018 23:17:35.000000,0.32,0.56,0.33
06/01/2018 23:20:15.000000,0.32,0.56,0.33
06/01/2018 23:22:55.000000,0.32,0.56,0.33
06/17/2018 15:47:21.000000,13.0,21.0,19.0
06/17/2018 15:50:01.000000,10.71,15.68,14.85
06/17/2018 15:52:41.000000,10.8,15.73,14.6
06/17/2018 15:56:41.000000,10.85,16.42,15.05
06/17/2018 15:59:21.000000,9.37,13.22,12.51
06/17/2018 16:02:01.000000,10.83,16.15,15.41
06/17/2018 16:04:41.000000,11.03,14.1,13.82
06/17/2018 16:08:41.000000,9.93,14.2,13.61
06/17/2018 16:11:21.000000,10.73,14.98,14.77
06/17/2018 16:14:01.000000,10.29,17.76,16.24
06/17/2018 16:16:41.000000,11.93,16.24,15.45
06/17/2018 16:20:41.000000,9.05,13.39,12.49
06/17/2018 16:23:21.000000,9.07,14.12,13.17
06/17/2018 16:26:00.000000,8.63,13.17,11.78
06/17/2018 16:28:41.000000,9.77,14.55,13.57
06/17/2018 16:32:41.000000,10.45,14.73,14.15
06/17/2018 16:35:21.000000,12.07,16.73,16.39
06/17/2018 16:38:01.000000,10.27,14.24,13.78
06/18/2018 12:38:30.000000,0.82,4.18,3.1
06/18/2018 12:41:11.000000,1.0,3.55,2.53
06/18/2018 12:43:51.000000,1.08,2.5,1.9
06/18/2018 12:47:51.000000,1.69,3.88,3.31
06/18/2018 12:50:31.000000,1.33,3.55,2.47
06/18/2018 12:53:11.000000,1.0,1.85,1.59
06/18/2018 12:55:51.000000,1.43,2.33,2.07
06/18/2018 12:59:51.000000,1.0,2.51,1.66
06/18/2018 13:02:31.000000,1.17,3.12,2.78
06/18/2018 13:05:11.000000,0.65,1.95,1.85
06/18/2018 13:07:51.000000,1.93,3.46,3.0
06/18/2018 13:11:51.000000,1.73,4.8,3.29
06/18/2018 13:14:31.000000,1.44,4.0,3.17
06/18/2018 13:17:11.000000,1.55,4.0,3.0
06/18/2018 13:19:51.000000,2.68,5.0,4.34
06/18/2018 13:23:51.000000,1.45,3.0,2.4
06/18/2018 13:26:30.000000,0.9,2.46,1.92
06/18/2018 13:29:11.000000,1.12,2.45,2.05
06/18/2018 13:31:51.000000,0.93,2.32,2.17
06/18/2018 13:35:51.000000,1.27,3.02,2.56
06/18/2018 13:38:30.000000,1.15,2.7,2.08
06/18/2018 13:41:10.000000,2.59,4.71,4.37
06/18/2018 13:43:51.000000,1.45,2.58,2.5
06/18/2018 13:47:51.000000,1.25,3.22,3.22
06/18/2018 13:50:31.000000,1.33,3.72,2.92
06/18/2018 13:53:11.000000,1.78,3.59,2.95
06/18/2018 13:55:51.000000,1.12,2.97,1.83
06/18/2018 13:59:51.000000,1.73,3.39,2.88
06/18/2018 14:02:33.000000,1.45,2.62,2.3
06/18/2018 14:05:11.000000,3.97,6.7,5.93
06/18/2018 14:07:51.000000,1.0,3.1,2.45
06/18/2018 14:11:51.000000,1.08,3.33,2.47
06/18/2018 14:14:31.000000,1.0,2.9,2.0
06/18/2018 14:17:11.000000,2.17,4.02,3.57
06/18/2018 14:19:51.000000,2.78,5.41,4.63
06/18/2018 14:23:50.000000,1.63,3.78,2.88
06/18/2018 14:26:31.000000,2.24,3.76,3.34
06/18/2018 14:29:11.000000,1.93,3.51,2.83
06/18/2018 14:31:51.000000,1.45,2.95,2.16
06/18/2018 14:35:51.000000,1.13,2.28,2.1
06/18/2018 14:38:31.000000,1.78,3.22,3.22
06/18/2018 14:41:11.000000,1.64,2.87,2.77
06/18/2018 14:43:51.000000,2.0,3.54,3.07
06/18/2018 14:47:51.000000,4.1,6.32,5.93
06/18/2018 14:50:31.000000,2.24,4.56,3.83
06/18/2018 14:53:12.000000,3.07,4.41,4.34
06/18/2018 14:55:52.000000,3.66,6.88,6.15
06/18/2018 14:59:51.000000,1.15,2.73,1.95
06/18/2018 15:02:30.000000,1.74,3.46,3.13
06/18/2018 15:05:11.000000,1.37,3.12,2.5
06/18/2018 15:07:51.000000,1.33,2.36,2.03
06/18/2018 15:11:51.000000,2.33,3.98,3.4
06/18/2018 15:14:31.000000,1.8,3.17,2.85
06/18/2018 15:17:13.000000,2.27,3.85,3.66
06/18/2018 15:21:14.000000,2.0,3.05,2.9
06/18/2018 15:23:51.000000,1.89,3.09,2.97
06/18/2018 15:26:31.000000,2.67,3.95,3.7
06/18/2018 15:29:11.000000,2.87,4.15,4.05
06/18/2018 15:31:51.000000,2.39,4.32,3.83
06/18/2018 15:35:51.000000,2.38,4.46,3.64
06/18/2018 15:38:31.000000,2.15,3.85,3.32
06/18/2018 15:41:11.000000,2.12,2.95,2.95
06/18/2018 15:43:50.000000,2.15,4.53,3.03
06/18/2018 15:47:51.000000,2.61,3.63,3.44
