InstrumentName, Construction Dust Monitor (B) [Sensor B],,
StartTime, 2018-06-01 00:00:00,,
EndTime, 2018-06-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
06/01/2018 12:56:58.000000,2.75,9.75,8.5
06/01/2018 12:59:42.000000,5.24,8.71,7.34
06/01/2018 13:02:18.000000,4.16,6.37,4.88
06/01/2018 13:03:39.000000,4.37,6.63,5.61
06/01/2018 13:08:58.000000,4.1,6.08,5.46
06/01/2018 13:11:38.000000,4.64,7.21,6.62
06/01/2018 13:14:18.000000,4.36,5.57,5.26
06/01/2018 13:16:58.000000,4.24,6.61,5.49
06/01/2018 13:19:38.000000,5.1,7.37,6.51
06/01/2018 13:23:38.000000,3.56,5.17,4.5
06/01/2018 13:26:18.000000,2.88,5.66,4.56
06/01/2018 13:28:58.000000,4.0,5.71,4.88
06/01/2018 13:31:41.000000,3.29,5.02,4.41
06/01/2018 13:35:38.000000,3.93,6.24,5.05
06/01/2018 13:38:18.000000,4.39,7.34,6.27
06/01/2018 13:41:00.000000,4.59,7.73,6.1
06/01/2018 13:43:38.000000,4.38,7.33,6.21
06/01/2018 13:47:40.000000,3.79,6.64,5.18
06/01/2018 13:50:18.000000,4.4,7.0,6.05
06/01/2018 13:52:58.000000,4.78,7.76,6.78
06/01/2018 13:56:58.000000,3.51,6.11,4.38
06/01/2018 13:59:38.000000,3.2,5.17,4.76
06/01/2018 14:02:19.000000,3.74,5.45,4.89
06/01/2018 14:04:59.000000,2.48,4.33,3.5
06/01/2018 14:07:38.000000,3.93,6.1,4.71
06/01/2018 14:11:38.000000,2.67,4.43,3.86
06/01/2018 14:14:22.000000,2.4,3.97,3.3
06/01/2018 14:16:59.000000,2.7,5.07,3.75
06/01/2018 14:20:59.000000,2.53,4.03,3.2
06/01/2018 14:23:38.000000,2.12,3.1,2.25
06/01/2018 14:26:19.000000,1.87,3.31,2.87
06/01/2018 14:28:58.000000,1.63,4.15,2.76
06/01/2018 14:31:38.000000,1.14,2.0,1.64
06/01/2018 14:35:38.000000,1.67,2.45,1.88
06/01/2018 14:38:19.000000,1.55,3.57,2.33
06/01/2018 14:40:59.000000,1.38,2.79,2.43
06/01/2018 14:43:39.000000,2.24,3.9,3.31
06/01/2018 14:47:38.000000,1.46,2.22,1.76
06/01/2018 14:50:19.000000,4.05,5.4,4.97
06/01/2018 14:52:58.000000,1.32,2.83,2.24
06/01/2018 14:55:39.000000,0.59,1.88,1.07
06/01/2018 14:59:38.000000,1.29,2.66,1.83
06/01/2018 15:02:18.000000,0.41,0.98,0.46
06/01/2018 15:04:59.000000,1.17,2.54,2.05
06/01/2018 15:07:39.000000,2.54,11.2,4.76
06/01/2018 15:11:39.000000,1.83,3.1,2.27
06/01/2018 15:14:18.000000,0.93,1.98,1.33
06/01/2018 15:16:58.000000,0.62,2.85,0.88
06/01/2018 15:19:39.000000,0.37,1.76,0.63
06/01/2018 15:23:39.000000,0.41,1.22,0.9
06/01/2018 15:26:19.000000,0.77,1.33,0.88
06/01/2018 15:28:58.000000,0.46,1.39,0.93
06/01/2018 15:31:38.000000,0.55,1.38,0.88
06/01/2018 15:35:39.000000,0.5,0.69,0.62
06/01/2018 15:38:18.000000,0.24,0.95,0.56
06/01/2018 15:40:59.000000,0.22,1.02,0.63
06/01/2018 15:43:39.000000,1.19,2.48,1.71
06/01/2018 15:47:38.000000,0.52,0.81,0.81
06/01/2018 15:50:22.000000,0.52,0.81,0.81
06/01/2018 15:52:59.000000,0.52,0.12,0.81
06/01/2018 15:55:39.000000,0.52,0.12,0.81
06/01/2018 15:59:39.000000,0.52,0.52,0.1
06/01/2018 16:02:18.000000,0.52,0.58,0.02
06/01/2018 16:04:59.000000,0.52,0.64,0.02
06/01/2018 16:08:58.000000,0.52,0.2,0.02
06/01/2018 16:11:39.000000,0.52,0.18,0.15
06/01/2018 16:14:19.000000,0.52,0.18,0.15
06/01/2018 16:16:58.000000,0.52,0.34,0.15
06/01/2018 16:19:39.000000,0.52,0.13,0.07
06/01/2018 16:23:39.000000,0.52,0.03,0.07
06/01/2018 16:26:19.000000,0.52,0.32,0.07
06/01/2018 16:28:59.000000,0.41,0.61,1.1
06/01/2018 16:31:38.000000,1.02,3.05,2.12
06/01/2018 16:35:38.000000,1.02,0.59,2.12
06/01/2018 16:38:21.000000,0.24,1.95,0.93
06/01/2018 16:40:59.000000,0.24,0.02,0.33
06/01/2018 16:44:59.000000,0.51,5.66,2.54
06/01/2018 16:47:38.000000,0.68,0.69,1.42
06/01/2018 16:50:18.000000,0.68,0.26,0.66
06/01/2018 16:53:00.000000,0.26,1.38,0.31
06/01/2018 16:55:39.000000,0.26,2.71,0.93
06/01/2018 16:59:39.000000,0.26,1.71,0.32
06/01/2018 17:02:19.000000,0.27,1.32,0.84
06/01/2018 17:04:58.000000,0.27,0.88,0.84
06/01/2018 17:07:38.000000,0.27,0.32,0.05
06/01/2018 17:11:39.000000,0.27,1.42,0.52
06/01/2018 17:14:18.000000,0.27,1.02,0.17
06/01/2018 17:16:59.000000,0.27,0.85,0.31
06/01/2018 17:19:39.000000,0.49,4.46,1.22
06/01/2018 17:23:38.000000,0.34,3.29,1.46
06/01/2018 17:26:23.000000,0.34,1.55,0.29
06/01/2018 17:28:58.000000,0.34,1.41,0.33
06/01/2018 17:31:40.000000,0.34,0.12,0.33
06/01/2018 17:35:39.000000,0.22,1.33,1.0
06/01/2018 17:38:19.000000,1.92,0.41,0.15
06/01/2018 17:40:59.000000,1.92,0.4,0.1
06/01/2018 17:43:38.000000,0.26,2.19,0.86
06/01/2018 17:47:39.000000,0.05,1.8,0.95
06/01/2018 17:50:18.000000,0.05,0.15,0.22
06/01/2018 17:53:03.000000,0.05,0.46,0.14
06/01/2018 17:56:58.000000,0.14,3.08,0.76
06/01/2018 17:59:39.000000,0.14,1.77,0.4
06/01/2018 18:02:19.000000,0.14,1.77,0.4
06/01/2018 18:04:58.000000,0.14,0.28,0.4
06/01/2018 18:07:40.000000,0.05,1.78,0.63
06/01/2018 18:11:40.000000,0.05,0.36,0.63
06/01/2018 18:14:19.000000,0.05,0.09,0.63
06/01/2018 18:16:59.000000,0.19,1.81,1.19
06/01/2018 18:19:39.000000,0.17,2.43,1.76
06/01/2018 18:23:39.000000,0.24,2.15,0.73
06/01/2018 18:26:19.000000,1.4,2.22,1.77
06/01/2018 18:28:59.000000,0.08,1.67,0.28
06/01/2018 18:31:39.000000,0.16,2.45,0.76
06/01/2018 18:35:43.000000,0.16,0.77,0.13
06/01/2018 18:38:19.000000,2.76,21.05,7.68
06/01/2018 18:40:59.000000,0.22,1.1,0.63
06/01/2018 18:43:39.000000,0.22,1.1,0.63
06/01/2018 18:47:40.000000,0.79,1.43,1.07
06/01/2018 18:50:18.000000,0.79,0.08,1.07
06/01/2018 18:52:59.000000,0.71,1.05,1.05
06/01/2018 18:55:39.000000,0.71,1.05,1.05
06/01/2018 18:59:39.000000,0.71,0.13,1.05
06/01/2018 19:02:19.000000,0.22,4.46,1.49
06/01/2018 19:04:59.000000,0.22,0.63,0.15
06/01/2018 19:07:39.000000,0.22,0.08,0.15
06/01/2018 19:11:38.000000,0.22,0.73,0.13
06/01/2018 19:14:20.000000,0.22,0.28,0.2
06/01/2018 19:16:59.000000,0.77,0.55,1.79
06/01/2018 19:19:39.000000,0.38,1.21,0.79
06/01/2018 19:23:40.000000,0.44,1.15,0.85
06/01/2018 19:26:19.000000,0.44,0.34,0.05
06/01/2018 19:29:01.000000,1.92,7.46,4.35
06/01/2018 19:31:39.000000,0.3,2.05,1.12
06/01/2018 19:35:38.000000,0.3,0.67,0.26
06/01/2018 19:38:22.000000,1.14,6.5,2.57
06/01/2018 19:40:59.000000,1.14,0.79,0.21
06/01/2018 19:43:39.000000,1.14,0.26,0.21
06/01/2018 19:47:39.000000,1.14,0.35,0.1
06/01/2018 19:50:21.000000,1.14,2.98,0.43
06/01/2018 19:52:59.000000,0.79,3.61,0.83
06/01/2018 19:55:39.000000,6.27,12.98,9.46
06/01/2018 19:59:39.000000,23.1,46.46,32.1
06/01/2018 20:02:19.000000,4.33,6.38,5.49
06/01/2018 20:05:00.000000,3.49,5.95,4.32
06/01/2018 20:07:39.000000,12.97,0.64,0.38
06/01/2018 20:11:39.000000,1.17,5.15,2.78
06/01/2018 20:14:20.000000,1.17,0.9,0.14
06/01/2018 20:16:58.000000,1.39,3.41,2.24
06/01/2018 20:19:39.000000,1.39,0.39,2.24
06/01/2018 20:23:39.000000,1.39,0.38,0.24
06/01/2018 20:26:19.000000,1.39,0.64,0.24
06/01/2018 20:28:59.000000,1.39,0.23,0.23
06/01/2018 20:31:39.000000,1.39,0.23,0.23
06/01/2018 20:35:39.000000,1.39,0.15,0.03
06/01/2018 20:38:19.000000,0.63,0.07,1.53
06/01/2018 20:40:59.000000,0.56,0.03,0.8
06/01/2018 20:43:39.000000,0.56,0.35,0.2
06/01/2018 20:47:39.000000,0.56,0.35,0.2
06/01/2018 20:50:19.000000,0.56,0.35,0.2
06/01/2018 20:52:59.000000,0.05,0.79,0.21
06/01/2018 20:55:45.000000,0.05,1.33,0.35
06/01/2018 20:59:39.000000,0.05,0.67,0.15
06/01/2018 21:02:21.000000,0.05,0.03,0.03
06/01/2018 21:04:59.000000,0.05,0.61,0.03
06/01/2018 21:07:39.000000,0.18,1.15,0.46
06/01/2018 21:11:39.000000,0.18,0.07,0.07
06/01/2018 21:14:19.000000,0.18,0.12,0.12
06/01/2018 21:16:59.000000,0.1,0.29,0.17
06/01/2018 21:19:39.000000,0.1,0.52,0.17
06/01/2018 21:23:39.000000,0.1,0.13,0.17
06/01/2018 21:26:21.000000,0.1,0.92,0.16
06/01/2018 21:28:59.000000,0.1,0.92,0.16
06/01/2018 21:31:39.000000,0.1,0.61,0.2
06/01/2018 21:35:39.000000,0.1,1.93,0.2
06/01/2018 21:38:19.000000,0.1,0.32,0.2
06/01/2018 21:40:59.000000,0.1,0.34,0.13
06/01/2018 21:43:41.000000,0.1,0.36,0.13
06/01/2018 21:47:39.000000,0.1,0.24,0.13
06/01/2018 21:50:19.000000,0.1,0.21,0.13
06/01/2018 21:52:59.000000,0.1,0.83,0.24
06/01/2018 21:55:40.000000,0.1,0.51,0.24
06/01/2018 21:59:39.000000,0.05,0.28,0.05
06/01/2018 22:02:21.000000,0.95,0.21,1.24
06/01/2018 22:04:59.000000,0.95,0.31,1.24
06/01/2018 22:07:39.000000,0.2,0.22,0.2
06/01/2018 22:11:39.000000,0.32,0.64,0.29
06/01/2018 22:14:19.000000,0.46,0.85,0.56
06/01/2018 22:16:59.000000,0.64,0.03,1.6
06/01/2018 22:19:39.000000,0.05,0.79,0.45
06/01/2018 22:23:39.000000,0.42,3.93,1.65
06/01/2018 22:26:19.000000,0.42,0.57,0.21
06/01/2018 22:28:59.000000,1.1,1.6,1.26
06/01/2018 22:31:39.000000,0.22,1.02,0.68
06/01/2018 22:35:39.000000,0.76,5.76,2.52
06/01/2018 22:38:19.000000,0.76,1.1,0.28
06/01/2018 22:40:59.000000,0.76,1.62,0.52
06/01/2018 22:43:39.000000,0.76,1.2,0.22
06/01/2018 22:47:39.000000,0.76,0.32,0.24
06/01/2018 22:50:19.000000,0.76,1.31,0.93
06/01/2018 22:52:59.000000,0.76,1.31,0.93
06/01/2018 22:55:39.000000,0.76,0.54,0.93
06/01/2018 22:59:39.000000,1.4,2.47,1.91
06/01/2018 23:02:19.000000,1.4,0.19,0.26
06/01/2018 23:04:59.000000,1.4,0.21,0.14
06/01/2018 23:07:39.000000,1.4,0.21,0.21
06/01/2018 23:11:39.000000,1.4,0.09,0.17
06/01/2018 23:14:19.000000,1.4,0.28,0.17
06/01/2018 23:16:59.000000,1.4,0.37,0.17
06/01/2018 23:19:39.000000,1.4,0.37,0.17
06/01/2018 23:23:39.000000,1.4,0.37,0.17
06/01/2018 23:24:59.000000,1.4,0.37,0.17
06/17/2018 15:47:28.000000,9.5,18.0,16.5
06/17/2018 15:50:08.000000,12.73,17.56,16.83
06/17/2018 15:52:49.000000,12.8,17.02,16.66
06/17/2018 15:56:48.000000,13.0,17.95,16.88
06/17/2018 15:59:28.000000,12.12,16.78,15.98
06/17/2018 16:02:08.000000,12.46,16.12,15.39
06/17/2018 16:04:48.000000,11.8,15.88,14.8
06/17/2018 16:08:48.000000,12.63,17.61,16.29
06/17/2018 16:11:28.000000,12.43,17.07,16.48
06/17/2018 16:14:10.000000,12.93,17.9,16.78
06/17/2018 16:16:48.000000,12.05,17.24,16.41
06/17/2018 16:20:48.000000,11.17,15.34,14.02
06/17/2018 16:23:28.000000,10.21,14.23,13.81
06/17/2018 16:26:10.000000,9.55,13.6,12.95
06/17/2018 16:28:48.000000,11.83,14.93,14.66
06/17/2018 16:32:48.000000,12.24,15.83,15.83
06/17/2018 16:35:28.000000,13.51,18.12,17.91
06/17/2018 16:36:48.000000,11.74,15.62,15.36
06/18/2018 12:44:10.000000,1.0,6.66,3.24
06/18/2018 12:46:49.000000,1.55,5.45,3.52
06/18/2018 12:50:52.000000,1.69,6.24,3.64
06/18/2018 12:53:29.000000,1.29,5.4,3.86
06/18/2018 12:56:10.000000,1.39,5.8,3.39
06/18/2018 12:58:50.000000,1.54,6.59,4.02
06/18/2018 13:02:49.000000,1.51,4.54,3.17
06/18/2018 13:05:30.000000,1.31,5.1,3.33
06/18/2018 13:08:09.000000,1.62,5.38,4.02
06/18/2018 13:10:50.000000,2.24,6.36,3.93
06/18/2018 13:14:50.000000,2.07,4.63,4.17
06/18/2018 13:17:30.000000,2.12,6.12,4.56
06/18/2018 13:20:10.000000,3.64,7.51,7.18
06/18/2018 13:22:51.000000,2.26,6.88,5.26
06/18/2018 13:26:50.000000,1.34,3.8,3.22
06/18/2018 13:29:29.000000,1.26,4.69,3.69
06/18/2018 13:32:10.000000,0.83,2.79,1.95
06/18/2018 13:34:50.000000,1.17,3.93,2.9
06/18/2018 13:38:50.000000,1.86,6.07,4.05
06/18/2018 13:41:30.000000,1.21,3.38,3.17
06/18/2018 13:44:10.000000,0.95,3.29,3.0
06/18/2018 13:46:50.000000,1.0,3.9,3.07
06/18/2018 13:50:50.000000,2.25,5.55,4.7
06/18/2018 13:53:29.000000,0.71,3.1,2.34
06/18/2018 13:56:10.000000,1.55,4.19,3.14
06/18/2018 13:58:50.000000,1.95,4.98,4.63
06/18/2018 14:02:50.000000,1.36,4.5,3.76
06/18/2018 14:05:30.000000,1.63,4.27,3.49
06/18/2018 14:08:09.000000,1.24,3.24,3.0
06/18/2018 14:10:49.000000,1.74,4.88,3.57
06/18/2018 14:14:50.000000,1.34,3.88,3.1
06/18/2018 14:17:30.000000,2.2,5.07,4.2
06/18/2018 14:20:10.000000,2.07,4.41,3.66
06/18/2018 14:22:50.000000,1.85,4.24,3.2
06/18/2018 14:26:50.000000,1.98,4.98,4.29
06/18/2018 14:29:30.000000,1.55,4.57,3.69
06/18/2018 14:32:13.000000,1.97,3.77,3.28
06/18/2018 14:34:49.000000,2.74,4.9,4.19
06/18/2018 14:41:30.000000,2.28,3.56,3.47
06/18/2018 14:44:10.000000,2.71,5.63,4.54
06/18/2018 14:46:50.000000,2.15,3.49,3.49
06/18/2018 14:50:50.000000,2.6,4.88,4.02
06/18/2018 14:53:29.000000,2.61,5.12,4.59
06/18/2018 14:56:10.000000,1.2,4.17,3.27
06/18/2018 14:58:50.000000,1.15,3.1,2.24
06/18/2018 15:02:50.000000,1.39,2.22,1.98
06/18/2018 15:05:30.000000,1.62,3.33,2.79
06/18/2018 15:08:11.000000,1.49,2.98,2.54
06/18/2018 15:10:49.000000,2.1,4.95,3.86
06/18/2018 15:14:50.000000,1.9,3.12,2.67
06/18/2018 15:17:29.000000,1.59,3.02,2.73
06/18/2018 15:21:29.000000,2.39,3.87,3.63
06/18/2018 15:22:50.000000,2.32,4.61,3.68
06/18/2018 15:26:50.000000,2.5,4.14,3.52
06/18/2018 15:29:30.000000,3.12,4.38,4.19
06/18/2018 15:32:10.000000,2.81,5.1,4.43
06/18/2018 15:34:49.000000,2.56,4.46,3.73
