InstrumentName, Wash Park West B,,
StartTime, 2019-04-01 00:00:00,,
EndTime, 2019-04-30 23:59:59,,
Date,PM2.5,humidity,temp_f
04/01/2019 00:03:27.185000,5.54,26.0,56.0
04/01/2019 00:07:27.139000,5.06,26.0,56.0
04/01/2019 00:11:27.173000,4.72,26.0,56.0
04/01/2019 00:15:27.155000,4.15,27.0,56.0
04/01/2019 00:19:27.177000,3.93,27.0,55.0
04/01/2019 00:23:27.125000,5.43,28.0,55.0
04/01/2019 00:27:27.136000,6.83,28.0,55.0
04/01/2019 00:31:40.819000,3.35,29.0,54.0
04/01/2019 00:35:41.325000,3.55,29.0,54.0
04/01/2019 00:39:41.067000,5.66,30.0,54.0
04/01/2019 00:43:40.894000,3.64,30.0,54.0
04/01/2019 00:47:40.917000,3.66,30.0,54.0
04/01/2019 00:51:40.974000,3.33,30.0,53.0
04/01/2019 00:55:40.809000,2.98,31.0,53.0
04/01/2019 00:59:41.289000,3.42,31.0,53.0
04/01/2019 01:03:41.369000,3.51,31.0,53.0
04/01/2019 01:07:41.470000,2.58,32.0,52.0
04/01/2019 01:11:41.077000,3.0,32.0,52.0
04/01/2019 01:15:40.863000,3.34,32.0,52.0
04/01/2019 01:19:41.423000,2.96,32.0,52.0
04/01/2019 01:23:42.087000,3.38,32.0,52.0
04/01/2019 01:27:41.003000,3.61,33.0,52.0
04/01/2019 01:31:41.354000,3.45,33.0,52.0
04/01/2019 01:34:20.996000,4.23,32.0,52.0
04/01/2019 01:39:40.971000,4.63,32.0,51.0
04/01/2019 01:43:41.042000,5.0,32.0,52.0
04/01/2019 01:47:41.002000,5.11,32.0,51.0
04/01/2019 01:51:41.048000,4.5,32.0,51.0
04/01/2019 01:55:44.048000,5.18,33.0,51.0
04/01/2019 01:59:40.948000,4.67,33.0,51.0
04/01/2019 02:03:40.998000,4.66,33.0,50.0
04/01/2019 02:05:01.109000,4.61,34.0,50.0
04/01/2019 02:07:40.958000,4.91,34.0,50.0
04/01/2019 02:09:01.261000,5.58,34.0,50.0
04/01/2019 02:11:41.158000,5.79,34.0,50.0
04/01/2019 02:13:00.967000,5.65,34.0,50.0
04/01/2019 02:15:41.157000,5.71,35.0,50.0
04/01/2019 02:17:01.098000,5.61,35.0,50.0
04/01/2019 02:19:41.072000,5.69,35.0,49.0
04/01/2019 02:21:00.960000,5.72,35.0,49.0
04/01/2019 02:23:40.943000,6.27,35.0,49.0
04/01/2019 02:25:00.984000,5.35,35.0,49.0
04/01/2019 02:27:41.085000,5.72,36.0,49.0
04/01/2019 02:29:02.046000,5.63,36.0,49.0
04/01/2019 02:31:41.119000,5.16,36.0,49.0
04/01/2019 02:33:01.098000,5.68,36.0,49.0
04/01/2019 02:35:40.968000,5.07,36.0,49.0
04/01/2019 02:37:01.790000,5.89,36.0,49.0
04/01/2019 02:39:41.026000,6.3,36.0,49.0
04/01/2019 02:41:00.997000,5.78,36.0,49.0
04/01/2019 02:43:41.175000,6.17,36.0,49.0
04/01/2019 02:45:01.262000,5.84,36.0,49.0
04/01/2019 02:47:40.995000,5.09,37.0,49.0
04/01/2019 02:49:00.977000,5.87,37.0,49.0
04/01/2019 02:51:41.031000,6.47,37.0,49.0
04/01/2019 02:53:01.131000,6.63,37.0,49.0
04/01/2019 02:55:41.093000,6.15,37.0,49.0
04/01/2019 02:57:01.516000,5.85,37.0,49.0
04/01/2019 02:59:40.984000,5.65,37.0,49.0
04/01/2019 03:01:01.141000,5.17,37.0,48.0
04/01/2019 03:03:41.143000,6.33,37.0,48.0
04/01/2019 03:05:01.592000,5.51,37.0,48.0
04/01/2019 03:07:41.167000,5.64,37.0,48.0
