InstrumentName, Adams County Building
StartTime, 2019-04-01 00:00:00
EndTime, 2019-04-30 23:59:59
Date,PM2.5
04/01/2019 00:00:00.000000,5.2
04/01/2019 01:00:00.000000,4.6
04/01/2019 02:00:00.000000,4.0
04/01/2019 03:00:00.000000,4.3
04/01/2019 04:00:00.000000,4.9
04/01/2019 05:00:00.000000,5.7
04/01/2019 06:00:00.000000,6.8
04/01/2019 07:00:00.000000,7.0
04/01/2019 08:00:00.000000,7.0
04/01/2019 09:00:00.000000,7.8
04/01/2019 10:00:00.000000,7.6
04/01/2019 11:00:00.000000,7.7
04/01/2019 12:00:00.000000,8.9
04/01/2019 13:00:00.000000,11.0
04/01/2019 14:00:00.000000,12.6
04/01/2019 15:00:00.000000,15.3
04/01/2019 16:00:00.000000,12.5
04/01/2019 17:00:00.000000,9.3
04/01/2019 18:00:00.000000,8.7
04/01/2019 19:00:00.000000,10.0
04/01/2019 20:00:00.000000,9.2
04/01/2019 21:00:00.000000,6.7
04/01/2019 22:00:00.000000,5.2
04/01/2019 23:00:00.000000,5.2
04/02/2019 00:00:00.000000,5.7
04/02/2019 01:00:00.000000,4.8
04/02/2019 02:00:00.000000,3.6
04/02/2019 03:00:00.000000,3.2
04/02/2019 04:00:00.000000,2.8
04/02/2019 05:00:00.000000,2.6
04/02/2019 06:00:00.000000,2.9
04/02/2019 07:00:00.000000,3.0
04/02/2019 08:00:00.000000,3.0
04/02/2019 09:00:00.000000,3.2
04/02/2019 10:00:00.000000,3.6
04/02/2019 11:00:00.000000,4.2
04/02/2019 12:00:00.000000,5.9
04/02/2019 13:00:00.000000,8.3
04/02/2019 14:00:00.000000,9.5
04/02/2019 15:00:00.000000,9.3
04/02/2019 17:00:00.000000,10.1
04/02/2019 18:00:00.000000,10.9
04/02/2019 19:00:00.000000,15.2
04/02/2019 20:00:00.000000,15.9
04/02/2019 21:00:00.000000,16.4
04/02/2019 22:00:00.000000,16.1
04/02/2019 23:00:00.000000,14.7
04/03/2019 00:00:00.000000,14.7
04/03/2019 01:00:00.000000,14.7
04/03/2019 02:00:00.000000,14.9
04/03/2019 03:00:00.000000,13.6
04/03/2019 04:00:00.000000,12.9
04/03/2019 05:00:00.000000,12.8
04/03/2019 06:00:00.000000,13.2
04/03/2019 07:00:00.000000,13.4
04/03/2019 08:00:00.000000,13.4
04/03/2019 09:00:00.000000,16.0
04/03/2019 10:00:00.000000,19.6
04/03/2019 11:00:00.000000,23.1
04/03/2019 12:00:00.000000,30.3
04/03/2019 13:00:00.000000,36.5
04/03/2019 14:00:00.000000,35.3
04/03/2019 15:00:00.000000,29.8
04/03/2019 16:00:00.000000,24.8
04/03/2019 17:00:00.000000,21.6
04/03/2019 18:00:00.000000,20.2
04/03/2019 19:00:00.000000,19.2
04/03/2019 20:00:00.000000,15.7
04/03/2019 21:00:00.000000,13.5
04/03/2019 22:00:00.000000,10.8
04/03/2019 23:00:00.000000,11.7
04/04/2019 00:00:00.000000,8.3
04/04/2019 01:00:00.000000,6.7
04/04/2019 02:00:00.000000,10.0
04/04/2019 03:00:00.000000,20.0
04/04/2019 04:00:00.000000,28.5
04/04/2019 05:00:00.000000,31.9
04/04/2019 06:00:00.000000,35.0
04/04/2019 07:00:00.000000,37.4
04/04/2019 08:00:00.000000,37.4
04/04/2019 09:00:00.000000,38.5
04/04/2019 10:00:00.000000,26.1
04/04/2019 11:00:00.000000,19.9
04/04/2019 12:00:00.000000,21.7
04/04/2019 13:00:00.000000,19.4
04/04/2019 14:00:00.000000,18.7
04/04/2019 15:00:00.000000,15.3
04/04/2019 16:00:00.000000,10.1
04/04/2019 17:00:00.000000,6.0
