InstrumentName, Northfield HS New (A9C1WMD6),,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTime, 2022-08-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndTime, 2022-08-31 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,no2Conc,no2Conc__value,no2Conc__weight,pm10ConcMass,pm10ConcMass__value,pm10ConcMass__weight,pm10ConcNum,pm10ConcNum__value,pm10ConcNum__weight,pm1ConcMass,pm1ConcMass__value,pm1ConcMass__weight,pm1ConcNum,pm1ConcNum__value,pm1ConcNum__weight,pm2_5ConcMass,pm2_5ConcMass__calibratedValue,pm2_5ConcMass__value,pm2_5ConcMass__weight,pm2_5ConcMass_p,pm2_5ConcNum,pm2_5ConcNum__value,pm2_5ConcNum__weight,relHumid,relHumid__value,relHumid__weight,temperature,temperature__value,temperature__weight
08/01/2022 00:03:00.000000,14.7,14.7,1.0,8.5,8.5,1.0,10.47,10.47,1.0,4.0,4.0,1.0,9.94,9.94,1.0,8.31,8.44,8.44,1.0,32.373,10.38,10.38,1.0,30.81,30.81,1.0,29.04,29.04,1.0
08/01/2022 00:20:10.000000,6.66,6.66,1.0,8.19,8.19,1.0,11.36,11.36,1.0,4.42,4.42,1.0,10.84,10.84,1.0,8.0,9.04,9.04,1.0,31.901,11.27,11.27,1.0,28.58,28.58,1.0,29.89,29.89,1.0
08/01/2022 00:37:19.000000,4.91,4.91,1.0,5.15,5.15,1.0,6.87,6.87,1.0,2.04,2.04,1.0,6.6,6.6,1.0,4.58,6.03,6.03,1.0,21.266,6.79,6.79,1.0,29.43,29.43,1.0,29.69,29.69,1.0
08/01/2022 00:54:28.000000,11.31,11.31,1.0,5.19,5.19,1.0,6.59,6.59,1.0,1.81,1.81,1.0,6.23,6.23,1.0,4.58,5.83,5.83,1.0,21.231,6.52,6.52,1.0,29.77,29.77,1.0,29.65,29.65,1.0
08/01/2022 01:11:38.000000,15.33,15.33,1.0,4.19,4.19,1.0,6.0,6.0,1.0,1.42,1.42,1.0,5.71,5.71,1.0,4.12,5.41,5.41,1.0,19.604,5.92,5.92,1.0,31.07,31.07,1.0,29.31,29.31,1.0
08/01/2022 01:28:47.000000,16.72,16.72,1.0,3.38,3.38,1.0,5.28,5.28,1.0,0.85,0.85,1.0,5.02,5.02,1.0,3.38,4.95,4.95,1.0,16.964,5.21,5.21,1.0,32.39,32.39,1.0,28.61,28.61,1.0
08/01/2022 01:45:56.000000,12.47,12.47,1.0,5.92,5.92,1.0,6.9,6.9,1.0,1.81,1.81,1.0,6.59,6.59,1.0,5.15,6.08,6.08,1.0,22.172,6.81,6.81,1.0,32.31,32.31,1.0,28.06,28.06,1.0
08/01/2022 02:03:41.000000,25.14,25.14,1.0,7.54,7.54,1.0,9.32,9.32,1.0,3.58,3.58,1.0,8.96,8.96,1.0,6.5,7.62,7.62,1.0,25.951,9.25,9.25,1.0,35.92,35.92,1.0,27.65,27.65,1.0
08/01/2022 02:20:55.000000,18.76,18.76,1.0,6.15,6.15,1.0,7.66,7.66,1.0,2.19,2.19,1.0,7.24,7.24,1.0,5.54,6.63,6.63,1.0,22.589,7.59,7.59,1.0,35.1,35.1,1.0,26.57,26.57,1.0
08/01/2022 02:38:04.000000,28.96,28.96,1.0,8.05,8.05,1.0,9.68,9.68,1.0,3.75,3.75,1.0,9.2,9.2,1.0,7.27,7.93,7.93,1.0,27.658,9.61,9.61,1.0,37.44,37.44,1.0,26.29,26.29,1.0
08/01/2022 02:55:14.000000,23.9,23.9,1.0,8.65,8.65,1.0,10.33,10.33,1.0,4.04,4.04,1.0,9.83,9.83,1.0,7.38,8.37,8.37,1.0,27.893,10.24,10.24,1.0,37.55,37.55,1.0,26.06,26.06,1.0
08/01/2022 03:12:23.000000,23.79,23.79,1.0,9.0,9.0,1.0,10.47,10.47,1.0,4.42,4.42,1.0,9.88,9.88,1.0,7.96,8.45,8.45,1.0,29.503,10.39,10.39,1.0,38.69,38.69,1.0,25.8,25.8,1.0
08/01/2022 03:29:33.000000,26.8,26.8,1.0,9.19,9.19,1.0,11.64,11.64,1.0,4.42,4.42,1.0,11.11,11.11,1.0,8.19,9.22,9.22,1.0,30.006,11.55,11.55,1.0,39.71,39.71,1.0,25.45,25.45,1.0
08/01/2022 03:46:42.000000,36.26,36.26,1.0,10.15,10.15,1.0,11.89,11.89,1.0,5.19,5.19,1.0,11.37,11.37,1.0,8.31,9.36,9.36,1.0,30.078,11.81,11.81,1.0,41.61,41.61,1.0,24.99,24.99,1.0
08/01/2022 04:04:09.000000,24.15,24.15,1.0,8.96,8.96,1.0,10.4,10.4,1.0,4.0,4.0,1.0,9.86,9.86,1.0,7.96,8.32,8.32,1.0,28.908,10.3,10.3,1.0,42.58,42.58,1.0,24.89,24.89,1.0
