InstrumentName, Canary-CDPHE-3,,,,,,,,,,,,,,
StartTime, 2022-08-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2022-08-31 23:59:59,,,,,,,,,,,,,,
Date,*Lat,*Lon,F1,F3,F4,Hmdty,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Uncertainty
08/01/2022 00:00:04.877000,40.589722,-105.051811,0.0,0.0,0.0,44.37,1.68,0.95,0.93,0.65,1.68,0.95,-93.0,77.34,2544.0
08/01/2022 00:01:05.619000,40.589722,-105.051811,0.0,0.0,0.0,44.33,1.28,0.82,0.73,0.72,1.28,0.82,-93.0,77.34,2544.0
08/01/2022 00:02:03.059000,40.589722,-105.051811,0.0,0.0,0.0,44.46,1.73,0.93,1.0,0.87,1.73,0.93,-93.0,77.2,2544.0
08/01/2022 00:03:04.240000,40.589722,-105.051811,0.0,0.0,0.0,44.46,1.6,1.25,0.77,0.4,1.32,1.25,-93.0,77.27,2544.0
08/01/2022 00:04:03.638000,40.589722,-105.051811,0.0,0.0,0.0,44.68,1.32,1.32,0.82,0.8,0.95,1.32,-93.0,77.09,2544.0
08/01/2022 00:05:04.303000,40.589722,-105.051811,0.0,0.0,0.0,44.8,1.43,0.73,0.72,0.18,1.3,0.47,-93.0,77.09,2544.0
08/01/2022 00:06:04.092000,40.589722,-105.051811,0.0,0.0,0.0,44.88,0.92,0.42,0.87,0.2,0.92,0.42,-93.0,77.04,2544.0
08/01/2022 00:07:03.899000,40.589722,-105.051811,0.0,0.0,0.0,44.92,2.15,1.43,1.5,0.73,2.15,1.43,-93.0,77.02,2544.0
08/01/2022 00:08:04.159000,40.589722,-105.051811,0.0,0.0,0.0,44.95,1.43,1.13,0.98,0.85,1.43,1.13,-93.0,77.02,2544.0
08/01/2022 00:09:03.442000,40.589722,-105.051811,0.0,0.0,0.0,44.96,2.18,0.68,1.18,0.3,2.18,0.68,-93.0,77.02,2544.0
08/01/2022 00:10:05.620000,40.589722,-105.051811,0.0,0.0,0.0,45.0,1.83,0.72,0.88,0.35,1.83,0.72,-93.0,77.02,2544.0
08/01/2022 00:11:04.883000,40.589722,-105.051811,0.0,0.0,0.0,45.0,1.85,1.0,1.5,0.6,1.85,1.0,-93.0,77.02,2544.0
08/01/2022 00:12:04.721000,40.589722,-105.051811,0.0,0.0,0.0,45.02,1.15,2.08,0.95,0.97,1.15,1.65,-93.0,77.04,2544.0
08/01/2022 00:13:06.517000,40.589722,-105.051811,0.0,0.0,0.0,45.03,1.38,0.95,0.55,0.7,1.38,0.95,-93.0,77.02,2544.0
08/01/2022 00:14:03.158000,40.589722,-105.051811,0.0,0.0,0.0,45.03,1.35,1.5,0.7,0.8,1.35,1.5,-91.0,76.96,2544.0
