InstrumentName, Welby,,,
StartTime, 2022-08-01 00:00:00,,,
EndTime, 2022-08-31 23:59:59,,,
Date,NO2,O3,PM10,SO2
08/01/2022 00:00:00.000000,,51.0,35.6,
08/01/2022 01:00:00.000000,,54.0,27.3,
08/01/2022 02:00:00.000000,,49.0,20.2,
08/01/2022 03:00:00.000000,,44.0,36.8,
08/01/2022 04:00:00.000000,,41.0,26.3,
08/01/2022 05:00:00.000000,,36.0,6.5,
08/01/2022 09:00:00.000000,,27.0,17.9,
08/01/2022 10:00:00.000000,,19.0,17.8,
08/01/2022 11:00:00.000000,,6.0,59.3,
08/01/2022 12:00:00.000000,,1.0,61.6,
08/01/2022 13:00:00.000000,,3.0,126.0,
08/01/2022 14:00:00.000000,,,55.3,
08/01/2022 15:00:00.000000,,28.0,63.2,
08/01/2022 16:00:00.000000,,37.0,35.3,
08/01/2022 17:00:00.000000,,51.0,16.5,
08/01/2022 18:00:00.000000,,58.0,47.4,
08/01/2022 19:00:00.000000,,62.0,17.6,
08/01/2022 20:00:00.000000,,60.0,9.7,
08/01/2022 21:00:00.000000,,63.0,14.3,
08/01/2022 22:00:00.000000,,62.0,69.3,
08/01/2022 23:00:00.000000,,55.0,64.2,
08/02/2022 00:00:00.000000,,55.0,35.4,
08/02/2022 01:00:00.000000,,54.0,59.7,
08/02/2022 02:00:00.000000,,51.0,18.5,
08/02/2022 03:00:00.000000,,49.0,25.2,
08/02/2022 04:00:00.000000,,42.0,48.2,
08/02/2022 05:00:00.000000,,45.0,18.7,
08/02/2022 06:00:00.000000,,37.0,15.6,
08/02/2022 09:00:00.000000,,33.0,41.1,
08/02/2022 10:00:00.000000,,13.0,47.5,
08/02/2022 11:00:00.000000,,11.0,56.0,
08/02/2022 12:00:00.000000,,3.0,98.9,
08/02/2022 13:00:00.000000,,12.0,79.2,
08/02/2022 14:00:00.000000,,33.0,13.7,
08/02/2022 15:00:00.000000,,40.0,45.7,
