InstrumentName, Welby
StartTime, 2021-02-01 00:00:00
EndTime, 2021-02-28 00:00:00
Date,NO2,O3,PM10,SO2
02/01/2021 00:00:00,13.0,28.0,15.4,0.0
02/01/2021 01:00:00,20.0,19.0,15.9,0.0
02/01/2021 02:00:00,32.0,5.0,43.2,0.0
02/01/2021 03:00:00,33.0,1.0,43.9,0.0
02/01/2021 04:00:00,,1.0,56.9,1.0
02/01/2021 05:00:00,38.0,1.0,59.8,1.0
02/01/2021 06:00:00,34.0,1.0,43.6,1.0
02/01/2021 07:00:00,37.0,1.0,44.6,1.0
02/01/2021 08:00:00,36.0,1.0,34.1,1.0
02/01/2021 09:00:00,36.0,,16.8,0.0
02/01/2021 10:00:00,36.0,,21.2,0.0
02/01/2021 11:00:00,35.0,,26.0,0.0
02/01/2021 12:00:00,36.0,1.0,35.4,1.0
02/01/2021 13:00:00,40.0,,60.8,2.0
02/01/2021 14:00:00,44.0,,85.6,2.0
02/01/2021 15:00:00,49.0,,120.6,3.0
02/01/2021 16:00:00,53.0,3.0,121.3,
02/01/2021 17:00:00,46.0,7.0,90.0,1.0
02/01/2021 18:00:00,34.0,,63.2,0.0
02/01/2021 19:00:00,23.0,,30.4,1.0
02/01/2021 20:00:00,23.0,,34.5,1.0
02/01/2021 21:00:00,,,47.0,1.0
02/01/2021 22:00:00,35.0,,81.7,0.0
02/01/2021 23:00:00,34.0,,39.1,0.0
02/02/2021 00:00:00,37.0,,65.7,0.0
02/02/2021 01:00:00,39.0,,75.1,0.0
02/02/2021 02:00:00,37.0,,98.0,1.0
02/02/2021 03:00:00,38.0,,70.1,1.0
02/02/2021 04:00:00,,,69.2,2.0
02/02/2021 05:00:00,37.0,,70.1,2.0
02/02/2021 06:00:00,39.0,,66.4,2.0
02/02/2021 07:00:00,35.0,,67.4,1.0
02/02/2021 08:00:00,36.0,,49.7,1.0
02/02/2021 09:00:00,34.0,,41.7,1.0
02/02/2021 10:00:00,35.0,,30.3,1.0
02/02/2021 11:00:00,34.0,,25.4,1.0
02/02/2021 12:00:00,33.0,,33.5,1.0
02/02/2021 13:00:00,33.0,,47.8,1.0
02/02/2021 14:00:00,41.0,,82.9,2.0
02/02/2021 15:00:00,45.0,2.0,97.5,2.0
02/02/2021 16:00:00,39.0,6.0,83.3,2.0
02/02/2021 17:00:00,28.0,16.0,59.6,1.0
02/02/2021 18:00:00,23.0,22.0,46.8,1.0
02/02/2021 19:00:00,17.0,27.0,43.8,1.0
02/02/2021 20:00:00,12.0,31.0,29.5,0.0
02/02/2021 21:00:00,10.0,32.0,23.4,0.0
02/02/2021 22:00:00,4.0,33.0,14.9,0.0
02/02/2021 23:00:00,9.0,28.0,20.5,0.0
02/03/2021 00:00:00,30.0,9.0,41.9,0.0
02/03/2021 01:00:00,35.0,2.0,65.7,0.0
02/03/2021 02:00:00,33.0,3.0,45.2,0.0
02/03/2021 03:00:00,35.0,1.0,55.9,1.0
02/03/2021 04:00:00,,1.0,63.3,1.0
02/03/2021 05:00:00,33.0,1.0,45.1,1.0
02/03/2021 06:00:00,33.0,1.0,34.4,1.0
02/03/2021 07:00:00,32.0,0.0,27.3,0.0
02/03/2021 08:00:00,30.0,1.0,29.4,0.0
02/03/2021 09:00:00,33.0,1.0,23.8,1.0
02/03/2021 10:00:00,32.0,1.0,12.3,1.0
02/03/2021 11:00:00,29.0,2.0,12.8,0.0
02/03/2021 12:00:00,29.0,1.0,31.7,1.0
02/03/2021 13:00:00,32.0,1.0,53.0,2.0
02/03/2021 14:00:00,38.0,1.0,84.6,2.0
02/03/2021 15:00:00,42.0,3.0,110.6,3.0
02/03/2021 16:00:00,34.0,7.0,69.4,2.0
02/03/2021 17:00:00,24.0,,59.2,2.0
02/03/2021 18:00:00,16.0,,32.2,1.0
02/03/2021 19:00:00,7.0,29.0,17.6,0.0
02/03/2021 20:00:00,3.0,33.0,94.1,0.0
02/03/2021 21:00:00,2.0,33.0,104.5,0.0
02/03/2021 22:00:00,4.0,33.0,,0.0
02/03/2021 23:00:00,4.0,34.0,10.4,0.0
02/04/2021 00:00:00,3.0,36.0,8.6,0.0
02/04/2021 01:00:00,4.0,35.0,22.5,0.0
02/04/2021 02:00:00,5.0,32.0,5.0,0.0
02/04/2021 03:00:00,4.0,38.0,7.8,0.0
02/04/2021 04:00:00,,44.0,22.8,0.0
02/04/2021 05:00:00,2.0,46.0,6.8,0.0
02/04/2021 06:00:00,2.0,43.0,51.3,0.0
02/04/2021 07:00:00,1.0,35.0,11.5,0.0
02/04/2021 08:00:00,1.0,35.0,4.4,0.0
02/04/2021 09:00:00,3.0,33.0,2.7,0.0
02/04/2021 10:00:00,4.0,31.0,5.9,0.0
02/04/2021 11:00:00,10.0,22.0,9.3,0.0
02/04/2021 12:00:00,27.0,5.0,14.7,0.0
02/04/2021 13:00:00,38.0,1.0,28.1,0.0
02/04/2021 14:00:00,36.0,5.0,27.3,0.0
02/04/2021 15:00:00,16.0,32.0,18.5,0.0
02/04/2021 16:00:00,2.0,43.0,2.2,0.0
02/04/2021 17:00:00,6.0,43.0,12.5,0.0
02/04/2021 18:00:00,4.0,42.0,42.8,0.0
02/04/2021 19:00:00,1.0,43.0,35.7,0.0
02/04/2021 20:00:00,1.0,44.0,63.4,0.0
02/04/2021 21:00:00,2.0,44.0,15.5,0.0
02/04/2021 22:00:00,2.0,44.0,22.0,0.0
02/04/2021 23:00:00,2.0,44.0,12.6,0.0
02/05/2021 00:00:00,3.0,43.0,18.5,0.0
02/05/2021 01:00:00,3.0,45.0,13.1,0.0
02/05/2021 02:00:00,2.0,46.0,6.2,0.0
02/05/2021 03:00:00,2.0,46.0,6.6,0.0
02/05/2021 04:00:00,,47.0,3.7,0.0
02/05/2021 05:00:00,1.0,47.0,7.1,0.0
02/05/2021 06:00:00,1.0,47.0,8.0,0.0
02/05/2021 07:00:00,1.0,46.0,5.2,0.0
02/05/2021 08:00:00,1.0,46.0,7.6,0.0
02/05/2021 09:00:00,1.0,45.0,22.1,0.0
02/05/2021 10:00:00,1.0,44.0,10.7,0.0
02/05/2021 11:00:00,2.0,41.0,8.1,0.0
02/05/2021 12:00:00,6.0,35.0,7.8,0.0
02/05/2021 13:00:00,17.0,25.0,26.9,0.0
02/05/2021 14:00:00,10.0,33.0,52.4,0.0
02/05/2021 15:00:00,5.0,39.0,13.3,0.0
02/05/2021 16:00:00,4.0,40.0,11.6,0.0
02/05/2021 17:00:00,11.0,34.0,20.1,1.0
02/05/2021 18:00:00,9.0,36.0,15.1,0.0
02/05/2021 19:00:00,8.0,37.0,14.2,0.0
02/05/2021 20:00:00,9.0,37.0,15.6,0.0
02/05/2021 21:00:00,9.0,37.0,21.4,0.0
02/05/2021 22:00:00,2.0,44.0,13.2,0.0
02/05/2021 23:00:00,2.0,43.0,18.1,0.0
02/06/2021 00:00:00,7.0,39.0,39.1,0.0
02/06/2021 01:00:00,8.0,35.0,15.9,0.0
02/06/2021 02:00:00,27.0,15.0,24.6,0.0
02/06/2021 03:00:00,33.0,15.0,20.9,0.0
02/06/2021 04:00:00,,33.0,18.1,0.0
02/06/2021 05:00:00,6.0,34.0,7.0,0.0
02/06/2021 06:00:00,7.0,30.0,3.4,0.0
02/06/2021 07:00:00,6.0,33.0,9.7,0.0
02/06/2021 08:00:00,16.0,20.0,7.9,0.0
02/06/2021 09:00:00,19.0,20.0,9.3,0.0
02/06/2021 10:00:00,14.0,24.0,6.7,0.0
02/06/2021 11:00:00,13.0,26.0,5.8,0.0
02/06/2021 12:00:00,16.0,22.0,9.0,0.0
02/06/2021 13:00:00,25.0,12.0,15.0,0.0
02/06/2021 14:00:00,38.0,4.0,28.1,0.0
02/06/2021 15:00:00,19.0,24.0,15.9,0.0
02/06/2021 16:00:00,4.0,36.0,9.1,0.0
02/06/2021 17:00:00,4.0,36.0,9.1,0.0
02/06/2021 18:00:00,2.0,39.0,14.5,0.0
02/06/2021 19:00:00,1.0,44.0,71.4,0.0
02/06/2021 20:00:00,1.0,43.0,35.4,0.0
02/06/2021 21:00:00,2.0,43.0,9.2,0.0
02/06/2021 22:00:00,1.0,45.0,16.5,0.0
02/06/2021 23:00:00,1.0,45.0,22.0,0.0
02/07/2021 00:00:00,4.0,42.0,15.8,0.0
02/07/2021 01:00:00,11.0,32.0,24.5,0.0
02/07/2021 02:00:00,15.0,26.0,23.8,0.0
02/07/2021 03:00:00,10.0,27.0,20.6,0.0
02/07/2021 04:00:00,,17.0,30.8,0.0
02/07/2021 05:00:00,15.0,11.0,21.8,0.0
02/07/2021 06:00:00,19.0,9.0,23.4,0.0
02/07/2021 07:00:00,29.0,1.0,21.1,0.0
02/07/2021 08:00:00,34.0,1.0,26.9,0.0
02/07/2021 09:00:00,34.0,5.0,18.2,0.0
02/07/2021 10:00:00,6.0,37.0,20.7,0.0
02/07/2021 11:00:00,3.0,40.0,7.1,0.0
02/07/2021 12:00:00,8.0,37.0,11.3,0.0
02/07/2021 13:00:00,2.0,42.0,10.1,0.0
02/07/2021 14:00:00,11.0,34.0,11.9,0.0
02/07/2021 15:00:00,3.0,44.0,8.9,0.0
02/07/2021 16:00:00,6.0,42.0,13.9,0.0
02/07/2021 17:00:00,3.0,47.0,46.4,0.0
02/07/2021 18:00:00,1.0,49.0,,0.0
02/07/2021 19:00:00,1.0,48.0,,0.0
02/07/2021 20:00:00,1.0,48.0,,0.0
02/07/2021 21:00:00,1.0,49.0,123.1,0.0
