"","X.2","X.1","X","date","age_days.x","age_weeks.x","val.humidity","val.temperature","val.pm25_r","val.pm25_p.y","flag"
"1",1,1,1,2018-07-12 09:00:00,0,0,35.1,86.3,8.01,8.2,0
"2",2,2,2,2018-07-13 06:00:00,1,0,53.4,69.2,6.44,7,0
"3",3,3,3,2018-07-14 20:00:00,2,0,34.6,83.7,3.41,5.6,0
"4",4,4,4,2018-07-14 21:00:00,2,0,39.2,81.4,3.88,5.7,0
"5",5,5,5,2018-07-14 22:00:00,2,0,39.1,80.1,3.87,5.7,0
"6",6,6,6,2018-07-14 23:00:00,2,0,37.6,78.7,3.39,5.7,0
"7",7,7,7,2018-07-15 00:00:00,3,0,34.9,79.6,3.34,5.5,0
"8",8,8,8,2018-07-15 01:00:00,3,0,36.6,78.8,3.94,5.55,0
"9",9,9,9,2018-07-15 02:00:00,3,0,38.7,77.3,4.36,5.6,0
"10",10,10,10,2018-07-15 03:00:00,3,0,42.7,74.9,4.56,5.8,0
"11",11,11,11,2018-07-15 04:00:00,3,0,45.7,73.4,5.3,6.1,0
"12",12,12,12,2018-07-15 05:00:00,3,0,49.9,72.7,4.77,6.7,0
"13",13,13,13,2018-07-15 06:00:00,3,0,49.1,74.2,4.81,6.9,0
"14",14,14,14,2018-07-15 07:00:00,3,0,50.6,75.6,6.31,7.5,0
"15",15,15,15,2018-07-15 08:00:00,3,0,53.3,74.5,7.03,7.7,0
"16",16,16,16,2018-07-15 09:00:00,3,0,52.7,76,7.54,7.7,0
"17",17,17,17,2018-07-15 10:00:00,3,0,55.3,75.3,10.1,8.1,0
"18",18,18,18,2018-07-15 11:00:00,3,0,60.5,73,13,8.8,0
"19",19,19,19,2018-07-15 12:00:00,3,0,65.3,71.6,15.2,9.2,0
"20",20,20,20,2018-07-15 13:00:00,3,0,66.2,71.6,17.6,9.8,0
"21",21,21,21,2018-07-15 14:00:00,3,0,76.1,70.7,20.1,10.2,0
"22",22,22,22,2018-07-15 15:00:00,3,0,73.7,71.7,17.9,10,0
"23",23,23,23,2018-07-15 16:00:00,3,0,75.4,70.2,11.9,9.4,0
"24",24,24,24,2018-07-15 17:00:00,3,0,84.8,67,7.29,8.1,0
"25",25,25,25,2018-07-15 18:00:00,3,0,88.7,65.7,5.64,5.9,0
"26",26,26,26,2018-07-15 19:00:00,3,0,89.2,65.6,7.62,5.2,0
"27",27,27,27,2018-07-15 20:00:00,3,0,91,64.8,8.57,4.9,0
"28",28,28,28,2018-07-15 21:00:00,3,0,90.9,64.2,9.14,5.2,0
