InstrumentName, Woods Park B,,
StartTime, 2019-06-01 00:00:00,,
EndTime, 2019-06-30 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
06/01/2019 00:00:07.000000,5.22,7.45,7.13
06/01/2019 00:02:11.000000,5.51,7.94,7.6
06/01/2019 00:04:06.000000,5.63,8.96,7.87
06/01/2019 00:06:07.000000,4.99,8.22,7.75
06/01/2019 00:10:06.000000,5.27,7.94,7.57
06/01/2019 00:14:18.000000,5.72,8.61,7.88
06/01/2019 00:16:14.000000,5.48,8.08,7.52
06/01/2019 00:18:18.000000,5.49,8.31,7.25
06/01/2019 00:20:14.000000,5.41,8.18,7.9
06/01/2019 00:22:11.000000,5.0,8.06,7.19
06/01/2019 00:24:20.000000,5.01,7.77,6.93
06/01/2019 00:26:09.000000,4.91,7.09,6.84
06/01/2019 00:28:10.000000,5.12,7.54,6.99
06/01/2019 00:30:06.000000,5.32,7.76,7.16
06/01/2019 00:32:18.000000,5.3,7.81,6.97
06/01/2019 00:34:08.000000,5.83,8.49,7.86
06/01/2019 00:36:08.000000,5.78,8.94,8.04
06/01/2019 00:38:09.000000,5.74,8.09,7.61
06/01/2019 00:40:07.000000,5.03,7.85,7.35
06/01/2019 00:42:22.000000,5.32,7.89,7.3
06/01/2019 00:44:08.000000,5.38,7.32,6.84
06/01/2019 00:46:09.000000,5.23,8.68,7.65
06/01/2019 00:48:08.000000,5.19,7.93,7.49
06/01/2019 00:52:14.000000,5.11,8.41,7.09
06/01/2019 00:54:10.000000,5.4,8.66,7.7
06/01/2019 00:56:13.000000,4.9,7.23,6.65
06/01/2019 00:58:16.000000,4.75,7.54,7.07
06/01/2019 01:00:11.000000,5.03,7.63,7.15
06/01/2019 01:02:06.000000,5.15,7.54,7.19
06/01/2019 01:04:16.000000,5.56,8.26,7.21
06/01/2019 01:06:06.000000,5.15,7.63,7.0
06/01/2019 01:08:06.000000,5.07,7.71,6.99
06/01/2019 01:10:07.000000,5.27,8.66,7.76
06/01/2019 01:16:43.000000,5.19,8.75,7.55
06/01/2019 01:18:44.000000,5.0,8.99,7.3
06/01/2019 01:20:46.000000,5.61,8.26,7.44
06/01/2019 01:22:44.000000,5.51,7.9,7.19
06/01/2019 01:24:44.000000,4.84,7.03,6.68
06/01/2019 01:26:44.000000,5.32,7.79,7.34
