InstrumentName, I25 Denver
StartTime, 2021-06-01 00:00:00
EndTime, 2021-06-30 00:00:00
Date,81102,Carbon monoxide,Nitrogen dioxide,Outdoor Temperature,PM2.5 - Local Conditions,PM2.5 Total Atmospheric,Relative Humidity,Wind Direction,Wind Speed
06/05/2021 01:16:00,7.496715,0.115587,4.213607,82.478058,1.375,,11.100006,86.238383,6.293793
06/05/2021 01:17:00,24.049541,0.115546,4.075144,82.399231,2.308333,,11.322937,77.039373,5.786133
06/05/2021 01:18:00,3.089732,0.113268,4.017379,82.389893,1.025,,11.157837,60.506078,7.714996
06/05/2021 01:19:00,10.939726,0.113536,3.945608,82.407196,2.825,,11.29776,47.998101,3.906403
06/05/2021 01:20:00,18.223205,0.120947,4.122145,82.537109,1.808333,,11.437225,34.042219,4.036865
06/05/2021 01:21:00,10.412105,0.168996,4.842913,82.604401,1.15,,11.362915,33.483409,4.876709
06/05/2021 01:22:00,7.516087,0.26127,5.418227,82.532166,1.283333,,11.360779,55.88192,4.903717
06/05/2021 01:23:00,19.25513,0.213646,5.54018,82.414886,2.033333,,11.509247,77.253623,4.294434
06/05/2021 01:24:00,20.950882,0.137124,5.641013,82.526672,1.458333,,11.626434,77.095088,3.87558
06/05/2021 01:25:00,11.645827,0.131185,5.753819,82.515137,2.5,,11.63147,61.327437,5.939178
06/05/2021 01:26:00,19.412936,0.131307,5.76675,82.206421,2.508333,,11.728363,56.829543,6.607819
06/05/2021 01:27:00,15.408474,0.124039,5.41788,82.065796,2.408333,,11.934052,53.066066,6.889648
06/05/2021 01:28:00,2.73735,0.12689,4.626006,81.960602,1.391667,,12.006378,54.196846,7.58606
06/05/2021 01:29:00,3.859373,0.130022,4.216019,81.829315,1.666667,,12.139587,62.000308,5.626831
06/05/2021 01:30:00,9.276037,0.127261,4.055808,81.90979,1.7,,12.196045,67.210547,5.305786
06/05/2021 01:31:00,26.029004,0.130924,3.873065,81.957031,3.258333,,12.226715,75.348017,3.995819
06/05/2021 01:32:00,3.1436,0.131483,3.704514,82.048218,1.016667,,12.327118,73.122207,3.18985
06/05/2021 01:33:00,10.823655,0.131501,3.651172,82.132813,1.808333,,12.292023,84.602327,4.774628
06/05/2021 01:34:00,3.104909,0.13579,3.661992,82.157806,1.258333,,12.419586,64.090542,2.509155
06/05/2021 01:35:00,7.322169,0.135501,3.72898,82.240753,1.2,,12.315063,70.043152,3.097076
06/05/2021 01:36:00,13.947909,0.1301,3.846595,82.262451,2.208333,,12.386169,57.218878,3.03421
06/05/2021 01:37:00,27.38317,0.127857,4.531134,82.309418,3.125,,12.472382,71.448542,2.713623
06/05/2021 01:38:00,3.230653,0.129666,5.74501,82.330841,1.0,,12.495117,86.370891,3.435669
