InstrumentName, NREL
StartTime, 2021-06-01 00:00:00
EndTime, 2021-06-30 00:00:00
Date,O3
06/05/2021 02:00:00,57.0
06/05/2021 04:00:00,54.0
06/05/2021 05:00:00,57.0
06/05/2021 06:00:00,59.0
06/05/2021 07:00:00,60.0
06/05/2021 08:00:00,59.0
06/05/2021 09:00:00,55.0
06/05/2021 10:00:00,52.0
06/05/2021 11:00:00,49.0
06/05/2021 12:00:00,48.0
06/05/2021 13:00:00,47.0
06/05/2021 14:00:00,43.0
06/05/2021 15:00:00,47.0
06/05/2021 16:00:00,58.0
06/05/2021 17:00:00,68.0
06/05/2021 18:00:00,80.0
06/05/2021 19:00:00,68.0
06/05/2021 20:00:00,64.0
06/05/2021 21:00:00,69.0
06/05/2021 22:00:00,70.0
06/05/2021 23:00:00,51.0
06/06/2021 00:00:00,51.0
06/06/2021 01:00:00,51.0
06/06/2021 02:00:00,54.0
06/06/2021 03:00:00,56.0
06/06/2021 04:00:00,56.0
06/06/2021 05:00:00,54.0
06/06/2021 08:00:00,52.0
06/06/2021 09:00:00,53.0
06/06/2021 10:00:00,51.0
06/06/2021 11:00:00,50.0
06/06/2021 12:00:00,51.0
06/06/2021 13:00:00,49.0
06/06/2021 14:00:00,48.0
06/06/2021 15:00:00,46.0
06/06/2021 16:00:00,50.0
06/06/2021 17:00:00,53.0
06/06/2021 18:00:00,49.0
06/06/2021 19:00:00,51.0
06/06/2021 20:00:00,53.0
06/06/2021 21:00:00,54.0
06/06/2021 22:00:00,53.0
06/06/2021 23:00:00,50.0
06/07/2021 00:00:00,48.0
06/07/2021 01:00:00,45.0
06/07/2021 02:00:00,44.0
06/07/2021 03:00:00,50.0
06/07/2021 04:00:00,49.0
06/07/2021 05:00:00,46.0
06/07/2021 06:00:00,39.0
06/07/2021 07:00:00,35.0
06/07/2021 08:00:00,35.0
06/07/2021 09:00:00,37.0
06/07/2021 10:00:00,39.0
06/07/2021 11:00:00,44.0
06/07/2021 12:00:00,44.0
06/07/2021 13:00:00,36.0
06/07/2021 15:00:00,31.0
06/07/2021 16:00:00,44.0
06/07/2021 17:00:00,57.0
06/07/2021 18:00:00,56.0
06/07/2021 19:00:00,59.0
06/07/2021 20:00:00,62.0
06/07/2021 21:00:00,63.0
06/07/2021 22:00:00,61.0
06/07/2021 23:00:00,59.0
06/08/2021 00:00:00,55.0
06/08/2021 01:00:00,52.0
06/08/2021 02:00:00,53.0
06/08/2021 03:00:00,50.0
06/08/2021 04:00:00,40.0
06/08/2021 05:00:00,40.0
06/08/2021 06:00:00,41.0
06/08/2021 07:00:00,43.0
06/08/2021 08:00:00,42.0
06/08/2021 09:00:00,42.0
06/08/2021 10:00:00,42.0
06/08/2021 11:00:00,40.0
06/08/2021 12:00:00,41.0
06/08/2021 13:00:00,40.0
06/08/2021 14:00:00,43.0
06/08/2021 15:00:00,38.0
06/08/2021 16:00:00,53.0
06/08/2021 17:00:00,64.0
06/08/2021 18:00:00,73.0
06/08/2021 19:00:00,83.0
06/08/2021 20:00:00,92.0
06/08/2021 21:00:00,93.0
06/08/2021 22:00:00,91.0
06/08/2021 23:00:00,84.0
06/09/2021 00:00:00,76.0
06/09/2021 01:00:00,61.0
06/09/2021 02:00:00,58.0
06/09/2021 03:00:00,60.0
06/09/2021 04:00:00,64.0
06/09/2021 05:00:00,63.0
06/09/2021 06:00:00,61.0
06/09/2021 07:00:00,55.0
06/09/2021 08:00:00,60.0
06/09/2021 09:00:00,61.0
06/09/2021 10:00:00,60.0
06/09/2021 11:00:00,55.0
06/09/2021 12:00:00,50.0
06/09/2021 13:00:00,48.0
06/09/2021 14:00:00,48.0
06/09/2021 15:00:00,53.0
06/09/2021 16:00:00,63.0
06/09/2021 17:00:00,63.0
06/09/2021 18:00:00,66.0
06/09/2021 19:00:00,69.0
06/09/2021 20:00:00,71.0
06/09/2021 21:00:00,69.0
06/09/2021 22:00:00,69.0
06/09/2021 23:00:00,69.0
06/10/2021 00:00:00,69.0
06/10/2021 01:00:00,65.0
06/10/2021 02:00:00,57.0
06/10/2021 03:00:00,53.0
06/10/2021 04:00:00,52.0
06/10/2021 05:00:00,53.0
06/10/2021 06:00:00,53.0
06/10/2021 07:00:00,54.0
06/10/2021 08:00:00,53.0
06/10/2021 09:00:00,51.0
06/10/2021 10:00:00,54.0
06/10/2021 11:00:00,49.0
06/10/2021 12:00:00,40.0
06/10/2021 13:00:00,41.0
06/10/2021 14:00:00,45.0
06/10/2021 15:00:00,51.0
06/10/2021 16:00:00,60.0
06/10/2021 17:00:00,70.0
06/10/2021 18:00:00,87.0
06/10/2021 19:00:00,101.0
06/10/2021 20:00:00,99.0
06/10/2021 21:00:00,88.0
06/10/2021 22:00:00,90.0
06/10/2021 23:00:00,91.0
06/11/2021 00:00:00,85.0
06/11/2021 01:00:00,74.0
06/11/2021 02:00:00,54.0
06/11/2021 03:00:00,41.0
06/11/2021 04:00:00,42.0
06/11/2021 05:00:00,42.0
06/11/2021 06:00:00,41.0
06/11/2021 07:00:00,40.0
06/11/2021 08:00:00,43.0
06/11/2021 09:00:00,43.0
06/11/2021 10:00:00,32.0
06/11/2021 11:00:00,25.0
06/11/2021 12:00:00,34.0
06/11/2021 13:00:00,39.0
06/11/2021 14:00:00,48.0
06/11/2021 15:00:00,53.0
06/11/2021 16:00:00,54.0
