InstrumentName, Welby
StartTime, 2021-06-01 00:00:00
EndTime, 2021-06-30 00:00:00
Date,NO2,O3,PM10,SO2
06/05/2021 05:00:00,23.0,25.0,8.5,0.0
06/05/2021 06:00:00,21.0,26.0,53.2,0.0
06/05/2021 07:00:00,20.0,21.0,33.1,0.0
06/05/2021 08:00:00,31.0,7.0,44.6,0.0
06/05/2021 09:00:00,30.0,9.0,29.7,0.0
06/05/2021 10:00:00,25.0,10.0,50.9,0.0
06/05/2021 11:00:00,28.0,7.0,47.3,0.0
06/05/2021 12:00:00,28.0,10.0,76.2,0.0
06/05/2021 13:00:00,39.0,10.0,78.2,1.0
06/05/2021 14:00:00,29.0,26.0,104.9,1.0
06/05/2021 15:00:00,11.0,52.0,,0.0
06/05/2021 16:00:00,9.0,63.0,93.5,0.0
06/05/2021 17:00:00,5.0,69.0,59.7,0.0
06/05/2021 18:00:00,7.0,77.0,74.3,0.0
06/05/2021 19:00:00,4.0,75.0,77.1,0.0
06/05/2021 20:00:00,3.0,73.0,,0.0
06/05/2021 21:00:00,3.0,71.0,101.4,0.0
06/05/2021 22:00:00,3.0,72.0,73.3,0.0
06/05/2021 23:00:00,4.0,59.0,50.7,0.0
06/06/2021 00:00:00,4.0,46.0,15.5,0.0
06/06/2021 01:00:00,5.0,43.0,70.7,0.0
06/06/2021 02:00:00,6.0,40.0,128.4,0.0
06/06/2021 03:00:00,3.0,53.0,144.2,0.0
06/06/2021 04:00:00,,51.0,,0.0
06/06/2021 05:00:00,6.0,47.0,9.7,0.0
06/06/2021 08:00:00,14.0,28.0,43.6,1.0
06/06/2021 09:00:00,13.0,31.0,24.9,1.0
06/06/2021 10:00:00,23.0,15.0,30.1,0.0
06/06/2021 11:00:00,21.0,16.0,40.0,0.0
06/06/2021 12:00:00,17.0,21.0,30.4,0.0
06/06/2021 13:00:00,17.0,22.0,38.3,0.0
06/06/2021 14:00:00,15.0,22.0,64.8,1.0
06/06/2021 15:00:00,11.0,30.0,30.1,3.0
06/06/2021 16:00:00,13.0,30.0,99.6,2.0
06/06/2021 17:00:00,13.0,39.0,59.8,1.0
06/06/2021 18:00:00,7.0,53.0,,1.0
06/06/2021 19:00:00,2.0,54.0,,0.0
06/06/2021 20:00:00,2.0,54.0,,0.0
06/06/2021 21:00:00,3.0,52.0,,0.0
06/06/2021 22:00:00,2.0,53.0,36.3,0.0
06/06/2021 23:00:00,2.0,51.0,99.6,0.0
06/07/2021 00:00:00,3.0,49.0,54.7,0.0
06/07/2021 01:00:00,5.0,47.0,15.2,0.0
06/07/2021 02:00:00,5.0,44.0,54.5,0.0
06/07/2021 03:00:00,5.0,41.0,27.8,0.0
06/07/2021 04:00:00,,43.0,21.2,0.0
06/07/2021 05:00:00,6.0,35.0,18.4,0.0
06/07/2021 06:00:00,10.0,26.0,24.8,0.0
06/07/2021 07:00:00,17.0,15.0,28.3,0.0
06/07/2021 08:00:00,18.0,14.0,15.8,0.0
06/07/2021 09:00:00,22.0,10.0,15.9,0.0
06/07/2021 10:00:00,17.0,16.0,11.9,1.0
06/07/2021 11:00:00,14.0,16.0,35.0,0.0
06/07/2021 12:00:00,22.0,11.0,40.8,0.0
06/07/2021 13:00:00,21.0,13.0,104.1,0.0
06/07/2021 14:00:00,23.0,,58.6,
06/07/2021 15:00:00,16.0,28.0,120.6,1.0
06/07/2021 16:00:00,9.0,39.0,50.4,0.0
06/07/2021 17:00:00,15.0,47.0,94.7,1.0
06/07/2021 18:00:00,12.0,56.0,66.0,0.0
06/07/2021 19:00:00,7.0,63.0,,0.0
06/07/2021 20:00:00,,63.0,,0.0
06/07/2021 21:00:00,3.0,62.0,,0.0
06/07/2021 22:00:00,6.0,53.0,,0.0
06/07/2021 23:00:00,8.0,51.0,87.8,0.0
06/08/2021 00:00:00,4.0,54.0,124.2,0.0
06/08/2021 01:00:00,6.0,49.0,58.7,0.0
06/08/2021 02:00:00,9.0,43.0,21.6,0.0
06/08/2021 03:00:00,6.0,43.0,26.6,0.0
06/08/2021 04:00:00,,36.0,69.5,0.0
06/08/2021 05:00:00,8.0,34.0,57.8,0.0
06/08/2021 06:00:00,12.0,23.0,36.7,0.0
06/08/2021 07:00:00,29.0,7.0,34.8,0.0
06/08/2021 08:00:00,28.0,7.0,40.1,0.0
06/08/2021 09:00:00,28.0,6.0,26.4,0.0
06/08/2021 10:00:00,28.0,3.0,31.3,0.0
06/08/2021 11:00:00,26.0,6.0,44.1,0.0
06/08/2021 12:00:00,27.0,5.0,76.6,0.0
06/08/2021 13:00:00,28.0,10.0,85.2,1.0
