InstrumentName, Chatfield Park
StartTime, 2021-06-01 00:00:00
EndTime, 2021-06-30 00:00:00
Date,O3,PM2.5
06/11/2021 21:00:00,57.0,6.1
06/11/2021 22:00:00,57.0,6.6
06/11/2021 23:00:00,57.0,7.7
06/12/2021 00:00:00,57.0,8.4
06/12/2021 01:00:00,55.0,7.8
06/12/2021 02:00:00,48.0,12.5
06/12/2021 03:00:00,45.0,7.5
06/12/2021 04:00:00,41.0,8.1
06/12/2021 05:00:00,41.0,8.8
06/12/2021 06:00:00,37.0,8.2
06/12/2021 07:00:00,35.0,8.8
06/12/2021 08:00:00,35.0,9.0
06/12/2021 09:00:00,31.0,9.0
06/12/2021 10:00:00,31.0,8.6
06/12/2021 11:00:00,31.0,8.4
06/12/2021 12:00:00,28.0,8.4
06/12/2021 13:00:00,31.0,8.4
06/12/2021 14:00:00,41.0,8.6
06/12/2021 15:00:00,49.0,8.5
06/12/2021 16:00:00,54.0,8.6
06/12/2021 17:00:00,57.0,8.6
06/12/2021 18:00:00,65.0,9.1
06/12/2021 19:00:00,78.0,9.7
06/12/2021 20:00:00,90.0,10.6
06/12/2021 21:00:00,89.0,10.1
06/12/2021 22:00:00,85.0,10.0
06/12/2021 23:00:00,67.0,8.2
06/13/2021 00:00:00,58.0,7.1
06/13/2021 01:00:00,49.0,7.5
06/13/2021 02:00:00,52.0,9.0
06/13/2021 03:00:00,46.0,8.6
06/13/2021 04:00:00,42.0,7.9
06/13/2021 05:00:00,43.0,10.2
06/13/2021 06:00:00,39.0,10.9
06/13/2021 08:00:00,36.0,10.3
06/13/2021 09:00:00,37.0,11.0
06/13/2021 10:00:00,31.0,10.8
06/13/2021 11:00:00,26.0,11.2
06/13/2021 12:00:00,31.0,10.4
06/13/2021 13:00:00,34.0,12.7
06/13/2021 14:00:00,42.0,12.2
06/13/2021 15:00:00,47.0,10.8
06/13/2021 16:00:00,52.0,11.8
06/13/2021 17:00:00,60.0,12.1
06/13/2021 18:00:00,70.0,12.8
06/13/2021 19:00:00,71.0,13.4
06/13/2021 20:00:00,67.0,12.7
06/13/2021 21:00:00,55.0,11.4
06/13/2021 22:00:00,55.0,11.2
06/13/2021 23:00:00,51.0,10.8
06/14/2021 00:00:00,50.0,10.8
06/14/2021 01:00:00,52.0,11.0
06/14/2021 02:00:00,47.0,9.6
06/14/2021 03:00:00,49.0,9.4
06/14/2021 04:00:00,51.0,7.3
06/14/2021 05:00:00,53.0,6.6
06/14/2021 06:00:00,55.0,5.6
06/14/2021 08:00:00,53.0,5.9
06/14/2021 09:00:00,43.0,6.2
06/14/2021 10:00:00,38.0,7.4
06/14/2021 11:00:00,35.0,7.5
06/14/2021 12:00:00,30.0,8.0
06/14/2021 13:00:00,30.0,9.3
06/14/2021 14:00:00,,9.6
06/14/2021 15:00:00,44.0,9.7
06/14/2021 16:00:00,53.0,9.9
06/14/2021 17:00:00,64.0,10.6
06/14/2021 18:00:00,78.0,11.4
06/14/2021 19:00:00,89.0,11.9
06/14/2021 20:00:00,78.0,11.4
06/14/2021 21:00:00,60.0,11.0
06/14/2021 22:00:00,63.0,12.0
06/14/2021 23:00:00,63.0,12.4
06/15/2021 00:00:00,56.0,11.0
06/15/2021 01:00:00,56.0,9.4
06/15/2021 02:00:00,48.0,9.8
06/15/2021 03:00:00,40.0,10.0
06/15/2021 04:00:00,40.0,10.2
06/15/2021 05:00:00,44.0,9.1
06/15/2021 06:00:00,45.0,8.8
06/15/2021 07:00:00,44.0,9.3
06/15/2021 08:00:00,36.0,9.3
06/15/2021 09:00:00,33.0,9.5
06/15/2021 10:00:00,31.0,9.1
06/15/2021 11:00:00,30.0,11.0
06/15/2021 12:00:00,25.0,12.3
06/15/2021 13:00:00,26.0,11.4
06/15/2021 14:00:00,33.0,9.9
06/15/2021 15:00:00,44.0,9.3
06/15/2021 16:00:00,50.0,9.1
06/15/2021 17:00:00,67.0,9.1
06/15/2021 18:00:00,81.0,10.6
06/15/2021 19:00:00,88.0,11.4
06/15/2021 20:00:00,78.0,10.3
06/15/2021 21:00:00,65.0,8.1
06/15/2021 22:00:00,67.0,8.7
06/15/2021 23:00:00,60.0,11.6
06/16/2021 00:00:00,52.0,11.0
06/16/2021 01:00:00,50.0,10.9
06/16/2021 02:00:00,44.0,12.3
06/16/2021 03:00:00,43.0,11.4
06/16/2021 04:00:00,47.0,10.8
06/16/2021 05:00:00,43.0,12.1
06/16/2021 06:00:00,44.0,11.1
06/16/2021 07:00:00,41.0,11.6
06/16/2021 08:00:00,38.0,11.6
06/16/2021 09:00:00,37.0,11.9
06/16/2021 10:00:00,34.0,12.1
06/16/2021 11:00:00,33.0,12.8
06/16/2021 12:00:00,32.0,14.3
06/16/2021 13:00:00,32.0,14.8
06/16/2021 14:00:00,37.0,15.4
06/16/2021 15:00:00,42.0,16.7
06/16/2021 16:00:00,52.0,18.6
06/16/2021 17:00:00,65.0,19.4
06/16/2021 18:00:00,70.0,19.2
06/16/2021 19:00:00,66.0,18.7
06/16/2021 20:00:00,61.0,18.3
06/16/2021 21:00:00,62.0,18.3
06/16/2021 22:00:00,63.0,18.2
06/16/2021 23:00:00,60.0,18.8
06/17/2021 00:00:00,49.0,16.4
06/17/2021 01:00:00,47.0,16.5
06/17/2021 02:00:00,42.0,20.9
06/17/2021 03:00:00,44.0,16.6
06/17/2021 04:00:00,46.0,22.7
06/17/2021 05:00:00,47.0,16.4
06/17/2021 06:00:00,51.0,15.9
06/17/2021 07:00:00,51.0,16.5
06/17/2021 08:00:00,50.0,17.5
06/17/2021 09:00:00,52.0,16.7
06/17/2021 10:00:00,50.0,16.8
06/17/2021 11:00:00,50.0,16.7
06/17/2021 12:00:00,45.0,16.6
06/17/2021 13:00:00,40.0,16.5
06/17/2021 14:00:00,47.0,15.9
06/17/2021 15:00:00,49.0,16.2
06/17/2021 16:00:00,53.0,15.9
06/17/2021 17:00:00,62.0,15.2
06/17/2021 18:00:00,65.0,15.6
06/17/2021 19:00:00,69.0,15.7
06/17/2021 20:00:00,71.0,16.4
06/17/2021 21:00:00,65.0,15.9
06/17/2021 22:00:00,55.0,14.7
06/17/2021 23:00:00,62.0,15.8
06/18/2021 00:00:00,59.0,13.1
06/18/2021 01:00:00,58.0,12.4
06/18/2021 02:00:00,56.0,12.3
06/18/2021 03:00:00,56.0,11.7
06/18/2021 04:00:00,55.0,12.1
06/18/2021 05:00:00,52.0,12.5
06/18/2021 06:00:00,43.0,13.2
06/18/2021 07:00:00,43.0,12.4
06/18/2021 08:00:00,37.0,13.1
06/18/2021 09:00:00,38.0,13.2
06/18/2021 10:00:00,41.0,12.7
06/18/2021 11:00:00,37.0,12.9
06/18/2021 12:00:00,33.0,13.5
06/18/2021 13:00:00,36.0,12.7
06/18/2021 14:00:00,38.0,12.8
06/18/2021 15:00:00,40.0,13.0
06/18/2021 16:00:00,52.0,13.1
06/18/2021 17:00:00,62.0,9.6
06/18/2021 18:00:00,73.0,9.0
06/18/2021 19:00:00,84.0,10.8
06/18/2021 20:00:00,89.0,11.2
06/18/2021 21:00:00,82.0,11.0
06/18/2021 22:00:00,70.0,11.5
06/18/2021 23:00:00,58.0,8.7
06/19/2021 00:00:00,58.0,9.0
06/19/2021 01:00:00,54.0,11.6
06/19/2021 02:00:00,54.0,13.3
06/19/2021 03:00:00,53.0,9.9
06/19/2021 04:00:00,52.0,10.5
06/19/2021 05:00:00,60.0,11.4
06/19/2021 06:00:00,52.0,10.5
