InstrumentName, I-25 Denver
StartTime, 2021-06-01 00:00:00
EndTime, 2021-06-30 00:00:00
Date,CO,NO2,PM2.5
06/05/2021 05:00:00,0.753,33.0,7.1
06/05/2021 06:00:00,0.428,24.0,7.2
06/05/2021 07:00:00,0.349,22.0,5.7
06/05/2021 08:00:00,0.4,21.0,6.0
06/05/2021 09:00:00,0.357,19.0,7.7
06/05/2021 10:00:00,0.442,27.0,8.2
06/05/2021 12:00:00,0.609,33.0,9.8
06/05/2021 13:00:00,0.388,23.0,8.0
06/05/2021 14:00:00,0.282,16.0,7.0
06/05/2021 15:00:00,0.384,18.0,5.7
06/05/2021 16:00:00,0.422,22.0,5.1
06/05/2021 17:00:00,0.359,21.0,6.3
06/05/2021 18:00:00,0.291,13.0,5.1
06/05/2021 19:00:00,0.329,13.0,3.4
06/05/2021 20:00:00,0.282,12.0,2.9
06/05/2021 21:00:00,0.226,7.0,3.3
06/05/2021 22:00:00,0.431,14.0,3.9
06/05/2021 23:00:00,0.574,19.0,4.1
06/06/2021 00:00:00,0.622,18.0,3.1
06/06/2021 01:00:00,0.472,15.0,3.2
06/06/2021 02:00:00,0.431,13.0,5.0
06/06/2021 03:00:00,0.302,7.0,5.3
06/06/2021 04:00:00,0.268,,2.8
06/06/2021 05:00:00,0.341,8.0,1.8
06/06/2021 08:00:00,0.276,14.0,3.2
06/06/2021 09:00:00,0.196,16.0,3.7
06/06/2021 10:00:00,0.181,10.0,2.9
06/06/2021 11:00:00,0.194,13.0,3.3
06/06/2021 12:00:00,0.219,10.0,2.8
06/06/2021 13:00:00,0.256,12.0,3.6
06/06/2021 14:00:00,0.26,10.0,3.7
06/06/2021 15:00:00,0.302,10.0,3.6
06/06/2021 16:00:00,0.443,15.0,3.8
06/06/2021 17:00:00,0.344,11.0,3.4
06/06/2021 18:00:00,0.443,13.0,3.3
06/06/2021 19:00:00,0.235,6.0,2.0
06/06/2021 20:00:00,0.15,2.0,2.9
06/06/2021 21:00:00,0.167,3.0,2.6
06/06/2021 22:00:00,0.293,8.0,2.7
06/06/2021 23:00:00,0.33,9.0,3.1
06/07/2021 00:00:00,0.389,11.0,4.9
06/07/2021 01:00:00,0.334,16.0,2.9
06/07/2021 02:00:00,0.154,4.0,2.6
06/07/2021 03:00:00,0.155,4.0,2.6
06/07/2021 04:00:00,0.312,7.0,2.8
06/07/2021 05:00:00,0.61,21.0,5.6
06/07/2021 06:00:00,0.527,22.0,5.9
06/07/2021 07:00:00,0.449,18.0,4.4
06/07/2021 08:00:00,0.296,15.0,4.2
06/07/2021 09:00:00,0.211,14.0,3.5
06/07/2021 10:00:00,0.22,17.0,4.1
06/07/2021 11:00:00,0.385,23.0,4.5
06/07/2021 12:00:00,0.7,28.0,6.5
06/07/2021 13:00:00,,23.0,5.5
06/07/2021 14:00:00,0.357,20.0,5.3
06/07/2021 15:00:00,0.4,25.0,6.1
06/07/2021 16:00:00,0.641,37.0,8.9
06/07/2021 17:00:00,0.524,31.0,10.0
06/07/2021 18:00:00,0.451,33.0,7.3
06/07/2021 19:00:00,0.236,15.0,3.9
06/07/2021 20:00:00,0.143,,3.1
06/07/2021 21:00:00,0.36,20.0,4.6
06/07/2021 22:00:00,0.387,22.0,3.9
06/07/2021 23:00:00,0.503,26.0,4.3
06/08/2021 00:00:00,0.169,6.0,2.7
06/08/2021 01:00:00,0.219,8.0,2.8
06/08/2021 02:00:00,0.356,18.0,4.3
06/08/2021 03:00:00,0.327,20.0,3.6
06/08/2021 04:00:00,0.215,,4.2
06/08/2021 05:00:00,0.295,17.0,6.0
06/08/2021 06:00:00,0.356,22.0,8.2
06/08/2021 07:00:00,0.348,27.0,7.7
06/08/2021 08:00:00,0.273,28.0,6.7
06/08/2021 09:00:00,0.257,22.0,7.3
06/08/2021 10:00:00,0.214,23.0,6.5
06/08/2021 11:00:00,0.36,31.0,7.5
06/08/2021 12:00:00,0.429,25.0,9.0
06/08/2021 13:00:00,0.402,27.0,10.4
06/08/2021 14:00:00,0.56,27.0,9.4
06/08/2021 15:00:00,0.446,23.0,7.4
06/08/2021 16:00:00,0.433,28.0,8.1
06/08/2021 17:00:00,0.412,22.0,7.9
06/08/2021 18:00:00,0.451,27.0,7.3
06/08/2021 19:00:00,0.564,36.0,8.7
06/08/2021 20:00:00,0.394,26.0,6.8
06/08/2021 21:00:00,0.193,5.0,6.3
06/08/2021 22:00:00,0.199,7.0,7.4
06/08/2021 23:00:00,0.272,10.0,6.1
06/09/2021 00:00:00,0.698,30.0,7.2
06/09/2021 01:00:00,0.57,25.0,7.9
06/09/2021 02:00:00,0.667,31.0,8.2
06/09/2021 03:00:00,0.675,30.0,11.8
06/09/2021 04:00:00,1.041,47.0,17.1
06/09/2021 05:00:00,0.57,27.0,11.6
06/09/2021 06:00:00,0.304,26.0,13.9
06/09/2021 07:00:00,0.266,17.0,11.1
06/09/2021 08:00:00,0.242,14.0,10.8
06/09/2021 09:00:00,0.192,12.0,11.5
06/09/2021 10:00:00,0.316,30.0,13.5
06/09/2021 11:00:00,0.45,33.0,13.1
06/09/2021 12:00:00,0.507,37.0,11.7
06/09/2021 13:00:00,0.611,38.0,11.3
06/09/2021 14:00:00,0.31,19.0,7.7
06/09/2021 15:00:00,0.411,23.0,9.3
06/09/2021 16:00:00,0.322,22.0,9.5
06/09/2021 17:00:00,0.221,11.0,6.4
06/09/2021 18:00:00,0.178,5.0,3.7
06/09/2021 19:00:00,0.206,10.0,3.9
06/09/2021 20:00:00,0.169,6.0,3.6
06/09/2021 21:00:00,0.189,8.0,4.4
06/09/2021 22:00:00,0.182,5.0,3.8
06/09/2021 23:00:00,0.19,5.0,4.0
06/10/2021 00:00:00,0.212,7.0,3.4
06/10/2021 01:00:00,0.182,4.0,3.5
06/10/2021 02:00:00,0.193,6.0,4.2
06/10/2021 03:00:00,0.209,8.0,5.9
06/10/2021 04:00:00,0.317,,7.2
06/10/2021 05:00:00,0.366,17.0,6.8
06/10/2021 06:00:00,0.262,13.0,9.1
06/10/2021 07:00:00,0.259,15.0,8.3
06/10/2021 08:00:00,0.354,14.0,9.3
06/10/2021 09:00:00,0.2,9.0,9.4
06/10/2021 10:00:00,0.238,12.0,9.4
06/10/2021 11:00:00,0.522,29.0,11.6
06/10/2021 12:00:00,0.674,36.0,13.1
06/10/2021 13:00:00,0.657,33.0,
06/10/2021 14:00:00,0.545,30.0,11.3
06/10/2021 15:00:00,0.496,29.0,10.1
06/10/2021 16:00:00,0.59,35.0,9.1
06/10/2021 17:00:00,0.561,40.0,11.5
06/10/2021 18:00:00,0.43,29.0,12.0
06/10/2021 19:00:00,0.33,22.0,7.3
06/10/2021 20:00:00,0.318,19.0,4.4
06/10/2021 21:00:00,0.602,35.0,8.9
06/10/2021 22:00:00,0.635,36.0,11.2
06/10/2021 23:00:00,0.728,37.0,9.4
06/11/2021 00:00:00,0.543,25.0,3.8
06/11/2021 01:00:00,0.661,29.0,9.9
06/11/2021 02:00:00,0.757,32.0,11.6
06/11/2021 03:00:00,0.735,33.0,10.3
06/11/2021 04:00:00,0.525,31.0,6.7
06/11/2021 05:00:00,0.654,31.0,5.2
06/11/2021 06:00:00,0.409,26.0,3.6
06/11/2021 07:00:00,0.318,26.0,4.7
06/11/2021 08:00:00,0.276,24.0,5.0
06/11/2021 09:00:00,0.324,32.0,6.1
06/11/2021 10:00:00,0.173,17.0,8.9
06/11/2021 11:00:00,0.12,3.0,13.2
06/11/2021 12:00:00,0.148,4.0,14.4
06/11/2021 13:00:00,0.155,5.0,12.6
06/11/2021 14:00:00,0.153,5.0,9.2
06/11/2021 15:00:00,0.153,5.0,7.5
06/11/2021 16:00:00,0.142,5.0,7.3
06/11/2021 17:00:00,0.173,5.0,6.1
06/11/2021 18:00:00,0.156,4.0,7.1
06/11/2021 19:00:00,0.194,6.0,6.7
06/11/2021 20:00:00,0.178,9.0,5.7
06/11/2021 21:00:00,0.182,6.0,5.0
06/11/2021 22:00:00,0.171,4.0,4.7
06/11/2021 23:00:00,0.152,2.0,5.4
06/12/2021 00:00:00,0.155,2.0,4.8
06/12/2021 01:00:00,0.179,8.0,6.1
06/12/2021 02:00:00,0.197,6.0,6.1
06/12/2021 03:00:00,0.169,7.0,6.2
06/12/2021 04:00:00,0.462,,7.7
06/12/2021 05:00:00,0.581,21.0,8.1
06/12/2021 06:00:00,0.752,20.0,8.5
06/12/2021 07:00:00,0.511,20.0,9.3
06/12/2021 08:00:00,0.546,19.0,9.5
06/12/2021 09:00:00,0.496,22.0,10.5
06/12/2021 10:00:00,0.527,23.0,9.9
06/12/2021 11:00:00,0.49,26.0,10.8
06/12/2021 12:00:00,0.404,24.0,10.5
06/12/2021 13:00:00,0.423,22.0,10.1
06/12/2021 14:00:00,0.233,11.0,10.5
06/12/2021 15:00:00,0.289,12.0,9.1
06/12/2021 16:00:00,0.301,15.0,8.0
06/12/2021 17:00:00,0.413,20.0,8.1
06/12/2021 18:00:00,0.429,22.0,8.7
06/12/2021 19:00:00,0.444,24.0,8.1
06/12/2021 20:00:00,0.493,23.0,6.9
06/12/2021 21:00:00,0.6,24.0,7.3
06/12/2021 22:00:00,0.503,24.0,8.2
06/12/2021 23:00:00,0.597,23.0,7.7
06/13/2021 00:00:00,0.727,25.0,7.7
06/13/2021 01:00:00,0.5,17.0,7.8
06/13/2021 02:00:00,0.694,25.0,9.5
06/13/2021 03:00:00,0.318,11.0,10.2
06/13/2021 04:00:00,0.391,11.0,10.8
06/13/2021 05:00:00,0.7,24.0,12.0
06/13/2021 06:00:00,0.414,18.0,10.6
06/13/2021 08:00:00,0.657,24.0,12.8
06/13/2021 09:00:00,0.663,23.0,14.0
06/13/2021 10:00:00,0.564,25.0,14.0
06/13/2021 11:00:00,0.454,26.0,13.0
06/13/2021 12:00:00,0.393,18.0,10.9
06/13/2021 13:00:00,0.28,11.0,11.9
06/13/2021 14:00:00,0.325,14.0,12.1
06/13/2021 15:00:00,0.258,8.0,9.9
06/13/2021 16:00:00,0.228,6.0,9.6
06/13/2021 17:00:00,0.255,6.0,10.2
06/13/2021 18:00:00,0.256,6.0,11.5
06/13/2021 19:00:00,0.276,7.0,9.4
06/13/2021 20:00:00,0.21,4.0,6.8
06/13/2021 21:00:00,0.207,3.0,5.4
06/13/2021 22:00:00,0.154,3.0,6.5
06/13/2021 23:00:00,0.176,3.0,7.1
06/14/2021 00:00:00,0.181,5.0,6.8
06/14/2021 01:00:00,0.312,12.0,6.8
06/14/2021 02:00:00,0.386,15.0,6.1
06/14/2021 03:00:00,0.225,8.0,5.8
06/14/2021 04:00:00,0.192,,4.9
06/14/2021 05:00:00,0.203,7.0,3.4
06/14/2021 06:00:00,0.178,6.0,3.2
06/14/2021 08:00:00,0.237,10.0,4.0
06/14/2021 09:00:00,0.272,16.0,5.5
06/14/2021 10:00:00,0.295,18.0,8.1
06/14/2021 11:00:00,0.54,23.0,12.3
06/14/2021 12:00:00,0.631,27.0,12.6
06/14/2021 13:00:00,0.607,26.0,11.2
06/14/2021 14:00:00,,27.0,10.2
06/14/2021 15:00:00,0.476,24.0,8.0
06/14/2021 16:00:00,0.334,,8.0
06/14/2021 17:00:00,0.279,13.0,8.8
06/14/2021 18:00:00,0.282,11.0,8.2
06/14/2021 19:00:00,0.261,11.0,7.4
06/14/2021 20:00:00,0.267,8.0,6.2
06/14/2021 21:00:00,0.184,6.0,5.3
06/14/2021 22:00:00,0.211,6.0,6.2
06/14/2021 23:00:00,0.181,4.0,4.9
06/15/2021 00:00:00,0.154,4.0,4.7
06/15/2021 01:00:00,,3.0,7.9
06/15/2021 02:00:00,0.422,20.0,6.0
06/15/2021 03:00:00,0.567,29.0,6.3
06/15/2021 04:00:00,0.321,22.0,10.5
06/15/2021 05:00:00,0.385,23.0,7.5
06/15/2021 06:00:00,0.283,17.0,7.7
06/15/2021 07:00:00,0.175,15.0,10.5
06/15/2021 08:00:00,0.196,15.0,9.8
06/15/2021 09:00:00,0.222,16.0,10.9
06/15/2021 10:00:00,0.383,21.0,13.9
06/15/2021 11:00:00,0.585,35.0,15.7
06/15/2021 12:00:00,0.539,,12.1
06/15/2021 13:00:00,0.444,,10.7
06/15/2021 14:00:00,0.297,19.0,10.0
06/15/2021 15:00:00,0.298,19.0,7.8
06/15/2021 16:00:00,0.33,17.0,8.9
06/15/2021 17:00:00,0.277,12.0,9.4
06/15/2021 18:00:00,0.324,21.0,9.0
06/15/2021 19:00:00,0.242,12.0,7.3
06/15/2021 20:00:00,0.235,13.0,6.6
06/15/2021 21:00:00,0.258,15.0,5.6
06/15/2021 22:00:00,0.487,22.0,5.4
06/15/2021 23:00:00,0.493,25.0,5.0
06/16/2021 00:00:00,0.588,28.0,4.9
06/16/2021 01:00:00,0.389,19.0,5.9
06/16/2021 02:00:00,0.479,27.0,8.3
06/16/2021 03:00:00,0.645,33.0,13.4
06/16/2021 04:00:00,0.521,,11.6
06/16/2021 05:00:00,0.49,20.0,11.4
06/16/2021 06:00:00,0.391,23.0,12.1
06/16/2021 07:00:00,0.383,32.0,14.4
06/16/2021 08:00:00,0.318,26.0,17.2
06/16/2021 09:00:00,0.314,24.0,15.5
06/16/2021 10:00:00,0.454,31.0,18.2
06/16/2021 11:00:00,0.726,36.0,22.0
06/16/2021 12:00:00,1.228,45.0,23.3
06/16/2021 13:00:00,0.665,39.0,20.1
06/16/2021 14:00:00,0.478,30.0,17.1
06/16/2021 15:00:00,0.521,33.0,17.3
06/16/2021 16:00:00,0.578,43.0,11.9
06/16/2021 17:00:00,0.554,34.0,9.8
06/16/2021 18:00:00,0.572,40.0,11.0
06/16/2021 19:00:00,0.544,33.0,9.3
06/16/2021 20:00:00,0.535,29.0,8.5
06/16/2021 21:00:00,0.328,20.0,7.8
06/16/2021 22:00:00,0.712,36.0,8.5
06/16/2021 23:00:00,0.503,29.0,9.6
06/17/2021 00:00:00,0.589,29.0,8.9
06/17/2021 01:00:00,0.726,28.0,10.6
06/17/2021 02:00:00,0.747,31.0,10.9
06/17/2021 03:00:00,0.813,35.0,24.4
06/17/2021 04:00:00,0.609,26.0,16.1
06/17/2021 05:00:00,0.519,27.0,16.9
06/17/2021 06:00:00,0.474,26.0,16.5
06/17/2021 07:00:00,0.404,24.0,16.1
06/17/2021 08:00:00,0.378,24.0,14.5
06/17/2021 09:00:00,0.333,13.0,13.5
06/17/2021 10:00:00,0.282,21.0,14.4
06/17/2021 11:00:00,0.509,34.0,16.8
06/17/2021 12:00:00,0.758,,19.7
06/17/2021 13:00:00,0.62,38.0,15.5
06/17/2021 14:00:00,0.472,27.0,23.6
06/17/2021 15:00:00,0.595,29.0,39.5
06/17/2021 16:00:00,0.31,18.0,13.0
06/17/2021 17:00:00,0.197,10.0,8.7
06/17/2021 18:00:00,0.16,7.0,8.4
06/17/2021 19:00:00,0.217,12.0,8.2
06/17/2021 20:00:00,0.185,10.0,8.3
06/17/2021 21:00:00,0.168,11.0,8.9
06/17/2021 22:00:00,0.417,22.0,12.8
06/17/2021 23:00:00,0.476,21.0,8.3
06/18/2021 00:00:00,0.598,28.0,10.4
06/18/2021 01:00:00,0.362,16.0,8.1
06/18/2021 02:00:00,0.549,26.0,8.8
06/18/2021 03:00:00,0.463,17.0,10.1
06/18/2021 04:00:00,0.684,,9.4
06/18/2021 05:00:00,0.7,28.0,9.9
06/18/2021 06:00:00,0.381,19.0,11.2
06/18/2021 07:00:00,0.44,29.0,15.4
06/18/2021 08:00:00,0.387,31.0,13.2
06/18/2021 09:00:00,0.446,28.0,13.9
06/18/2021 10:00:00,0.413,29.0,14.5
06/18/2021 11:00:00,0.781,34.0,19.0
06/18/2021 12:00:00,1.123,36.0,20.7
06/18/2021 13:00:00,0.492,30.0,16.6
06/18/2021 14:00:00,0.427,30.0,14.3
06/18/2021 15:00:00,,22.0,12.2
06/18/2021 16:00:00,,15.0,12.2
06/18/2021 17:00:00,0.274,19.0,10.9
06/18/2021 18:00:00,0.262,18.0,8.5
06/18/2021 19:00:00,0.216,10.0,9.5
06/18/2021 20:00:00,0.256,17.0,8.9
06/18/2021 21:00:00,0.216,7.0,8.1
06/18/2021 22:00:00,0.295,13.0,6.9
06/18/2021 23:00:00,0.373,19.0,6.6
06/19/2021 00:00:00,0.435,23.0,4.8
06/19/2021 01:00:00,0.313,16.0,5.9
06/19/2021 02:00:00,0.38,18.0,6.6
06/19/2021 03:00:00,0.338,17.0,6.6
06/19/2021 04:00:00,0.506,16.0,10.4
06/19/2021 05:00:00,0.439,13.0,10.7
06/19/2021 06:00:00,0.41,14.0,10.4
06/19/2021 07:00:00,0.483,18.0,12.7
06/19/2021 08:00:00,0.305,12.0,9.8
06/19/2021 09:00:00,0.22,10.0,7.7
06/19/2021 10:00:00,0.25,12.0,9.5
06/19/2021 11:00:00,0.349,23.0,12.1
06/19/2021 12:00:00,0.483,28.0,12.5
06/19/2021 13:00:00,0.411,24.0,9.7
06/19/2021 14:00:00,0.517,28.0,10.2
06/19/2021 15:00:00,0.503,26.0,12.2
06/19/2021 16:00:00,0.396,23.0,13.5
06/19/2021 17:00:00,0.315,15.0,11.2
06/19/2021 18:00:00,0.362,15.0,11.4
06/19/2021 19:00:00,0.38,17.0,14.9
06/19/2021 20:00:00,0.283,12.0,10.4
06/19/2021 21:00:00,0.46,19.0,8.2
06/19/2021 22:00:00,0.384,15.0,10.0
06/19/2021 23:00:00,0.476,17.0,9.0
06/20/2021 00:00:00,0.491,19.0,4.5
06/20/2021 01:00:00,0.558,22.0,5.4
06/20/2021 02:00:00,0.374,20.0,9.3
06/20/2021 03:00:00,0.475,21.0,9.1
06/20/2021 04:00:00,0.487,,10.3
06/20/2021 05:00:00,0.323,14.0,10.0
06/20/2021 06:00:00,0.367,19.0,8.9
06/20/2021 07:00:00,0.268,15.0,9.6
06/20/2021 08:00:00,0.362,18.0,9.6
06/20/2021 09:00:00,0.413,17.0,9.2
06/20/2021 10:00:00,0.453,24.0,10.2
06/20/2021 11:00:00,0.4,26.0,9.7
06/20/2021 12:00:00,0.343,22.0,8.5
06/20/2021 13:00:00,0.317,20.0,7.0
06/20/2021 14:00:00,0.278,10.0,5.7
06/20/2021 15:00:00,0.295,10.0,5.7
06/20/2021 16:00:00,0.149,7.0,5.0
06/20/2021 17:00:00,0.21,6.0,5.7
06/20/2021 18:00:00,0.227,8.0,6.9
06/20/2021 19:00:00,0.184,5.0,6.7
06/20/2021 20:00:00,0.162,4.0,7.3
06/20/2021 21:00:00,0.355,11.0,6.2
06/20/2021 22:00:00,0.29,8.0,5.6
06/20/2021 23:00:00,0.203,4.0,4.7
06/21/2021 00:00:00,0.167,4.0,4.2
06/21/2021 01:00:00,0.178,4.0,4.3
06/21/2021 02:00:00,0.214,6.0,5.9
06/21/2021 03:00:00,0.383,10.0,5.0
06/21/2021 04:00:00,0.272,9.0,4.7
06/21/2021 05:00:00,0.138,5.0,5.1
06/21/2021 06:00:00,0.113,5.0,5.2
06/21/2021 07:00:00,0.146,6.0,4.7
06/21/2021 09:00:00,0.132,7.0,4.1
06/21/2021 10:00:00,0.22,9.0,5.1
06/21/2021 11:00:00,0.383,17.0,3.7
06/21/2021 12:00:00,0.472,23.0,3.4
06/21/2021 13:00:00,0.306,15.0,3.2
06/21/2021 14:00:00,,12.0,3.7
06/21/2021 15:00:00,0.19,6.0,3.6
06/21/2021 16:00:00,0.2,8.0,3.3
06/21/2021 17:00:00,0.224,12.0,3.8
06/21/2021 18:00:00,0.243,12.0,3.6
06/21/2021 19:00:00,0.268,11.0,5.1
06/21/2021 20:00:00,0.39,,6.0
06/21/2021 21:00:00,0.318,,5.3
06/21/2021 22:00:00,0.306,15.0,6.7
06/21/2021 23:00:00,0.299,13.0,4.4
06/22/2021 00:00:00,0.322,13.0,4.9
06/22/2021 01:00:00,0.43,17.0,7.1
06/22/2021 02:00:00,0.419,18.0,8.4
06/22/2021 03:00:00,0.503,19.0,9.7
06/22/2021 04:00:00,0.461,,10.4
06/22/2021 05:00:00,0.368,19.0,10.8
06/22/2021 06:00:00,0.23,13.0,9.8
06/22/2021 07:00:00,0.211,12.0,9.1
06/22/2021 08:00:00,0.175,10.0,7.9
06/22/2021 09:00:00,0.207,16.0,9.4
06/22/2021 10:00:00,0.283,15.0,8.3
06/22/2021 11:00:00,0.579,20.0,10.5
06/22/2021 12:00:00,0.931,25.0,12.4
06/22/2021 13:00:00,0.661,26.0,12.7
06/22/2021 14:00:00,0.482,25.0,11.4
06/22/2021 15:00:00,0.471,23.0,11.7
06/22/2021 16:00:00,0.551,34.0,11.4
06/22/2021 17:00:00,0.498,41.0,12.2
06/22/2021 18:00:00,0.279,15.0,9.0
06/22/2021 19:00:00,0.201,10.0,8.5
06/22/2021 20:00:00,0.201,12.0,6.3
06/22/2021 21:00:00,0.233,13.0,5.3
06/22/2021 22:00:00,0.239,13.0,5.2
06/22/2021 23:00:00,0.304,14.0,5.6
06/23/2021 00:00:00,0.721,40.0,7.8
06/23/2021 01:00:00,0.74,43.0,9.0
06/23/2021 02:00:00,0.53,32.0,9.7
06/23/2021 03:00:00,0.406,22.0,10.0
06/23/2021 04:00:00,0.548,27.0,10.6
06/23/2021 05:00:00,0.558,25.0,13.1
06/23/2021 06:00:00,0.491,31.0,14.5
06/23/2021 07:00:00,0.375,22.0,14.1
06/23/2021 08:00:00,0.334,22.0,15.3
06/23/2021 09:00:00,0.382,21.0,17.5
06/23/2021 10:00:00,0.327,24.0,18.7
06/23/2021 11:00:00,0.513,30.0,22.9
06/23/2021 12:00:00,0.663,40.0,23.6
06/23/2021 13:00:00,0.529,,19.1
06/23/2021 14:00:00,0.395,,15.5
06/23/2021 15:00:00,0.461,32.0,
06/23/2021 16:00:00,0.44,31.0,13.6
06/23/2021 17:00:00,0.424,29.0,10.1
06/23/2021 18:00:00,0.462,30.0,9.9
06/23/2021 19:00:00,0.39,29.0,9.9
06/23/2021 20:00:00,0.469,26.0,7.6
06/23/2021 21:00:00,0.624,35.0,9.1
06/23/2021 22:00:00,0.534,29.0,6.9
06/23/2021 23:00:00,0.646,30.0,6.9
