InstrumentName, Woods Park B
StartTime, 2021-06-01 00:00:00
EndTime, 2021-06-30 00:00:00
Date,PM1.0,PM10.0,PM2.5
06/01/2021 00:00:45,2.63,3.6,3.53
06/01/2021 00:06:45,3.21,4.29,3.91
06/01/2021 00:08:45,2.71,3.69,3.29
06/01/2021 00:12:45,3.33,4.12,4.12
06/01/2021 00:16:45,2.83,3.07,3.07
06/01/2021 00:20:45,2.69,3.64,3.56
06/01/2021 00:24:45,3.22,3.86,3.78
06/01/2021 00:28:45,3.04,3.95,3.72
06/01/2021 00:32:45,3.1,4.03,3.9
06/01/2021 00:36:45,3.09,4.11,3.38
06/01/2021 00:40:45,3.17,4.42,4.08
06/01/2021 00:44:45,3.0,3.98,3.43
06/01/2021 00:50:45,3.24,3.98,3.83
06/01/2021 00:54:45,3.39,4.16,3.93
06/01/2021 00:58:45,2.67,3.49,3.21
06/01/2021 01:02:45,3.05,3.91,3.64
06/01/2021 01:06:45,3.53,4.19,4.0
06/01/2021 01:10:45,2.95,3.9,3.81
06/01/2021 01:14:46,3.07,3.79,3.75
06/01/2021 01:18:45,3.6,4.47,4.47
06/01/2021 01:22:45,4.11,5.16,4.93
06/01/2021 01:26:45,3.12,3.91,3.9
06/01/2021 01:30:45,2.83,3.59,3.47
06/01/2021 01:34:45,2.48,3.25,3.2
06/01/2021 01:38:45,2.86,3.53,3.53
06/01/2021 01:42:45,3.41,4.21,3.97
06/01/2021 01:46:45,3.02,3.91,3.59
06/01/2021 01:50:45,3.67,4.6,4.54
06/01/2021 01:54:46,3.52,4.19,3.97
06/01/2021 01:58:46,3.36,4.07,4.07
06/01/2021 02:02:46,3.74,4.72,4.58
06/01/2021 02:06:46,3.58,4.52,4.43
06/01/2021 02:10:47,3.37,4.07,4.0
06/01/2021 02:14:46,3.37,4.41,4.41
06/01/2021 02:18:46,3.18,4.2,3.93
06/01/2021 02:24:46,3.0,4.03,3.56
06/01/2021 02:28:46,3.26,4.23,4.0
06/01/2021 02:34:46,3.58,4.81,4.53
06/01/2021 02:36:46,3.21,4.23,4.05
06/01/2021 02:40:46,3.63,4.39,4.37
06/01/2021 02:44:46,3.23,4.32,3.96
06/01/2021 02:48:46,3.31,4.05,3.84
06/01/2021 02:52:46,3.2,3.7,3.66
06/01/2021 02:56:47,3.48,4.65,4.3
06/01/2021 03:02:47,3.25,4.34,4.2
06/01/2021 03:06:47,2.64,3.46,3.41
06/01/2021 03:10:47,2.58,3.1,2.98
06/01/2021 03:14:47,2.71,3.45,3.3
06/01/2021 03:18:47,2.42,2.71,2.71
06/01/2021 03:22:47,2.18,2.95,2.82
06/01/2021 03:26:47,1.86,2.59,2.58
06/01/2021 03:30:47,2.65,3.49,3.19
06/01/2021 03:34:47,2.9,3.57,3.38
06/01/2021 03:38:47,2.32,3.33,3.23
06/01/2021 03:42:47,2.41,2.86,2.86
06/01/2021 03:46:47,2.31,3.05,2.66
06/01/2021 03:50:47,2.81,3.28,3.24
06/01/2021 03:54:47,1.71,2.98,2.32
06/01/2021 03:58:47,2.87,3.61,3.31
06/01/2021 04:04:47,2.62,3.17,2.97
06/01/2021 04:06:47,2.53,3.27,2.78
06/01/2021 04:10:47,3.09,3.75,3.6
06/01/2021 04:14:47,2.98,3.83,3.54
06/01/2021 04:18:47,2.66,3.36,3.36
06/01/2021 04:22:47,2.95,3.74,3.66
06/01/2021 04:26:47,2.89,3.34,3.34
06/01/2021 04:30:47,2.92,4.25,3.87
06/01/2021 04:34:47,2.82,3.95,3.77
06/01/2021 04:40:48,3.1,3.9,3.73
06/01/2021 04:44:47,3.61,4.71,4.57
06/01/2021 04:48:47,3.62,4.67,4.4
06/01/2021 04:52:47,4.57,5.52,5.34
06/01/2021 04:56:48,3.95,4.88,4.75
06/01/2021 05:00:48,3.78,4.55,4.35
06/01/2021 05:04:48,4.84,6.16,5.68
06/01/2021 05:08:48,3.47,4.27,4.22
06/01/2021 05:12:50,4.79,5.79,5.57
06/01/2021 05:16:48,4.31,5.0,4.79
06/01/2021 05:20:48,4.25,5.36,5.22
06/01/2021 05:24:48,4.12,4.93,4.89
06/01/2021 05:28:48,3.72,5.02,4.68
06/01/2021 05:32:48,4.3,5.32,5.28
06/01/2021 05:36:48,3.59,4.83,4.54
06/01/2021 05:40:48,4.16,4.75,4.71
06/01/2021 05:44:48,4.27,5.55,5.25
06/01/2021 05:50:48,3.55,4.52,4.52
06/01/2021 05:54:48,3.53,4.46,4.24
06/01/2021 05:58:49,4.02,5.34,4.79
06/01/2021 06:04:49,3.84,4.81,4.31
06/01/2021 06:08:49,4.26,5.0,4.93
06/01/2021 06:12:49,3.52,4.43,4.34
06/01/2021 06:16:49,3.37,4.25,3.92
06/01/2021 06:20:49,3.46,4.95,4.25
06/01/2021 06:24:49,3.07,4.36,3.88
06/01/2021 06:30:49,3.37,4.54,4.31
06/01/2021 06:34:49,3.25,4.07,3.84
06/01/2021 06:38:49,2.9,3.78,3.59
06/01/2021 06:42:49,3.12,3.98,3.98
06/01/2021 06:46:49,3.03,3.83,3.8
06/01/2021 06:50:49,2.86,3.56,3.56
06/01/2021 06:54:49,3.23,4.25,4.07
06/01/2021 06:58:49,2.95,3.5,3.32
06/01/2021 07:02:49,3.02,3.93,3.8
06/01/2021 07:06:49,3.21,4.14,3.77
06/01/2021 07:10:49,2.81,3.54,3.37
06/01/2021 07:14:49,2.7,3.43,3.11
06/01/2021 07:18:49,3.33,4.24,4.05
06/01/2021 07:22:49,3.22,3.98,3.76
06/01/2021 07:26:49,2.91,3.86,3.74
06/01/2021 07:30:49,3.04,4.23,3.68
06/01/2021 07:34:49,2.95,4.14,3.71
06/01/2021 07:38:49,2.91,3.88,3.6
06/01/2021 07:42:49,3.25,4.21,3.82
06/01/2021 07:46:49,2.88,3.63,3.63
06/01/2021 07:50:49,2.84,3.72,3.22
06/01/2021 07:54:49,2.95,3.69,3.46
06/01/2021 07:58:50,2.85,3.48,3.48
06/01/2021 08:02:50,2.55,3.49,3.24
06/01/2021 08:06:50,2.83,3.46,3.22
06/01/2021 08:10:50,3.0,3.65,3.53
06/01/2021 08:14:50,2.15,3.45,2.88
