InstrumentName, Woods Park,,
StartTime, 2020-12-01 00:00:00,,
EndTime, 2020-12-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
12/01/2020 00:01:35.000000,0.63,1.78,1.47
12/01/2020 00:03:35.000000,0.04,1.14,0.91
12/01/2020 00:05:35.000000,0.31,1.31,1.07
12/01/2020 00:07:35.000000,0.61,1.15,1.08
12/01/2020 00:09:35.000000,0.77,1.92,1.65
12/01/2020 00:11:38.000000,0.52,1.32,0.86
12/01/2020 00:13:35.000000,0.6,0.95,0.95
12/01/2020 00:15:35.000000,0.53,1.31,1.22
12/01/2020 00:17:35.000000,0.3,1.07,0.98
12/01/2020 00:19:35.000000,0.38,1.04,1.02
12/01/2020 00:21:35.000000,0.47,1.19,1.07
12/01/2020 00:23:35.000000,0.09,0.91,0.67
12/01/2020 00:25:35.000000,0.51,1.19,1.02
12/01/2020 00:27:35.000000,0.83,1.72,1.57
12/01/2020 00:29:35.000000,0.3,1.33,1.07
12/01/2020 00:31:35.000000,0.3,0.85,0.77
12/01/2020 00:33:35.000000,0.73,1.1,0.93
12/01/2020 00:35:35.000000,0.26,1.51,0.93
12/01/2020 00:37:35.000000,0.5,1.29,0.79
12/01/2020 00:39:35.000000,0.26,0.52,0.52
12/01/2020 00:41:35.000000,0.36,0.8,0.8
12/01/2020 00:43:35.000000,0.09,0.81,0.81
12/01/2020 00:45:35.000000,0.38,1.07,0.89
12/01/2020 00:47:35.000000,0.53,1.41,1.22
12/01/2020 00:49:35.000000,0.75,1.63,1.39
12/01/2020 00:51:35.000000,1.45,2.62,2.31
12/01/2020 00:53:35.000000,1.32,2.56,2.44
12/01/2020 00:55:35.000000,0.95,1.77,1.62
12/01/2020 00:57:35.000000,1.1,2.17,1.97
12/01/2020 00:59:35.000000,1.37,2.12,2.0
12/01/2020 01:01:35.000000,1.26,2.82,2.28
12/01/2020 01:03:35.000000,0.93,1.89,1.79
12/01/2020 01:05:35.000000,1.05,2.53,2.37
12/01/2020 01:07:35.000000,1.5,2.3,2.15
12/01/2020 01:09:38.000000,1.68,3.0,2.81
12/01/2020 01:11:40.000000,1.75,2.86,2.86
12/01/2020 01:13:35.000000,1.95,3.28,3.0
12/01/2020 01:15:35.000000,2.64,4.78,4.36
12/01/2020 01:17:35.000000,3.86,5.59,5.19
12/01/2020 01:19:35.000000,7.21,9.7,9.39
12/01/2020 01:21:35.000000,9.7,13.39,12.95
12/01/2020 01:23:35.000000,9.25,12.82,12.4
12/01/2020 01:25:35.000000,9.03,13.05,12.24
12/01/2020 01:27:35.000000,9.89,13.95,13.0
12/01/2020 01:29:35.000000,10.96,14.75,14.3
12/01/2020 01:31:35.000000,10.75,15.57,14.48
12/01/2020 01:33:35.000000,10.8,15.37,14.54
12/01/2020 01:35:35.000000,10.82,15.07,14.32
12/01/2020 01:37:35.000000,10.65,14.82,14.16
12/01/2020 01:39:35.000000,9.36,12.38,11.84
12/01/2020 01:41:35.000000,9.53,13.42,12.46
12/01/2020 01:43:35.000000,10.67,14.81,14.02
12/01/2020 01:45:35.000000,9.18,12.88,12.18
12/01/2020 01:47:35.000000,7.03,10.1,9.62
12/01/2020 01:49:35.000000,6.24,9.0,8.59
12/01/2020 01:51:35.000000,6.47,9.37,8.88
12/01/2020 01:53:35.000000,5.61,7.79,7.62
12/01/2020 01:55:35.000000,5.44,7.61,7.28
12/01/2020 01:57:35.000000,11.32,16.07,15.22
12/01/2020 01:59:35.000000,11.05,15.52,14.98
12/01/2020 02:01:35.000000,11.86,15.88,15.36
12/01/2020 02:03:35.000000,9.49,13.25,12.47
12/01/2020 02:05:35.000000,6.17,8.37,8.0
12/01/2020 02:07:35.000000,6.42,8.65,8.4
12/01/2020 02:09:35.000000,8.0,11.03,10.81
12/01/2020 02:11:35.000000,27.09,37.93,35.91
12/01/2020 02:13:35.000000,48.38,69.78,66.36
12/01/2020 02:15:35.000000,49.44,72.04,68.96
12/01/2020 02:17:35.000000,50.04,76.89,71.87
12/01/2020 02:19:35.000000,32.04,47.98,45.96
12/01/2020 02:21:35.000000,27.12,41.25,38.29
12/01/2020 02:23:35.000000,30.73,45.17,41.98
12/01/2020 02:25:35.000000,32.22,45.32,43.29
12/01/2020 02:27:35.000000,48.29,65.89,63.71
12/01/2020 02:29:35.000000,42.21,59.71,56.98
12/01/2020 02:31:35.000000,25.51,35.32,34.08
12/01/2020 02:33:35.000000,24.92,35.9,34.54
12/01/2020 02:35:35.000000,27.98,40.07,38.89
12/01/2020 02:37:35.000000,23.54,33.07,31.98
12/01/2020 02:39:35.000000,17.69,25.1,23.37
12/01/2020 02:41:35.000000,16.72,25.52,23.16
12/01/2020 02:43:35.000000,17.82,26.82,25.29
12/01/2020 02:45:35.000000,17.27,26.61,24.95
12/01/2020 02:47:35.000000,14.44,20.54,19.47
12/01/2020 02:49:35.000000,20.8,29.92,28.95
12/01/2020 02:51:35.000000,26.05,39.27,36.27
12/01/2020 02:53:35.000000,20.49,29.68,28.02
12/01/2020 02:55:35.000000,15.12,21.03,20.45
12/01/2020 02:57:35.000000,10.41,13.95,13.39
12/01/2020 02:59:35.000000,9.86,13.74,13.14
12/01/2020 03:01:35.000000,9.18,12.46,12.09
12/01/2020 03:03:35.000000,7.54,9.89,9.54
12/01/2020 03:05:35.000000,7.97,11.18,10.37
12/01/2020 03:07:35.000000,9.29,13.53,13.07
12/01/2020 03:09:35.000000,7.73,10.88,10.36
12/01/2020 03:11:35.000000,5.8,8.45,7.7
12/01/2020 03:13:35.000000,7.25,9.83,9.37
12/01/2020 03:15:35.000000,10.37,15.38,14.27
12/01/2020 03:17:35.000000,10.21,14.62,13.68
12/01/2020 03:19:35.000000,8.68,11.82,11.14
12/01/2020 03:21:35.000000,8.25,12.27,11.76
12/01/2020 03:23:35.000000,8.42,13.25,11.97
12/01/2020 03:25:35.000000,10.58,14.56,13.68
12/01/2020 03:27:35.000000,10.79,15.29,14.54
12/01/2020 03:29:35.000000,5.76,8.51,8.02
12/01/2020 03:31:35.000000,7.98,10.88,10.68
12/01/2020 03:33:35.000000,8.83,11.81,11.27
12/01/2020 03:35:35.000000,9.65,13.67,12.77
12/01/2020 03:37:35.000000,11.28,15.23,14.53
12/01/2020 03:39:35.000000,12.78,16.17,15.93
12/01/2020 03:41:35.000000,12.07,16.2,15.88
12/01/2020 03:43:35.000000,12.4,16.35,15.88
12/01/2020 03:45:35.000000,11.82,16.82,15.68
12/01/2020 03:47:35.000000,9.64,13.56,12.8
12/01/2020 03:49:35.000000,10.9,14.53,13.88
12/01/2020 03:51:35.000000,10.48,14.0,13.41
12/01/2020 03:53:35.000000,7.43,9.43,9.27
12/01/2020 03:55:35.000000,6.36,9.17,8.78
12/01/2020 03:57:35.000000,7.18,9.5,8.68
