InstrumentName, Welby,,,
StartTime, 2020-12-01 00:00:00,,,
EndTime, 2020-12-31 23:59:59,,,
Date,NO2,O3,PM10,SO2
12/01/2020 00:00:00.000000,16.0,28.0,30.4,0.0
12/01/2020 01:00:00.000000,40.0,3.0,71.3,1.0
12/01/2020 02:00:00.000000,21.0,23.0,38.5,0.0
12/01/2020 03:00:00.000000,30.0,13.0,24.0,0.0
12/01/2020 04:00:00.000000,,9.0,50.3,1.0
12/01/2020 05:00:00.000000,36.0,6.0,15.7,0.0
12/01/2020 06:00:00.000000,32.0,7.0,19.4,0.0
12/01/2020 07:00:00.000000,39.0,1.0,23.3,0.0
12/01/2020 08:00:00.000000,22.0,18.0,18.1,0.0
12/01/2020 09:00:00.000000,24.0,12.0,35.2,0.0
12/01/2020 10:00:00.000000,34.0,2.0,24.8,0.0
12/01/2020 11:00:00.000000,30.0,4.0,14.1,0.0
12/01/2020 12:00:00.000000,31.0,2.0,30.1,0.0
12/01/2020 13:00:00.000000,36.0,1.0,42.4,0.0
12/01/2020 14:00:00.000000,38.0,1.0,84.8,1.0
12/01/2020 15:00:00.000000,38.0,,60.4,
12/01/2020 16:00:00.000000,17.0,24.0,47.2,
12/01/2020 17:00:00.000000,8.0,33.0,26.4,0.0
12/01/2020 18:00:00.000000,3.0,36.0,14.1,0.0
12/01/2020 19:00:00.000000,2.0,35.0,18.8,0.0
12/01/2020 20:00:00.000000,3.0,37.0,26.9,0.0
12/01/2020 21:00:00.000000,3.0,37.0,20.9,0.0
12/01/2020 22:00:00.000000,,35.0,26.0,0.0
12/01/2020 23:00:00.000000,5.0,33.0,40.8,0.0
12/02/2020 00:00:00.000000,4.0,30.0,9.8,0.0
12/02/2020 01:00:00.000000,5.0,29.0,9.6,0.0
12/02/2020 02:00:00.000000,3.0,32.0,7.5,0.0
12/02/2020 03:00:00.000000,2.0,33.0,5.0,0.0
12/02/2020 04:00:00.000000,,31.0,0.9,0.0
12/02/2020 05:00:00.000000,2.0,34.0,3.4,0.0
12/02/2020 06:00:00.000000,2.0,33.0,5.1,0.0
12/02/2020 07:00:00.000000,1.0,33.0,4.7,0.0
12/02/2020 08:00:00.000000,1.0,33.0,5.0,0.0
12/02/2020 09:00:00.000000,1.0,32.0,1.5,0.0
12/02/2020 10:00:00.000000,3.0,29.0,3.6,0.0
12/02/2020 11:00:00.000000,5.0,27.0,3.9,0.0
12/02/2020 12:00:00.000000,17.0,15.0,12.4,0.0
12/02/2020 13:00:00.000000,31.0,4.0,30.8,0.0
12/02/2020 14:00:00.000000,36.0,2.0,51.3,1.0
12/02/2020 15:00:00.000000,37.0,3.0,60.1,1.0
12/02/2020 16:00:00.000000,27.0,13.0,38.4,0.0
12/02/2020 17:00:00.000000,7.0,30.0,12.9,0.0
12/02/2020 18:00:00.000000,4.0,33.0,10.0,0.0
12/02/2020 19:00:00.000000,1.0,35.0,13.9,0.0
12/02/2020 20:00:00.000000,2.0,36.0,9.7,0.0
12/02/2020 21:00:00.000000,2.0,35.0,7.9,0.0
12/02/2020 22:00:00.000000,7.0,31.0,17.0,0.0
12/02/2020 23:00:00.000000,9.0,27.0,38.1,0.0
12/03/2020 00:00:00.000000,14.0,20.0,21.1,0.0
12/03/2020 01:00:00.000000,13.0,20.0,22.1,0.0
12/03/2020 02:00:00.000000,16.0,14.0,12.5,0.0
12/03/2020 03:00:00.000000,27.0,3.0,24.4,0.0
12/03/2020 04:00:00.000000,,1.0,32.5,0.0
12/03/2020 05:00:00.000000,35.0,2.0,22.5,0.0
12/03/2020 06:00:00.000000,33.0,2.0,17.4,0.0
12/03/2020 07:00:00.000000,35.0,1.0,22.6,0.0
12/03/2020 08:00:00.000000,36.0,1.0,23.0,0.0
12/03/2020 09:00:00.000000,38.0,1.0,17.7,1.0
12/03/2020 10:00:00.000000,38.0,1.0,29.6,1.0
12/03/2020 11:00:00.000000,40.0,1.0,22.6,1.0
12/03/2020 12:00:00.000000,41.0,1.0,29.1,1.0
12/03/2020 13:00:00.000000,41.0,1.0,31.6,1.0
12/03/2020 14:00:00.000000,43.0,2.0,37.1,2.0
12/03/2020 15:00:00.000000,41.0,5.0,62.9,1.0
12/03/2020 16:00:00.000000,35.0,10.0,66.0,1.0
12/03/2020 17:00:00.000000,37.0,12.0,73.1,1.0
12/03/2020 18:00:00.000000,25.0,26.0,32.6,0.0
12/03/2020 19:00:00.000000,13.0,39.0,19.5,0.0
12/03/2020 20:00:00.000000,14.0,39.0,26.0,0.0
12/03/2020 21:00:00.000000,9.0,44.0,30.0,0.0
12/03/2020 22:00:00.000000,,43.0,16.4,0.0
12/03/2020 23:00:00.000000,27.0,23.0,93.5,0.0
12/04/2020 00:00:00.000000,47.0,1.0,115.1,1.0
12/04/2020 01:00:00.000000,49.0,1.0,96.8,1.0
12/04/2020 02:00:00.000000,46.0,1.0,68.0,1.0
12/04/2020 03:00:00.000000,47.0,1.0,60.6,1.0
12/04/2020 04:00:00.000000,,1.0,59.4,2.0
12/04/2020 05:00:00.000000,45.0,1.0,39.5,3.0
12/04/2020 06:00:00.000000,41.0,1.0,33.2,1.0
12/04/2020 07:00:00.000000,41.0,,28.8,1.0
12/04/2020 08:00:00.000000,41.0,,27.3,0.0
12/04/2020 09:00:00.000000,41.0,,26.0,0.0
12/04/2020 10:00:00.000000,41.0,,20.6,0.0
12/04/2020 11:00:00.000000,40.0,,19.1,0.0
12/04/2020 12:00:00.000000,40.0,,22.5,0.0
12/04/2020 13:00:00.000000,42.0,,45.2,1.0
12/04/2020 14:00:00.000000,45.0,,83.6,2.0
12/04/2020 15:00:00.000000,42.0,6.0,80.1,1.0
12/04/2020 16:00:00.000000,36.0,10.0,73.8,1.0
12/04/2020 17:00:00.000000,33.0,15.0,69.5,1.0
12/04/2020 18:00:00.000000,31.0,17.0,68.3,0.0
12/04/2020 19:00:00.000000,24.0,25.0,36.5,0.0
12/04/2020 20:00:00.000000,5.0,41.0,9.7,0.0
12/04/2020 21:00:00.000000,6.0,39.0,20.0,0.0
12/04/2020 22:00:00.000000,10.0,33.0,30.2,0.0
12/04/2020 23:00:00.000000,33.0,10.0,73.7,0.0
12/05/2020 00:00:00.000000,41.0,1.0,94.8,1.0
12/05/2020 01:00:00.000000,39.0,1.0,103.2,2.0
12/05/2020 02:00:00.000000,38.0,1.0,82.3,2.0
12/05/2020 03:00:00.000000,38.0,1.0,73.5,2.0
12/05/2020 04:00:00.000000,,1.0,58.3,1.0
12/05/2020 05:00:00.000000,36.0,1.0,37.0,0.0
12/05/2020 06:00:00.000000,37.0,1.0,54.4,1.0
12/05/2020 07:00:00.000000,37.0,,47.4,1.0
12/05/2020 08:00:00.000000,37.0,,37.6,1.0
12/05/2020 09:00:00.000000,35.0,0.0,33.0,1.0
