InstrumentName, I-25 Denver,,
StartTime, 2020-12-01 00:00:00,,
EndTime, 2020-12-31 23:59:59,,
Date,CO,NO2,PM2.5
12/01/2020 00:00:00.000000,1.695,48.0,17.3
12/01/2020 01:00:00.000000,1.621,45.0,16.4
12/01/2020 02:00:00.000000,1.752,44.0,18.8
12/01/2020 03:00:00.000000,0.843,34.0,8.4
12/01/2020 04:00:00.000000,0.386,,3.3
12/01/2020 05:00:00.000000,0.382,32.0,6.1
12/01/2020 06:00:00.000000,0.585,37.0,9.7
12/01/2020 07:00:00.000000,0.607,38.0,10.1
12/01/2020 08:00:00.000000,0.625,37.0,11.3
12/01/2020 09:00:00.000000,0.747,39.0,12.3
12/01/2020 10:00:00.000000,0.828,40.0,13.4
12/01/2020 11:00:00.000000,0.443,40.0,4.9
12/01/2020 12:00:00.000000,0.665,44.0,5.5
12/01/2020 13:00:00.000000,1.1,46.0,10.1
12/01/2020 14:00:00.000000,0.767,42.0,9.4
12/01/2020 15:00:00.000000,0.996,44.0,13.9
12/01/2020 16:00:00.000000,0.489,28.0,6.8
12/01/2020 17:00:00.000000,0.44,25.0,5.1
12/01/2020 18:00:00.000000,0.288,13.0,5.2
12/01/2020 19:00:00.000000,0.264,11.0,5.7
12/01/2020 20:00:00.000000,0.322,10.0,5.2
12/01/2020 21:00:00.000000,0.382,17.0,3.5
12/01/2020 22:00:00.000000,0.417,19.0,3.6
12/01/2020 23:00:00.000000,0.342,18.0,2.9
12/02/2020 00:00:00.000000,0.286,16.0,2.2
12/02/2020 01:00:00.000000,0.414,16.0,2.1
12/02/2020 02:00:00.000000,0.418,15.0,2.0
12/02/2020 03:00:00.000000,0.278,13.0,1.3
12/02/2020 04:00:00.000000,0.326,,10.5
12/02/2020 05:00:00.000000,0.225,13.0,1.3
12/02/2020 06:00:00.000000,0.145,12.0,1.1
12/02/2020 07:00:00.000000,0.128,7.0,1.4
12/02/2020 08:00:00.000000,0.138,6.0,0.9
12/02/2020 09:00:00.000000,0.148,8.0,0.5
12/02/2020 10:00:00.000000,0.169,9.0,1.8
12/02/2020 11:00:00.000000,0.207,13.0,1.4
12/02/2020 12:00:00.000000,0.509,26.0,2.5
12/02/2020 13:00:00.000000,0.867,36.0,4.1
12/02/2020 14:00:00.000000,0.827,34.0,4.5
12/02/2020 15:00:00.000000,0.61,29.0,5.8
12/02/2020 16:00:00.000000,0.419,23.0,6.2
12/02/2020 17:00:00.000000,0.391,17.0,3.8
12/02/2020 18:00:00.000000,0.323,14.0,3.3
12/02/2020 19:00:00.000000,0.287,12.0,3.8
12/02/2020 20:00:00.000000,0.27,13.0,3.2
12/02/2020 21:00:00.000000,0.38,16.0,4.1
12/02/2020 22:00:00.000000,0.456,22.0,3.3
12/02/2020 23:00:00.000000,0.778,29.0,5.8
12/03/2020 00:00:00.000000,0.89,33.0,6.5
12/03/2020 01:00:00.000000,0.59,32.0,5.6
12/03/2020 02:00:00.000000,0.381,28.0,3.9
12/03/2020 03:00:00.000000,0.504,31.0,5.8
12/03/2020 04:00:00.000000,0.596,,10.0
12/03/2020 05:00:00.000000,0.588,33.0,7.4
12/03/2020 06:00:00.000000,0.374,29.0,5.5
12/03/2020 07:00:00.000000,0.359,26.0,4.9
12/03/2020 08:00:00.000000,0.318,29.0,17.8
12/03/2020 09:00:00.000000,0.335,29.0,11.0
12/03/2020 10:00:00.000000,0.292,29.0,4.9
12/03/2020 11:00:00.000000,0.267,29.0,2.6
12/03/2020 12:00:00.000000,0.301,29.0,2.6
12/03/2020 13:00:00.000000,0.717,36.0,5.5
12/03/2020 14:00:00.000000,0.553,33.0,4.7
12/03/2020 15:00:00.000000,0.399,26.0,4.5
12/03/2020 16:00:00.000000,0.333,,4.7
12/03/2020 17:00:00.000000,0.317,,6.0
12/03/2020 18:00:00.000000,0.274,,3.7
12/03/2020 19:00:00.000000,0.236,,2.4
12/03/2020 20:00:00.000000,0.176,,3.8
12/03/2020 21:00:00.000000,0.304,,4.3
12/03/2020 22:00:00.000000,0.295,,4.9
12/03/2020 23:00:00.000000,0.847,49.0,8.4
12/04/2020 00:00:00.000000,1.339,55.0,12.5
12/04/2020 01:00:00.000000,1.133,51.0,11.9
12/04/2020 02:00:00.000000,0.932,47.0,13.2
12/04/2020 03:00:00.000000,0.661,44.0,9.4
12/04/2020 04:00:00.000000,0.403,,7.4
12/04/2020 05:00:00.000000,0.389,33.0,6.5
12/04/2020 06:00:00.000000,0.341,36.0,5.4
12/04/2020 07:00:00.000000,1.075,42.0,12.7
12/04/2020 08:00:00.000000,1.039,42.0,12.5
12/04/2020 09:00:00.000000,1.078,41.0,33.0
12/04/2020 10:00:00.000000,0.998,40.0,18.0
12/04/2020 11:00:00.000000,0.883,41.0,11.5
12/04/2020 12:00:00.000000,0.89,41.0,7.1
12/04/2020 13:00:00.000000,1.123,42.0,7.6
12/04/2020 14:00:00.000000,0.729,39.0,
12/04/2020 15:00:00.000000,0.467,29.0,5.2
12/04/2020 16:00:00.000000,0.326,21.0,4.6
12/04/2020 17:00:00.000000,0.306,19.0,5.2
12/04/2020 18:00:00.000000,0.362,21.0,4.1
12/04/2020 19:00:00.000000,0.331,18.0,3.2
12/04/2020 20:00:00.000000,0.396,18.0,3.9
12/04/2020 21:00:00.000000,0.288,24.0,4.6
12/04/2020 22:00:00.000000,0.299,24.0,4.8
12/04/2020 23:00:00.000000,0.793,35.0,6.5
12/05/2020 00:00:00.000000,1.927,49.0,18.8
12/05/2020 01:00:00.000000,2.005,48.0,19.2
12/05/2020 02:00:00.000000,1.989,44.0,19.9
12/05/2020 03:00:00.000000,0.941,39.0,12.8
12/05/2020 04:00:00.000000,1.672,,19.5
12/05/2020 05:00:00.000000,1.057,35.0,14.7
12/05/2020 06:00:00.000000,0.413,32.0,5.7
12/05/2020 07:00:00.000000,1.397,34.0,21.5
12/05/2020 08:00:00.000000,1.526,37.0,21.1
12/05/2020 09:00:00.000000,0.411,33.0,5.5
12/05/2020 10:00:00.000000,0.278,29.0,3.1
12/05/2020 11:00:00.000000,0.665,32.0,8.1
12/05/2020 12:00:00.000000,1.043,34.0,11.4
12/05/2020 13:00:00.000000,0.68,35.0,5.8
12/05/2020 14:00:00.000000,0.625,34.0,5.6
12/05/2020 15:00:00.000000,0.356,23.0,3.6
12/05/2020 16:00:00.000000,0.347,16.0,3.9
12/05/2020 17:00:00.000000,0.298,13.0,3.4
12/05/2020 18:00:00.000000,0.207,8.0,2.2
12/05/2020 19:00:00.000000,0.173,5.0,1.6
12/05/2020 20:00:00.000000,0.222,8.0,2.2
12/05/2020 21:00:00.000000,0.28,12.0,2.2
12/05/2020 22:00:00.000000,0.348,18.0,2.6
12/05/2020 23:00:00.000000,0.413,27.0,4.7
