InstrumentName, I25 Denver
StartTime, 2021-03-01 00:00:00
EndTime, 2021-03-31 00:00:00
Date,81102,Carbon monoxide,Nitrogen dioxide,Outdoor Temperature,PM2.5 - Local Conditions,PM2.5 Total Atmospheric,Relative Humidity,Wind Direction,Wind Speed
03/01/2021 00:00:00,,,,36.971863,,,12.758179,181.795685,4.671631
03/01/2021 00:01:00,,,,36.676331,,,13.308868,179.768313,4.235535
03/01/2021 00:02:00,,,,36.591187,,,13.3461,178.98743,4.427643
03/01/2021 00:03:00,,,,36.218475,,,13.497162,181.610581,4.347534
03/01/2021 00:04:00,,,,36.024567,,,13.353271,172.955446,4.585266
03/01/2021 00:05:00,,,,35.825989,,,13.312836,181.719152,4.959564
03/01/2021 00:06:00,,,,35.802094,,,13.252716,168.01838,4.18396
03/01/2021 00:07:00,,,,35.754028,,,13.538818,164.544923,3.360138
03/01/2021 00:08:00,,,,35.880371,,,13.802338,166.839852,2.669678
03/01/2021 00:09:00,,,,36.074005,,,14.011536,182.251527,4.203033
03/01/2021 00:10:00,,,,36.156677,,,13.834229,189.961738,4.669342
03/01/2021 00:11:00,,,,36.131409,,,13.48999,195.688793,3.544617
03/01/2021 00:12:00,,,,36.056702,,,13.610229,171.574484,2.870026
03/01/2021 00:13:00,,,,36.123993,,,13.890076,167.106662,4.470215
03/01/2021 00:14:00,,,,35.912506,,,13.426361,156.253758,3.157806
03/01/2021 00:15:00,,,,35.895752,,,13.747864,180.847541,3.547363
03/01/2021 00:16:00,,,,36.162994,,,13.796082,199.733312,4.875641
03/01/2021 00:17:00,,,,36.26297,,,13.717041,198.848287,4.165649
03/01/2021 00:18:00,,,,36.317627,,,13.528137,197.172348,5.169678
03/01/2021 00:19:00,,,,36.167938,,,13.696442,203.600342,3.665009
03/01/2021 00:20:00,,,,36.395355,,,14.474792,211.059574,3.99826
03/01/2021 00:21:00,,,,36.698303,,,14.653168,197.978957,5.158997
03/01/2021 00:22:00,,,,36.810364,,,14.396362,200.726494,4.241333
03/01/2021 00:23:00,,,,36.738129,,,14.176483,193.155734,4.932556
03/01/2021 00:24:00,,,,36.569763,,,14.094696,195.473232,5.22934
03/01/2021 00:25:00,,,,36.437378,,,14.084167,198.98769,4.429474
03/01/2021 00:26:00,,,,36.243469,,,13.695679,183.87185,5.260315
03/01/2021 00:27:00,,,,36.126465,,,14.023743,202.095957,5.17395
03/01/2021 00:28:00,,,,36.306641,,,14.265747,227.238138,5.172729
03/01/2021 00:29:00,,,,36.376678,,,14.738159,238.522114,4.08844
03/01/2021 00:30:00,,,,36.410187,,,14.898834,232.72611,3.221741
03/01/2021 00:31:00,,,,36.397003,,,14.671783,213.531114,3.964691
03/01/2021 00:32:00,,,,36.343994,,,14.629669,210.111576,3.177032
03/01/2021 00:33:00,,,,36.346466,,,14.586792,220.241569,3.026581
03/01/2021 00:34:00,,,,36.378052,,,14.448242,219.315936,3.126068
03/01/2021 00:35:00,,,,36.392059,,,14.652863,218.5884,3.322144
03/01/2021 00:36:00,,,,36.370911,,,14.95163,206.648877,3.757629
03/01/2021 00:37:00,,,,36.285492,,,14.812775,193.301452,3.995514
03/01/2021 00:38:00,,,,36.138275,,,14.810181,195.394611,4.516754
03/01/2021 00:39:00,,,,35.953156,,,14.934998,187.450587,6.33194
03/01/2021 00:40:00,,,,35.645538,,,14.908447,182.255104,5.8284
03/01/2021 00:41:00,,,,35.403839,,,15.005493,180.301958,6.728058
03/01/2021 00:42:00,,,,35.283264,,,15.652466,189.322586,6.001282
03/01/2021 00:43:00,,,,35.300842,,,16.023102,192.086912,5.405273
03/01/2021 00:44:00,,,,35.356323,,,16.233978,182.013093,6.006012
03/01/2021 00:45:00,,,,35.326386,,,16.293945,181.274641,6.128235
03/01/2021 00:46:00,,,,35.293701,,,16.568146,188.601305,5.882416
03/01/2021 00:47:00,,,,35.340393,,,16.657562,191.601795,5.218201
03/01/2021 00:48:00,,,,35.370605,,,16.718445,187.4644,4.984741
03/01/2021 00:49:00,,,,35.247559,,,16.74942,186.204903,5.559387
03/01/2021 00:50:00,,,,35.172302,,,17.036133,194.94349,5.552521
03/01/2021 00:51:00,,,,35.277771,,,16.729736,191.423654,5.231476
03/01/2021 00:52:00,,,,35.171204,,,16.69693,194.046996,4.55719
03/01/2021 00:53:00,,,,35.188507,,,16.894836,188.033104,5.0177
03/01/2021 00:54:00,,,,35.161865,,,17.317505,184.915911,4.927063
03/01/2021 00:55:00,,,,35.135498,,,17.200317,188.575103,4.827423
03/01/2021 00:56:00,,,,34.988281,,,17.026672,191.88683,4.540558
03/01/2021 00:57:00,,,,34.944336,,,17.337494,194.069069,5.596466
03/01/2021 00:58:00,,,,35.009979,,,17.49176,189.797274,4.446564
03/01/2021 00:59:00,,,,34.987732,,,17.382965,191.551361,5.430756
03/01/2021 01:00:00,,,,34.935547,,,17.419586,199.654618,4.975586
03/01/2021 01:01:00,,,,34.944885,,,17.709351,196.543172,6.440125
03/01/2021 01:02:00,,,,34.948181,,,17.715912,196.816885,7.028961
03/01/2021 01:03:00,,,,34.886383,,,17.802429,193.551723,6.845093
03/01/2021 01:04:00,,,,34.807831,,,17.23053,192.862098,7.195129
03/01/2021 01:05:00,,,,34.783936,,,17.215424,194.934519,6.856995
