InstrumentName, Canary-CDPHE-6
StartTime, 2021-03-01 00:00:00
EndTime, 2021-03-31 00:00:00
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Time,Uncertainty,datetime,source_device
03/01/2021 00:00:05,0.0,0.0,0.0,14.5,40.151558,-104.776161,0.3,0.07,0.3,0.07,0.3,0.07,-77.0,40.19,,2086.0,,
03/01/2021 00:01:07,0.0,0.0,0.0,15.04,40.151558,-104.776161,0.75,0.2,0.3,0.13,0.75,0.2,-77.0,40.03,,2086.0,,
03/01/2021 00:02:06,0.0,0.0,0.0,15.08,40.151558,-104.776161,0.1,0.4,0.0,0.0,0.1,0.4,-77.0,39.88,,2086.0,,
03/01/2021 00:03:05,0.0,0.0,0.0,15.21,40.151558,-104.776161,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,39.79,,2086.0,,
03/01/2021 00:04:04,0.0,0.0,0.0,14.91,40.151558,-104.776161,0.13,0.25,0.05,0.0,0.13,0.25,-77.0,39.69,,2086.0,,
03/01/2021 00:05:06,0.0,0.0,0.0,15.32,40.151558,-104.776161,0.85,0.03,0.05,0.03,0.85,0.03,-77.0,39.56,,2086.0,,
03/01/2021 00:06:06,0.0,0.0,0.0,15.61,40.151558,-104.776161,0.0,0.1,0.0,0.0,0.0,0.1,-77.0,39.49,,2086.0,,
03/01/2021 00:07:06,0.0,0.0,0.0,16.27,40.151558,-104.776161,0.18,0.05,0.0,0.0,0.18,0.05,-77.0,39.45,,2086.0,,
03/01/2021 00:08:06,0.0,0.0,0.0,16.41,40.151558,-104.776161,0.2,0.55,0.0,0.0,0.2,0.2,-77.0,39.34,,2086.0,,
03/01/2021 00:09:05,0.0,0.0,0.0,16.81,40.145748,-104.735039,0.5,0.63,0.0,0.0,0.5,0.63,-77.0,39.33,,3599.0,,
03/01/2021 00:10:06,0.0,0.0,0.0,17.02,40.145748,-104.735039,0.5,0.35,0.0,0.0,0.5,0.35,-77.0,39.29,,3599.0,,
