InstrumentName, Canary-DN-1,,,,,,
StartTime, 2020-09-01 00:00:00,,,,,,
EndTime, 2020-09-30 23:59:59,,,,,,
Date,IH,IT,P,TVOC,TVOC_Cal,WD,WS
09/01/2020 00:01:00.000000,29.03,76.3,836.44,0.309,0.104,312.85,1.81
09/01/2020 00:02:00.000000,29.21,75.99,836.36,0.309,0.104,11.68,1.49
09/01/2020 00:03:00.000000,29.13,76.06,836.27,0.31,0.105,308.04,1.55
09/01/2020 00:04:01.000000,29.26,75.78,836.1,0.307,0.102,34.89,1.26
09/01/2020 00:05:02.000000,29.19,75.81,835.93,0.306,0.1,31.03,1.27
09/01/2020 00:06:01.000000,29.06,75.81,835.77,0.305,0.099,43.06,1.1
09/01/2020 00:07:01.000000,28.77,76.1,835.63,0.306,0.1,87.44,1.0
09/01/2020 00:08:00.000000,28.54,76.28,835.53,0.307,0.102,91.8,0.81
09/01/2020 00:09:01.000000,28.45,76.42,835.52,0.309,0.104,72.81,0.69
09/01/2020 00:10:01.000000,28.43,76.46,835.49,0.308,0.103,54.44,0.73
09/01/2020 00:11:01.000000,28.28,76.55,835.54,0.31,0.105,33.15,0.29
09/01/2020 00:12:02.000000,28.62,76.62,835.56,0.31,0.105,294.91,0.4
09/01/2020 00:13:00.000000,28.71,76.64,835.61,0.311,0.106,279.73,0.61
09/01/2020 00:14:01.000000,28.83,76.68,835.71,0.311,0.106,300.11,0.76
09/01/2020 00:15:01.000000,28.82,76.71,835.79,0.31,0.105,312.17,0.67
09/01/2020 00:16:01.000000,29.03,76.69,835.83,0.311,0.106,308.88,1.13
09/01/2020 00:17:00.000000,28.47,76.64,835.88,0.311,0.106,316.08,1.05
09/01/2020 00:18:01.000000,28.96,76.62,835.93,0.311,0.106,299.78,1.24
09/01/2020 00:19:02.000000,28.84,76.6,836.01,0.311,0.106,309.9,1.35
09/01/2020 00:20:01.000000,28.88,76.57,836.04,0.312,0.108,313.38,1.32
09/01/2020 00:21:02.000000,28.99,76.55,836.09,0.312,0.108,340.03,1.19
09/01/2020 00:22:01.000000,29.02,76.53,836.11,0.31,0.105,0.46,3.9
09/01/2020 00:23:02.000000,28.91,76.51,836.15,0.309,0.104,333.09,1.32
09/01/2020 00:24:02.000000,29.0,76.5,836.19,0.31,0.105,318.59,1.06
09/01/2020 00:25:00.000000,28.91,76.46,836.23,0.31,0.105,326.94,1.43
09/01/2020 00:26:01.000000,29.08,76.44,836.28,0.31,0.105,337.71,1.28
09/01/2020 00:27:02.000000,28.98,76.46,836.34,0.32,0.117,335.1,0.81
09/01/2020 00:28:01.000000,28.92,76.51,836.38,0.311,0.106,326.43,1.33
09/01/2020 00:29:01.000000,29.08,76.39,836.44,0.309,0.104,324.83,2.14
09/01/2020 00:30:00.000000,29.32,76.32,836.43,0.308,0.103,305.77,2.49
09/01/2020 00:31:01.000000,29.46,76.26,836.43,0.309,0.104,301.09,1.67
09/01/2020 00:32:02.000000,29.45,76.24,836.42,0.31,0.105,306.34,1.44
09/01/2020 00:33:01.000000,29.54,76.24,836.42,0.309,0.104,303.02,0.87
09/01/2020 00:34:02.000000,29.56,76.26,836.44,0.309,0.104,277.1,1.28
09/01/2020 00:35:00.000000,29.35,76.24,836.5,0.31,0.105,304.44,1.85
