InstrumentName, Adams County Building
StartTime, 2020-09-01 00:00:00
EndTime, 2020-09-30 23:59:59
Date,PM2.5
09/01/2020 00:00:00.000000,8.5
09/01/2020 01:00:00.000000,8.9
09/01/2020 02:00:00.000000,8.9
09/01/2020 03:00:00.000000,9.8
09/01/2020 04:00:00.000000,10.1
09/01/2020 05:00:00.000000,10.3
09/01/2020 06:00:00.000000,12.2
09/01/2020 07:00:00.000000,11.8
09/01/2020 08:00:00.000000,11.9
09/01/2020 09:00:00.000000,11.6
09/01/2020 10:00:00.000000,11.6
09/01/2020 11:00:00.000000,13.2
09/01/2020 12:00:00.000000,14.1
09/01/2020 13:00:00.000000,13.8
09/01/2020 14:00:00.000000,12.9
09/01/2020 15:00:00.000000,8.5
09/01/2020 16:00:00.000000,7.9
09/01/2020 17:00:00.000000,6.7
09/01/2020 18:00:00.000000,5.5
09/01/2020 19:00:00.000000,5.5
09/01/2020 20:00:00.000000,4.2
09/01/2020 21:00:00.000000,3.6
09/01/2020 22:00:00.000000,3.6
09/01/2020 23:00:00.000000,3.7
09/02/2020 00:00:00.000000,3.8
09/02/2020 01:00:00.000000,4.8
09/02/2020 02:00:00.000000,7.0
09/02/2020 03:00:00.000000,7.2
09/02/2020 04:00:00.000000,10.8
09/02/2020 05:00:00.000000,9.0
09/02/2020 06:00:00.000000,9.4
09/02/2020 07:00:00.000000,10.2
09/02/2020 08:00:00.000000,8.9
09/02/2020 09:00:00.000000,8.5
09/02/2020 10:00:00.000000,10.7
09/02/2020 11:00:00.000000,13.0
09/02/2020 12:00:00.000000,20.9
09/02/2020 13:00:00.000000,14.0
09/02/2020 14:00:00.000000,10.2
09/02/2020 15:00:00.000000,8.3
09/02/2020 16:00:00.000000,10.9
09/02/2020 17:00:00.000000,10.9
09/02/2020 18:00:00.000000,5.9
09/02/2020 19:00:00.000000,4.6
09/02/2020 20:00:00.000000,5.1
09/02/2020 21:00:00.000000,5.4
09/02/2020 22:00:00.000000,4.9
09/02/2020 23:00:00.000000,4.7
09/03/2020 00:00:00.000000,4.3
09/03/2020 01:00:00.000000,5.0
09/03/2020 02:00:00.000000,4.3
09/03/2020 03:00:00.000000,1.7
09/03/2020 04:00:00.000000,1.7
